cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_93597,Myocyte,54.32,36,58.97
CELL_19347,Epithelial,84.24,46,67.72
CELL_82545,Epithelial,102.96,36,80.46
CELL_74203,Leukocyte,59.45,44,77.37
CELL_31552,Stem Cell,44.41,24,56.86
CELL_31972,Erythrocyte,89.14,38,54.38
CELL_98704,Myocyte,45.04,22,81.26
CELL_38609,Fibroblast,9.35,17,67.54
CELL_30744,Erythrocyte,116.05,14,67.55
CELL_59818,Fibroblast,12.01,44,89.52
CELL_52011,Epithelial,61.79,12,69.2
CELL_78140,Fibroblast,42.61,5,55.46
CELL_40360,Epithelial,85.14,50,55.69
CELL_96593,Leukocyte,109.27,12,86.3
CELL_28882,Erythrocyte,82.33,20,74.98
CELL_82003,Leukocyte,43.54,14,99.36
CELL_61481,Fibroblast,64.85,5,86.29
CELL_50115,Stem Cell,88.08,13,52.19
CELL_28464,Erythrocyte,93.6,24,80.09
CELL_38200,Epithelial,85.35,9,96.35
CELL_69409,Erythrocyte,49.87,28,51.26
CELL_21670,Erythrocyte,28.21,46,86.66
CELL_70049,Epithelial,30.29,30,91.86
CELL_41659,Stem Cell,53.36,8,83.2
CELL_27985,Epithelial,19.11,16,82.68
CELL_86346,Stem Cell,113.62,10,96.26
CELL_89979,Stem Cell,89.3,44,95.64
CELL_33952,Leukocyte,45.69,8,53.83
CELL_12804,Epithelial,30.3,34,60.0
CELL_18558,Epithelial,33.87,26,53.62
CELL_58665,Epithelial,104.37,7,87.19
CELL_91502,Stem Cell,92.19,7,60.9
CELL_60954,Leukocyte,20.14,13,66.7
CELL_93345,Myocyte,91.4,20,59.46
CELL_61197,Myocyte,62.19,10,96.31
CELL_14195,Leukocyte,96.58,21,73.95
CELL_23036,Fibroblast,118.01,18,81.48
CELL_62565,Leukocyte,97.75,44,53.02
CELL_92345,Erythrocyte,38.02,30,81.8
CELL_71667,Fibroblast,64.43,11,61.81
CELL_58377,Neuron,110.26,35,96.37
CELL_30395,Leukocyte,65.1,47,86.33
CELL_78442,Erythrocyte,45.5,44,86.64
CELL_44833,Fibroblast,98.58,11,50.36
CELL_85659,Myocyte,32.4,26,99.88
CELL_33243,Myocyte,42.83,34,70.63
CELL_37763,Myocyte,108.22,46,97.52
CELL_33405,Erythrocyte,28.74,40,69.48
CELL_75209,Leukocyte,100.66,42,55.52
CELL_19480,Epithelial,52.65,46,89.48
CELL_40791,Epithelial,96.51,26,77.95
CELL_13290,Stem Cell,8.19,25,62.65
CELL_40676,Epithelial,66.82,27,87.29
CELL_80189,Neuron,31.21,18,66.57
CELL_49216,Fibroblast,16.54,16,79.92
CELL_97764,Fibroblast,17.95,34,62.13
CELL_67467,Epithelial,112.97,39,70.77
CELL_22366,Erythrocyte,68.63,13,84.44
CELL_44211,Erythrocyte,84.6,13,94.67
CELL_36647,Neuron,57.15,20,93.84
CELL_37653,Fibroblast,89.28,19,50.55
CELL_33910,Stem Cell,111.94,34,98.11
CELL_68753,Epithelial,45.45,39,86.34
CELL_29069,Stem Cell,5.34,30,96.01
CELL_72703,Neuron,68.63,44,82.7
