cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_28838,Neuron,20.46,10,60.99
CELL_29436,Epithelial,19.5,39,83.74
CELL_75261,Epithelial,54.26,15,95.35
CELL_51374,Erythrocyte,18.73,33,86.87
CELL_88539,Leukocyte,57.0,42,85.72
CELL_79300,Erythrocyte,113.19,30,96.1
CELL_70530,Stem Cell,43.81,10,51.96
CELL_30239,Epithelial,12.25,18,69.63
CELL_43010,Erythrocyte,38.03,30,58.92
CELL_83352,Stem Cell,52.9,20,76.76
CELL_63116,Fibroblast,44.88,31,92.06
CELL_61863,Myocyte,33.44,38,57.05
CELL_68495,Stem Cell,103.21,39,55.4
CELL_80395,Erythrocyte,57.6,25,92.85
CELL_61941,Erythrocyte,43.41,38,62.84
CELL_48237,Leukocyte,118.5,27,77.39
CELL_62594,Myocyte,99.22,11,74.59
CELL_60874,Epithelial,91.98,14,63.07
CELL_57538,Neuron,67.98,32,74.3
CELL_34245,Stem Cell,70.54,12,52.24
CELL_49798,Fibroblast,101.34,27,51.94
CELL_37744,Stem Cell,69.71,47,57.57
CELL_95409,Epithelial,43.84,36,61.74
CELL_76561,Epithelial,26.95,16,99.86
CELL_20343,Epithelial,17.95,30,72.55
CELL_73420,Epithelial,76.53,41,77.59
CELL_91403,Stem Cell,53.04,32,87.43
CELL_16106,Leukocyte,88.94,13,69.25
CELL_27017,Leukocyte,106.47,37,81.79
CELL_85642,Myocyte,86.14,33,99.11
CELL_84394,Epithelial,53.24,49,56.07
CELL_98738,Neuron,66.29,7,90.48
CELL_50832,Epithelial,90.26,18,67.64
CELL_81184,Fibroblast,65.07,22,51.68
CELL_30921,Neuron,67.75,25,59.28
CELL_80970,Stem Cell,62.95,13,61.38
CELL_11527,Myocyte,6.8,19,56.54
CELL_69356,Stem Cell,64.69,39,83.45
CELL_77219,Myocyte,21.63,25,58.54
CELL_44004,Myocyte,119.09,10,68.62
CELL_50399,Myocyte,37.81,48,64.93
CELL_47661,Stem Cell,61.33,23,85.94
CELL_81817,Stem Cell,36.68,49,93.15
CELL_73544,Leukocyte,85.29,50,60.31
CELL_87085,Neuron,115.78,12,87.33
CELL_53794,Fibroblast,104.74,50,85.37
CELL_71007,Neuron,111.25,27,68.71
CELL_57271,Erythrocyte,18.85,42,99.78
CELL_32386,Erythrocyte,71.71,9,52.33
CELL_45708,Erythrocyte,22.4,7,79.31
CELL_84332,Neuron,91.77,18,52.45
CELL_31244,Neuron,57.83,38,82.74
CELL_46607,Myocyte,103.75,6,63.94
CELL_19960,Fibroblast,38.59,44,80.36
CELL_73558,Fibroblast,115.16,37,55.54
CELL_20138,Stem Cell,89.66,27,99.58
CELL_20789,Erythrocyte,41.43,34,93.19
CELL_65727,Myocyte,46.25,12,97.62
CELL_85212,Neuron,38.95,17,54.83
CELL_24201,Fibroblast,114.96,30,66.86
CELL_79580,Epithelial,80.11,31,98.37
CELL_24169,Myocyte,7.56,31,90.76
CELL_91949,Myocyte,53.97,41,54.46
CELL_90283,Epithelial,6.26,19,63.66
CELL_56962,Leukocyte,97.85,24,80.41
CELL_95292,Epithelial,43.76,37,77.04
CELL_31781,Stem Cell,103.57,37,62.75
CELL_98969,Leukocyte,105.76,33,53.97
CELL_28372,Fibroblast,81.74,8,90.26
CELL_98855,Erythrocyte,42.9,40,87.58
CELL_22551,Fibroblast,78.24,23,71.3
CELL_26053,Leukocyte,25.81,48,84.21
CELL_35041,Fibroblast,30.07,44,91.97
CELL_16700,Erythrocyte,111.89,47,90.22
CELL_55922,Fibroblast,35.86,24,77.96
CELL_32063,Leukocyte,111.62,32,60.38
CELL_54404,Epithelial,46.38,50,95.19
CELL_98968,Myocyte,84.4,30,52.18
CELL_30533,Myocyte,82.92,47,98.08
CELL_69639,Stem Cell,57.83,32,58.5
CELL_50918,Neuron,48.0,20,50.5
CELL_46272,Leukocyte,26.34,39,71.35
CELL_95729,Myocyte,26.61,31,69.76
CELL_36020,Myocyte,78.94,48,53.63
CELL_72892,Stem Cell,55.35,32,74.08
CELL_56588,Erythrocyte,29.05,33,68.08
CELL_71904,Myocyte,59.49,23,94.49
CELL_94072,Epithelial,8.15,37,66.65
CELL_78015,Epithelial,78.43,16,92.42
CELL_27671,Epithelial,70.44,29,70.45
CELL_16415,Neuron,24.51,42,55.93
CELL_91181,Stem Cell,48.65,32,66.04
CELL_55445,Neuron,74.16,18,56.31
CELL_30595,Neuron,38.78,34,56.99
CELL_26677,Fibroblast,113.63,14,80.37
CELL_55776,Epithelial,54.92,24,53.36
CELL_19461,Erythrocyte,90.39,16,80.41
CELL_96936,Stem Cell,14.18,26,51.81
CELL_94726,Leukocyte,114.72,19,80.44
CELL_32764,Neuron,89.68,10,96.18
CELL_79932,Fibroblast,114.41,44,81.17
CELL_28797,Erythrocyte,35.7,40,81.93
CELL_84954,Leukocyte,30.0,35,91.02
CELL_43295,Fibroblast,20.79,48,55.67
CELL_77461,Neuron,35.79,13,69.46
CELL_27123,Myocyte,40.83,7,74.96
CELL_88173,Leukocyte,101.82,12,63.5
CELL_98130,Stem Cell,46.21,28,95.5
CELL_83066,Neuron,99.04,12,70.28
CELL_87920,Neuron,7.61,35,56.74
CELL_71101,Leukocyte,19.14,22,51.69
CELL_20346,Fibroblast,31.59,41,58.01
CELL_87236,Neuron,54.51,24,87.25
CELL_87447,Leukocyte,74.43,39,51.41
CELL_56453,Neuron,47.72,16,81.43
CELL_63760,Neuron,51.5,15,64.53
CELL_21551,Leukocyte,69.84,43,99.33
CELL_74325,Epithelial,14.48,34,72.79
CELL_73895,Fibroblast,99.82,10,81.69
CELL_65722,Fibroblast,71.15,38,98.43
CELL_98243,Fibroblast,6.21,46,82.34
CELL_63249,Erythrocyte,32.85,18,95.67
CELL_68307,Leukocyte,105.1,37,62.66
CELL_67808,Fibroblast,80.85,45,71.61
CELL_76808,Fibroblast,51.98,35,50.85
CELL_85662,Fibroblast,118.12,15,91.16
CELL_33827,Neuron,89.12,29,58.83
CELL_70062,Erythrocyte,53.24,5,56.87
CELL_19212,Epithelial,94.3,23,68.65
CELL_98980,Epithelial,25.13,10,80.19
CELL_59928,Fibroblast,119.53,14,50.87
CELL_57615,Stem Cell,117.81,45,96.25
CELL_14184,Leukocyte,82.43,49,51.64
CELL_63445,Erythrocyte,111.95,45,74.03
CELL_53182,Stem Cell,86.2,23,82.92
CELL_98698,Myocyte,72.72,41,86.8
CELL_82061,Epithelial,63.44,39,90.76
CELL_76243,Fibroblast,54.26,15,53.68
CELL_30408,Erythrocyte,72.31,35,75.18
CELL_50504,Neuron,118.0,43,63.94
CELL_14538,Erythrocyte,38.9,8,97.63
CELL_89681,Stem Cell,30.71,41,59.85
CELL_21442,Epithelial,77.07,34,80.71
CELL_83214,Erythrocyte,45.9,23,74.83
CELL_29230,Epithelial,99.09,27,64.33
CELL_17969,Neuron,21.96,50,71.5
CELL_64176,Fibroblast,68.84,12,65.31
CELL_21817,Stem Cell,109.26,24,59.85
CELL_26726,Fibroblast,55.25,27,66.3
CELL_80891,Neuron,92.04,47,71.77
CELL_40561,Erythrocyte,18.98,7,70.62
CELL_31463,Leukocyte,101.16,49,94.77
CELL_10942,Erythrocyte,109.5,48,92.22
CELL_95600,Myocyte,32.22,19,68.3
CELL_94660,Neuron,81.93,6,57.38
CELL_56545,Stem Cell,38.52,23,55.9
CELL_40814,Fibroblast,31.22,33,63.86
CELL_86459,Stem Cell,106.24,25,85.69
CELL_55467,Fibroblast,51.26,5,56.36
CELL_53057,Fibroblast,102.23,8,95.14
CELL_78018,Fibroblast,95.61,41,63.26
CELL_25429,Fibroblast,88.79,9,63.56
CELL_85052,Myocyte,81.8,46,73.12
CELL_40705,Erythrocyte,62.53,19,96.79
CELL_27889,Fibroblast,69.64,45,51.03
CELL_79740,Epithelial,42.96,15,83.16
CELL_44412,Neuron,92.14,6,80.13
CELL_88271,Stem Cell,81.19,17,95.21
CELL_52788,Epithelial,81.27,13,60.2
CELL_71735,Myocyte,48.65,29,74.59
CELL_31556,Fibroblast,91.48,29,98.55
CELL_36400,Myocyte,30.19,38,97.63
CELL_57485,Stem Cell,33.61,17,95.1
CELL_12951,Neuron,40.07,27,92.08
CELL_65053,Erythrocyte,106.98,48,64.88
CELL_18087,Leukocyte,78.81,23,72.15
CELL_38510,Fibroblast,66.55,46,82.71
CELL_26731,Erythrocyte,119.12,17,87.92
CELL_29795,Myocyte,76.8,23,61.4
CELL_20831,Erythrocyte,66.84,19,91.23
CELL_21151,Neuron,55.04,50,94.41
CELL_74086,Myocyte,79.38,5,91.52
CELL_49549,Leukocyte,101.34,14,55.63
CELL_52694,Stem Cell,100.75,16,81.83
CELL_60981,Erythrocyte,87.62,26,54.63
CELL_87295,Fibroblast,36.38,34,84.16
CELL_51693,Fibroblast,28.45,39,99.55
CELL_67055,Erythrocyte,44.32,6,74.95
CELL_53199,Epithelial,5.96,7,76.0
CELL_45096,Erythrocyte,119.34,8,69.49
CELL_83847,Erythrocyte,99.27,47,59.67
CELL_52699,Erythrocyte,43.43,38,76.02
CELL_24906,Myocyte,55.19,35,97.12
CELL_72603,Erythrocyte,9.25,29,65.47
CELL_66795,Erythrocyte,103.95,7,64.9
CELL_96930,Fibroblast,91.42,24,79.93
CELL_55211,Fibroblast,113.58,19,75.99
CELL_33867,Epithelial,69.91,31,60.15
CELL_43123,Epithelial,58.6,24,60.29
CELL_80754,Leukocyte,9.73,39,72.86
CELL_49501,Stem Cell,29.79,33,67.14
CELL_35762,Erythrocyte,116.82,7,75.46
CELL_78644,Neuron,102.4,9,67.41
CELL_85928,Erythrocyte,47.81,15,92.76
CELL_83860,Neuron,118.92,29,86.85
CELL_74533,Erythrocyte,80.5,27,75.08
CELL_36064,Fibroblast,41.98,20,62.02
CELL_37996,Neuron,39.75,6,88.7
CELL_11914,Epithelial,105.33,44,85.06
CELL_84882,Erythrocyte,37.0,33,99.06
CELL_30364,Neuron,50.29,48,95.43
CELL_16329,Leukocyte,82.91,40,68.87
CELL_15085,Myocyte,58.5,50,56.43
CELL_24805,Neuron,50.89,14,92.03
CELL_75914,Stem Cell,88.15,22,73.99
CELL_70192,Neuron,42.73,46,56.27
CELL_36463,Neuron,92.22,36,54.36
CELL_15121,Stem Cell,79.7,30,71.98
CELL_75206,Epithelial,115.91,33,65.44
CELL_37914,Neuron,113.81,50,80.52
CELL_20432,Stem Cell,54.93,31,81.93
CELL_15106,Erythrocyte,98.84,19,72.44
CELL_72482,Neuron,70.91,41,89.78
CELL_13334,Epithelial,20.03,40,96.4
