cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_54655,Myocyte,27.05,5,61.02
CELL_45387,Fibroblast,38.23,13,94.92
CELL_35759,Epithelial,107.38,12,96.61
CELL_71295,Leukocyte,35.21,48,68.34
CELL_13006,Neuron,32.94,12,64.01
CELL_85440,Epithelial,107.71,12,72.39
CELL_59446,Myocyte,77.87,27,77.36
CELL_11960,Epithelial,56.18,48,53.39
CELL_61533,Leukocyte,27.55,12,51.96
CELL_94726,Stem Cell,15.63,39,64.11
CELL_61558,Epithelial,52.13,46,53.53
CELL_55954,Fibroblast,40.47,30,83.84
CELL_54618,Epithelial,30.49,19,71.79
CELL_66567,Myocyte,47.02,11,52.44
CELL_48479,Stem Cell,117.78,20,67.7
CELL_30842,Epithelial,116.5,12,56.89
CELL_21511,Leukocyte,40.46,18,60.68
CELL_97336,Myocyte,96.15,10,87.7
CELL_33675,Leukocyte,19.01,43,87.28
CELL_45522,Leukocyte,108.04,6,78.7
CELL_17647,Erythrocyte,97.3,14,80.66
CELL_42583,Fibroblast,90.4,35,91.17
CELL_33888,Stem Cell,104.8,43,73.75
CELL_50663,Neuron,41.5,24,73.46
CELL_98783,Leukocyte,115.63,23,97.3
CELL_37925,Neuron,64.17,35,59.89
CELL_76724,Epithelial,103.13,34,61.48
CELL_25205,Stem Cell,96.8,5,55.37
CELL_20197,Epithelial,34.31,20,90.56
CELL_15562,Stem Cell,91.54,35,79.12
CELL_79925,Neuron,52.3,7,83.64
CELL_93651,Epithelial,54.25,34,72.32
CELL_72590,Stem Cell,106.68,19,72.09
CELL_78271,Stem Cell,116.13,9,96.17
CELL_74453,Stem Cell,13.94,37,70.21
CELL_47535,Fibroblast,108.28,42,73.02
CELL_20639,Leukocyte,34.18,27,60.0
CELL_25988,Neuron,7.66,17,62.52
CELL_14039,Fibroblast,84.8,49,76.84
CELL_97186,Epithelial,105.33,47,89.44
CELL_39880,Leukocyte,27.86,13,79.67
CELL_59826,Epithelial,19.12,37,68.24
CELL_35457,Stem Cell,66.14,43,67.99
CELL_11918,Erythrocyte,37.71,35,50.04
CELL_29982,Erythrocyte,18.99,18,66.95
CELL_31408,Myocyte,27.51,23,87.88
CELL_26037,Fibroblast,116.7,12,50.12
CELL_18130,Fibroblast,82.43,45,58.66
CELL_89122,Leukocyte,76.0,10,89.33
CELL_57809,Leukocyte,75.67,14,56.92
CELL_72713,Erythrocyte,113.32,32,55.19
CELL_64860,Leukocyte,88.47,29,51.73
CELL_89794,Erythrocyte,109.93,31,93.93
CELL_10854,Myocyte,77.85,23,64.45
CELL_88131,Fibroblast,9.95,18,75.57
CELL_46461,Fibroblast,22.34,43,89.15
CELL_28227,Stem Cell,9.87,40,83.31
CELL_65953,Epithelial,19.83,17,51.43
CELL_29076,Leukocyte,108.6,13,68.07
CELL_43853,Epithelial,66.56,46,92.18
CELL_24308,Fibroblast,33.85,36,60.28
CELL_53888,Leukocyte,23.05,45,82.48
CELL_35403,Leukocyte,65.83,18,84.82
CELL_35754,Myocyte,74.07,21,67.61
CELL_44693,Epithelial,65.61,26,55.27
CELL_42160,Leukocyte,95.99,30,79.92
CELL_21686,Myocyte,11.77,18,71.17
CELL_39246,Neuron,53.48,13,56.47
CELL_71149,Epithelial,65.15,50,75.73
CELL_55263,Myocyte,9.55,44,91.22
CELL_56706,Stem Cell,39.78,27,97.94
CELL_45700,Neuron,45.51,48,72.04
CELL_26704,Epithelial,28.56,40,86.3
CELL_88577,Fibroblast,36.76,25,77.81
CELL_34065,Myocyte,116.93,18,58.69
CELL_85428,Epithelial,94.94,45,67.67
CELL_54175,Stem Cell,21.18,38,58.83
CELL_76455,Stem Cell,107.0,15,89.54
CELL_16391,Erythrocyte,86.96,10,93.4
CELL_91947,Fibroblast,84.23,44,79.48
CELL_95457,Neuron,86.69,9,62.24
CELL_62588,Neuron,9.74,20,71.43
CELL_19489,Neuron,75.44,15,75.27
CELL_68165,Myocyte,116.91,34,96.11
CELL_93839,Epithelial,28.54,46,50.15
CELL_98496,Fibroblast,5.39,17,96.31
CELL_68542,Neuron,44.01,8,92.71
CELL_12664,Leukocyte,94.28,47,89.18
CELL_61224,Leukocyte,71.73,8,65.56
CELL_89426,Neuron,74.93,49,92.0
CELL_59611,Neuron,24.21,25,84.25
CELL_39086,Epithelial,56.83,44,65.94
CELL_18393,Stem Cell,117.2,21,59.95
CELL_65354,Erythrocyte,15.86,22,95.5
CELL_33227,Fibroblast,36.4,39,73.44
CELL_54393,Epithelial,84.26,45,63.32
CELL_72388,Neuron,68.91,50,92.12
CELL_59990,Myocyte,53.5,39,50.74
CELL_35240,Leukocyte,35.65,37,84.33
CELL_60083,Leukocyte,104.71,12,96.58
CELL_74924,Leukocyte,8.86,32,62.24
CELL_67393,Epithelial,106.88,48,80.51
CELL_57339,Erythrocyte,95.28,22,85.14
CELL_42050,Stem Cell,118.86,34,68.19
CELL_82971,Epithelial,28.85,23,82.62
CELL_91155,Leukocyte,26.84,37,90.74
CELL_27652,Neuron,45.69,49,68.66
CELL_99052,Erythrocyte,52.97,21,56.1
CELL_49891,Myocyte,68.49,37,97.57
CELL_19892,Fibroblast,41.34,30,66.93
CELL_93473,Stem Cell,18.41,46,56.49
CELL_12889,Myocyte,115.16,45,58.12
CELL_92015,Fibroblast,29.24,29,74.3
CELL_33018,Myocyte,63.91,16,65.93
CELL_26871,Neuron,30.84,13,84.98
CELL_35384,Leukocyte,7.65,36,90.37
CELL_20354,Epithelial,73.43,36,65.32
CELL_73060,Erythrocyte,82.35,23,52.76
CELL_77507,Stem Cell,13.53,13,73.61
CELL_68231,Myocyte,14.66,6,76.24
CELL_96636,Neuron,68.54,15,93.32
CELL_67149,Leukocyte,47.43,33,95.61
CELL_22611,Neuron,74.42,37,53.97
CELL_16372,Fibroblast,102.37,14,76.29
CELL_11041,Erythrocyte,113.37,18,53.99
CELL_52619,Stem Cell,40.61,41,77.2
CELL_77163,Neuron,48.71,9,82.05
CELL_94246,Erythrocyte,110.84,46,84.26
CELL_17160,Erythrocyte,75.33,11,52.83
CELL_91954,Epithelial,43.46,31,73.31
CELL_51899,Fibroblast,16.53,36,54.78
CELL_69234,Stem Cell,9.35,19,99.65
CELL_24685,Epithelial,69.08,41,59.64
CELL_36535,Myocyte,49.37,37,87.98
CELL_46109,Leukocyte,32.65,44,51.69
CELL_10941,Myocyte,23.1,34,81.49
CELL_30350,Myocyte,75.1,5,72.93
CELL_29343,Epithelial,101.96,30,74.74
CELL_15120,Neuron,48.63,20,60.25
CELL_75526,Myocyte,107.57,50,56.0
CELL_48117,Stem Cell,96.61,20,88.89
CELL_22537,Fibroblast,64.2,42,81.85
CELL_26841,Myocyte,56.22,7,91.56
CELL_64563,Epithelial,107.99,36,90.12
CELL_31680,Leukocyte,75.21,27,65.89
CELL_11821,Erythrocyte,21.29,28,80.46
CELL_43220,Fibroblast,107.12,18,96.04
CELL_56346,Epithelial,19.51,44,69.8
CELL_30490,Leukocyte,96.84,37,78.06
CELL_82569,Myocyte,6.01,12,52.83
CELL_81126,Leukocyte,103.62,36,86.36
CELL_72830,Stem Cell,85.17,18,81.51
CELL_54126,Stem Cell,46.06,15,65.81
CELL_65157,Fibroblast,97.26,16,87.29
CELL_76454,Erythrocyte,23.5,18,76.99
CELL_28155,Stem Cell,81.97,13,67.56
CELL_19011,Stem Cell,14.62,38,74.2
CELL_75472,Epithelial,12.56,50,80.97
CELL_15896,Neuron,87.46,7,85.71
CELL_19670,Myocyte,112.42,37,73.53
CELL_79102,Erythrocyte,22.44,32,76.17
CELL_82983,Erythrocyte,85.27,50,52.85
CELL_21823,Myocyte,82.53,18,95.81
CELL_65529,Neuron,15.5,13,62.46
CELL_87733,Erythrocyte,50.02,45,73.28
CELL_70346,Stem Cell,27.2,6,56.06
CELL_49915,Fibroblast,6.6,29,74.58
CELL_94632,Erythrocyte,76.7,38,57.15
CELL_14578,Stem Cell,94.6,46,88.57
CELL_80332,Myocyte,49.97,24,77.56
CELL_55467,Epithelial,30.75,18,71.36
CELL_72040,Myocyte,44.92,50,70.77
CELL_26193,Leukocyte,52.58,20,74.77
CELL_82347,Neuron,68.8,12,92.19
CELL_84549,Stem Cell,55.5,24,97.9
CELL_24338,Stem Cell,92.15,7,82.4
CELL_66862,Epithelial,8.57,5,54.85
CELL_51703,Fibroblast,96.64,18,67.98
CELL_63377,Stem Cell,29.92,34,90.61
CELL_75295,Leukocyte,83.53,42,96.24
CELL_84474,Erythrocyte,75.86,37,74.17
CELL_91966,Epithelial,16.93,50,53.99
CELL_11925,Erythrocyte,37.52,15,84.42
CELL_28350,Stem Cell,7.34,13,88.83
CELL_38452,Myocyte,56.39,20,98.02
CELL_50159,Leukocyte,56.03,13,94.41
CELL_34409,Neuron,44.31,44,76.12
CELL_27603,Epithelial,74.93,43,80.86
CELL_46608,Myocyte,59.4,10,69.19
CELL_30914,Epithelial,82.99,5,57.81
CELL_65303,Fibroblast,100.43,32,65.33
CELL_97001,Myocyte,65.38,5,89.71
CELL_79115,Erythrocyte,49.11,14,53.79
CELL_39604,Neuron,37.38,30,87.25
CELL_92994,Epithelial,90.89,31,65.83
CELL_28323,Fibroblast,10.5,14,81.77
CELL_49498,Neuron,89.92,18,79.08
CELL_60101,Fibroblast,105.48,34,88.74
CELL_21712,Stem Cell,31.75,46,72.69
CELL_33728,Leukocyte,65.87,32,67.79
CELL_23389,Stem Cell,29.92,24,58.9
CELL_19838,Myocyte,23.36,41,63.67
CELL_90161,Stem Cell,32.29,20,93.31
CELL_57478,Erythrocyte,105.29,50,62.57
CELL_75953,Neuron,69.79,35,83.71
CELL_87280,Leukocyte,49.6,44,82.28
CELL_77448,Myocyte,24.5,34,81.12
CELL_11586,Epithelial,19.51,23,63.17
CELL_47415,Stem Cell,27.56,36,97.98
CELL_14109,Myocyte,18.89,20,91.83
CELL_17615,Myocyte,45.01,25,74.08
CELL_67637,Myocyte,56.28,40,93.9
CELL_47434,Erythrocyte,57.67,38,52.38
CELL_91371,Epithelial,19.74,48,65.93
CELL_89009,Erythrocyte,24.61,26,88.64
CELL_83712,Epithelial,21.32,17,72.29
CELL_66195,Stem Cell,53.85,38,97.25
CELL_63418,Fibroblast,93.56,29,53.83
CELL_19636,Fibroblast,70.71,46,98.17
CELL_88147,Leukocyte,21.03,10,62.04
CELL_55120,Neuron,111.65,23,80.27
CELL_83996,Fibroblast,50.36,17,97.88
CELL_77298,Stem Cell,37.41,46,76.65
CELL_36471,Erythrocyte,75.2,41,80.91
CELL_28508,Fibroblast,14.04,8,61.32
CELL_19792,Stem Cell,63.61,14,96.14
CELL_19960,Epithelial,79.5,18,77.6
CELL_41193,Stem Cell,27.71,45,86.46
CELL_26489,Myocyte,77.98,34,88.03
CELL_94475,Epithelial,61.77,18,55.79
CELL_62388,Neuron,112.3,30,54.86
CELL_43101,Leukocyte,10.2,40,79.69
CELL_30159,Epithelial,17.41,23,86.99
CELL_46629,Fibroblast,97.77,15,53.14
CELL_33098,Erythrocyte,105.35,11,94.96
CELL_20484,Epithelial,27.52,38,73.47
CELL_32714,Stem Cell,90.93,40,64.62
CELL_24599,Stem Cell,116.82,28,73.88
CELL_79692,Epithelial,48.05,30,74.18
CELL_92025,Myocyte,34.56,33,93.82
CELL_68057,Myocyte,99.06,34,76.42
