cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_57216,Stem Cell,99.25,16,53.0
CELL_60074,Epithelial,82.94,20,93.41
CELL_83993,Epithelial,65.47,26,98.65
CELL_55678,Epithelial,102.61,12,57.19
CELL_38718,Neuron,51.55,37,87.29
CELL_53174,Leukocyte,84.7,32,71.89
CELL_70685,Myocyte,88.53,9,88.87
CELL_19737,Neuron,31.4,9,96.11
CELL_23814,Neuron,23.69,49,64.56
CELL_77123,Erythrocyte,58.75,36,53.22
CELL_78194,Erythrocyte,45.48,20,76.18
CELL_78366,Neuron,35.96,7,58.9
CELL_55808,Erythrocyte,24.53,16,98.54
CELL_22421,Stem Cell,19.69,34,58.45
CELL_50303,Leukocyte,7.93,21,64.77
CELL_83394,Erythrocyte,96.86,33,57.8
CELL_22769,Neuron,20.88,38,64.54
CELL_34810,Leukocyte,63.58,42,76.9
CELL_92189,Epithelial,89.7,9,58.16
CELL_86823,Leukocyte,101.51,31,62.85
CELL_47813,Epithelial,87.97,10,54.21
CELL_34315,Neuron,35.71,31,69.19
CELL_63492,Myocyte,31.16,36,99.35
CELL_60072,Neuron,28.81,13,60.64
CELL_87221,Fibroblast,27.65,16,82.51
CELL_72024,Myocyte,16.61,35,83.37
CELL_21691,Stem Cell,55.62,30,62.91
CELL_85067,Fibroblast,12.3,33,88.59
CELL_61087,Neuron,87.76,49,85.73
CELL_94658,Stem Cell,21.22,28,95.24
CELL_85206,Neuron,27.52,48,73.92
CELL_92734,Myocyte,19.46,46,50.84
CELL_89473,Stem Cell,73.57,25,91.19
CELL_63570,Erythrocyte,17.33,13,65.94
CELL_46977,Fibroblast,50.68,30,71.04
CELL_53809,Erythrocyte,9.43,8,66.06
CELL_63414,Stem Cell,80.3,16,77.99
CELL_81617,Fibroblast,96.41,49,66.37
CELL_48140,Erythrocyte,109.12,40,93.58
CELL_41040,Neuron,12.64,23,68.26
CELL_76750,Fibroblast,67.47,15,93.72
CELL_12201,Stem Cell,18.82,16,67.97
CELL_17119,Stem Cell,53.77,21,82.64
CELL_60385,Epithelial,84.65,44,75.4
CELL_31480,Erythrocyte,74.8,23,56.19
CELL_93020,Erythrocyte,119.65,6,64.08
CELL_15397,Epithelial,109.88,43,71.75
CELL_41539,Stem Cell,32.39,50,83.57
CELL_47149,Neuron,45.05,45,79.05
CELL_73708,Myocyte,101.17,31,86.02
CELL_79097,Leukocyte,27.44,37,83.98
CELL_21019,Leukocyte,15.84,36,55.56
CELL_65035,Fibroblast,7.08,32,66.11
CELL_57603,Erythrocyte,66.56,47,90.67
CELL_39174,Fibroblast,93.27,25,54.95
CELL_29325,Leukocyte,42.62,15,83.79
CELL_45802,Myocyte,42.06,22,94.82
CELL_82415,Erythrocyte,25.51,6,56.2
CELL_20634,Myocyte,27.94,11,73.84
CELL_40706,Erythrocyte,19.06,23,50.42
CELL_47137,Myocyte,95.41,40,69.33
CELL_52996,Neuron,45.84,32,77.41
CELL_26604,Neuron,78.82,23,57.55
CELL_92334,Neuron,92.12,43,53.51
CELL_18096,Myocyte,15.35,32,60.14
CELL_79865,Myocyte,10.59,50,80.19
CELL_52641,Epithelial,111.38,43,52.61
CELL_61384,Leukocyte,58.08,24,68.57
CELL_90209,Neuron,60.56,49,89.99
CELL_69343,Epithelial,97.1,20,61.66
CELL_33607,Erythrocyte,21.22,27,74.04
CELL_90983,Leukocyte,87.89,42,75.77
CELL_62331,Myocyte,61.17,14,97.5
CELL_49205,Leukocyte,113.13,39,70.04
CELL_17517,Myocyte,41.97,12,99.01
CELL_20793,Stem Cell,91.85,34,64.29
CELL_86657,Erythrocyte,42.33,20,94.56
CELL_72567,Epithelial,23.64,10,71.51
CELL_15178,Fibroblast,25.28,37,66.5
CELL_72500,Fibroblast,75.93,26,86.76
CELL_64361,Stem Cell,82.9,10,65.38
CELL_93662,Epithelial,62.5,8,60.34
CELL_27963,Myocyte,22.58,24,97.14
CELL_49751,Neuron,29.25,22,52.95
CELL_79680,Erythrocyte,67.77,17,97.0
CELL_36811,Epithelial,41.88,50,88.53
