cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_94979,Neuron,22.57,15,62.06
CELL_84083,Stem Cell,97.96,38,73.61
CELL_38719,Myocyte,32.49,37,72.05
CELL_43719,Neuron,33.21,27,75.62
CELL_73002,Stem Cell,22.57,8,66.01
CELL_65964,Fibroblast,48.73,35,75.96
CELL_18934,Epithelial,9.43,35,53.48
CELL_76684,Erythrocyte,10.53,50,51.92
CELL_92497,Erythrocyte,76.46,7,65.85
CELL_18170,Neuron,54.24,42,82.7
CELL_67835,Myocyte,76.09,18,51.81
CELL_39664,Leukocyte,64.11,16,73.76
CELL_37858,Epithelial,88.35,14,81.07
CELL_96264,Stem Cell,86.62,48,54.04
CELL_21513,Neuron,54.05,50,85.56
CELL_88427,Neuron,87.1,34,75.99
CELL_50156,Fibroblast,79.96,21,71.2
CELL_65652,Erythrocyte,36.25,38,84.09
CELL_31326,Stem Cell,56.24,5,98.9
CELL_46654,Leukocyte,102.88,16,67.68
CELL_33517,Neuron,11.7,33,71.77
CELL_25847,Fibroblast,47.37,21,82.2
CELL_66193,Epithelial,108.96,10,56.47
CELL_60329,Stem Cell,71.57,14,53.85
CELL_13637,Myocyte,29.39,14,86.35
CELL_24796,Myocyte,26.67,46,55.04
CELL_93190,Myocyte,113.48,29,70.66
CELL_52561,Neuron,111.3,12,91.99
CELL_59284,Erythrocyte,53.14,36,59.77
CELL_37875,Neuron,58.13,19,58.09
CELL_69497,Epithelial,55.42,22,57.13
CELL_69715,Myocyte,29.37,32,81.19
CELL_75485,Myocyte,43.65,44,90.86
CELL_62635,Stem Cell,21.23,27,97.17
CELL_61058,Myocyte,6.29,38,71.95
CELL_56984,Leukocyte,94.28,36,95.98
CELL_94450,Leukocyte,19.39,32,67.76
CELL_11773,Fibroblast,76.29,37,79.44
CELL_25738,Myocyte,82.99,9,67.18
CELL_37317,Neuron,112.86,21,92.2
CELL_49115,Stem Cell,42.9,46,97.4
CELL_28946,Myocyte,84.52,16,98.85
CELL_13360,Neuron,117.69,32,87.3
CELL_14099,Epithelial,86.36,21,52.64
