cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_88461,Erythrocyte,109.53,26,79.08
CELL_14768,Erythrocyte,85.74,28,96.31
CELL_54306,Leukocyte,112.93,9,55.35
CELL_81134,Erythrocyte,86.61,24,86.82
CELL_43826,Epithelial,108.6,10,82.33
CELL_19444,Epithelial,113.83,42,80.84
CELL_82150,Fibroblast,80.81,14,57.65
CELL_94178,Erythrocyte,112.87,30,52.9
CELL_41543,Erythrocyte,57.97,30,77.8
CELL_62137,Stem Cell,71.04,25,50.31
CELL_39550,Stem Cell,45.29,47,52.64
CELL_42399,Leukocyte,29.78,11,75.19
CELL_76851,Epithelial,35.17,9,84.29
CELL_49010,Leukocyte,109.52,7,83.11
CELL_21198,Neuron,48.56,31,82.19
CELL_75967,Leukocyte,48.29,36,68.4
CELL_75053,Myocyte,114.09,26,91.74
CELL_53965,Erythrocyte,86.92,28,92.6
CELL_93597,Neuron,110.85,23,76.24
CELL_25634,Myocyte,78.94,6,89.13
CELL_84688,Fibroblast,71.57,46,64.95
CELL_82178,Fibroblast,40.3,15,52.51
CELL_27261,Leukocyte,102.77,33,65.12
CELL_40357,Neuron,98.49,18,91.91
CELL_45456,Fibroblast,69.52,19,69.43
CELL_10137,Neuron,74.27,42,83.95
CELL_92384,Stem Cell,33.52,45,65.32
CELL_99834,Fibroblast,19.87,28,79.94
CELL_32187,Stem Cell,34.24,45,58.35
CELL_57543,Myocyte,112.22,13,93.36
CELL_72995,Epithelial,84.92,18,75.33
CELL_43379,Neuron,106.17,48,74.01
CELL_36154,Epithelial,48.46,23,75.17
CELL_56009,Neuron,9.88,50,71.76
CELL_47301,Stem Cell,22.41,38,97.84
CELL_90251,Neuron,104.5,36,69.84
CELL_82957,Erythrocyte,99.64,27,57.01
CELL_73632,Epithelial,11.06,43,59.08
CELL_73335,Myocyte,17.0,46,54.85
CELL_42194,Epithelial,106.69,12,83.48
CELL_84289,Erythrocyte,63.11,31,50.0
CELL_26798,Neuron,96.71,20,77.27
CELL_74455,Myocyte,47.9,50,92.4
CELL_91554,Leukocyte,49.24,39,75.78
CELL_31677,Stem Cell,86.3,44,77.63
CELL_88125,Myocyte,86.96,14,87.09
CELL_37068,Fibroblast,94.61,33,90.31
CELL_94524,Myocyte,47.97,36,82.67
CELL_28986,Leukocyte,105.7,49,55.33
CELL_48172,Leukocyte,105.25,25,57.39
CELL_84867,Leukocyte,107.62,38,61.31
CELL_14646,Neuron,41.96,8,60.47
CELL_85129,Stem Cell,57.98,21,83.65
CELL_74279,Erythrocyte,114.86,24,93.31
CELL_52844,Myocyte,62.65,24,56.58
CELL_89740,Erythrocyte,115.91,30,95.27
CELL_56072,Erythrocyte,90.34,11,78.56
CELL_92590,Erythrocyte,7.61,16,50.83
CELL_29488,Stem Cell,90.57,10,81.48
CELL_40716,Myocyte,12.06,27,71.21
CELL_49297,Erythrocyte,85.38,23,77.06
CELL_95289,Neuron,47.1,5,94.88
CELL_55710,Myocyte,99.72,8,72.22
CELL_12084,Myocyte,5.63,24,66.74
CELL_98579,Neuron,96.87,45,78.6
CELL_22825,Fibroblast,116.6,20,52.68
CELL_67328,Leukocyte,100.64,19,63.7
CELL_32897,Stem Cell,115.91,8,81.81
CELL_68563,Stem Cell,58.56,21,73.37
CELL_78308,Myocyte,99.66,17,67.68
CELL_94874,Myocyte,93.21,37,68.85
CELL_78226,Epithelial,9.32,33,77.41
CELL_74512,Fibroblast,68.86,47,88.96
CELL_91507,Erythrocyte,31.36,50,59.1
CELL_75253,Fibroblast,10.27,40,61.77
CELL_33482,Fibroblast,66.24,33,62.29
CELL_61990,Neuron,104.12,35,51.9
CELL_91228,Stem Cell,100.39,43,59.94
CELL_75034,Leukocyte,47.46,17,63.09
CELL_75857,Neuron,97.76,32,55.23
CELL_53233,Erythrocyte,111.84,46,89.97
CELL_56868,Myocyte,51.96,17,99.85
CELL_55713,Epithelial,109.42,12,52.64
CELL_78666,Leukocyte,51.26,17,54.05
CELL_98005,Leukocyte,50.28,45,74.62
CELL_51948,Leukocyte,37.32,46,74.33
CELL_62118,Erythrocyte,14.9,33,98.47
CELL_44191,Leukocyte,15.57,26,80.48
