cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_79372,Myocyte,67.23,35,81.56
CELL_20854,Myocyte,27.56,39,56.9
CELL_65477,Myocyte,25.8,22,97.96
CELL_32328,Neuron,11.64,23,50.41
CELL_92551,Erythrocyte,116.2,38,98.28
CELL_28383,Fibroblast,32.96,30,63.9
CELL_99906,Stem Cell,15.6,46,85.18
CELL_15546,Neuron,49.88,21,57.77
CELL_35158,Leukocyte,45.35,9,93.85
CELL_87920,Epithelial,66.64,25,67.54
CELL_60587,Fibroblast,50.45,30,96.74
CELL_41972,Fibroblast,47.87,13,66.73
CELL_66952,Fibroblast,55.48,16,66.42
CELL_32823,Leukocyte,45.46,16,88.65
CELL_12531,Leukocyte,11.69,16,73.36
CELL_82928,Erythrocyte,107.89,43,74.6
CELL_29828,Fibroblast,38.48,45,68.34
CELL_42150,Erythrocyte,73.14,6,68.79
CELL_41295,Neuron,9.27,16,94.63
CELL_46648,Leukocyte,46.55,10,63.7
CELL_34747,Fibroblast,67.39,34,82.86
CELL_68743,Myocyte,8.16,36,93.09
CELL_99338,Epithelial,99.02,24,70.7
CELL_83501,Myocyte,119.64,10,62.38
CELL_36456,Fibroblast,64.84,5,92.54
CELL_59336,Stem Cell,40.68,37,96.52
CELL_87401,Neuron,91.31,20,70.99
CELL_72629,Stem Cell,63.97,10,77.49
CELL_95289,Leukocyte,61.35,28,90.13
CELL_32729,Erythrocyte,33.4,43,90.25
CELL_69516,Erythrocyte,105.03,31,56.4
CELL_31504,Neuron,34.32,20,81.88
CELL_42403,Leukocyte,73.05,23,95.96
CELL_71998,Erythrocyte,6.76,29,79.12
CELL_75185,Stem Cell,99.98,46,63.92
CELL_67348,Stem Cell,114.54,20,81.57
CELL_96372,Epithelial,34.38,13,64.54
CELL_78976,Neuron,15.53,30,95.42
CELL_48595,Myocyte,106.18,8,69.75
CELL_64437,Neuron,95.74,5,61.49
CELL_20050,Stem Cell,75.46,15,76.48
CELL_70268,Erythrocyte,83.29,14,75.23
CELL_11807,Stem Cell,87.58,40,56.47
CELL_34286,Neuron,21.04,7,97.48
CELL_10322,Myocyte,55.5,26,50.66
CELL_77489,Erythrocyte,39.77,32,78.35
CELL_56049,Fibroblast,42.18,7,57.87
CELL_13997,Neuron,47.7,12,53.46
CELL_45779,Stem Cell,96.78,17,64.55
CELL_47289,Neuron,41.36,50,93.15
CELL_64526,Myocyte,105.58,34,51.9
CELL_39348,Epithelial,65.64,25,95.72
CELL_19391,Leukocyte,96.11,31,50.72
CELL_42885,Neuron,58.51,35,99.22
CELL_72488,Neuron,80.07,46,79.19
CELL_24940,Fibroblast,18.7,16,83.87
CELL_58258,Leukocyte,74.64,27,93.69
CELL_62231,Neuron,71.74,31,74.11
CELL_44737,Neuron,89.0,36,75.48
CELL_91271,Epithelial,82.59,31,70.82
CELL_71856,Leukocyte,22.93,40,52.78
CELL_40384,Fibroblast,110.64,33,58.98
CELL_11355,Stem Cell,91.35,18,61.86
CELL_66109,Neuron,60.9,16,51.54
CELL_31437,Neuron,51.51,35,62.0
CELL_61902,Erythrocyte,58.68,31,57.54
CELL_41188,Myocyte,76.33,33,71.42
CELL_55399,Stem Cell,33.68,32,81.62
CELL_27369,Neuron,38.75,5,65.79
CELL_78794,Myocyte,72.05,8,61.98
CELL_96180,Myocyte,88.36,16,90.54
CELL_47067,Myocyte,68.52,14,88.24
CELL_89034,Fibroblast,67.48,19,63.33
CELL_36427,Myocyte,47.52,16,66.92
CELL_96695,Leukocyte,53.74,38,62.95
CELL_16071,Epithelial,46.63,14,92.19
CELL_43714,Stem Cell,95.48,36,53.44
CELL_73743,Neuron,86.88,41,64.45
CELL_39971,Neuron,7.57,18,50.6
CELL_74311,Myocyte,7.31,50,68.87
CELL_23663,Neuron,111.34,38,65.94
CELL_27481,Fibroblast,77.88,17,91.05
CELL_81966,Erythrocyte,104.56,8,50.64
CELL_47043,Myocyte,90.14,43,67.22
CELL_89617,Fibroblast,83.1,34,59.45
CELL_72038,Erythrocyte,33.62,25,85.04
CELL_24545,Myocyte,40.71,28,61.44
CELL_28953,Neuron,15.49,42,96.51
CELL_32550,Erythrocyte,99.37,23,54.24
CELL_99617,Epithelial,41.47,41,62.48
CELL_29464,Epithelial,7.38,27,89.52
CELL_64607,Leukocyte,84.49,25,81.24
CELL_24511,Neuron,40.2,47,80.82
CELL_69676,Myocyte,94.55,18,56.25
CELL_39824,Leukocyte,93.67,26,83.19
CELL_75344,Stem Cell,110.51,20,64.59
CELL_69360,Epithelial,111.47,40,57.89
CELL_35331,Leukocyte,11.77,9,95.77
CELL_53704,Erythrocyte,115.93,35,87.93
CELL_24914,Stem Cell,85.44,16,80.79
CELL_32501,Leukocyte,25.81,37,75.32
CELL_55947,Myocyte,84.7,47,62.85
CELL_36632,Erythrocyte,66.45,42,89.87
CELL_95156,Myocyte,22.66,41,70.05
CELL_63443,Myocyte,61.71,9,97.06
CELL_71867,Erythrocyte,32.16,27,65.44
CELL_70296,Erythrocyte,32.17,48,86.13
CELL_41375,Epithelial,74.54,16,73.91
CELL_12513,Erythrocyte,110.16,47,79.7
CELL_61341,Stem Cell,75.44,23,93.5
CELL_78282,Erythrocyte,12.55,47,80.66
CELL_54139,Epithelial,83.85,26,94.55
CELL_84552,Neuron,82.87,39,71.14
CELL_72704,Neuron,63.73,44,55.89
CELL_55807,Erythrocyte,44.62,34,87.42
CELL_54127,Erythrocyte,99.87,17,69.67
CELL_19842,Erythrocyte,32.44,30,74.19
CELL_45290,Neuron,8.59,22,83.76
CELL_16901,Myocyte,60.07,37,94.53
CELL_64260,Epithelial,49.96,28,82.7
CELL_80904,Myocyte,65.65,48,68.73
CELL_55232,Epithelial,92.48,23,73.62
CELL_92953,Leukocyte,95.15,16,75.63
CELL_63296,Myocyte,38.6,18,62.51
CELL_71352,Leukocyte,49.86,12,96.49
CELL_36012,Leukocyte,70.88,43,97.57
CELL_10976,Fibroblast,66.66,5,59.52
CELL_17875,Erythrocyte,100.99,15,98.49
CELL_71100,Epithelial,111.01,16,74.04
CELL_36056,Erythrocyte,82.05,23,84.75
CELL_67155,Erythrocyte,91.46,15,54.33
CELL_61112,Neuron,99.41,40,75.36
CELL_62736,Leukocyte,67.97,27,92.68
CELL_49257,Erythrocyte,6.71,46,85.43
CELL_61548,Fibroblast,20.08,8,64.62
CELL_80558,Neuron,18.51,30,84.85
CELL_82387,Neuron,58.16,17,97.55
CELL_54090,Myocyte,102.86,42,55.1
CELL_99222,Neuron,81.97,19,92.75
CELL_83170,Stem Cell,29.67,20,63.95
CELL_40479,Leukocyte,57.64,15,64.87
CELL_22290,Epithelial,78.52,50,73.36
CELL_54155,Neuron,86.57,34,72.02
CELL_61211,Neuron,112.18,7,95.99
CELL_59397,Fibroblast,69.94,12,86.49
CELL_53706,Fibroblast,94.67,36,58.92
CELL_82353,Stem Cell,54.23,46,84.91
CELL_83567,Erythrocyte,50.84,24,89.16
CELL_13973,Neuron,96.07,45,59.73
CELL_78913,Leukocyte,101.98,36,73.87
CELL_73254,Myocyte,22.29,50,53.37
CELL_72833,Epithelial,93.09,10,93.96
CELL_29791,Myocyte,50.64,12,72.68
