species,latitude,longitude,population,date,habitat
Trial that,78.465526,110.060872,44803,2020-06-17,Forest
Law list,-23.961911,-121.914961,65128,2025-07-14,Urban
Wonder board,29.447705,94.157656,18880,2016-12-22,Grassland
Far hand,17.014596,-178.706226,30341,2023-05-18,Freshwater
Option evening,44.59404,84.270671,81144,2017-12-20,Marine
Decision follow,-73.619348,6.366442,32467,2017-06-20,Urban
Record nearly,-38.932318,-117.47418,9580,2019-07-11,Urban
Activity city,86.936484,165.051743,42517,2026-01-01,Urban
Enough Mrs,25.67867,-9.846339,10502,2016-10-18,Forest
Such future,8.621504,45.821166,5874,2018-09-08,Grassland
Responsibility key,-78.928457,-36.822417,12823,2024-07-18,Grassland
Test land,19.576089,-100.259316,1051,2024-02-09,Grassland
Into message,-55.332662,26.966037,27705,2016-10-29,Tundra
Series expect,63.988746,-33.264185,22018,2024-06-03,Marine
Over surface,69.192861,-52.083412,12809,2019-07-27,Forest
Dark memory,88.574186,-58.493189,7673,2024-09-10,Freshwater
Environmental reality,31.240044,-11.759134,60969,2024-09-01,Urban
Of space,-7.062577,36.927352,18989,2018-02-15,Wetland
Any sound,65.498025,26.204006,11517,2020-02-02,Freshwater
Design trouble,11.095041,143.028365,99856,2021-01-18,Forest
Whatever federal,-64.593303,-27.005884,33968,2021-05-23,Freshwater
Price street,19.630655,-118.704477,45513,2017-10-14,Forest
Be structure,40.813491,-42.763793,73137,2017-02-28,Forest
Popular election,-36.22142,-66.533454,30481,2020-03-08,Forest
Economy American,80.189019,-44.309477,76352,2020-01-21,Tundra
Easy rate,-76.419379,55.560891,53817,2021-05-04,Freshwater
Listen explain,-76.643921,-110.727814,63776,2024-03-28,Urban
Drop operation,75.267038,85.75291,69826,2025-03-11,Freshwater
Dinner arm,58.630504,-18.502962,42558,2020-01-05,Tundra
Mrs miss,-84.810517,-136.465113,23404,2017-05-22,Marine
Agree more,-35.871905,-137.618549,10884,2023-05-09,Forest
Brother specific,74.551015,-105.061641,53685,2024-10-20,Urban
Point Congress,-58.00682,-63.373598,39906,2018-10-22,Marine
Final cost,35.54953,61.07859,68303,2025-01-18,Wetland
Yourself difference,34.765595,-159.793503,59703,2020-07-16,Grassland
Operation training,-23.643665,17.302137,22043,2025-03-18,Tundra
Your cover,23.161141,-51.7457,16685,2021-05-09,Desert
Nice rise,-66.84719,4.553784,56254,2020-06-30,Grassland
Voice brother,-51.525475,175.077822,13677,2019-05-25,Tundra
Trade future,76.589033,163.233222,750,2025-05-31,Freshwater
Include dark,7.875831,-60.839044,86383,2020-08-15,Grassland
Nature scene,-22.991745,-160.152848,91629,2024-04-21,Freshwater
Likely subject,-35.628129,22.384506,65393,2019-05-24,Grassland
Note federal,86.338807,123.467885,59863,2021-01-29,Grassland
Not wait,-22.990655,-82.053637,85775,2024-03-11,Marine
There lead,81.286785,-34.693291,32814,2017-07-15,Forest
Play low,85.627857,-166.833331,54890,2017-05-03,Freshwater
Until true,-44.756504,53.987429,5615,2021-05-14,Forest
Old sort,5.356601,-34.604569,28822,2026-04-14,Forest
Until school,-8.759818,18.079351,59601,2017-10-29,Tundra
House president,32.822349,-31.685708,35583,2018-10-30,Urban
Performance provide,-25.524346,-74.439603,67828,2022-11-30,Wetland
Occur must,70.262403,169.839174,67462,2025-03-21,Forest
Fill course,-39.174762,-13.63916,12384,2023-08-17,Freshwater
Number society,-85.928538,53.654959,97523,2022-05-04,Tundra
Computer line,-67.700415,-150.846868,26072,2023-02-24,Grassland
Turn his,1.655646,54.223797,21851,2019-10-24,Desert
May executive,-72.153104,-177.168063,210,2020-02-07,Wetland
Cut memory,26.974885,-91.383832,65360,2019-08-06,Freshwater
Politics glass,59.330498,1.972931,11924,2017-07-12,Forest
Republican across,11.169522,16.137643,754,2022-03-31,Wetland
Determine author,68.191407,-93.637146,36566,2017-01-09,Marine
Month five,31.459875,-139.300442,39095,2019-02-03,Grassland
Beyond language,59.811903,-17.753161,13897,2022-03-28,Wetland
Natural lawyer,-85.904173,-123.341125,14512,2020-05-03,Marine
Hour myself,75.691487,89.832836,47656,2017-11-23,Wetland
Almost authority,40.842388,112.439492,98436,2017-10-03,Forest
Yourself people,49.174723,-112.405244,31860,2023-02-06,Wetland
Seem meeting,37.619614,70.010909,72459,2017-08-26,Wetland
Difference room,-23.164622,-8.961122,39689,2017-05-29,Urban
Old company,-87.867704,-25.210395,29502,2024-07-27,Freshwater
Time technology,73.786165,16.716549,75774,2017-11-28,Forest
Around figure,87.024703,-102.97527,47779,2020-04-03,Grassland
We wall,-11.231153,-69.887093,21127,2022-10-24,Tundra
Cost paper,72.479764,37.0798,94825,2023-02-04,Desert
Behavior soon,-4.659522,126.709252,39599,2019-07-29,Tundra
Test American,19.820204,-67.358308,50771,2024-08-01,Tundra
Rule service,57.094673,-87.987206,11507,2023-08-05,Desert
Sense blue,-44.941441,-136.943799,77042,2025-04-30,Desert
Difficult tonight,42.035365,98.224752,23536,2022-04-25,Urban
Simply perhaps,-2.972726,-101.815676,15743,2019-02-22,Desert
South increase,-34.889087,-19.58808,93054,2018-04-23,Forest
Adult box,80.322681,115.973693,74523,2025-09-06,Wetland
Financial church,-6.395756,-24.520474,94699,2018-01-04,Wetland
Situation these,-0.828412,-171.001025,79603,2025-12-19,Grassland
Discussion store,-38.888784,-85.280987,32032,2024-04-20,Desert
Consumer visit,69.026439,-8.209203,23906,2024-03-25,Wetland
Avoid forget,-36.677837,168.712033,68942,2020-05-10,Urban
Deal crime,59.492377,-121.876571,23816,2017-01-17,Wetland
Them lead,-11.103291,165.865756,38779,2025-02-08,Desert
Change fire,-71.661955,-149.469739,99406,2016-09-16,Freshwater
