species,latitude,longitude,population,date,habitat
Movement whole,-69.726922,-69.767201,27173,2018-06-28,Tundra
Seven wait,15.48359,-91.386467,72009,2018-01-13,Wetland
Simply travel,81.220538,-158.00672,45699,2020-02-22,Tundra
Seven garden,9.716927,137.132713,51485,2019-12-29,Tundra
Argue above,62.84157,-80.195138,64982,2026-07-12,Tundra
Watch establish,49.213691,-62.546831,17471,2021-01-04,Desert
Other series,85.544514,156.63648,43427,2020-05-03,Desert
Event issue,-73.014125,166.200594,61645,2026-06-08,Forest
Social book,-0.350592,139.040482,99273,2019-01-09,Tundra
Goal case,11.596267,115.935972,63442,2023-07-25,Forest
Our middle,-65.692321,4.743513,20135,2026-05-16,Wetland
Now address,-30.113333,57.387861,32123,2024-07-18,Desert
Item include,-34.296599,-104.067507,62919,2020-07-04,Wetland
Identify act,-28.197687,-177.820578,55780,2025-05-08,Tundra
Act candidate,-13.145836,-101.639098,62884,2024-10-26,Wetland
City maybe,-62.785476,-84.554389,56865,2024-02-12,Freshwater
Raise world,26.264973,179.475779,84613,2025-02-04,Marine
Raise effect,10.482974,72.040195,86112,2020-01-12,Freshwater
Bad provide,-23.330336,-70.469333,88464,2019-01-28,Urban
Return travel,81.029028,-8.471951,46650,2021-04-16,Tundra
Deal sense,-7.312503,170.789287,29570,2021-12-18,Marine
Much worry,-78.153225,-79.658601,32741,2018-03-05,Marine
Course seat,10.315239,-138.741809,33489,2017-03-21,Wetland
Nor us,32.988456,46.860359,38976,2020-09-16,Urban
Chance instead,66.151491,124.199117,14061,2022-12-28,Marine
Usually become,-54.971322,-14.127032,84006,2020-07-28,Tundra
Design usually,12.379644,165.370325,27087,2025-01-19,Desert
Race open,2.839901,-57.969506,99743,2018-11-15,Marine
Argue camera,-53.527385,-115.181743,39184,2021-12-12,Desert
Fact people,75.337506,-85.339941,52840,2020-12-06,Forest
Save vote,-72.86373,6.037158,75000,2025-03-01,Wetland
Soon part,7.039304,-62.035598,40528,2017-11-29,Urban
Me able,-35.518532,129.356865,10798,2018-07-30,Marine
Participant experience,88.476223,96.115393,1043,2022-04-09,Tundra
Represent sing,85.640846,30.772669,14728,2023-05-28,Forest
Film model,-71.446078,-67.300889,30209,2024-08-31,Urban
Professional assume,48.952667,153.736694,12586,2024-04-12,Freshwater
Possible spring,29.954727,-101.113381,95119,2022-04-13,Freshwater
Court thought,-56.792164,165.542168,10947,2017-01-14,Tundra
Rest forget,57.349104,-78.764128,37920,2019-08-11,Wetland
Father compare,-26.345999,34.233911,72226,2023-09-25,Desert
Technology camera,8.751099,-167.886212,14686,2026-07-04,Urban
Such lead,39.403275,-48.062813,93511,2023-05-05,Urban
Could news,-42.698859,-140.955955,28743,2018-12-27,Wetland
Include because,71.868371,-15.326988,99978,2019-02-27,Forest
Agree indicate,23.524156,100.670319,4159,2021-05-02,Marine
Raise light,4.00102,3.513643,75472,2025-02-05,Urban
Month that,-5.645215,-177.391155,51821,2025-06-27,Urban
Country learn,60.426645,56.780859,93424,2018-10-07,Freshwater
Chair job,-10.105208,-69.330908,31749,2023-01-26,Urban
Tv vote,-21.350367,-34.53127,47761,2018-07-27,Marine
Far act,51.261764,35.581231,51313,2021-05-18,Tundra
To case,-64.685023,5.18685,22392,2025-12-19,Desert
Service before,78.045076,-133.564592,67875,2022-07-26,Desert
Film enter,9.441549,-165.63738,17615,2025-07-16,Desert
Senior forward,-43.459751,-21.641743,4116,2026-02-01,Marine
Similar use,52.622411,-94.087196,9414,2021-08-28,Freshwater
Physical imagine,-80.302201,-15.324072,24550,2026-07-17,Forest
Their sure,69.176893,172.224404,59280,2021-12-28,Grassland
Receive this,-54.041411,168.106836,84824,2021-07-16,Desert
Surface shake,75.964853,-20.908388,57236,2024-06-13,Wetland
Quite ten,83.646784,118.671195,89313,2023-05-06,Forest
Great three,-68.301309,113.868653,30695,2019-08-04,Freshwater
Training human,-80.129192,-137.881055,32564,2020-08-06,Marine
This else,-30.516899,133.504597,21085,2017-02-01,Marine
Take along,-38.009949,82.894952,42856,2020-09-22,Forest
Share administration,12.574555,-81.218946,20274,2022-11-12,Desert
Save remain,-85.164517,-82.174336,61678,2021-08-09,Wetland
Door education,46.195653,70.051238,79796,2020-03-25,Marine
Thus data,28.041815,-168.525237,34215,2021-08-19,Forest
Cause wish,46.851683,-105.162127,42785,2025-05-09,Grassland
For born,-63.260142,-81.802605,18339,2024-03-19,Wetland
Every want,74.662551,-3.758702,2832,2019-08-07,Urban
Treatment sort,-8.126976,-45.168265,45497,2022-01-27,Grassland
Data street,-44.204476,108.3612,68760,2017-08-02,Forest
Music scene,-27.475649,105.228693,73899,2026-04-16,Grassland
World particularly,-62.464708,157.968347,85347,2020-02-08,Freshwater
I record,23.748734,-113.051962,33572,2022-11-14,Desert
Space guess,-55.637696,-153.306477,74166,2025-03-06,Grassland
Many join,17.042922,-148.014512,33120,2018-06-30,Wetland
Want simple,62.713181,59.73652,50777,2021-02-08,Tundra
And meet,-54.499035,85.693327,77807,2017-05-24,Grassland
Social parent,54.329983,27.873607,59398,2020-03-20,Freshwater
Civil what,55.109342,175.084185,69132,2022-09-27,Urban
Bag drug,-20.31605,-29.214124,13645,2017-12-15,Desert
Service later,33.54064,-159.357445,97386,2019-01-02,Marine
Their person,-28.56993,155.507864,70532,2026-01-14,Desert
Well wide,-59.729648,171.30573,92166,2024-06-03,Forest
Raise partner,16.467291,-84.19957,74597,2019-07-11,Freshwater
Affect effort,-24.376461,-129.968696,45804,2017-04-08,Grassland
Around south,25.430877,-90.955921,23085,2022-01-21,Desert
Tell charge,-1.301042,-118.888756,25532,2016-11-09,Wetland
Shoulder often,71.706746,-16.012394,67422,2025-04-10,Forest
Early community,-20.675062,-78.890415,20715,2023-12-14,Freshwater
Identify market,-5.427848,48.864083,75149,2019-12-11,Wetland
Deep amount,-17.035539,-31.791885,83529,2022-08-30,Desert
Area even,-70.770103,4.95146,85599,2025-09-13,Urban
Herself main,75.995405,-137.520596,21386,2019-01-06,Urban
Small send,-25.881537,68.52158,92383,2026-01-03,Grassland
Difficult science,-48.007158,-17.449265,96912,2026-03-15,Freshwater
Human seek,43.404575,-25.207346,69045,2018-01-19,Marine
Establish by,12.692519,78.924847,26048,2026-05-26,Grassland
Accept what,58.05304,-179.777475,38822,2019-08-08,Tundra
Nice west,-12.433484,-155.564606,13059,2017-07-15,Desert
Moment another,-41.345992,-105.089897,78889,2018-03-02,Desert
Society bed,76.213453,-78.639486,26083,2026-02-21,Freshwater
Leader game,58.393899,-110.98978,83878,2018-06-21,Tundra
Make who,-41.682617,-54.499741,24054,2017-04-19,Urban
Goal sport,-6.829393,-80.781148,94200,2017-07-29,Marine
By rest,-34.269157,171.364944,5649,2019-06-24,Marine
Kid expert,20.098161,-82.541977,44244,2020-09-19,Desert
History technology,6.351764,15.885959,47451,2026-02-18,Grassland
Voice trip,19.964402,105.253315,38416,2022-09-08,Urban
Pick bill,75.63525,49.797992,416,2026-02-13,Wetland
Although occur,-76.538739,54.345012,2782,2021-05-07,Desert
Each series,-6.255287,164.645661,37093,2022-10-21,Desert
Ten for,-85.765627,133.395763,79320,2026-06-13,Grassland
Husband realize,-82.147513,88.966955,873,2022-08-07,Marine
Live goal,-36.944926,14.938198,86246,2021-05-06,Forest
Send find,6.083117,19.539327,44428,2016-11-22,Grassland
Who magazine,-50.133209,-127.833557,6419,2026-03-25,Desert
Third remain,-58.663816,-159.540305,35019,2024-10-20,Tundra
Because process,-82.721729,-176.248412,70489,2016-07-19,Forest
Air course,62.709654,-103.433878,9989,2020-04-19,Tundra
Major on,4.973922,-110.304835,5368,2018-03-09,Grassland
Politics visit,74.711239,-100.97645,79793,2025-07-19,Tundra
Air let,61.206479,63.267999,4885,2022-11-14,Desert
Say until,14.126309,-48.160412,34094,2024-11-05,Marine
Doctor camera,-5.225647,-15.82801,17054,2016-12-23,Forest
Generation station,-51.142651,159.777398,89788,2025-03-07,Forest
Tend yard,-34.380816,-25.925812,23196,2026-01-31,Forest
Deal however,-70.143974,-111.032887,1520,2025-08-28,Urban
Fact somebody,19.220722,-153.978243,14170,2021-08-02,Desert
Rest explain,59.627739,97.82962,29243,2024-06-18,Desert
North may,-46.868721,-152.052325,18371,2018-11-07,Freshwater
Plan middle,-54.307719,-3.976259,23250,2017-07-22,Forest
Rise fear,-0.915203,-69.482591,17324,2024-03-26,Tundra
Major lead,18.974118,119.795535,29705,2022-09-02,Marine
Keep voice,65.289102,122.702546,81588,2020-01-05,Forest
Against respond,-12.269414,-84.088911,29048,2020-01-09,Marine
Rise site,-28.202769,88.204389,14463,2016-12-17,Marine
Bag agree,-69.061619,144.252374,34328,2025-11-04,Urban
Back hear,60.725803,-17.049793,94293,2024-03-18,Freshwater
Story growth,-7.282298,173.007931,78027,2019-10-17,Desert
Official school,-71.527625,-168.784786,24648,2018-05-09,Grassland
Direction factor,-6.125354,143.865127,38336,2017-12-31,Desert
Person from,-29.893578,-3.390551,1426,2018-11-25,Desert
Vote ok,-63.947982,174.413831,92477,2022-04-08,Desert
Friend street,13.127458,177.302085,40122,2017-09-05,Desert
Or tax,9.198092,150.48354,31600,2022-12-11,Tundra
Dark enough,-16.574007,-41.541327,57578,2016-07-28,Freshwater
Director tax,86.934707,162.795288,13548,2018-08-26,Urban
Position newspaper,67.727082,78.407409,14673,2021-08-03,Tundra
Save or,15.493975,-94.123944,20190,2020-10-25,Desert
Early father,77.426489,-18.033704,64386,2016-07-22,Urban
Summer despite,-36.116459,120.269007,37867,2022-12-05,Urban
Election piece,21.535118,128.435074,90224,2023-08-16,Desert
My pressure,-11.007676,-8.679804,84256,2024-10-07,Wetland
Machine interesting,-75.511952,45.108413,40486,2021-07-12,Urban
Two century,6.382651,-1.710166,93890,2017-02-21,Tundra
Piece major,-87.08371,-130.95187,49399,2020-11-27,Marine
Painting second,3.654866,-128.057661,94501,2024-10-20,Wetland
Tell rock,7.280261,63.642549,22565,2025-12-30,Wetland
On war,-0.270754,150.350467,77269,2025-02-26,Grassland
Money eight,9.422847,65.354909,5645,2025-10-02,Grassland
Laugh machine,-34.644329,-30.146145,18897,2016-08-18,Tundra
Team carry,-58.459785,-147.626717,5030,2023-07-16,Marine
Score surface,-50.433652,-1.765503,24469,2025-03-22,Wetland
Our dark,-86.012,-59.010688,95976,2019-10-05,Freshwater
Eat will,18.330811,-136.84417,17081,2023-07-24,Forest
Data who,-20.801776,71.442236,17554,2023-08-19,Tundra
Job clearly,-50.516502,131.019858,12902,2017-05-04,Desert
Rest adult,-58.619026,-5.140538,70320,2026-04-21,Forest
Walk call,-37.167791,0.638877,59867,2021-11-23,Forest
Tonight someone,-89.638064,-76.690708,11477,2023-02-13,Marine
Finish now,10.461965,135.009585,5865,2019-05-03,Forest
Beyond buy,64.018718,155.771611,67031,2022-04-18,Desert
See because,42.72994,-22.923393,65335,2018-05-12,Marine
Later other,-18.14156,119.926816,5410,2018-02-23,Tundra
In easy,86.755964,-94.466345,47202,2022-11-17,Grassland
Hotel million,-32.385873,169.968204,11162,2022-09-03,Marine
Tonight several,-27.463164,-14.738173,67684,2025-05-10,Urban
Food pay,-77.837357,-79.826765,26380,2022-01-05,Desert
Trade tell,8.929302,-88.178949,18179,2021-11-14,Desert
Some same,-73.381124,-103.999997,23333,2025-10-21,Desert
Part writer,52.016376,-62.251867,3413,2023-07-30,Urban
Store last,-19.835859,-147.212496,26908,2017-11-20,Tundra
Could later,62.19711,144.774174,51718,2026-06-29,Forest
Forget attention,77.59376,-143.151974,42117,2020-05-19,Tundra
Small but,22.685396,27.935934,35058,2018-11-21,Forest
Light realize,56.692159,-43.458768,79683,2016-11-25,Marine
Type glass,23.118995,-135.962551,75873,2020-12-22,Wetland
Ask special,-52.543917,26.809887,17989,2018-07-11,Forest
Building send,17.193956,-4.706241,33711,2016-11-30,Desert
Threat sure,-23.582563,-48.091536,10843,2024-07-23,Marine
Minute collection,-69.616945,175.633549,52293,2020-11-03,Marine
Himself responsibility,50.422811,-83.40479,63373,2021-09-05,Tundra
International write,55.4984,-172.036957,31942,2017-05-10,Freshwater
Now structure,40.508044,-145.511463,86510,2019-09-21,Freshwater
Truth must,-1.147277,-79.826741,3365,2020-12-05,Wetland
Statement change,-18.196823,152.427155,80176,2026-07-02,Wetland
One artist,-63.760391,38.934904,64451,2018-01-07,Tundra
Support value,-58.885427,-114.526821,66375,2016-08-21,Marine
Water fire,-57.352819,-46.53937,43989,2024-11-07,Desert
Sea power,-52.274924,158.884335,42136,2022-02-07,Tundra
Girl bit,46.825219,-127.910508,83027,2018-05-15,Grassland
Maintain director,-68.442758,80.400367,77087,2022-10-22,Freshwater
Machine send,81.515754,47.555078,47629,2025-12-02,Wetland
Entire church,82.61014,-107.49411,31057,2024-01-13,Marine
Need pattern,-89.045503,140.452064,24994,2017-04-04,Urban
Color human,30.017879,63.54572,35028,2018-02-23,Desert
Ok truth,38.705223,-87.13409,91122,2023-10-06,Grassland
Night nothing,-2.977422,132.498621,30166,2021-12-26,Desert
Go business,60.870026,-62.251048,67848,2020-06-13,Grassland
Himself section,39.747959,85.288632,96365,2022-08-07,Forest
True what,-17.990943,52.38837,62724,2017-06-30,Freshwater
Sister difference,44.00998,-21.074283,33249,2018-02-09,Desert
Feeling goal,35.890917,22.153462,34592,2018-01-11,Desert
Politics card,27.883941,35.654014,59371,2017-08-06,Urban
Common become,2.981603,-145.632662,81822,2023-07-07,Freshwater
However if,16.68342,-30.204906,88399,2021-07-22,Wetland
He must,-16.677701,45.311322,88340,2022-12-08,Desert
Early meet,-64.693128,-107.839194,22351,2024-01-27,Marine
We professor,-75.645316,125.454101,349,2021-11-07,Tundra
Best carry,-38.04392,128.145325,19083,2019-02-22,Desert
Response machine,51.641777,-101.023133,15240,2022-07-12,Tundra
Local politics,88.770676,-66.658528,56568,2016-08-20,Grassland
Standard exactly,12.719742,-68.461973,94101,2024-12-12,Tundra
East contain,41.235671,43.132828,24941,2020-10-16,Marine
Education morning,6.8219,-60.283532,45637,2022-03-03,Grassland
Which choose,70.763167,-31.7692,68268,2026-04-10,Desert
Bad upon,22.973341,53.217204,97459,2018-08-08,Desert
Book her,-80.542794,49.542853,27740,2020-05-17,Freshwater
Drop whole,-58.147754,100.656344,66934,2020-04-17,Urban
Election couple,-33.511623,91.85145,839,2018-12-26,Freshwater
Sea song,61.269226,-43.044943,37565,2018-10-07,Tundra
Front edge,-36.727738,-80.110639,35285,2018-02-11,Grassland
Discussion particularly,37.206939,-83.037933,31398,2024-01-27,Marine
Trade door,38.895547,140.527466,19255,2023-12-04,Marine
Guess into,-5.919739,-132.74086,41800,2019-04-24,Grassland
Night would,-80.68777,140.785257,46629,2022-09-25,Grassland
Probably probably,31.743823,47.696043,61726,2024-01-26,Forest
Go source,49.951389,122.846915,16106,2018-04-29,Desert
Yourself few,6.458981,178.349292,39318,2024-01-11,Marine
Husband sell,58.413822,72.521479,81082,2026-02-09,Urban
Mr city,-88.660908,-102.685053,18011,2023-06-29,Desert
Boy thank,5.273648,76.811109,29391,2019-03-08,Marine
Position former,9.07851,-71.039353,41091,2019-02-10,Desert
By remember,-59.851759,150.979984,51481,2017-02-25,Tundra
Natural arrive,-33.388218,45.396968,22721,2018-07-08,Grassland
Discussion green,78.037835,22.0227,50052,2016-07-20,Grassland
Probably carry,87.131943,26.837482,46033,2022-10-08,Desert
National remember,74.321391,177.664859,45015,2018-06-02,Forest
Rule others,37.34241,143.107472,31115,2019-03-18,Urban
Suggest us,22.187322,70.260762,11070,2020-01-18,Marine
Gun card,73.740529,165.800141,18226,2019-05-24,Urban
Kid when,-47.494458,80.805596,93260,2019-09-08,Forest
Hope former,83.169081,34.645083,27367,2023-05-09,Freshwater
Ok again,80.223628,25.039522,18093,2022-09-11,Freshwater
