species,latitude,longitude,population,date,habitat
Who successful,1.995497,-143.331524,16315,2017-06-20,Forest
Discussion outside,61.233576,110.151753,72772,2019-01-23,Freshwater
Thank professor,5.538631,89.696823,4534,2023-09-08,Forest
Movie couple,65.800635,-6.441752,16073,2022-05-01,Urban
Customer me,61.263067,-134.461737,65135,2022-06-10,Tundra
List improve,50.614524,-116.336896,33540,2016-12-12,Desert
Hear message,85.534007,160.787227,43962,2020-07-04,Marine
Machine gas,21.42256,-149.867872,35905,2026-01-17,Freshwater
Light simply,-44.7843,96.24055,91612,2021-06-16,Desert
For age,-41.888234,-80.584,11451,2019-09-08,Forest
Long medical,-55.854796,11.021838,36453,2018-05-19,Freshwater
Later somebody,-1.988184,-116.064398,44005,2021-02-08,Marine
Important film,-19.037802,55.574217,52084,2022-09-23,Tundra
Candidate ok,57.137827,38.235145,46322,2025-08-07,Forest
Someone never,-62.310322,61.414716,91775,2024-02-03,Forest
Stand station,71.888747,-162.034294,31525,2024-06-03,Wetland
Exist generation,19.639743,155.875363,67935,2026-05-09,Wetland
Theory strong,-39.775275,-85.168542,54533,2017-03-15,Desert
Free answer,-25.945265,19.367735,1962,2017-04-06,Forest
Discussion loss,-11.69353,-107.795552,85848,2019-05-29,Wetland
Himself course,76.27977,-171.733674,61222,2026-04-17,Tundra
Bring second,21.824429,-91.879752,73870,2018-07-21,Freshwater
Machine south,-77.850343,17.311412,94560,2021-08-13,Wetland
Not seem,-26.388747,-142.766441,97960,2017-10-02,Desert
News how,20.035372,157.97536,35700,2026-04-08,Grassland
Environment recent,-20.347375,16.635231,60534,2016-09-12,Freshwater
Individual pass,-68.988589,-103.764096,67316,2025-06-27,Tundra
Focus man,86.2041,-19.215932,83400,2021-02-18,Forest
Understand agency,-25.673001,0.293911,70880,2024-02-06,Grassland
They economy,-0.688603,-168.590154,41253,2021-01-07,Marine
Produce billion,41.792898,140.763642,94250,2022-12-16,Marine
Under low,58.146069,5.326606,64978,2019-01-16,Grassland
Evidence may,17.561897,81.941025,17062,2023-10-15,Grassland
Get official,53.318033,169.108848,57305,2018-09-03,Freshwater
Trouble commercial,36.493616,-52.092276,31314,2023-02-15,Forest
Religious fast,44.19815,120.542994,3479,2024-01-26,Tundra
There officer,-20.912177,-107.36556,75419,2023-03-20,Freshwater
Assume rock,88.529338,68.766841,48269,2022-09-25,Urban
Why those,63.726352,-50.483092,94004,2022-01-24,Wetland
I cost,72.250383,-17.710619,66929,2017-07-29,Grassland
Security social,-85.216052,97.860049,91333,2024-12-09,Marine
Age under,48.404598,-114.380097,1557,2021-01-09,Forest
Citizen use,-24.404801,149.401924,41222,2022-02-14,Marine
Else several,41.502479,115.369729,85213,2022-07-13,Tundra
New cold,-67.461572,22.53705,75737,2017-03-06,Desert
Phone candidate,-27.078716,-85.292827,48570,2024-06-13,Marine
Identify well,86.495218,-109.691362,28178,2025-02-28,Wetland
Hour nature,-14.725184,-121.475021,21833,2024-01-30,Wetland
Raise door,47.437388,-24.61134,37826,2021-04-12,Freshwater
Little however,36.076589,-132.310876,22845,2020-09-25,Wetland
Front never,-42.425115,-66.078663,44093,2018-02-19,Marine
Carry simple,-74.873499,156.526646,50748,2024-11-07,Freshwater
Even practice,-66.294458,109.686932,81980,2025-02-13,Tundra
About body,17.738841,158.932767,46589,2018-02-12,Freshwater
Visit trial,-28.480212,-78.906018,66657,2018-08-06,Grassland
Walk someone,32.922483,85.265715,64261,2026-05-01,Freshwater
