species,latitude,longitude,population,date,habitat
Product smile,-84.760103,-156.543063,98743,2021-03-24,Freshwater
According good,-42.962736,-0.623724,14716,2017-09-13,Grassland
Run expert,-63.964571,-168.33608,62782,2021-10-12,Desert
Debate itself,5.868332,-143.79253,94784,2019-03-15,Urban
Prevent never,-16.305074,-149.868861,42652,2017-01-06,Grassland
Authority probably,-33.02397,133.560416,50191,2019-01-19,Freshwater
Support back,-40.507516,109.21202,71130,2021-10-08,Marine
Half cover,-8.765809,-92.878898,90947,2021-05-21,Forest
Father difficult,9.852758,56.313955,32929,2020-02-10,Urban
Science pay,-59.102038,156.341761,3104,2023-02-11,Grassland
Myself cause,-33.543699,153.781507,90726,2021-09-22,Wetland
Me like,-64.433799,-142.988492,9946,2022-02-05,Urban
Large actually,-19.524413,138.35717,64983,2019-11-13,Urban
New Mr,9.498759,146.771053,10290,2018-11-08,Marine
Mouth about,-43.718744,-133.747544,52790,2019-03-29,Grassland
Carry myself,50.951034,-176.197193,5471,2026-06-11,Freshwater
Outside tree,-50.385497,58.36475,13025,2024-12-14,Marine
Face evidence,-39.274493,81.691635,85887,2025-11-09,Tundra
Opportunity kitchen,52.479902,-37.339948,82058,2017-03-16,Desert
See election,28.076377,165.426282,5892,2022-05-11,Wetland
Everything at,20.459323,-32.808183,73514,2017-04-03,Marine
Friend week,-45.79948,58.795585,52228,2024-07-08,Urban
World free,-50.233463,-139.055999,81238,2022-07-08,Marine
Treat maybe,79.271131,-85.458533,46346,2017-01-10,Grassland
Couple director,23.369139,139.992537,34756,2021-01-26,Urban
Star among,-8.003532,94.947186,71842,2019-08-09,Urban
Local see,9.143518,20.075332,35445,2024-01-11,Desert
Soon behind,-27.401513,71.596747,18381,2022-11-14,Urban
Stop spring,26.674856,-166.408016,75570,2020-09-06,Desert
Group local,-53.823001,166.918302,55414,2016-12-23,Tundra
Claim body,-16.324166,-116.736053,75624,2017-05-05,Freshwater
Short class,-81.478429,123.671725,51875,2022-12-20,Forest
Green level,-17.058294,-97.615412,113,2018-06-01,Grassland
Baby imagine,-76.687716,-147.257935,45488,2017-11-20,Marine
Enough billion,-45.274671,-162.285938,2712,2020-08-08,Marine
