species,latitude,longitude,population,date,habitat
Not possible,51.430779,-121.911168,76378,2026-05-21,Desert
Administration reduce,-18.139195,-123.991291,27743,2021-01-14,Urban
Choose let,39.398367,-39.054028,78741,2019-10-06,Wetland
Cell purpose,46.152563,82.337052,40795,2023-05-18,Forest
East drop,-72.520866,107.538331,97548,2026-02-12,Forest
Research avoid,69.607517,-132.01074,79337,2024-01-09,Marine
Movie recent,21.539882,-45.828736,34325,2017-04-01,Marine
Expect computer,-63.458303,-91.391611,23218,2024-07-06,Desert
Almost father,-56.735216,35.657783,4183,2016-11-11,Wetland
You contain,30.289737,-156.588996,36206,2021-10-22,Tundra
Claim describe,14.053327,140.456741,19696,2019-06-02,Forest
Successful need,35.029988,136.620232,81649,2019-07-30,Tundra
Pass movement,-77.001406,72.352073,76499,2022-02-27,Forest
Brother amount,40.222926,129.445495,49497,2023-12-26,Freshwater
Professional friend,16.201473,172.8906,60910,2026-01-28,Wetland
Paper single,-63.489956,-0.577155,42006,2023-06-25,Desert
Let close,50.996664,19.85854,33992,2024-05-25,Freshwater
Third security,87.363872,24.75742,51341,2018-09-28,Tundra
Meeting size,4.499967,106.691649,6166,2026-03-09,Tundra
Court can,69.182419,11.13535,96937,2022-10-06,Desert
Land cell,-16.540168,91.798562,14950,2020-07-19,Grassland
Need old,55.999822,138.116123,30651,2019-03-30,Grassland
Team report,-56.742792,-90.785321,24306,2025-08-26,Urban
Thousand customer,-14.063868,-174.437397,11157,2019-01-25,Tundra
Assume reality,5.879955,-84.160666,83089,2018-09-28,Tundra
Never skin,72.595625,96.001035,90208,2017-08-30,Wetland
Approach brother,-28.936212,66.172451,80013,2018-11-26,Desert
Fight doctor,24.616716,-107.313347,18215,2019-10-21,Urban
Court itself,-67.825455,-166.738017,39256,2025-07-06,Freshwater
Program market,53.931439,-65.736706,2582,2021-04-16,Desert
Station same,-78.307322,167.618576,73126,2022-04-20,Urban
Conference reach,3.564268,-30.857653,9489,2017-09-14,Freshwater
Safe condition,-20.913655,-38.910474,17321,2018-03-14,Forest
Feeling air,-3.694484,-31.869132,75420,2020-08-09,Grassland
Could those,-52.502791,170.860152,76331,2017-09-04,Desert
Note across,58.410393,-20.302255,81545,2023-07-31,Freshwater
President my,52.304216,-111.370072,36992,2018-08-07,Wetland
Argue popular,-85.717155,-99.651831,20494,2022-03-28,Marine
For need,-2.403533,79.56122,15160,2017-09-17,Forest
Treatment bad,-22.596228,-144.567822,28788,2019-09-25,Forest
Not whom,-60.052325,-154.156897,43973,2022-06-06,Wetland
Answer close,-0.763028,-16.294419,3019,2023-05-20,Urban
Return good,-44.709002,18.961334,4750,2020-09-16,Freshwater
Treat ok,-65.069989,100.701895,80165,2022-10-17,Tundra
Instead side,14.498192,130.577763,36066,2023-11-17,Marine
School heavy,-9.715238,150.476174,86889,2018-08-14,Desert
Several beat,88.682955,-24.568351,83174,2019-03-20,Urban
True president,-69.054421,1.651813,99563,2023-08-24,Wetland
Series who,15.122988,-59.810691,99151,2025-11-21,Marine
Tend customer,72.837792,-19.514704,27784,2021-01-04,Wetland
Hour they,-77.351788,-105.576913,9327,2019-04-22,Urban
Question language,13.81307,22.884917,48222,2023-01-31,Grassland
Site might,-29.934606,-65.905281,21156,2025-12-31,Desert
Area chair,-84.618987,99.64462,78663,2023-11-12,Marine
Sister apply,-54.779273,84.839821,53067,2024-02-19,Wetland
Million pretty,-31.179975,-44.000302,76151,2023-04-03,Wetland
Station through,-83.915297,-94.53332,32179,2021-12-28,Urban
Happy political,-66.395155,78.021126,14392,2024-09-20,Tundra
Forward force,39.4978,-138.748437,23186,2024-01-10,Forest
Resource blood,10.114935,137.172512,77248,2025-05-25,Forest
American player,67.112828,58.758791,90221,2023-10-19,Forest
Need rise,-49.773941,23.953793,73256,2024-02-12,Tundra
Win return,-75.638891,134.164764,29889,2019-04-14,Forest
Say good,-69.672658,6.245161,82769,2016-07-30,Grassland
Anyone instead,13.208014,145.494702,56921,2021-08-28,Wetland
Concern employee,83.960297,63.498447,78427,2017-12-28,Marine
Prevent test,33.381133,80.704493,45599,2017-03-18,Desert
Record word,-37.101111,-57.612507,24326,2018-09-04,Wetland
He employee,60.592048,101.041024,69843,2022-09-23,Wetland
Effect owner,-68.491801,121.205165,46850,2021-01-10,Freshwater
Single property,1.422394,179.182055,69288,2023-11-13,Freshwater
Pick maybe,5.51787,-65.106053,88799,2023-04-08,Desert
Value right,61.403281,5.380807,1875,2025-11-30,Wetland
Hard cost,-15.312787,87.36147,46775,2019-08-18,Tundra
Character for,-82.318726,-5.150762,11157,2023-01-20,Grassland
Dinner deep,42.145263,-27.534147,37432,2020-04-18,Grassland
Matter prove,58.244348,-79.354222,12948,2023-05-17,Desert
From image,72.627824,-97.175674,21083,2017-05-08,Desert
Hand car,47.821024,132.369617,56486,2017-04-20,Desert
Girl much,-86.761103,-65.794267,46391,2019-03-07,Grassland
From treatment,-33.352083,-6.715666,2646,2024-12-17,Desert
Tax manage,-54.28262,111.399179,72445,2024-03-09,Wetland
Guy let,15.710974,-3.452434,55575,2016-10-31,Urban
Some war,-88.631471,55.81184,38854,2020-04-03,Wetland
Take administration,-16.076312,136.544736,15416,2026-07-10,Tundra
Member Mr,11.754987,-159.475456,20704,2025-05-26,Urban
As weight,71.0978,-39.839944,7038,2019-10-05,Marine
Painting force,-76.574158,-146.358239,82343,2018-05-30,Urban
Commercial spend,-72.628195,60.07825,12750,2018-09-10,Wetland
Show occur,57.823615,20.08708,9654,2017-04-01,Marine
Budget open,47.917101,77.57731,97665,2016-08-09,Freshwater
Sure lot,-85.760314,-43.542007,69709,2018-01-29,Tundra
Difference rise,11.138572,-140.400622,9995,2026-06-28,Grassland
Head suggest,-22.096067,-146.471913,40760,2021-10-20,Forest
Better Mrs,35.005588,6.413812,20537,2022-12-10,Grassland
Decision dream,84.396323,138.918279,30702,2020-03-19,Marine
Performance boy,-10.878147,84.574944,3662,2024-04-14,Urban
Shoulder appear,7.46092,-98.888515,87946,2017-10-17,Desert
East write,-29.996967,164.60316,30186,2020-06-04,Freshwater
Name approach,-49.194093,44.271001,51072,2018-01-07,Wetland
Mother difficult,32.186306,178.794451,46809,2019-10-27,Forest
Drop central,-36.34459,-78.911963,7363,2018-10-24,Marine
Less sing,-57.051808,-168.797767,51176,2026-01-21,Marine
Debate western,32.84613,144.573709,6098,2020-08-15,Freshwater
Must discover,57.828426,-80.141514,88838,2025-12-28,Wetland
Into believe,74.28222,-117.03722,84268,2023-07-24,Tundra
Ok lawyer,55.1367,-9.242647,46445,2025-07-01,Freshwater
Hour message,-3.539232,68.644497,58490,2022-10-16,Wetland
Admit capital,-39.827495,-149.323683,47062,2023-02-13,Wetland
Mrs near,-69.83907,128.259286,73934,2026-01-26,Forest
Hear actually,-10.994996,71.965862,33196,2020-10-21,Wetland
Show story,-27.54397,56.041224,73694,2020-03-08,Urban
Real involve,84.764198,-158.709482,89642,2022-01-23,Wetland
Letter mouth,-35.978183,17.191988,8350,2025-10-16,Grassland
List student,-36.602983,61.890252,37647,2019-08-05,Desert
Any through,85.268565,-157.350528,97388,2019-09-07,Tundra
Foreign law,-62.854671,-148.80649,73503,2017-10-10,Marine
Mission camera,82.867496,106.540621,53244,2020-06-27,Wetland
Stock learn,-78.423741,57.651586,4091,2026-01-24,Marine
Man where,-73.411645,-140.538022,14560,2020-06-24,Forest
Information low,53.197611,-57.255497,2439,2021-05-14,Wetland
Do ready,-42.106998,-173.713625,64264,2023-05-20,Freshwater
Agreement school,-41.125536,-23.753232,68613,2020-10-26,Tundra
Explain ask,79.434748,99.741289,6999,2016-07-20,Tundra
Affect plant,-30.29895,-41.490102,39998,2017-09-15,Tundra
