species,latitude,longitude,population,date,habitat
Situation possible,24.478658,-57.455683,40999,2018-10-27,Grassland
Spring often,-20.750509,164.726674,92144,2017-04-11,Marine
Information money,-0.098822,163.152342,19487,2024-02-26,Forest
Safe production,-3.749695,45.08036,40419,2017-04-29,Urban
Worry lay,-89.086086,-136.517049,90477,2021-10-25,Grassland
Much human,-8.914565,-72.799728,25643,2023-09-27,Grassland
Professor special,-24.7617,-103.145643,50993,2021-09-16,Grassland
Sound business,-1.642467,-172.553911,96756,2024-07-19,Marine
Red necessary,-42.740804,148.509636,22459,2022-01-10,Urban
Lead oil,74.089926,106.876653,69070,2022-03-03,Freshwater
Recent factor,-75.902545,-122.758242,39450,2019-02-06,Marine
Song school,29.67766,-48.548743,89359,2020-07-24,Desert
More glass,-88.331971,160.51364,91340,2018-10-06,Freshwater
Start record,-55.779772,95.275537,91641,2017-09-15,Urban
Early director,-42.174109,173.49366,51069,2023-04-01,Urban
Put herself,-33.910431,-119.790274,59618,2022-04-09,Freshwater
Stop edge,-80.899308,52.874337,51777,2017-09-20,Marine
Necessary theory,-74.653913,-84.927545,84404,2017-03-21,Urban
Past way,20.891859,110.342238,29404,2021-01-04,Forest
Administration grow,-18.416143,-136.26685,42406,2020-08-25,Grassland
Concern white,51.437899,81.504961,38446,2022-03-10,Grassland
Arm week,74.994993,-1.830188,87126,2020-03-20,Forest
Popular traditional,59.75635,-42.768943,11752,2019-01-31,Marine
Evening group,81.018829,132.789354,24983,2022-06-11,Urban
Cold section,-23.197507,57.872391,59646,2025-09-12,Urban
Argue enjoy,-76.936887,-158.054345,50369,2016-10-24,Wetland
Science social,-35.501361,-34.224537,51748,2019-01-26,Wetland
Answer factor,21.214249,-165.304676,83665,2017-12-12,Freshwater
President certainly,82.982636,127.156495,33338,2020-06-08,Freshwater
Group somebody,-65.687534,35.706628,95431,2022-10-30,Forest
Even because,-40.619589,98.099126,25807,2021-09-25,Freshwater
Believe crime,65.31565,-65.071116,59952,2022-04-24,Desert
Only executive,-40.024016,-102.700723,62046,2022-02-13,Freshwater
Course bad,61.858052,-77.673991,11946,2022-07-27,Desert
Gun important,-59.082936,83.107697,99026,2020-09-01,Desert
Hope movie,3.454908,140.598517,73590,2023-11-22,Freshwater
Sense certain,88.735063,56.337775,14085,2022-03-13,Tundra
Report success,-61.238949,138.602015,56625,2026-01-16,Forest
Suddenly generation,25.688284,-34.806796,63509,2019-09-19,Tundra
Morning little,-51.582647,-81.827478,53456,2024-08-14,Wetland
Law activity,57.446581,-169.35866,35673,2022-06-05,Grassland
Could subject,-22.270186,121.833084,60398,2025-05-26,Urban
Summer say,-31.251592,-89.971604,32476,2022-11-04,Wetland
Real leave,-17.915997,58.40466,70611,2022-07-28,Freshwater
Glass plan,18.385251,58.465005,96711,2023-12-10,Tundra
Compare individual,22.462228,-33.446948,54064,2022-04-24,Urban
Kid easy,-41.465822,151.106382,99627,2021-07-18,Urban
Understand look,-85.223458,-123.027273,80956,2018-07-13,Marine
Join keep,-29.157579,-178.572718,57826,2020-01-29,Tundra
Main include,-35.051103,-8.163366,8202,2026-02-25,Urban
Face dog,72.390826,-70.76368,61923,2026-07-17,Tundra
Any boy,-80.605758,-7.892732,82679,2020-09-27,Grassland
Discuss woman,55.446254,-146.351325,49624,2025-05-24,Wetland
Week exactly,-72.202583,163.366266,31583,2018-04-11,Wetland
Billion minute,-9.540679,-55.79251,59127,2016-08-06,Desert
