species,latitude,longitude,population,date,habitat
Political finish,67.981446,103.334949,31745,2023-01-08,Desert
Score smile,-32.147244,73.799712,42397,2017-06-20,Wetland
Build best,-53.789512,59.507437,976,2023-06-03,Grassland
Deep population,58.555081,38.972445,83210,2017-10-11,Urban
At involve,82.599754,57.255176,59711,2023-03-16,Marine
Him everybody,-16.378548,-138.516006,6210,2025-10-23,Tundra
Everybody man,53.252035,-65.185087,18333,2018-04-21,Wetland
North how,11.734104,-38.047323,12999,2017-08-27,Desert
Compare every,32.647182,33.592375,59884,2018-04-26,Desert
See response,52.60671,96.131412,31381,2025-06-27,Grassland
Every lay,13.94292,-126.202777,56513,2025-07-28,Marine
Number physical,24.005879,36.329406,64055,2024-06-20,Marine
Development interview,-5.996447,-113.786479,99590,2021-09-04,Wetland
Score market,-18.545557,127.947292,5178,2022-11-21,Wetland
Behind media,48.609729,151.464668,50579,2020-10-17,Forest
Produce Mrs,66.851186,-117.226106,86527,2016-10-06,Tundra
Group region,-83.561362,-92.470889,23502,2017-01-17,Forest
Argue wait,60.776937,172.145012,48885,2020-12-03,Tundra
News build,-26.543962,109.156226,69069,2024-11-22,Freshwater
Ever out,-8.896817,105.764481,36787,2018-01-24,Urban
Catch size,5.615401,-170.559464,97140,2026-04-04,Marine
Provide indicate,-11.150686,-93.309058,24241,2024-01-06,Urban
Participant away,-50.144338,169.065676,75442,2017-08-19,Urban
Rich west,43.556438,-36.971221,88354,2018-04-17,Grassland
Usually indeed,34.809692,-75.777155,77401,2025-07-11,Desert
Explain plan,-74.921414,24.999975,58893,2022-10-31,Freshwater
Father development,47.739981,-160.491646,77674,2016-09-12,Forest
Prove yard,-53.893432,23.781761,40593,2016-12-17,Grassland
Summer million,-1.331777,-93.594903,51610,2022-02-28,Freshwater
Individual case,37.693962,69.207502,11404,2021-02-14,Tundra
Voice so,82.18517,-116.303543,23130,2019-08-11,Marine
Song attack,52.799586,11.49062,40123,2023-04-19,Urban
Something treatment,9.25742,-154.579463,57722,2017-04-16,Desert
Hear power,-75.508851,109.394183,32986,2024-03-03,Marine
Federal mean,87.437125,-75.103723,60,2020-04-08,Urban
End never,-46.896707,-157.010978,40499,2021-07-25,Marine
Beautiful state,-75.337417,100.325028,94432,2018-05-29,Marine
Notice six,-57.505471,73.171711,97262,2023-10-21,Grassland
Law between,-70.391884,46.444491,8143,2018-12-23,Grassland
Run big,-35.677232,-148.385651,80873,2025-08-08,Marine
Send detail,47.814653,86.536789,54775,2017-12-11,Forest
Better protect,-68.119558,-100.799885,53577,2018-08-19,Tundra
Training present,-24.616546,-98.590642,75413,2026-01-24,Marine
Than art,27.374623,43.698708,35291,2024-04-23,Marine
Happen increase,-5.580847,164.477128,9405,2025-07-22,Tundra
Have career,-82.190513,-157.976566,68528,2017-11-05,Grassland
Son mouth,-63.140691,-172.899298,38099,2016-11-05,Grassland
Trial best,-19.504571,7.847569,6495,2020-10-25,Freshwater
Deal leader,25.385695,-31.172622,84966,2018-09-09,Tundra
Direction phone,47.34863,66.708461,1839,2017-07-23,Wetland
Eye difficult,-36.211232,-162.379298,88217,2017-07-22,Tundra
Past name,-15.223046,83.298926,37285,2023-09-25,Marine
Couple continue,25.75641,-90.380604,98316,2019-02-28,Forest
Course so,-19.254668,-173.171883,80153,2026-06-09,Forest
Organization public,-83.45878,44.535621,54181,2017-09-03,Forest
Wear music,-23.515331,-40.012818,52523,2018-07-22,Wetland
Determine few,15.141957,-158.663923,91131,2018-10-07,Marine
Until now,59.905156,70.237773,27130,2018-09-15,Freshwater
Computer sound,17.903217,-63.400263,40312,2022-02-04,Grassland
Wind could,-45.15313,-19.084066,28999,2017-10-13,Urban
Top guess,-54.25625,-8.545798,78886,2020-06-28,Freshwater
There certain,-47.950235,69.026872,83950,2026-01-12,Freshwater
Shoulder idea,27.546134,119.064058,32307,2018-10-31,Forest
Field over,-35.074803,-15.710565,35444,2021-12-27,Tundra
Herself woman,78.388855,-126.004545,26437,2018-11-30,Marine
Social raise,51.802607,158.247339,60512,2019-07-19,Wetland
Across TV,1.24464,-118.764717,98434,2017-01-18,Freshwater
Bad feeling,15.17478,-7.759786,44032,2018-02-03,Urban
Language region,86.20216,176.820788,3133,2024-11-04,Freshwater
During as,22.223862,117.939288,48656,2022-05-05,Freshwater
Individual ball,-1.504922,161.285029,75031,2018-10-26,Urban
Improve range,69.902571,-19.610558,95176,2026-04-30,Forest
According food,-40.819251,105.293127,59893,2023-07-29,Forest
Several difference,38.837991,77.407075,16637,2019-05-09,Urban
Hear science,-65.538933,6.680697,42024,2023-06-10,Forest
School including,-27.903165,-32.058927,33959,2016-11-20,Desert
Information build,8.889639,-176.191443,69347,2016-10-07,Wetland
Politics deal,-71.445069,-126.545125,65973,2023-06-27,Wetland
To deep,-23.072152,72.731983,76521,2020-06-24,Forest
Worker game,88.988199,-76.277111,7184,2022-05-13,Wetland
Word actually,-25.501387,78.038505,16828,2017-03-11,Forest
Dinner and,57.958561,93.215038,86213,2025-03-16,Tundra
Goal its,-45.79175,-15.139958,86888,2017-02-07,Freshwater
Strong leave,-42.690221,130.452584,57051,2018-08-31,Wetland
Buy sure,35.241255,138.573415,15783,2026-03-24,Wetland
Treatment research,-58.512705,-5.325986,52456,2023-07-29,Freshwater
Team move,2.541579,3.459446,68020,2019-09-07,Wetland
I gas,-26.543641,-166.858733,3962,2024-02-06,Wetland
Create participant,-52.209241,108.295897,9397,2023-02-23,Forest
Manage open,70.430535,111.530287,68,2024-09-27,Grassland
Simple hundred,-84.260006,5.599426,72953,2020-08-09,Forest
Face dinner,42.452065,-3.778157,74612,2017-08-15,Freshwater
Off speech,-88.5588,46.234825,65412,2020-05-06,Desert
Chance our,12.342695,-59.278249,3290,2025-07-05,Desert
International probably,-75.93824,-17.139009,29888,2025-10-17,Marine
Whatever game,5.773886,44.258765,59722,2017-01-16,Urban
And concern,68.957422,-66.501646,75075,2022-10-09,Wetland
Particularly old,-8.849042,117.935591,29673,2019-07-22,Freshwater
Wind pull,-40.650513,-28.560146,70191,2026-04-23,Marine
Able I,87.522506,53.919683,43840,2018-01-21,Wetland
Money PM,18.522433,89.809804,22220,2020-01-20,Wetland
Early sign,-14.191415,-62.097041,83823,2024-03-28,Wetland
For hold,-52.694769,-37.570378,97247,2026-07-05,Desert
Benefit avoid,89.960904,151.348213,73055,2021-01-13,Wetland
Mr face,-39.61243,6.116241,32901,2025-11-30,Tundra
College imagine,30.739669,39.955144,13938,2022-04-16,Desert
Tend skin,19.4168,178.511522,10084,2021-01-18,Urban
Still mind,-18.290578,-48.18829,14934,2016-11-20,Grassland
Theory role,-70.081899,-118.81306,76629,2017-05-09,Marine
Door fund,67.684022,104.675153,18059,2019-05-09,Freshwater
That strong,7.357957,101.828453,91620,2024-11-25,Tundra
Military listen,-2.505102,-174.441819,69738,2020-06-09,Urban
College figure,-47.410414,-51.3678,42414,2025-05-05,Urban
Much argue,-31.680988,-160.13514,23836,2020-03-17,Tundra
