species,latitude,longitude,population,date,habitat
Military political,-42.171324,-160.588374,10612,2019-12-09,Freshwater
Despite information,-73.712755,-40.887292,9246,2020-09-27,Desert
Late less,-46.910639,178.44128,47217,2019-06-28,Wetland
Early space,-37.986063,-151.000634,35791,2023-09-01,Desert
Party girl,1.948179,-6.381282,6309,2020-10-07,Urban
Democratic audience,-10.138469,-145.283546,90149,2022-01-19,Marine
Once meet,-25.262766,18.537956,51501,2018-12-29,Marine
Month movement,-62.169865,-41.972757,16577,2022-09-22,Desert
Force my,8.754227,151.999359,75233,2020-10-07,Marine
World since,-25.014682,-163.139923,61599,2023-07-11,Marine
Even operation,18.034972,-32.23661,23139,2019-04-22,Urban
When big,64.209242,-75.895993,50120,2023-07-21,Wetland
Consumer former,81.144734,-22.086466,54959,2018-08-25,Forest
Computer local,0.725415,35.083111,1966,2022-05-01,Wetland
Maybe most,4.346453,102.752323,77490,2018-05-11,Marine
Set able,-37.403096,106.884895,77774,2018-01-22,Wetland
Strategy Mr,-43.092016,160.309457,39812,2021-10-08,Marine
Require clear,53.379816,135.740222,93953,2018-02-12,Freshwater
Business third,-70.472611,-169.962979,30841,2021-09-07,Desert
Quite pressure,43.319799,152.898091,61306,2023-12-10,Urban
Spring major,59.741484,119.985812,34732,2016-08-16,Freshwater
Hand former,81.298911,-2.916634,5200,2016-10-30,Desert
Morning real,-3.855278,-50.685145,73982,2018-05-05,Forest
Sound threat,-38.858101,92.605323,51103,2020-02-14,Urban
Somebody radio,61.804035,-117.917779,53777,2019-10-11,Grassland
Voice feeling,23.496395,131.815221,5997,2021-05-02,Tundra
Improve reach,22.771918,4.385987,80911,2020-06-09,Forest
Movie air,45.559994,24.726367,46737,2023-09-02,Tundra
Land into,-62.574475,137.047713,67345,2023-09-02,Urban
Good article,65.493646,-137.586738,86636,2019-06-30,Wetland
Human success,-7.355341,81.373926,66423,2025-12-14,Forest
Against edge,58.353903,-115.436628,84170,2020-12-26,Tundra
Officer huge,-41.535109,-58.397889,49252,2023-07-28,Grassland
Commercial any,-19.005832,-23.558986,32495,2022-05-07,Grassland
Step entire,55.033842,108.008467,39863,2025-03-22,Desert
Call ball,-53.903434,-97.620437,12633,2021-02-23,Desert
He under,14.235675,63.160362,70655,2018-10-10,Forest
Have according,17.125757,18.996224,28701,2026-04-03,Wetland
Care range,4.118549,84.049794,2713,2023-03-15,Grassland
Tend draw,-59.820153,-120.569413,51521,2024-04-24,Marine
Window condition,-23.629905,-177.759506,99077,2023-11-14,Desert
