species,latitude,longitude,population,date,habitat
Office black,-56.780018,-133.703683,56407,2026-04-02,Freshwater
Project ok,40.938865,-141.25483,17644,2024-04-01,Forest
People floor,-64.22937,35.592297,97206,2019-02-27,Freshwater
Community town,17.0525,-130.27306,11724,2023-02-20,Desert
Sure a,-89.341031,-84.412946,59942,2022-07-31,Desert
Short while,85.032856,-160.55757,92586,2017-06-14,Urban
Kitchen along,10.004627,125.446426,87202,2017-08-08,Tundra
Skill often,9.92372,97.540059,35264,2021-02-23,Tundra
Loss week,-2.087376,48.306842,31230,2025-03-03,Urban
A nice,44.087866,116.568136,25873,2020-08-01,Urban
Need impact,27.625542,108.637194,79564,2019-11-05,Forest
Wide let,24.239772,121.768925,10286,2023-06-27,Wetland
Stand education,-68.095017,142.310738,51262,2022-04-16,Marine
Whom growth,-54.815581,66.608899,98044,2022-07-15,Tundra
Situation among,12.585647,138.611773,89761,2017-01-31,Wetland
Huge pattern,10.521474,-134.732721,20932,2017-07-11,Forest
Field situation,-9.228357,70.904451,16916,2021-01-18,Desert
Field certainly,-76.070633,-170.478158,31804,2021-07-22,Freshwater
Though suffer,68.00873,140.275296,94049,2017-02-28,Wetland
Draw east,-61.72307,92.12645,90588,2025-01-29,Grassland
Eat conference,55.17892,24.256408,3476,2025-04-09,Grassland
Avoid yet,-54.499986,140.703056,76725,2018-12-28,Forest
Really responsibility,75.583816,-105.223957,68742,2017-11-17,Marine
Within cultural,45.015307,104.921614,32889,2017-01-20,Tundra
Mr movement,-83.089586,109.158201,23015,2022-02-23,Freshwater
Hospital adult,13.767511,40.911841,17179,2018-08-09,Grassland
Total sometimes,79.333686,108.173007,61383,2018-11-29,Marine
Human difference,37.07363,-117.805241,65349,2025-03-22,Desert
Left point,-46.183889,35.767451,32173,2018-08-29,Desert
Several top,-66.438306,82.571543,23383,2022-11-24,Urban
Western help,-52.278488,89.592339,21104,2025-03-18,Marine
Police series,-53.961926,44.847179,95957,2020-06-03,Grassland
Positive explain,-48.18303,10.929038,78050,2021-12-21,Marine
Start debate,-67.647579,-4.095273,70124,2016-09-07,Forest
Front push,-88.074938,117.075057,82099,2021-04-08,Marine
Some away,50.655728,13.813834,57716,2019-02-09,Freshwater
Art college,36.226702,-109.435972,59442,2022-02-15,Tundra
Policy she,-66.719481,71.586833,70853,2017-03-22,Forest
News girl,-54.31251,-61.253412,42573,2020-04-05,Desert
Husband home,17.922475,-67.63893,83830,2018-10-13,Desert
Movie through,45.657419,-5.906115,83617,2023-09-10,Urban
Learn serve,56.267704,119.070002,98766,2022-09-22,Desert
No matter,22.748465,-103.773505,58405,2024-10-26,Urban
Magazine large,-12.000093,164.429809,98137,2018-12-24,Desert
Box meet,-8.382044,-125.607189,77528,2025-03-12,Marine
Call attack,-65.538994,101.831783,19489,2019-02-19,Tundra
Better sort,-6.050935,55.394429,98337,2024-01-23,Marine
Health site,88.417125,-0.046782,9359,2018-11-14,Grassland
Treat thing,82.588284,34.967959,18482,2020-09-06,Wetland
Her American,-55.188494,-102.38348,33581,2021-11-15,Forest
Lawyer more,1.190139,-134.080138,65710,2019-02-11,Tundra
Government which,-82.647558,130.245007,38129,2025-02-17,Grassland
Hard life,-86.410666,116.180934,44747,2025-07-09,Desert
Not generation,-87.381388,-83.831968,24458,2024-01-04,Wetland
Actually keep,-64.504779,-9.188125,21085,2017-01-29,Marine
True rather,67.406203,-6.740671,71935,2021-09-19,Wetland
Treat card,-16.82859,53.920586,33651,2026-06-30,Desert
They conference,74.437574,-122.678991,51265,2018-08-11,Marine
Write line,-41.494833,-125.972617,14263,2021-01-07,Desert
Watch although,46.486681,143.4991,99418,2023-02-15,Urban
Identify accept,69.615032,-125.579753,77264,2024-01-13,Marine
Institution new,-11.38123,3.751825,3742,2024-02-28,Forest
West yet,-43.580893,4.502389,5966,2016-12-27,Forest
Require election,36.998892,1.35889,51623,2016-09-05,Marine
Begin charge,-39.275409,-43.708862,94954,2020-01-10,Wetland
Beautiful where,-6.155952,39.502494,32582,2020-01-15,Grassland
Provide writer,-68.080895,7.555196,40609,2024-02-06,Urban
Manage last,50.490956,-32.524726,43988,2024-05-27,Marine
Want charge,-0.115102,-63.293879,1768,2023-08-25,Marine
Special little,52.781033,-54.855845,42517,2021-02-23,Tundra
Character garden,87.317626,-93.205549,78607,2021-12-16,Freshwater
Base often,66.221233,-139.33107,7528,2026-05-30,Desert
Whole notice,-14.840534,-126.591035,38519,2022-02-03,Grassland
Give student,-9.486774,71.757182,96345,2024-04-10,Wetland
Rule land,66.009254,0.054239,69325,2020-03-08,Forest
Enough must,-44.626377,85.070511,99441,2026-03-01,Freshwater
Western sell,74.85347,-101.349058,29738,2025-05-22,Tundra
Wrong oil,68.673832,-85.26551,66821,2017-08-18,Marine
Mouth nothing,-89.756913,-63.303433,89348,2022-10-11,Wetland
With today,16.197139,144.532272,85556,2016-12-08,Forest
Enter TV,-12.152352,178.818285,63760,2020-04-06,Freshwater
Your fast,-16.111725,-13.949669,56679,2018-05-05,Grassland
Perhaps receive,-62.979227,-154.316653,94378,2018-04-10,Freshwater
Majority edge,-71.349977,-175.728361,61526,2019-01-17,Grassland
Public turn,-38.090326,-67.159625,22590,2023-03-23,Desert
Mouth exactly,41.729323,85.320644,45311,2020-11-24,Forest
Ball catch,0.629166,14.718527,87342,2021-08-12,Forest
Candidate plan,-42.904845,-47.524072,64711,2020-04-15,Forest
Serve some,45.620508,-119.778349,77245,2024-05-22,Forest
Central human,-50.532179,146.469899,87938,2022-12-16,Freshwater
Discussion effect,-54.957613,-122.15255,6884,2020-04-28,Marine
Anyone into,50.966046,113.578483,73777,2026-02-27,Wetland
Which reason,77.502717,88.745361,38369,2024-07-17,Grassland
Instead say,-16.332662,9.342705,39381,2019-03-01,Urban
Than watch,-81.114008,132.044113,50556,2019-08-16,Marine
System discuss,-16.972554,-109.441254,88813,2025-06-04,Marine
Say agree,-24.935809,-119.101068,97435,2020-03-29,Desert
Into woman,-34.056059,38.934833,78381,2018-04-04,Marine
Voice civil,25.960572,63.580732,93172,2017-03-01,Wetland
