species,latitude,longitude,population,date,habitat
Step age,-46.506404,-78.815047,37335,2026-04-13,Desert
Poor huge,54.542283,-91.981962,20964,2019-12-31,Urban
Human indicate,13.122778,-106.698956,8282,2023-05-25,Marine
Six investment,-55.034422,92.993332,42171,2022-03-21,Wetland
Debate growth,-86.174069,31.3206,7154,2017-11-14,Forest
Nice act,26.368274,167.226228,18124,2017-10-17,Forest
Indeed include,79.434377,-142.538924,86468,2017-09-25,Desert
Bring somebody,-60.708789,-94.494972,96256,2023-09-03,Wetland
Doctor factor,84.922526,-127.770655,524,2024-07-12,Freshwater
Whose list,-5.207477,-96.338067,74002,2017-04-29,Freshwater
Attention force,-71.223837,-64.482758,6181,2021-09-19,Forest
Strategy general,10.368202,82.878194,14979,2022-05-18,Forest
Close event,-22.898734,99.429218,55354,2024-11-24,Marine
National alone,44.492317,126.776812,16720,2021-10-09,Wetland
Reveal present,82.849038,58.070439,55383,2018-03-15,Desert
Create marriage,-67.371987,44.243004,32533,2023-02-10,Forest
Attention into,75.811493,36.341772,22898,2017-10-17,Desert
Game receive,-21.053103,110.94198,70004,2024-08-17,Marine
Local follow,60.421106,-106.87789,26102,2021-12-23,Desert
Create sure,22.994759,91.438023,97063,2019-06-01,Desert
Series beyond,65.788952,175.154385,43929,2025-11-02,Marine
Local trip,-86.871777,-75.102061,83795,2019-12-02,Urban
Thus south,65.676528,-50.105592,37431,2018-09-21,Urban
Trial trouble,-25.415492,25.431399,34996,2026-06-04,Wetland
Minute drug,77.404449,-34.852674,2914,2025-06-26,Urban
Successful admit,76.34771,-13.247465,91259,2021-09-13,Tundra
About success,34.557444,-9.173719,29442,2016-08-20,Marine
Discover knowledge,-77.693455,147.08866,93705,2024-04-16,Wetland
Economy partner,21.01272,-55.322466,68630,2019-03-08,Urban
Administration where,-45.482926,28.024457,23424,2022-11-03,Grassland
Fire in,60.016928,137.974096,1885,2016-12-25,Marine
National would,61.478671,-98.437508,8390,2019-08-27,Wetland
Safe you,28.840529,43.415881,62309,2022-07-10,Marine
Any control,-1.412281,-67.169893,41811,2023-07-28,Freshwater
Likely rock,-27.824679,7.627953,38069,2020-02-08,Desert
Middle might,-25.531904,-90.489254,20291,2023-11-28,Urban
Several decade,15.064694,-170.5691,60830,2020-12-11,Freshwater
What able,-48.631732,-152.011666,73298,2017-06-09,Tundra
Kind level,77.45529,-155.6422,66273,2024-09-03,Forest
Deep less,-57.922891,-171.514144,80402,2020-05-09,Tundra
Relate decide,-73.722989,118.141124,7523,2023-08-23,Wetland
Food personal,-0.066937,74.887755,68372,2018-12-21,Urban
Consumer Democrat,24.008796,171.260061,56138,2022-02-16,Freshwater
Common there,3.777885,-157.901366,75543,2023-07-17,Freshwater
Congress professor,88.995917,89.309574,47099,2022-12-03,Urban
Meet if,-11.687767,156.625514,26668,2020-10-08,Wetland
Think international,-22.182777,-28.514686,66941,2023-08-30,Grassland
Art necessary,63.98482,42.933971,64762,2021-01-15,Desert
Father know,-26.755773,-163.74179,89262,2019-06-11,Marine
Forget next,29.684754,-29.982131,6768,2019-01-24,Marine
While past,-19.28162,8.079573,33450,2018-03-06,Grassland
Owner process,42.457051,85.061494,24153,2026-07-06,Urban
Field figure,-23.305262,-26.95947,31898,2019-10-02,Desert
Technology professor,79.021828,0.289743,79501,2025-02-07,Wetland
Level whose,88.338786,50.279955,11777,2021-12-02,Tundra
Until laugh,19.883176,66.876374,13969,2017-11-13,Marine
Look stand,-16.126108,-14.343996,90017,2020-04-10,Marine
Investment visit,72.987451,-48.335769,69578,2022-04-30,Wetland
Sport for,8.381825,175.360605,52094,2023-06-09,Wetland
Pressure whatever,-79.605016,-69.067542,94542,2025-10-19,Grassland
Minute plan,-88.782659,-120.076178,28277,2023-08-24,Urban
Talk between,46.804969,134.785671,41900,2019-06-03,Marine
Note sometimes,-56.710001,-111.88319,79212,2024-06-07,Forest
Effort condition,-65.169098,69.02185,59405,2019-12-06,Grassland
Each coach,-68.330642,-40.053548,86630,2018-10-26,Wetland
Listen far,-28.228832,-165.727029,79130,2020-04-09,Forest
Later bill,74.73587,-74.428951,73507,2022-07-16,Marine
Interview player,-8.294462,-44.796846,67118,2024-10-15,Freshwater
Hair begin,-0.464152,28.3332,55466,2020-10-05,Freshwater
City partner,-72.590869,-93.550846,63198,2022-01-09,Forest
Stop free,19.219155,-5.980798,99466,2019-09-08,Desert
Father program,-72.949718,-104.633841,43560,2017-09-29,Tundra
Rather their,-17.660049,153.338716,17391,2020-12-09,Marine
Herself clearly,6.230564,41.237728,21847,2022-05-14,Wetland
Measure tend,0.88699,-160.544261,38506,2018-07-03,Freshwater
Less indeed,-35.623568,-48.307076,65151,2024-12-12,Marine
Religious side,-19.635509,168.747904,50642,2017-07-17,Marine
Wonder fill,14.837724,4.006872,16740,2025-08-22,Urban
Skill coach,18.315627,-159.979224,15232,2016-10-31,Urban
Might set,48.781323,-118.429564,40988,2025-12-24,Forest
Information continue,-31.458399,109.308951,35159,2026-01-21,Grassland
Single attack,76.397154,103.133703,78332,2023-09-18,Wetland
Live smile,-46.581339,-75.580593,19373,2026-02-28,Tundra
Threat card,31.090258,161.009034,56083,2017-12-17,Wetland
Center team,50.549665,-109.356211,37531,2020-04-22,Freshwater
Consumer section,88.879398,-42.876307,75703,2024-01-10,Tundra
Establish international,64.091696,-110.619087,5730,2019-05-28,Wetland
Teach reach,-20.601677,-1.86414,69460,2021-01-26,Desert
But church,-10.928248,99.130591,8385,2020-04-21,Wetland
Voice food,0.98982,33.213103,96816,2020-06-12,Wetland
Star threat,-5.290727,113.695359,28928,2023-06-27,Freshwater
Billion ten,20.456904,150.267646,11842,2023-12-04,Marine
Chance game,-63.098619,-171.443735,86040,2026-03-02,Marine
Six couple,10.782977,22.599441,29828,2026-01-11,Tundra
Whom tend,53.451493,166.44673,90428,2016-12-01,Urban
Charge half,-37.459111,-173.755856,43130,2020-04-20,Urban
