species,latitude,longitude,population,date,habitat
Month Congress,-82.685355,-179.659101,88907,2025-01-29,Desert
There yard,-37.19178,-2.383424,24718,2019-07-10,Urban
Half hit,-34.096559,90.660148,3127,2026-03-17,Urban
Tend hair,11.197782,-4.51384,38829,2018-02-10,Marine
Unit machine,-21.543759,-94.16557,67102,2017-10-04,Freshwater
Other cover,-83.138195,-122.652893,15213,2017-06-20,Tundra
Machine probably,-18.816464,-132.323997,61231,2019-11-07,Urban
Already speech,79.929169,54.687335,40394,2019-02-25,Marine
Certainly to,-59.619786,65.683378,47479,2020-09-18,Desert
Political live,-82.616079,-19.923596,39150,2024-02-10,Forest
Song court,11.50227,-166.049628,86666,2025-09-12,Marine
Table usually,43.911151,22.404993,61983,2024-07-07,Freshwater
Big yard,15.956019,-151.307594,8931,2023-09-29,Urban
Process level,24.321133,50.349461,84879,2020-01-14,Tundra
Coach series,42.66313,98.22155,84193,2021-11-24,Wetland
Bring rest,47.739785,164.36412,8044,2018-04-24,Forest
Structure total,-73.188622,66.984042,21203,2022-04-13,Marine
Field guess,82.016977,-169.638318,81379,2025-02-27,Wetland
Road garden,43.607731,-76.475005,69364,2024-10-09,Freshwater
Many someone,-56.127513,75.05341,47797,2026-03-13,Marine
System some,37.109715,-100.579365,13958,2017-04-08,Freshwater
Support herself,-81.146578,78.270605,42364,2017-11-06,Tundra
Only chance,-53.790858,-173.436278,21021,2022-06-08,Desert
Trouble recognize,27.662955,165.868352,93680,2024-07-17,Tundra
Candidate religious,71.444761,74.978574,87394,2020-06-15,Forest
Would anything,31.781718,54.522206,12749,2018-01-09,Marine
Whole accept,-62.690941,66.242159,78571,2019-08-09,Wetland
Most east,18.245774,86.46641,6138,2019-11-21,Tundra
Around understand,-47.796657,-38.073835,94611,2025-03-17,Grassland
Cultural add,-25.488639,121.196837,31975,2017-03-17,Marine
Half may,-8.685002,61.899243,57007,2019-10-20,Desert
Capital alone,-82.428697,-75.399842,64274,2017-09-08,Tundra
Voice beyond,86.421,49.320601,9809,2019-09-15,Freshwater
Appear property,75.48964,132.324117,62831,2019-07-28,Wetland
Large enter,40.359488,-107.046853,21301,2023-11-01,Forest
Music final,53.404206,-177.020032,41074,2025-09-08,Tundra
Pressure boy,-50.567394,-118.669769,58299,2021-06-04,Marine
Case position,56.561558,-166.000336,8842,2019-02-20,Tundra
Cut those,-22.224092,-46.394765,20658,2020-10-12,Grassland
Summer thousand,-10.241194,84.945788,78682,2022-05-14,Freshwater
Listen song,-47.560345,59.48705,40429,2020-05-23,Grassland
Foot prove,-81.970274,28.04799,73065,2026-05-21,Wetland
Reduce choose,-47.30946,160.210164,81603,2023-01-08,Marine
Buy information,-0.722678,48.376027,27202,2022-11-24,Wetland
Billion soldier,43.547416,-67.23231,31034,2018-02-05,Tundra
Attack investment,85.861875,133.010413,70637,2018-05-10,Freshwater
Listen identify,-34.235281,-151.016787,12536,2026-06-27,Marine
Although weight,-2.651864,95.76696,6072,2024-05-18,Tundra
Score state,-37.5555,58.108284,47052,2025-12-15,Urban
Hospital control,37.579539,175.443791,30521,2020-11-08,Grassland
Can moment,-42.682157,-158.764681,93493,2019-03-31,Grassland
Throughout investment,40.760767,58.369643,41693,2023-09-14,Wetland
Fight gun,33.027522,-163.789779,15401,2025-03-18,Wetland
Detail name,86.308012,71.821823,41830,2019-08-17,Freshwater
President of,6.8657,-38.303237,93143,2026-05-12,Tundra
Plant second,29.183043,-27.333976,58440,2023-05-03,Forest
Detail mind,-76.131908,149.45355,27828,2017-11-10,Urban
Action itself,-5.789875,114.958482,50586,2022-12-06,Freshwater
Owner prevent,-6.348454,119.117324,96917,2021-06-24,Marine
Federal those,-35.541555,-100.200046,77556,2021-08-30,Desert
However rich,69.54843,-73.738294,61706,2023-12-11,Urban
Little order,-75.553209,7.16209,73515,2021-04-12,Tundra
Family third,-76.700544,-159.114403,88682,2023-10-13,Urban
Republican actually,14.751671,-97.384391,75822,2018-12-28,Marine
Parent wish,28.013205,28.579485,92473,2023-06-25,Wetland
Appear sister,-47.679147,148.7322,91750,2026-07-16,Desert
Able everything,62.439628,86.792236,14174,2017-07-22,Marine
Social same,-67.369685,123.849458,49503,2022-06-24,Forest
Throw cost,55.933939,-74.387578,51183,2019-07-05,Desert
Draw occur,-40.009439,121.384589,88575,2019-02-21,Grassland
Civil result,-73.924462,-22.07325,71307,2018-12-09,Desert
Popular live,-6.047959,98.874251,12243,2019-02-22,Freshwater
Home wind,-81.132866,-169.435921,63698,2021-06-29,Marine
Several term,10.69345,4.020948,68207,2017-06-18,Wetland
Serve world,81.608234,-102.33637,85364,2022-12-01,Wetland
Spring evidence,-39.259343,-124.317619,74773,2018-12-04,Wetland
Here Republican,77.372272,-173.458759,41286,2021-04-10,Tundra
Congress big,-21.783987,-44.777558,22476,2017-12-08,Urban
It tough,27.410126,71.891539,86567,2022-03-25,Urban
Practice interview,-1.914928,146.941845,59893,2020-02-13,Urban
Show reach,39.324441,-142.771243,79434,2025-03-01,Tundra
Responsibility already,54.662712,-73.975674,46598,2018-02-04,Freshwater
Every fight,-61.599381,-121.519483,56590,2021-02-08,Desert
Film change,1.815473,11.743087,92973,2023-05-15,Forest
Begin smile,45.881786,-72.453674,31390,2023-07-05,Freshwater
Or difficult,-11.805596,-3.641914,30788,2018-10-10,Forest
Rest born,-32.661601,-91.94436,97157,2024-02-04,Desert
Nation decision,-63.018933,123.443406,13666,2018-04-22,Desert
Service within,67.168678,-165.767867,72044,2018-04-01,Tundra
Second action,-12.662679,168.449672,42725,2022-05-04,Grassland
Foot huge,-39.17075,-60.079612,77193,2024-02-15,Freshwater
Face door,53.880302,140.104629,69309,2016-07-23,Desert
Election edge,-12.203375,-2.426206,26767,2022-06-06,Wetland
Oil five,-51.780432,-47.835677,20993,2025-12-28,Forest
Hard network,52.12648,148.757041,66835,2019-12-01,Grassland
General address,-31.87722,110.398881,37746,2024-10-13,Forest
Reality player,5.450341,120.341163,91916,2020-11-07,Desert
House white,18.331765,149.902279,91270,2017-09-16,Urban
Trip type,80.092546,-170.671469,2241,2021-07-09,Marine
Of standard,-77.937703,0.961837,32931,2024-04-14,Desert
Positive black,60.765382,70.991057,19063,2025-09-25,Grassland
Goal example,-43.908694,133.916893,63685,2018-06-19,Forest
Material number,12.644246,104.253363,22737,2018-07-28,Tundra
Past religious,-24.404087,128.165943,67975,2025-10-26,Desert
Serve policy,3.497855,169.382078,69689,2025-06-16,Wetland
Ball whose,-61.73989,-165.658224,10849,2017-04-08,Desert
Each analysis,-15.675296,74.391594,91237,2020-01-04,Urban
Require color,52.920262,-78.671375,70777,2019-03-15,Desert
Read compare,46.238374,-177.826912,30129,2017-07-15,Wetland
Idea short,15.60139,132.854324,18794,2023-09-02,Freshwater
Quite box,29.48091,-109.110214,33712,2023-05-22,Marine
Network claim,82.362149,-2.638451,69259,2022-12-09,Freshwater
Draw human,-62.534559,-168.769018,41808,2017-09-02,Wetland
Skill help,-80.665495,82.463896,96957,2020-07-15,Tundra
Bar dream,-47.306314,3.308278,91329,2022-08-14,Grassland
Space computer,-5.470549,-17.471245,82567,2018-04-23,Urban
Where top,1.955599,-163.376042,56986,2024-04-16,Tundra
Education year,12.13907,-134.434238,66835,2017-03-06,Forest
Go hotel,15.197377,-79.503371,90183,2024-06-19,Freshwater
Guess some,-71.407026,109.2007,58810,2024-10-03,Urban
Vote these,31.736399,28.060262,15127,2022-04-05,Desert
