species,latitude,longitude,population,date,habitat
Reflect threat,50.951886,-119.741301,81644,2020-11-02,Grassland
Point draw,-33.621127,125.387012,66590,2020-07-01,Tundra
Sister clearly,33.80781,-48.936353,94117,2017-10-04,Marine
Poor PM,-29.141377,-38.308656,59177,2022-07-24,Forest
Theory want,64.880795,-164.67764,35192,2024-03-13,Grassland
Key general,-35.841527,100.754929,3937,2017-08-31,Urban
Series success,-36.464484,145.390368,23002,2019-08-15,Marine
Consider threat,6.296044,-100.983217,8748,2024-12-20,Grassland
Mrs create,16.638295,147.222816,42703,2019-12-29,Marine
Week decade,-4.573828,33.454652,44300,2022-10-25,Freshwater
Maintain relate,83.837674,-26.192099,62703,2024-12-21,Forest
From degree,54.611323,50.761587,47149,2020-12-20,Urban
Dream until,82.482576,124.023052,2025,2021-04-18,Wetland
Spend stuff,89.202778,-155.505444,81786,2020-10-29,Desert
Nothing girl,-5.141459,-96.838523,77310,2024-08-08,Tundra
Successful share,44.630255,-98.456115,59424,2016-12-04,Urban
Force term,75.954324,-64.52754,36250,2020-09-21,Grassland
On recent,-72.580114,-161.783047,35770,2020-09-11,Tundra
Nature factor,73.73356,-45.69907,70436,2025-07-01,Urban
Relate toward,-12.609119,79.424302,33685,2020-11-12,Tundra
Politics including,26.486327,5.743658,20225,2024-01-10,Desert
Or indeed,-60.780264,-114.221008,11804,2023-11-12,Desert
Keep inside,-25.486897,-44.942772,76619,2019-04-08,Wetland
Able mention,-37.841323,-49.48782,36261,2019-07-21,Urban
Authority consider,-50.403194,110.679195,8637,2020-11-14,Urban
Statement set,-4.45463,168.099812,99914,2024-05-01,Tundra
Bill three,35.002571,43.029232,86057,2024-06-06,Freshwater
Garden boy,64.54489,-0.071136,34545,2018-12-22,Tundra
Others south,-65.789583,-155.945356,82163,2017-10-09,Tundra
Place about,88.668626,-158.871389,54956,2026-06-27,Forest
Security offer,-40.402352,-55.785172,73972,2023-10-07,Urban
Little toward,-7.856034,93.908411,69412,2025-08-31,Tundra
There law,78.844968,-79.47943,45720,2019-01-17,Tundra
Interest start,54.651831,-125.722708,69503,2023-01-18,Desert
Office color,-72.068121,-154.221321,75952,2017-06-20,Grassland
Manage subject,-4.407821,-161.817499,40123,2018-09-17,Marine
