species,latitude,longitude,population,date,habitat
Condition center,89.542086,-108.736188,42469,2023-04-07,Grassland
Story measure,-31.690044,22.288514,82744,2016-10-28,Freshwater
Parent Democrat,86.370303,138.764015,12227,2026-01-28,Marine
When town,15.613494,115.076813,83867,2026-04-08,Tundra
On less,88.127915,-71.955854,80886,2022-01-05,Wetland
Stuff consider,-57.085636,36.360672,18825,2019-10-28,Freshwater
Reality best,-77.69917,-138.315602,55926,2025-02-21,Forest
Bring down,-20.851531,45.964715,15083,2024-10-31,Wetland
Walk cover,63.674316,-50.553506,43964,2023-01-08,Urban
Choice speak,-38.923652,-138.922997,13223,2022-12-30,Desert
Computer standard,88.972513,-129.095345,18349,2019-10-26,Tundra
Item create,21.14913,-79.781312,38943,2023-01-14,Freshwater
Run along,-34.982362,172.812498,81489,2024-01-07,Marine
Across build,57.352712,131.066505,6068,2023-02-21,Marine
City time,-6.187699,109.188279,73287,2023-04-29,Wetland
If ten,-46.126879,9.693506,90942,2016-12-31,Marine
Total point,-11.585938,74.562135,65822,2023-05-14,Forest
Total dinner,14.784089,171.274154,6046,2018-12-20,Forest
Else decade,55.467989,-75.35575,590,2025-09-06,Forest
Get participant,45.552519,171.381858,80273,2020-07-27,Grassland
Exactly by,60.537275,-88.076934,13589,2026-02-14,Desert
Probably could,-18.527638,-172.95616,33933,2019-01-01,Freshwater
Professional thousand,46.707159,-107.827296,420,2025-05-18,Tundra
Ground success,49.041287,23.248196,2962,2021-01-26,Grassland
Wide drive,29.881882,131.18438,64652,2019-01-27,Grassland
Concern fish,-20.830489,179.604463,92332,2023-05-24,Marine
Heavy enough,-68.107232,-102.015552,87297,2025-12-24,Urban
Church they,29.07119,64.67826,25386,2017-09-09,Forest
Key baby,76.128107,6.867347,66967,2023-09-26,Urban
Far student,31.772617,-18.296463,51414,2019-12-04,Marine
Avoid catch,-69.477634,28.575843,90847,2019-02-21,Tundra
Mention around,48.884582,12.541172,9340,2017-03-22,Grassland
Follow loss,-40.136338,14.599306,36344,2024-05-12,Marine
Two project,1.870704,-44.00345,77554,2023-11-14,Tundra
Yard Democrat,-34.659535,27.603761,36634,2025-05-18,Freshwater
Indeed fire,-75.179936,-125.382643,32759,2020-05-07,Desert
Wait attorney,-80.048285,65.166882,3327,2023-07-14,Grassland
Population this,87.824409,-165.797616,90153,2021-07-30,Tundra
Want exactly,5.754221,166.998454,75951,2018-09-17,Marine
Degree brother,58.704414,120.545299,56593,2020-07-27,Urban
Always history,15.696252,34.222142,3660,2020-09-19,Freshwater
Drive leave,67.177531,-103.120666,28143,2024-01-17,Wetland
Strong throw,-56.583835,-63.707289,35628,2021-10-26,Wetland
Form success,7.822382,109.248032,63081,2026-06-03,Freshwater
Role simple,43.55077,-176.638061,70279,2019-12-31,Desert
Beautiful vote,-14.685785,-139.567171,11945,2025-01-25,Freshwater
Community continue,48.472833,75.557759,36094,2025-01-28,Urban
Court prove,57.164501,-136.176022,33837,2017-02-09,Tundra
Recently close,42.240239,-25.680281,5762,2020-02-02,Grassland
Night throughout,-73.98357,18.87915,52910,2022-06-19,Freshwater
Oil light,-79.678924,43.814258,36977,2025-07-08,Grassland
Watch determine,-28.759572,-173.211568,16616,2020-04-05,Desert
Service mean,18.393743,-82.600481,98848,2019-06-13,Urban
Eight believe,-12.411834,-108.698363,37617,2025-09-03,Desert
World wear,63.571692,101.091574,10662,2020-01-04,Tundra
Each group,14.356289,-87.254359,54904,2024-05-24,Tundra
Quite staff,-28.582764,-29.409457,45263,2016-08-12,Urban
Certain million,34.716686,-61.638194,90368,2019-03-19,Freshwater
Hit involve,43.171391,107.920429,25768,2021-11-29,Freshwater
Free suggest,42.632651,-160.5335,4277,2020-06-26,Marine
Adult herself,-37.850003,-107.216579,93543,2024-11-02,Wetland
Plan upon,21.360118,-41.311837,71058,2021-02-22,Marine
Here pull,-22.462653,34.029421,66797,2019-06-18,Forest
Talk everybody,-3.722487,-27.425626,96881,2022-11-01,Wetland
Society another,46.679529,-154.67568,96919,2022-04-15,Forest
Must land,-79.664522,175.01695,56440,2021-06-14,Urban
Section life,-26.667102,55.509186,16126,2023-06-27,Wetland
Organization choose,63.688275,159.842729,51092,2026-05-06,Urban
Clearly bill,-59.1312,-168.947829,63849,2023-09-09,Freshwater
Include your,42.217697,121.784296,82568,2021-11-13,Freshwater
Policy college,63.265918,58.677366,9628,2024-09-12,Desert
Him color,-20.336832,97.307561,89038,2021-10-27,Urban
Pay yourself,-70.979026,-67.251383,25840,2023-12-10,Marine
Top arm,64.237772,50.987415,35048,2025-05-14,Desert
Somebody business,-87.76636,-97.900075,12587,2017-02-17,Grassland
Child cold,81.041486,-162.092182,17352,2017-05-18,Grassland
Produce simple,3.375546,85.937859,30033,2017-01-03,Freshwater
Set almost,-54.56052,-29.056869,47417,2016-10-23,Freshwater
Gun business,2.27539,146.291329,75829,2024-02-06,Freshwater
Tell event,45.308923,-40.32126,98273,2021-02-20,Freshwater
Particular short,-51.803554,-104.417634,33968,2016-10-14,Urban
Million study,-83.184511,-131.627684,4587,2022-05-02,Grassland
Two usually,-35.20743,-100.258156,54260,2022-02-02,Forest
Speech job,17.339099,105.175267,58045,2023-07-20,Grassland
Me home,-0.537425,-66.166102,3528,2022-12-15,Grassland
Seat phone,39.99677,-87.844233,97393,2018-05-25,Marine
May keep,-14.390146,113.745632,95568,2021-04-28,Desert
Season board,21.419649,-18.884544,98039,2023-01-07,Tundra
Suggest up,-76.866639,31.943626,36944,2025-02-18,Marine
Agency return,-33.156308,-14.322687,22622,2021-08-03,Grassland
Local close,-0.303186,-89.510906,89406,2020-06-15,Grassland
Over way,-82.921095,160.883117,87244,2017-07-05,Tundra
Realize health,51.270629,-72.045164,51641,2024-01-15,Grassland
Check top,-32.519282,14.250985,13769,2024-03-07,Marine
Arm onto,-70.50514,-112.946967,88188,2025-05-28,Marine
Pm case,69.644444,127.86931,97715,2023-07-19,Freshwater
Recent not,-87.755501,-91.921602,77783,2018-10-29,Desert
Treat buy,-50.072261,-9.712239,64211,2019-01-30,Marine
Meeting author,-81.481103,-133.015816,9442,2022-02-15,Desert
Trouble community,-60.275386,-170.795352,38654,2026-02-10,Forest
Son her,-68.524223,-117.948618,99818,2020-03-06,Grassland
Especially painting,-78.779479,72.157571,21609,2026-04-30,Marine
Cell sing,81.185114,135.650573,40091,2022-03-03,Tundra
