species,latitude,longitude,population,date,habitat
Brother statement,-84.898062,-161.560134,63209,2018-06-20,Desert
Style college,18.324032,-164.285672,90603,2017-05-24,Urban
Different bad,-23.076619,24.621802,27218,2022-10-04,Grassland
Ball he,67.767211,-34.662929,39011,2022-03-31,Grassland
Door level,-85.8193,18.708472,73277,2020-12-23,Urban
Nature rich,1.947787,-48.052313,35293,2020-01-21,Grassland
Responsibility join,74.948774,-22.893505,68009,2025-10-02,Grassland
Society race,-35.054242,34.62369,76503,2021-03-27,Desert
Allow within,26.104979,-169.120399,3512,2024-07-01,Desert
Evidence health,-80.801072,33.259582,84444,2021-10-05,Tundra
Just draw,-5.324556,179.427583,32324,2024-04-23,Urban
Conference admit,57.262199,-36.585989,66580,2024-04-17,Tundra
Box benefit,76.733092,-135.786079,17253,2020-07-30,Desert
Have medical,-2.056498,-91.013593,73652,2018-03-11,Urban
Budget poor,-66.905838,-24.337371,5830,2022-11-11,Desert
Management whether,58.751856,8.224688,52536,2023-06-17,Wetland
Which mouth,-52.936268,-39.340036,29169,2025-03-19,Desert
Beat join,76.70746,-18.512059,64314,2021-02-04,Tundra
Station wish,-30.168707,49.403162,85967,2018-07-06,Grassland
Property drop,88.109275,-168.27612,91445,2026-06-22,Freshwater
Seven phone,52.76524,-47.547748,98402,2017-03-06,Grassland
Talk suddenly,50.846776,-121.738487,33973,2018-02-19,Freshwater
Bag nothing,55.238735,177.650082,64446,2022-05-11,Tundra
Leave model,11.843103,-1.314995,14055,2019-05-22,Desert
Chance that,-8.247029,-31.887627,96576,2025-01-20,Marine
Culture successful,-45.829967,-104.995859,45312,2019-10-21,Forest
Deep series,-62.800227,26.537997,99267,2023-12-20,Tundra
Beat throughout,65.657382,-13.078914,61533,2016-12-26,Marine
Condition want,28.89337,164.038653,24612,2017-12-20,Freshwater
Director more,32.825537,176.324621,65083,2019-12-05,Freshwater
Avoid learn,-58.463383,-134.51061,76856,2019-07-04,Urban
Eye box,-39.964572,-25.289532,5664,2025-12-15,Wetland
Reality suffer,-10.682878,72.080278,37254,2016-10-17,Grassland
Join evidence,-88.711428,168.428086,56893,2024-06-26,Wetland
Management party,21.490857,166.437692,69892,2021-07-03,Tundra
About study,80.234491,97.508446,29014,2022-08-19,Desert
Player send,-8.052125,84.808493,48690,2020-03-21,Urban
Our memory,85.9808,104.715943,16309,2025-12-31,Desert
Congress stage,55.056758,-136.246015,72724,2017-03-05,Forest
Where poor,58.701208,-43.836737,97125,2020-05-11,Freshwater
Represent indicate,-13.390821,-58.825481,88242,2018-06-10,Urban
House great,38.777389,-33.323318,32320,2021-06-19,Forest
Dream dark,22.672839,77.361326,6610,2023-04-22,Urban
Television can,-2.64102,57.177732,6829,2025-05-17,Grassland
Generation north,69.740642,16.165156,28943,2018-06-20,Grassland
Gas left,-12.250896,31.223676,29152,2022-03-02,Urban
Light nation,24.688826,-32.033572,92078,2018-07-09,Forest
Also do,-25.946082,109.856181,35414,2024-04-28,Freshwater
Image decide,-51.148314,-122.785829,15388,2023-08-31,Freshwater
Buy trouble,15.861058,178.079533,68490,2025-01-14,Tundra
Soon American,9.683103,114.929481,26641,2021-08-11,Tundra
Service require,-40.107216,61.946728,76887,2016-11-23,Tundra
City study,-9.900052,124.251367,66127,2020-08-30,Wetland
Me white,-81.075724,-111.488994,79344,2018-07-26,Marine
Until money,-29.160423,-138.067127,78547,2018-08-02,Grassland
