species,latitude,longitude,population,date,habitat
Will hear,-8.445307,-116.097914,97739,2017-06-21,Desert
Assume under,79.216795,-123.583188,10281,2024-07-23,Urban
Card kid,37.141332,136.705915,58008,2025-09-21,Urban
Small forward,-19.715515,138.845585,8160,2022-02-19,Grassland
Scientist perform,39.778353,-144.798022,97319,2024-11-28,Desert
Performance moment,68.794987,-143.457923,53685,2025-05-03,Wetland
Forward spring,33.902703,-123.975535,15147,2017-07-25,Freshwater
Sense start,6.788387,118.667246,2957,2021-02-03,Grassland
Seem lose,31.04183,-46.217727,84972,2018-11-03,Grassland
Check a,-56.689984,-69.016713,50720,2021-11-21,Wetland
Likely college,33.456287,4.7737,6481,2019-12-17,Wetland
Structure particularly,-78.893614,88.381651,45865,2021-06-20,Freshwater
Mr get,-39.71519,-37.087106,54140,2017-11-10,Urban
Eat pretty,22.22076,-41.778569,73103,2020-01-28,Freshwater
Computer risk,83.375124,1.135114,66432,2020-11-07,Desert
Glass while,-21.250591,-112.733257,53090,2023-09-22,Marine
Fast include,-74.016235,168.715213,28548,2024-02-02,Desert
Prevent remember,-21.621782,31.242452,68299,2019-08-13,Urban
Drug design,-31.288551,-149.355804,78231,2017-11-20,Tundra
Discussion although,-19.042562,43.656555,31346,2018-03-30,Wetland
Time although,-1.133624,-153.458697,67299,2022-02-02,Desert
Toward rule,38.804804,179.577203,19917,2019-12-23,Marine
Policy card,43.286313,2.618736,78271,2019-02-16,Wetland
We language,-51.399317,-163.385454,38814,2026-01-05,Tundra
Economy upon,16.377972,-37.426162,2541,2017-11-09,Wetland
Officer force,62.636278,-155.978421,66352,2022-06-18,Freshwater
Clearly second,3.338026,28.7028,37209,2019-04-14,Tundra
Reason school,-84.181356,-170.358137,11604,2022-07-27,Freshwater
Serve pressure,39.929528,117.804508,9617,2023-10-24,Urban
Happen down,61.764922,8.680759,96131,2016-07-18,Freshwater
How enjoy,-22.154702,-140.925036,44596,2024-07-19,Forest
Painting figure,-4.439146,15.284773,6136,2021-03-01,Tundra
Require phone,-70.515231,-48.234796,1517,2018-04-19,Grassland
Way professional,24.739352,-15.725221,75562,2017-06-12,Forest
Cup nothing,-49.215726,-25.792727,92863,2020-05-01,Urban
Say ahead,50.634253,-3.703032,48075,2024-11-18,Urban
Window make,39.907864,-132.011607,67629,2025-10-02,Freshwater
Action get,5.009557,56.418532,16495,2025-01-09,Desert
Walk responsibility,-80.020772,82.101125,66754,2025-11-21,Freshwater
Drop dark,-7.909634,28.429301,59956,2019-07-17,Desert
Hear cut,76.924108,131.552151,72630,2024-02-18,Freshwater
Manager work,-60.976401,-26.595494,79218,2017-11-12,Urban
Customer plan,46.282333,51.358951,60345,2019-08-25,Wetland
Break open,71.706868,47.337796,69866,2022-01-02,Tundra
Physical executive,-44.200772,-63.495965,51096,2026-06-02,Urban
Those TV,3.970402,30.203367,87763,2023-11-22,Forest
By crime,30.987642,51.771578,9679,2020-04-19,Wetland
Those risk,-10.968614,-121.936254,77903,2020-08-28,Freshwater
Story enter,-67.918591,134.19776,77513,2021-05-08,Marine
Just hand,-76.047553,-122.524785,17773,2021-05-02,Urban
None instead,20.892779,-175.277269,25839,2022-10-25,Tundra
Stock project,49.687592,-101.738469,53015,2024-06-03,Grassland
About rest,6.486523,9.484699,83746,2019-10-13,Desert
Become card,75.871448,167.063504,73260,2026-05-07,Desert
Small whole,-1.972762,-150.221482,22209,2019-04-02,Marine
Quite maintain,81.962851,13.385269,8852,2020-01-04,Urban
Arrive building,-27.979703,-67.860784,67779,2025-01-24,Urban
Something believe,26.606816,29.770655,86604,2020-03-14,Forest
Fly agency,35.895198,-137.110632,61066,2025-12-02,Freshwater
Good stand,-11.027804,29.603545,43126,2017-11-01,Tundra
Dog behind,78.331868,174.163511,9622,2024-02-27,Urban
Series area,15.306935,58.66822,29305,2022-01-21,Marine
There federal,-2.531739,41.19656,69641,2021-05-29,Freshwater
Even chair,36.904692,-97.248697,96308,2021-10-12,Forest
Subject apply,11.184567,-15.525782,2567,2017-07-05,Wetland
State political,-30.914254,-92.925411,38908,2021-12-09,Tundra
Line minute,11.668041,-72.27806,92150,2019-04-25,Freshwater
We finally,-29.514404,-22.247512,36833,2021-01-26,Wetland
Church fear,40.115825,-141.342782,42129,2022-04-07,Grassland
You drop,2.940564,31.797182,26868,2020-03-08,Desert
Author cut,13.131729,152.558757,17984,2019-08-29,Desert
Language amount,39.167966,-11.213069,68017,2020-07-15,Freshwater
Power physical,48.912406,-141.356835,13340,2023-08-06,Grassland
Public seem,4.018531,-72.291449,40810,2025-02-26,Tundra
Event decade,56.250186,154.633419,234,2025-02-11,Freshwater
Big mother,59.878525,11.382725,18822,2022-02-22,Desert
Partner allow,-63.856565,-35.439936,21015,2019-02-08,Forest
Teacher box,-82.356729,-14.0995,69002,2019-08-25,Urban
She stuff,-25.822881,51.105693,52772,2017-08-01,Grassland
Direction nor,33.675409,52.099094,67036,2025-05-10,Grassland
Growth hit,-81.239757,56.163543,20430,2026-05-29,Wetland
Fine big,-22.998648,7.495678,37880,2026-05-27,Marine
Big and,14.851561,-162.145733,41225,2023-02-17,Wetland
Scene create,-59.659006,-0.855467,18778,2021-12-22,Freshwater
Most so,65.775664,-15.89549,97620,2018-09-07,Wetland
Middle pretty,29.430455,39.954133,41449,2016-12-30,Forest
Easy type,-9.641069,100.432253,30441,2021-05-12,Tundra
Interest they,-14.281817,-135.111123,4069,2019-07-13,Marine
During policy,27.806486,-21.64147,90485,2017-10-12,Desert
Over style,7.292518,-138.529672,16033,2024-02-05,Forest
During before,-11.919584,74.589429,58084,2026-07-02,Marine
Rather also,-55.347558,-23.252799,45549,2017-02-24,Forest
Assume leave,30.527922,176.355934,1108,2026-05-06,Forest
Quickly travel,19.01274,82.74356,37430,2019-04-18,Forest
Job strong,-36.589006,-34.511964,87387,2020-10-17,Forest
Power resource,-35.509577,3.829165,81227,2024-08-03,Marine
Around during,-59.349775,135.103356,31684,2024-11-15,Tundra
Attorney civil,-80.541713,27.991766,17095,2018-08-31,Tundra
Partner quite,2.069697,-108.451498,18595,2024-07-16,Wetland
Military enough,-89.264309,-173.294182,18656,2019-10-29,Urban
Sit author,-49.77978,172.98662,83247,2019-09-21,Desert
Example blue,37.060538,172.051556,38278,2020-01-25,Urban
Pm present,45.854483,-43.822429,92484,2018-04-23,Forest
Improve call,-85.342221,-31.143456,45917,2022-02-23,Freshwater
Skin customer,-29.553657,85.232091,39215,2020-04-21,Marine
Political quickly,58.553034,139.974832,90502,2018-06-24,Forest
Next Mr,85.852576,-131.607433,97702,2022-12-14,Grassland
Over exactly,5.914995,98.394128,70029,2018-01-17,Grassland
Just summer,-72.750362,-16.527337,14408,2025-10-11,Freshwater
Clear produce,26.743448,-31.627718,88987,2024-05-22,Grassland
Politics money,43.515301,-105.597935,78255,2024-12-07,Marine
Section attorney,51.531497,150.479296,67840,2023-07-25,Desert
Stand real,-63.76195,-98.931654,24876,2019-02-11,Wetland
Deep successful,5.622752,-82.718562,74884,2022-09-10,Forest
Include decision,-74.028961,-113.085877,35917,2023-04-25,Tundra
Section impact,-14.646372,-11.233786,62828,2017-06-19,Grassland
Site mouth,11.652229,123.852622,49767,2021-07-07,Grassland
Six light,-2.660756,-33.673985,71196,2022-03-26,Tundra
Million education,8.030479,-132.614006,50844,2024-07-02,Urban
Task return,46.655303,5.866714,87642,2021-11-08,Freshwater
Focus up,24.300107,-36.474051,36762,2022-07-09,Urban
Suggest kitchen,4.80484,90.652259,43662,2019-02-17,Freshwater
Feel budget,-81.346139,-100.968057,28507,2019-12-26,Desert
Thus western,-34.551679,-105.915395,86149,2017-04-09,Grassland
Someone deal,-45.082957,52.903921,68238,2021-02-15,Forest
Admit rule,41.519486,-51.087835,49358,2018-07-11,Wetland
Garden pretty,-70.139086,-115.564493,57923,2022-07-24,Grassland
Charge glass,73.936838,143.095773,94802,2024-10-27,Grassland
Ahead idea,70.909709,-6.10316,33168,2023-09-25,Tundra
Which player,-73.614855,23.220828,62730,2017-09-25,Urban
Live set,71.781144,128.316376,28155,2017-05-24,Wetland
Actually material,-84.072615,172.6168,47705,2020-03-13,Freshwater
White degree,-36.616407,-11.708232,17453,2023-08-14,Wetland
Past friend,-69.250827,-121.649793,96614,2021-10-24,Marine
More enjoy,-56.436679,-121.666738,19064,2018-06-04,Wetland
Check garden,-1.744872,52.187064,37733,2022-10-26,Forest
Appear letter,75.152585,-49.697143,6957,2021-10-28,Marine
Ground make,11.74473,-91.609304,22102,2024-11-26,Freshwater
Scene memory,-6.285293,107.973488,96729,2025-05-22,Forest
Sometimes into,34.752826,-99.8832,81236,2019-10-27,Tundra
Really whose,-38.902339,-125.405094,22018,2020-06-14,Wetland
Travel PM,80.100932,120.481516,51896,2019-12-24,Desert
In less,79.154259,-103.225088,3539,2023-07-15,Marine
Hundred true,3.115983,8.613364,10890,2026-06-15,Forest
Those how,-67.768041,13.671036,74205,2022-02-09,Grassland
Record two,-10.970643,-135.308161,44786,2025-07-18,Tundra
Lot many,-64.432532,136.747968,76042,2017-11-13,Desert
Daughter hundred,66.598307,-158.943591,25375,2024-11-15,Desert
Probably image,-10.637519,-111.489508,36366,2026-03-28,Tundra
Measure factor,13.472359,-172.127488,11711,2023-12-05,Tundra
Other tax,4.945777,-8.632173,47945,2024-12-23,Grassland
Few information,-84.604419,-123.697905,33386,2017-03-20,Grassland
Soon pressure,-85.251112,141.102967,38302,2023-07-28,Urban
Ask away,-74.239355,14.803742,36729,2016-11-10,Urban
Follow almost,74.452417,-158.059883,64772,2024-03-22,Freshwater
Point contain,8.091689,132.646104,7098,2020-12-25,Grassland
Single fine,-11.209275,111.683585,71764,2025-11-29,Marine
Form outside,21.769167,-53.704011,98860,2026-06-24,Wetland
Foot let,76.333511,-85.814801,81071,2024-03-06,Urban
Include long,20.717814,13.584498,28573,2021-10-14,Freshwater
Sing family,67.5516,116.571971,88122,2025-05-13,Wetland
Church tree,76.716849,116.781254,80311,2025-09-22,Forest
Recently reality,-45.485398,0.579083,11161,2022-10-21,Desert
Draw effect,-36.574387,0.05297,81727,2025-06-18,Urban
That upon,74.134244,6.297667,77547,2024-09-16,Freshwater
Break avoid,-55.957908,-158.871841,90695,2021-02-26,Freshwater
Interview eight,32.694087,31.462025,15867,2024-01-13,Wetland
Million enter,-11.737064,-143.701306,83721,2024-02-08,Grassland
Group hard,-5.724992,98.778508,57486,2022-06-24,Tundra
Almost rule,-68.12905,8.805616,86451,2018-03-19,Tundra
Happen computer,47.474426,-136.429559,4626,2019-03-05,Grassland
Position both,34.255026,-160.101969,76178,2023-12-20,Wetland
Strong throughout,-30.977134,-133.753955,64103,2023-12-27,Wetland
Democrat remain,-36.742032,-40.576112,1609,2025-03-25,Freshwater
Watch benefit,-50.90237,-49.316479,24600,2021-05-19,Forest
Close response,42.647076,-71.888618,27961,2024-11-10,Tundra
Still bit,-24.937451,120.769124,73665,2024-02-17,Grassland
South to,51.857282,-70.689508,13551,2025-11-06,Freshwater
Despite western,83.638742,-51.052434,46060,2018-09-18,Desert
The buy,13.77725,-158.12969,83552,2024-01-08,Forest
Senior big,-22.043082,20.919936,58314,2018-08-18,Desert
Parent fill,-27.447538,-114.843575,79486,2019-09-28,Urban
Particular seek,-31.483364,138.619548,14124,2017-03-07,Urban
Already author,-89.036842,96.462234,2956,2024-08-11,Forest
Exactly most,32.766653,-128.585193,53066,2016-11-29,Desert
Hospital dream,-71.702289,-5.044309,26428,2023-11-19,Tundra
Care worker,-71.473766,167.87619,36013,2017-08-03,Forest
No truth,64.610898,-76.583569,64854,2020-11-17,Wetland
