species,latitude,longitude,population,date,habitat
Suggest compare,14.954588,-50.958478,29345,2020-02-28,Grassland
Focus into,82.57761,-85.557482,99494,2020-04-26,Grassland
Skin arrive,-65.38685,138.919158,42898,2020-11-11,Urban
Fight defense,-42.759956,-156.27643,90970,2022-11-12,Urban
Else race,-52.808287,-80.957402,79722,2017-11-22,Marine
Within new,-48.017226,-117.68103,17608,2018-11-10,Wetland
Eye although,-0.217879,7.558702,39045,2017-12-02,Tundra
Laugh write,-80.193878,147.461132,69079,2018-03-01,Wetland
She scene,-44.156628,170.83677,26082,2025-04-01,Tundra
Tell east,28.38134,-0.325823,51681,2025-09-21,Desert
Everybody four,83.090036,126.470829,32617,2022-07-28,Freshwater
Show behind,-49.027958,-91.922633,23667,2024-06-03,Freshwater
Listen rock,-23.169172,-96.608035,62345,2024-11-29,Tundra
Break add,-21.971634,-91.91216,86249,2017-01-22,Marine
Minute house,-85.783715,-179.1027,85614,2024-11-08,Freshwater
Play these,-33.474232,-73.811682,64300,2019-09-20,Forest
Sport gas,86.942193,17.369219,60132,2024-09-17,Urban
Body to,42.821134,3.539217,12824,2020-11-24,Tundra
Build recognize,35.197422,106.726297,78969,2021-12-11,Grassland
Myself ahead,-61.575257,-72.651941,10519,2021-02-28,Freshwater
Growth evening,37.689267,-88.129953,54898,2023-07-08,Wetland
Mr law,-13.826321,-106.738461,49440,2021-10-29,Marine
None service,-36.686703,-46.967441,18054,2023-10-18,Tundra
Almost where,-59.90721,-91.302904,88786,2019-07-24,Marine
Cut responsibility,81.946262,-93.188269,50291,2019-05-23,Urban
Wear lawyer,-50.255092,-74.656219,17029,2023-12-25,Desert
Customer common,49.255062,-4.829105,72785,2024-06-20,Tundra
Bad particular,-5.438995,-82.611776,34875,2023-07-16,Grassland
Popular quite,-71.362393,-99.205953,91151,2021-02-08,Marine
Financial million,-63.179465,160.296245,3542,2023-12-26,Forest
Each field,75.775024,105.474117,9911,2022-11-30,Tundra
Suggest fear,-20.089513,142.355482,99539,2024-02-13,Forest
Anything chance,-81.296294,81.240622,71031,2019-03-01,Forest
Floor behavior,-34.939787,-52.058237,22946,2018-10-14,Marine
Main of,76.135548,-71.741707,59570,2019-11-27,Tundra
Interview Republican,-14.026771,78.42785,31601,2018-06-12,Marine
Capital century,66.372664,-148.123115,27171,2026-04-18,Marine
Determine form,-27.659676,-83.77919,2788,2022-01-16,Forest
Front management,62.044184,132.481864,71688,2019-12-16,Tundra
Wrong strategy,-16.937619,35.085914,96193,2020-08-14,Forest
Sea almost,-49.804337,52.400396,46394,2017-07-17,Desert
Fund something,61.438312,113.407503,76018,2021-09-22,Wetland
Third maintain,-36.956314,-85.55163,69541,2020-11-21,Marine
Drop charge,-49.699684,-15.311705,74323,2021-02-13,Marine
Floor establish,-59.287316,104.184887,79389,2020-04-09,Forest
Once their,-50.526206,65.670271,39740,2017-01-08,Desert
Prepare less,-62.436847,-49.514894,96233,2020-10-28,Wetland
Who partner,-49.745985,49.023719,74559,2025-06-06,Marine
Meeting fish,-27.958482,156.770368,45837,2020-06-09,Forest
Go cost,-21.042408,178.025388,419,2018-12-03,Grassland
Unit charge,-30.185463,-107.955059,73592,2023-06-02,Desert
Especially eat,79.346642,-166.737551,12393,2020-12-22,Forest
Say concern,59.070763,2.350113,53452,2016-10-28,Freshwater
Draw simply,-23.163102,-58.151025,6982,2021-09-21,Desert
Early spring,-83.133783,78.522168,72933,2018-03-03,Freshwater
Son most,61.096765,-48.663702,26513,2025-06-13,Tundra
Break glass,-41.649192,-48.89963,51701,2023-06-05,Freshwater
Thousand medical,15.639907,-22.210392,64188,2021-04-02,Tundra
Receive share,77.576529,158.080582,31937,2025-08-20,Grassland
Himself law,-40.686323,-120.077936,1113,2022-12-29,Forest
Other poor,72.386761,-83.399049,6609,2023-11-14,Marine
See say,-12.121977,-26.639775,2091,2024-06-14,Forest
