species,latitude,longitude,population,date,habitat
Doctor idea,-33.162267,172.5776,17418,2019-04-30,Urban
Region development,-41.656458,-40.083932,3421,2024-06-07,Freshwater
Assume successful,70.220032,141.308384,78029,2020-02-07,Tundra
Hundred according,-3.891607,34.658542,26470,2021-08-03,Freshwater
Smile himself,-30.258727,25.250386,62405,2022-12-23,Wetland
Fast career,-12.669124,-86.949661,31133,2021-07-05,Urban
Window head,-32.361961,169.923634,94318,2020-04-30,Freshwater
Its agree,28.479619,-1.738997,46772,2017-04-28,Urban
Firm sometimes,79.689819,-128.460449,49629,2019-11-27,Grassland
Technology trip,65.442994,53.890203,616,2018-11-11,Wetland
War early,30.169701,-105.945314,21050,2021-08-01,Marine
Manage key,-49.638907,-118.492151,95785,2017-07-15,Freshwater
Film eight,11.499757,-61.68016,61068,2019-07-11,Tundra
Realize fight,-83.413483,7.167534,59048,2023-09-24,Tundra
Special despite,52.886,51.058417,90803,2021-09-09,Urban
Interesting party,-61.79232,115.576486,19246,2018-08-08,Wetland
Condition enter,76.242138,10.106759,45329,2026-03-20,Freshwater
Property send,-72.017821,138.802182,13270,2016-12-17,Urban
Business pay,51.234485,130.454299,78041,2021-11-13,Marine
Various moment,34.758485,-55.37468,58968,2018-08-07,Marine
Always continue,-45.552688,-179.219232,27858,2025-08-18,Freshwater
Common him,65.565277,118.073544,78231,2020-01-12,Tundra
Follow bar,76.043098,-158.142489,85154,2025-05-22,Forest
Her since,76.116955,43.219009,31725,2019-07-21,Desert
Again daughter,-41.304296,-135.210208,89492,2024-03-19,Forest
Partner still,-76.068641,32.407363,94608,2016-08-17,Marine
Safe next,-26.889801,34.305424,14769,2022-03-02,Wetland
From serious,-17.729177,32.79944,9598,2019-10-24,Forest
Attention federal,34.040555,-153.252988,83457,2020-01-26,Urban
Describe strategy,-43.550714,-50.627169,88142,2023-03-14,Tundra
Sort morning,-49.100174,1.424674,63481,2023-08-03,Wetland
More their,30.640768,-133.25821,71723,2022-11-05,Grassland
Our in,21.6043,55.321453,81636,2025-08-26,Urban
Young outside,25.74859,-95.47208,77540,2017-09-29,Forest
Yeah reveal,23.923896,126.474322,89901,2019-10-24,Grassland
Offer join,44.886982,-10.759619,22786,2020-12-31,Wetland
Expert have,11.712925,-25.919356,48442,2018-05-07,Desert
Back others,52.130075,-84.156344,54513,2026-01-16,Urban
Data anything,-33.870187,-55.577884,43681,2022-03-08,Grassland
Senior her,-80.133889,-37.085151,44858,2017-08-12,Forest
Necessary hotel,-66.671297,-71.317604,85899,2018-01-19,Grassland
Talk oil,-47.301709,-172.875751,23036,2023-08-03,Tundra
Image music,53.895722,23.537093,10980,2020-12-26,Desert
Small traditional,-62.753941,88.526496,95973,2021-12-17,Wetland
Edge range,56.806842,-100.464829,97503,2019-05-28,Marine
To gun,69.014648,147.568357,70787,2025-12-01,Forest
Number attack,28.507759,-157.500542,83483,2020-11-30,Freshwater
Yes financial,45.062787,-29.70645,58700,2021-07-11,Grassland
Scientist hit,-30.791406,-22.233074,4256,2021-08-28,Forest
Might already,55.274604,-93.220084,44100,2026-01-19,Tundra
Media personal,79.51259,-30.255122,36752,2021-09-10,Marine
Over hear,-34.773444,-23.278954,57444,2018-12-10,Grassland
Still people,87.865725,-78.116523,97950,2024-06-02,Marine
Short agency,-70.638587,132.39215,12147,2017-07-28,Freshwater
Deep simple,15.356449,95.540829,64335,2026-01-12,Forest
Mind however,-61.832568,63.887583,88252,2017-07-24,Grassland
Reduce defense,-57.10724,113.5561,17791,2018-10-30,Freshwater
Newspaper traditional,34.698132,42.989822,6329,2019-03-10,Wetland
Actually doctor,-70.909021,78.516887,58711,2018-08-18,Urban
Most difficult,7.197092,-107.59595,76954,2017-03-17,Desert
Writer future,-76.549617,49.300631,83907,2017-04-11,Tundra
Best entire,15.117521,54.938835,85107,2022-06-07,Freshwater
Behind operation,-25.045509,-82.0246,49551,2022-12-04,Wetland
Issue school,22.345761,-178.270993,62053,2020-05-17,Wetland
You me,-25.491965,-9.812378,94536,2019-07-18,Wetland
Once general,73.589197,114.981694,41151,2016-10-03,Urban
Site side,48.670633,-45.943818,44898,2016-12-22,Urban
Them left,-82.365898,78.800667,8949,2025-08-13,Desert
Reason eight,14.757126,-121.188478,34781,2021-06-09,Urban
Base home,-25.099944,-175.074283,57835,2022-06-13,Urban
Laugh method,-55.725385,-96.23237,24874,2024-07-30,Marine
Sense evening,59.219831,136.2377,26155,2023-03-27,Marine
Listen box,-76.581345,44.697557,31312,2023-09-18,Grassland
Though own,6.100628,105.259013,29744,2017-06-26,Freshwater
Wife sister,-5.542121,-47.775825,2749,2026-06-14,Desert
Would professional,-58.058036,-148.268549,1428,2020-12-01,Tundra
Anything question,-38.980302,-44.46884,34572,2023-05-23,Tundra
Reason white,46.331504,174.832214,2457,2022-10-12,Grassland
Usually spring,-21.987875,-81.320652,90094,2018-09-03,Urban
Change base,-72.680411,13.580649,7103,2020-12-31,Wetland
Think everything,-8.650693,-80.898577,6989,2020-08-21,Freshwater
Democratic spend,-5.657033,-61.59541,49824,2023-06-11,Forest
Store concern,-60.092776,113.120001,29670,2018-03-07,Forest
Glass make,65.852316,-42.376035,72940,2019-12-16,Grassland
Wind employee,57.260994,41.650517,6707,2026-01-04,Wetland
Live save,81.450147,-135.969654,90745,2018-01-27,Desert
Network agent,-43.883786,-28.41932,78436,2025-04-19,Urban
Either possible,-38.965042,-72.712869,46155,2023-01-31,Wetland
Attack today,20.643061,-107.269168,65089,2020-12-31,Tundra
Design none,0.918661,25.831698,10859,2024-03-17,Freshwater
Record green,17.70815,-166.730018,7765,2021-02-27,Wetland
Simply man,-63.783754,-112.06719,46563,2017-06-21,Tundra
Once sea,-63.075619,-131.701625,34723,2017-05-29,Grassland
Government worry,-61.394787,138.355708,91664,2016-12-04,Freshwater
Section couple,-0.692644,121.708993,9481,2026-04-06,Marine
Foot door,-57.852247,-131.479479,38035,2017-11-05,Tundra
Everyone Mrs,31.307726,-75.329703,54175,2025-08-31,Tundra
Statement production,-5.305785,-69.036695,16489,2019-06-20,Wetland
Shoulder organization,-53.282806,-134.979114,27543,2020-07-29,Urban
Leave each,56.837208,-5.21224,40402,2019-01-22,Grassland
Heavy keep,-4.175878,-106.825575,24575,2017-11-20,Urban
I help,-3.002667,66.522912,68915,2016-09-16,Freshwater
Area network,-35.030109,-178.013934,22386,2020-08-19,Desert
Try local,62.927264,169.64601,50441,2023-03-07,Grassland
Reach close,-81.888617,-83.069166,84450,2018-10-07,Desert
Prevent international,84.673822,135.52247,37439,2025-07-15,Desert
Control really,-80.845564,-84.441901,79543,2017-08-09,Urban
Development test,-82.684173,71.71667,57673,2019-03-21,Desert
Magazine debate,11.307387,-57.594374,77654,2021-06-16,Wetland
Floor look,82.257436,179.537378,88015,2023-01-31,Wetland
See marriage,-38.978615,-36.919811,87121,2017-03-17,Marine
Firm in,83.951304,-141.524956,76855,2026-03-18,Tundra
Understand look,-16.41203,-47.851173,79971,2016-09-05,Tundra
Hand whose,38.12762,-100.899955,20443,2019-01-30,Urban
Husband think,-4.193288,10.991825,60116,2026-01-30,Marine
Boy factor,-8.544153,86.302497,23980,2024-07-07,Tundra
Wife last,82.811298,-178.416226,56102,2019-03-31,Freshwater
Similar computer,-75.314514,-87.371201,89026,2018-01-10,Desert
Everyone study,-86.774733,160.996289,62788,2025-01-19,Grassland
Success individual,-37.4149,-162.522079,16520,2024-07-20,Tundra
Civil feel,66.589366,102.111999,12445,2018-04-18,Freshwater
Whom ok,-23.861169,35.445293,28722,2016-08-01,Urban
Dinner pass,-6.213798,-22.408727,95884,2017-10-31,Forest
Almost song,68.719493,-121.390963,37766,2018-07-10,Grassland
Herself since,-34.734021,-21.275951,92471,2020-12-22,Desert
Down institution,-1.525842,156.202162,39865,2024-02-27,Freshwater
Someone ask,-58.297387,-75.098368,80474,2017-02-25,Freshwater
Play president,77.092546,146.083234,5785,2025-06-21,Wetland
Across respond,-30.070442,-112.493877,55814,2024-05-12,Urban
Couple certain,39.025208,111.59904,6781,2018-05-09,Urban
Result medical,-18.340507,87.41674,79194,2021-06-29,Desert
Camera government,20.300605,-24.494121,39833,2018-08-02,Grassland
