species,latitude,longitude,population,date,habitat
During week,-58.328518,-133.268528,33557,2021-04-06,Grassland
Cause newspaper,-35.395158,-79.620842,34979,2024-12-18,Marine
Reach who,50.689658,-173.745076,62304,2019-02-07,Wetland
Military down,36.001531,147.435856,1400,2017-04-23,Grassland
Low level,-38.382014,41.95471,4140,2018-11-11,Grassland
Protect both,-63.922993,31.070247,17566,2022-05-15,Forest
Rule include,20.407428,158.582559,43150,2016-07-21,Freshwater
Kid throw,22.739112,164.099555,7160,2017-03-11,Freshwater
Idea alone,60.258084,-132.117211,88789,2023-12-16,Grassland
Year together,45.649628,-173.957257,84520,2017-05-20,Marine
Security what,51.195373,-1.04918,4404,2023-12-10,Marine
Situation foot,38.394547,3.732521,15972,2023-08-05,Freshwater
Million receive,-14.817557,44.887502,75738,2019-07-07,Forest
Finally wear,19.449055,-85.852743,37049,2020-06-01,Desert
Adult tell,25.585938,-43.93663,25469,2020-02-21,Marine
So usually,73.860541,6.422554,75226,2020-10-21,Marine
Star discussion,-31.856631,-102.156945,61677,2019-09-27,Grassland
Impact everything,52.366444,-33.934623,345,2025-08-05,Urban
Onto whether,-70.995311,-70.699091,9173,2023-08-04,Urban
Heart else,-17.151854,-142.553653,28223,2023-09-08,Desert
Rock hand,42.412675,118.044838,5865,2021-07-29,Tundra
As paper,81.289899,0.620858,63991,2023-10-08,Marine
Note claim,-59.952579,-18.620849,20305,2020-02-07,Marine
Create oil,-63.80406,53.594298,46180,2021-09-17,Marine
Hard wall,-66.492592,52.595383,55574,2023-06-23,Forest
Different simply,-50.1872,3.897504,43331,2025-12-07,Tundra
Because scene,2.234397,20.379421,56172,2023-10-31,Urban
Argue imagine,36.495286,-23.696765,38658,2025-10-02,Freshwater
Cut push,42.290323,121.298159,3063,2021-01-15,Freshwater
Figure try,3.973948,121.480601,61779,2023-03-10,Forest
Page foreign,-20.896791,98.984942,72383,2020-07-06,Forest
Present sort,-33.715941,42.045995,8873,2024-09-07,Marine
Pick ever,-25.086755,-107.053464,10093,2024-01-10,Marine
Network chance,47.019567,141.808441,35179,2022-06-09,Urban
Real yeah,49.263372,-158.518569,79988,2024-06-17,Grassland
Many cultural,29.98956,-135.031719,74861,2018-10-14,Wetland
Memory half,52.093338,-39.266901,82673,2019-08-12,Urban
Voice inside,-6.980041,-30.655687,80357,2023-06-11,Marine
Happy professor,42.641239,-143.46926,47771,2023-09-13,Freshwater
Hour full,14.736496,141.478083,89185,2020-07-30,Urban
Heart town,11.018049,132.464789,84142,2026-02-09,Urban
Pressure outside,-50.16858,44.015152,28364,2026-04-06,Wetland
Talk black,-11.761157,-33.894869,63189,2024-01-24,Grassland
Place consider,-43.800359,140.046128,88970,2026-02-05,Desert
Large current,-27.981144,-23.576585,805,2018-05-16,Urban
End back,23.752457,-108.596395,12565,2023-11-05,Marine
Feel him,-20.140158,44.351905,71067,2022-11-06,Marine
Get reveal,-52.482579,-131.637975,64359,2023-07-14,Wetland
Require someone,0.595452,-0.615087,24934,2020-11-03,Grassland
Three crime,-58.619462,-62.474391,91676,2024-04-07,Freshwater
Start response,-24.024775,117.332722,13830,2023-03-24,Desert
Activity move,-89.684513,108.999805,20630,2025-09-20,Wetland
Buy service,-80.364954,151.062466,46207,2018-06-17,Wetland
Concern again,-57.521745,-87.19005,38245,2017-04-30,Marine
Science same,-72.150793,102.19335,58405,2023-08-01,Freshwater
Letter mission,14.247028,-29.165524,96615,2021-12-22,Tundra
Attorney top,-43.203495,135.014118,82831,2024-10-07,Freshwater
Painting task,17.832309,29.149484,11155,2021-03-23,Grassland
Mention then,-46.174685,98.283799,27930,2022-02-17,Desert
Ok woman,88.4081,177.896934,63102,2021-06-19,Freshwater
Activity pattern,-60.025492,39.709977,74494,2018-09-06,Marine
Risk better,-25.600391,-133.039863,30638,2016-09-17,Urban
Boy work,3.989381,-155.477516,42307,2017-03-10,Urban
Daughter school,12.470453,2.920068,12870,2018-12-02,Forest
Series on,6.276367,48.400887,52244,2024-04-04,Desert
Since budget,-4.519346,-158.906808,78099,2022-05-03,Tundra
Ball dark,-77.309759,38.581546,27486,2020-04-06,Desert
Commercial good,69.158564,64.415394,15980,2024-03-20,Grassland
Concern listen,-40.337784,-22.874173,82198,2016-08-30,Marine
Which ask,80.672143,26.872266,6280,2020-10-06,Freshwater
Finally without,-58.134276,55.420495,49865,2022-01-01,Freshwater
Night letter,-29.406787,-118.980772,27533,2024-10-01,Freshwater
Weight model,-45.95876,55.103634,37220,2021-12-23,Freshwater
Ground cell,-61.693038,-50.195259,44305,2026-01-05,Urban
Knowledge interest,54.501378,-17.357915,63829,2024-02-28,Tundra
Relate election,-38.386231,147.633249,27030,2023-10-01,Urban
Thought population,45.34109,-117.392829,93007,2018-03-24,Marine
News three,-33.135752,69.220521,69658,2016-12-31,Tundra
When issue,-70.735075,116.294849,92178,2021-04-17,Grassland
Learn use,55.532049,116.392232,43477,2019-06-18,Wetland
Catch about,64.43397,130.842315,63374,2021-02-05,Marine
Would develop,-72.300561,63.626807,23388,2021-04-10,Tundra
Various level,39.800587,-33.262602,82787,2018-01-27,Tundra
News pull,42.933773,80.65333,38341,2018-06-16,Forest
Pretty enough,0.490099,165.229587,71059,2026-06-08,Wetland
Course what,-10.420262,17.396556,14262,2023-03-22,Freshwater
Clear live,48.79102,-74.501444,8665,2023-04-08,Tundra
College college,-76.905144,-125.117454,2586,2025-01-29,Freshwater
Offer turn,68.721048,-179.966266,38055,2021-03-05,Forest
Attack ready,84.127475,58.749995,43091,2018-06-12,Wetland
Change education,-27.617321,-105.988769,4870,2019-03-11,Freshwater
Animal two,-10.426994,160.796659,42828,2022-08-18,Forest
Leader shoulder,-51.002366,-157.88346,52643,2024-07-11,Freshwater
Sit reach,-2.764928,-58.087719,31229,2019-01-18,Tundra
Parent turn,-49.486952,145.84365,95762,2025-07-26,Wetland
Any remember,81.611108,-162.444208,63469,2025-10-06,Marine
Mouth amount,-14.803385,-114.204515,80817,2021-02-25,Wetland
Opportunity yard,87.065242,-13.087117,29228,2025-02-10,Wetland
Right table,35.039346,-45.493533,53425,2024-04-11,Tundra
Him data,-37.199337,-35.847423,95645,2023-11-29,Wetland
Fight case,-64.226002,31.894002,54651,2022-07-30,Freshwater
Thing spring,51.953447,-166.849304,43442,2017-06-18,Urban
Quickly born,-68.060758,-93.076752,48058,2016-08-19,Marine
Network thus,0.18772,-42.766791,44604,2021-12-27,Tundra
Successful collection,5.536698,-172.929775,60999,2020-08-19,Tundra
Control help,0.253631,103.139014,40787,2018-07-01,Urban
Mrs help,-71.471855,-170.7186,61272,2020-03-04,Urban
Reduce full,70.587048,-16.504316,36563,2023-04-11,Forest
Since enough,-53.952619,154.054726,98088,2026-02-17,Urban
Century me,-7.639577,160.428078,64118,2023-05-06,Desert
Go away,63.163623,154.207863,93094,2025-11-27,Wetland
Common southern,61.124478,-78.79829,26375,2021-10-20,Urban
Occur gas,-57.752295,-45.391181,97731,2018-09-03,Desert
Here sit,-26.320629,-109.62017,63829,2021-11-01,Freshwater
Peace throw,-87.673545,-24.588083,6642,2025-09-20,Desert
Shake senior,6.655884,-178.215035,49667,2026-03-16,Desert
Expert fill,-19.470627,87.167922,12870,2017-02-23,Desert
Agency model,49.862682,158.167523,29313,2016-09-10,Grassland
Career message,-52.007068,-161.476764,43290,2021-01-09,Grassland
