species,latitude,longitude,population,date,habitat
Course pretty,-24.090213,-80.262476,59862,2019-07-06,Forest
Player wait,78.110793,60.420837,44867,2017-10-27,Forest
Tv much,71.262249,-119.026836,36569,2026-01-04,Freshwater
Main believe,-22.184187,83.610591,5224,2020-08-07,Urban
Able learn,44.124025,-93.604159,12361,2018-11-09,Tundra
Decision center,26.345388,133.609365,37818,2026-03-08,Grassland
Green tough,44.7855,8.752844,28441,2026-06-08,Grassland
Brother thousand,75.349562,-148.367622,15266,2026-05-10,Grassland
Expect case,1.679599,135.671624,45669,2018-02-21,Desert
Cover during,19.262616,115.907808,86642,2023-10-02,Urban
Yet cell,32.680871,-151.016169,17438,2024-09-23,Freshwater
Follow condition,11.49067,30.775639,34,2020-08-03,Marine
Mention wide,-35.278499,115.306361,25963,2018-03-18,Wetland
Even away,72.004909,-41.843613,33107,2026-03-19,Marine
In but,53.21024,171.714379,69033,2020-09-20,Tundra
Work head,75.843302,150.505169,44851,2017-04-04,Grassland
Notice apply,-4.389799,58.73675,22975,2018-10-07,Grassland
Situation board,33.706397,-20.327991,64989,2021-07-15,Marine
Imagine fire,-87.827222,-79.08631,77671,2017-04-25,Grassland
Maintain eye,-13.434405,-66.009144,3159,2021-01-09,Urban
Then manage,-8.42078,-79.078005,23521,2019-03-06,Urban
Model air,-63.497914,51.549238,96689,2021-01-14,Freshwater
Actually decision,-36.519626,-5.864574,76737,2021-06-25,Forest
Add alone,-75.183778,-139.417504,49598,2019-08-13,Urban
Child it,43.275825,128.755634,79599,2016-07-25,Grassland
Record others,-89.410086,38.692401,56341,2019-04-01,Urban
Above per,-38.569142,79.643693,41040,2026-02-04,Marine
Avoid plant,61.066543,44.592053,21752,2020-08-07,Desert
Job person,79.909373,1.128866,33113,2016-11-14,Desert
Forget off,33.300863,-141.566216,64462,2024-04-16,Freshwater
Just many,-2.58584,-79.42842,90100,2022-10-05,Tundra
Maintain conference,31.195022,-13.005673,61787,2021-05-05,Marine
His open,-51.208868,-23.986024,19374,2024-07-19,Desert
Consumer white,-21.694348,176.608922,83443,2020-03-06,Desert
Special officer,29.677625,-95.132762,41523,2017-12-31,Forest
Field do,13.186879,7.487953,69462,2017-11-14,Forest
Word national,29.883185,29.654214,28164,2022-01-09,Forest
Send TV,43.39829,-112.361956,37145,2022-01-23,Wetland
Health ten,23.962079,1.751301,17461,2023-10-05,Urban
Least feeling,60.95334,-42.894478,39340,2025-09-30,Freshwater
Report near,5.210152,87.073753,33184,2025-11-02,Forest
Six road,-67.174397,-84.387356,35883,2016-09-22,Desert
Large structure,-19.172624,45.478476,51573,2021-03-24,Grassland
Career hospital,-70.904466,116.208546,53493,2022-09-10,Grassland
No I,-16.954389,128.473105,53421,2022-10-27,Wetland
Billion sense,18.808523,-130.893975,11254,2024-01-31,Urban
Understand everyone,49.73254,60.514049,3923,2020-08-12,Wetland
Anything military,-72.946034,-16.013868,96660,2025-09-26,Freshwater
Rock individual,87.981462,-131.069089,52619,2026-07-05,Desert
Respond quality,-62.201867,159.697573,37609,2020-06-20,Grassland
Policy question,52.07213,-131.112185,14984,2017-11-19,Grassland
Entire off,-61.377682,163.689058,70002,2019-11-17,Forest
Glass already,46.015867,-59.550599,25886,2023-07-07,Tundra
Glass security,1.249572,-51.335231,61420,2021-07-20,Urban
Involve your,70.17684,135.67271,18743,2019-02-08,Grassland
Computer care,2.553569,144.280916,61130,2025-05-07,Freshwater
Small woman,-14.239032,79.03974,33922,2017-12-19,Tundra
Future when,-47.396947,-40.987269,917,2019-07-15,Tundra
Say push,-26.060601,-43.770473,58421,2019-12-06,Grassland
About suddenly,21.113969,93.331441,56907,2022-05-08,Urban
Local too,3.063082,19.087155,53630,2026-05-14,Tundra
Wife point,-11.917341,-172.023964,25236,2020-06-29,Freshwater
Difference class,-47.89834,57.067007,6578,2021-07-07,Forest
Level manage,-7.034058,136.322992,71346,2024-09-30,Marine
Strong seem,1.004195,14.716321,16896,2016-10-22,Desert
Nice worker,-35.918565,-2.870965,8231,2019-07-26,Tundra
Again across,-51.556368,37.854564,6836,2016-11-28,Urban
Near spring,24.616688,157.050977,92221,2024-10-10,Grassland
Talk important,-63.816432,-113.931005,69750,2020-04-06,Marine
Class trial,-48.277913,-151.450059,17194,2021-11-07,Marine
Seat again,-4.407495,58.180927,29532,2017-03-21,Forest
Money work,-38.730852,158.227182,60266,2016-12-25,Marine
Run single,-17.564976,-43.638542,48184,2023-09-15,Urban
Month you,-47.866926,151.140052,73761,2023-07-01,Desert
Pressure up,-44.533195,-73.637606,96101,2019-03-20,Forest
Investment election,-40.780681,26.526977,83768,2022-04-24,Forest
Prevent risk,-45.647713,-38.577707,97127,2025-10-23,Freshwater
Member treat,-48.641706,-91.556304,52542,2024-08-10,Freshwater
Student stuff,-45.13776,-98.948789,98879,2018-09-03,Tundra
In treatment,-17.715261,84.119857,40098,2024-06-19,Grassland
Practice time,55.182824,-151.993107,11746,2023-01-03,Forest
Alone daughter,-68.296818,-75.15892,46806,2025-09-08,Forest
Article collection,3.464907,88.299417,16097,2026-03-24,Grassland
Guy court,50.445879,175.212774,72260,2019-10-19,Urban
Remember arm,-41.0374,153.595722,69516,2023-09-27,Tundra
Behavior project,69.8598,18.399512,15939,2026-06-15,Desert
Prove threat,3.224196,-139.48571,15238,2021-06-27,Grassland
Me recent,14.8195,98.721314,23733,2025-11-12,Urban
Organization relationship,54.782611,-101.869067,92666,2019-08-13,Grassland
Type idea,33.867677,84.118956,77502,2024-12-24,Marine
Along successful,33.71858,-51.48261,7254,2025-05-15,Forest
Meeting benefit,18.60647,171.590796,56638,2018-10-02,Desert
Dark various,12.204229,87.60523,89715,2021-06-16,Wetland
Art physical,17.585839,130.352733,71679,2019-01-17,Grassland
