species,latitude,longitude,population,date,habitat
Key character,1.685727,19.825539,84817,2022-03-18,Desert
Four voice,10.413614,-119.618239,37955,2022-02-01,Desert
Five western,-76.213063,-97.666659,83190,2024-09-22,Freshwater
Chance stay,-44.514349,24.199387,86855,2021-05-27,Wetland
Blue happen,-32.351572,46.402895,24593,2017-12-05,Urban
Quality generation,-12.348993,13.409852,13297,2019-07-28,Desert
Affect subject,-20.444191,-153.411258,38066,2024-05-19,Marine
Idea organization,81.37848,170.803657,18528,2024-03-12,Freshwater
You require,70.626602,-126.965842,95477,2025-05-16,Freshwater
Seem allow,-10.861705,12.612191,62881,2021-11-01,Freshwater
Relationship especially,88.154499,115.61729,6381,2025-07-15,Forest
Mr practice,35.690812,-170.284817,91553,2018-05-04,Marine
Sort end,-12.147062,1.968592,48459,2019-01-05,Freshwater
Type against,83.238811,-146.068628,48412,2026-05-07,Tundra
Past employee,-51.748272,49.010515,69804,2017-06-23,Marine
Ahead leader,28.99662,4.617581,12240,2018-11-07,Wetland
Group serve,13.979055,-37.943952,60087,2020-05-31,Wetland
Be indeed,-32.854589,-10.694309,95324,2022-01-05,Desert
Thus ball,85.339623,176.415717,54917,2016-11-16,Marine
Sister sure,48.110616,-48.630548,56952,2025-12-08,Desert
Community board,-56.960528,-124.121931,29012,2017-03-08,Urban
Sister traditional,-85.855157,-44.064513,35366,2021-03-17,Marine
Young same,52.638517,-133.00071,65916,2023-04-10,Tundra
Attorney full,26.356003,-111.694662,95912,2022-01-16,Forest
Road contain,27.790309,-73.776281,48479,2017-08-29,Wetland
Tax continue,28.31991,71.667746,42029,2026-04-07,Desert
Place staff,-7.116892,-13.323096,93145,2022-10-25,Wetland
How else,-66.428338,57.598389,90930,2022-02-12,Urban
Guy tonight,-83.365532,125.196798,55396,2019-04-27,Freshwater
As shoulder,-1.329682,-171.885321,21460,2018-03-23,Freshwater
Many discussion,64.027199,2.308137,66991,2018-02-21,Wetland
Believe type,1.998806,34.183483,90681,2024-07-07,Wetland
School try,37.5802,98.486274,39706,2025-10-06,Tundra
Third be,-24.713611,80.550277,51331,2023-05-31,Urban
Response serious,-38.033408,144.89136,28205,2024-09-17,Wetland
Action information,41.084595,-31.957725,10331,2017-08-29,Urban
Work old,-78.461727,107.489935,65956,2022-01-09,Marine
Defense fall,-26.007855,-79.914065,33458,2023-07-12,Freshwater
Future nature,-87.382903,67.819454,50155,2024-01-28,Wetland
Agency sound,-42.352319,5.623459,86505,2016-11-21,Forest
Statement woman,-44.03471,-130.060086,86068,2016-11-29,Tundra
Front thank,68.926325,113.738157,46659,2024-08-29,Desert
Which though,-16.527081,111.142582,83809,2017-01-06,Tundra
Hotel free,10.907244,177.001475,35611,2025-07-19,Marine
Animal lawyer,-10.374017,-150.35106,39221,2018-03-24,Marine
Skill prevent,34.392482,9.204798,60131,2017-08-10,Tundra
Suffer same,-81.928064,67.278998,2205,2019-08-27,Freshwater
Teach public,-60.548411,-35.341575,97892,2019-06-01,Desert
Everybody discussion,-44.216433,-163.622194,73156,2023-10-13,Urban
Energy lawyer,-67.915299,34.522734,17579,2024-11-25,Forest
Kitchen difficult,-50.081835,-129.93434,44231,2025-01-23,Desert
Not scientist,82.131083,-157.998149,41309,2018-11-10,Tundra
Drop point,15.86843,175.794151,9707,2026-06-28,Desert
Lot certain,87.437888,45.983501,95017,2024-04-24,Grassland
Inside performance,63.523628,-66.505084,80586,2022-08-04,Freshwater
Science travel,-74.114593,19.978817,27884,2023-12-12,Grassland
Trial find,0.071281,-23.058593,49158,2020-03-12,Wetland
South training,47.493552,74.880863,83017,2026-01-27,Tundra
Hear nice,-60.93288,114.687806,33661,2025-03-11,Forest
Along democratic,72.784106,52.827927,59449,2022-05-17,Forest
Full director,-15.165961,-132.338893,19657,2024-11-11,Tundra
Book media,-6.574643,167.74724,76004,2018-12-23,Wetland
Strategy law,-61.253054,-65.909107,30678,2023-05-02,Desert
Air him,11.548052,-113.985872,91549,2022-10-03,Wetland
Amount explain,-70.704026,-158.869681,37431,2017-06-24,Forest
And history,4.574919,-70.518876,4442,2018-09-17,Freshwater
Report fish,85.842087,24.395911,41404,2018-09-07,Tundra
Care week,31.952994,-9.542504,89269,2022-05-10,Forest
Describe yard,54.478779,-65.253791,18834,2023-07-12,Wetland
Picture size,-27.544964,-30.554069,29958,2023-07-13,Wetland
Institution major,64.766945,-132.559735,62268,2018-08-09,Tundra
Yeah agree,-6.044197,145.553123,81041,2020-02-07,Forest
Cost suggest,34.264303,1.379424,424,2017-10-02,Urban
Case sing,31.463823,116.364841,15845,2024-03-31,Tundra
Resource page,83.840927,-31.031682,67562,2019-01-28,Grassland
Offer teacher,10.425792,58.55658,30041,2018-03-06,Urban
Trip recently,44.241302,-60.45632,77565,2026-07-16,Urban
Environmental threat,-20.836688,116.006711,55312,2021-08-24,Desert
Walk front,68.860129,-126.437767,12024,2022-04-22,Grassland
None work,-77.593208,141.178908,84027,2023-05-25,Marine
Add major,-40.020147,137.315547,11119,2019-06-28,Marine
Dark boy,34.116175,-106.108895,44074,2021-02-06,Forest
Tough compare,11.804095,108.330524,42138,2023-06-03,Grassland
Mrs put,-59.577861,6.742559,72659,2018-07-25,Tundra
Some region,29.811055,3.164961,37603,2019-08-06,Marine
Similar president,-83.892022,-119.561318,63617,2023-07-17,Forest
Allow west,-76.481342,-105.718325,33139,2026-03-09,Freshwater
Ago prevent,-59.697471,-151.074962,51224,2017-09-26,Grassland
Executive meet,-76.322633,28.405345,74895,2018-04-02,Wetland
Weight whole,43.278502,-47.721292,1322,2020-01-03,Freshwater
Off without,-84.119843,-120.11422,45447,2016-12-19,Desert
Fall attorney,40.488353,60.632284,16361,2019-06-03,Tundra
Race commercial,-2.725749,-69.399245,64174,2021-07-10,Desert
Scene I,-84.536221,111.88412,78146,2022-08-03,Forest
Ahead catch,19.260659,-10.627498,90736,2018-11-15,Desert
Past really,-82.889815,-53.25401,58324,2024-06-03,Tundra
Outside increase,21.234736,-64.396905,33582,2020-08-27,Forest
Arm perhaps,36.184841,158.586689,75146,2024-02-08,Forest
Professor ball,28.642771,10.262732,4310,2020-01-24,Marine
The practice,-57.679069,80.223721,79865,2026-03-13,Freshwater
Her democratic,-44.676669,-94.616069,56150,2023-10-23,Wetland
Own country,0.765425,60.555617,10054,2017-10-31,Forest
Member state,61.767979,-108.775752,65597,2023-12-02,Forest
