species,latitude,longitude,population,date,habitat
Force yes,26.360938,-104.17582,69586,2017-06-06,Marine
Strong fast,67.604041,145.81036,45935,2020-06-03,Marine
Career very,-70.752172,-175.306222,66884,2021-12-01,Grassland
Entire society,63.85768,59.172083,35600,2019-09-12,Urban
Up wife,-64.976386,-93.355131,25326,2023-04-17,Marine
Never realize,87.527366,-128.699154,3409,2020-05-09,Forest
Information their,84.254609,-6.940099,5120,2025-11-10,Tundra
Despite already,-61.007684,71.848969,89191,2016-07-27,Marine
Item sometimes,-36.747134,-43.966789,50437,2023-03-20,Forest
Community adult,71.291495,-44.239042,15700,2024-04-29,Grassland
Difficult response,-34.874954,-96.883563,31895,2022-10-11,Marine
Pull budget,-51.215773,13.151721,12878,2025-05-17,Marine
Subject western,3.857436,-97.842705,3177,2023-08-05,Desert
Light dog,-8.311857,158.262543,2143,2023-09-08,Freshwater
Fund treat,-11.246157,53.330201,20988,2026-03-17,Desert
Poor decade,44.490763,149.388502,93555,2020-07-16,Grassland
Father chance,-48.609187,43.289604,23724,2016-11-13,Marine
Wind face,16.476541,139.507656,30166,2025-03-18,Freshwater
Difference red,7.429259,-19.889003,46845,2019-03-01,Grassland
Kitchen where,65.987043,119.526563,29061,2021-03-05,Tundra
However general,86.556278,-107.102715,24241,2020-02-22,Desert
Public watch,78.530893,-143.678132,45285,2020-07-07,Urban
Ten part,-20.044062,118.974115,83882,2021-12-17,Marine
Agent along,54.535893,6.937854,63834,2025-11-28,Urban
Open body,31.965482,84.306478,95141,2016-08-19,Grassland
Hard describe,86.615675,114.821658,5149,2023-12-12,Forest
City wife,10.292075,-93.842657,38273,2024-08-29,Marine
State later,57.786169,-83.155726,56206,2019-09-25,Freshwater
Sport ok,-86.730176,73.844891,61685,2020-05-12,Desert
Up child,-12.827518,-54.182832,28202,2024-02-29,Marine
Ground worker,18.969062,-1.938302,37929,2026-06-13,Forest
Explain station,51.377814,25.058144,90193,2021-09-13,Grassland
Eye three,-73.55057,153.485287,83636,2019-09-30,Desert
Big skin,-2.549274,67.062025,13732,2024-04-18,Wetland
Industry hundred,-70.192896,23.309297,49071,2022-09-26,Wetland
Name fish,40.790791,157.814737,5833,2025-08-30,Desert
People word,-36.492016,57.229612,93373,2017-01-04,Tundra
Series risk,-48.289445,-9.984401,38330,2017-05-04,Forest
Write draw,3.287636,-51.79255,95492,2018-06-04,Tundra
Clearly cold,-38.430797,57.26709,54110,2022-11-09,Marine
Them population,-84.995172,132.665229,92091,2022-12-16,Grassland
Off involve,-55.81808,31.521501,89710,2025-12-13,Grassland
Magazine trip,-14.826839,106.939534,32720,2022-05-15,Grassland
Full according,15.7363,-47.013693,12436,2020-03-16,Urban
Small board,-21.218796,13.496924,36325,2018-10-26,Urban
Crime some,-45.115058,107.691967,8315,2018-07-18,Marine
Nor fire,4.186645,130.641146,13353,2026-04-29,Marine
Standard listen,-56.112316,158.086108,93548,2022-10-10,Desert
Cause future,81.393672,141.092025,25894,2017-01-23,Forest
