species,latitude,longitude,population,date,habitat
Feeling role,-81.584273,-158.902674,84941,2023-04-29,Marine
Be safe,-29.942636,-69.704844,67662,2021-03-21,Freshwater
Which line,-71.913626,56.831603,5347,2017-03-14,Urban
Us hard,47.330654,-160.830852,11176,2018-07-04,Freshwater
Quality off,53.857554,83.222727,4059,2020-10-11,Wetland
Human investment,-88.312413,-133.830988,1450,2020-06-28,Freshwater
Lose chair,-28.631312,-1.870715,13583,2016-07-20,Wetland
Father street,34.255589,164.895415,28680,2022-01-11,Wetland
Of during,11.527509,-120.021661,13505,2024-12-02,Freshwater
Table we,55.080258,-92.795859,28581,2026-04-24,Tundra
Laugh follow,77.549691,15.538787,86639,2023-09-22,Grassland
Service dog,78.930371,97.522838,91260,2020-07-06,Urban
Source television,16.194925,-129.755466,38037,2021-07-15,Urban
Over less,-46.746379,-137.257305,21219,2021-10-23,Freshwater
Chair watch,2.964925,79.719359,10488,2017-04-20,Grassland
Star trial,-65.123692,-65.446176,56716,2016-08-27,Urban
Prepare see,50.278996,145.648244,5488,2021-11-20,Tundra
Physical identify,-65.215552,12.540016,99018,2025-10-23,Marine
Person number,52.298206,-9.83568,83037,2016-08-28,Marine
Order anyone,25.698053,-64.417504,66530,2026-03-15,Freshwater
Particular when,-54.987058,-160.316753,14055,2020-12-18,Wetland
Similar dream,-57.065598,149.601175,39357,2018-11-27,Forest
Woman very,85.936765,162.075374,17265,2018-09-19,Forest
Agency indeed,-30.002582,14.31258,16883,2020-02-13,Marine
Morning type,-18.834051,87.561582,6622,2019-04-30,Tundra
Industry American,-0.416676,22.609537,57210,2024-09-14,Wetland
Painting fish,76.925685,24.909404,31522,2024-12-11,Forest
According hair,-37.289039,14.761805,38151,2024-02-09,Freshwater
Process money,83.817089,-175.6433,33806,2023-11-15,Wetland
Ahead turn,69.395075,-77.471818,73798,2023-06-27,Freshwater
Attention partner,47.005819,1.979401,87698,2026-04-28,Forest
Whether on,64.172912,159.914812,34574,2024-12-18,Wetland
Forward brother,-51.092412,95.406707,66864,2018-09-21,Freshwater
Hear yes,-87.220593,-92.469208,34960,2020-08-09,Forest
Success blood,63.886948,114.085802,44809,2016-08-25,Forest
Member although,31.434705,-40.584848,50764,2017-02-18,Wetland
Trouble whole,17.203852,132.529172,27033,2023-04-11,Wetland
