species,latitude,longitude,population,date,habitat
Pressure soon,52.59667,-69.043196,38368,2016-08-13,Marine
Ability make,19.258534,178.203503,37443,2025-09-13,Desert
Present hot,88.254285,-66.880131,56600,2022-10-05,Forest
Out prove,-64.953249,162.729443,3780,2026-02-02,Freshwater
Party teacher,66.29894,75.847759,360,2020-05-19,Marine
Fill serious,35.769919,163.116666,729,2021-07-26,Desert
Himself those,52.296763,12.675732,46536,2022-11-05,Freshwater
Past close,-47.230269,-119.200958,90431,2018-07-07,Freshwater
Sign exactly,-2.207474,-48.870231,59175,2021-10-18,Tundra
Seat detail,47.565668,-77.929111,54661,2022-07-26,Desert
Indeed really,0.910346,61.079475,59902,2019-09-09,Grassland
Ten moment,-0.179273,-133.259292,79948,2019-05-23,Grassland
Animal conference,59.034373,139.345091,61430,2021-05-30,Wetland
Use job,79.703854,116.99545,41286,2025-01-13,Freshwater
Bank left,23.460137,-44.649411,4991,2021-01-14,Freshwater
Kind hard,-23.135165,-137.162708,39393,2024-05-03,Marine
Reality our,-22.10868,-71.700034,42073,2016-12-13,Freshwater
What help,-40.114863,43.121336,30651,2021-02-01,Desert
At reality,72.623293,36.098762,84889,2020-10-19,Urban
Floor successful,-72.069111,-132.331873,79372,2026-01-26,Urban
Agree what,30.3486,-145.594568,76514,2019-07-04,Wetland
Item sign,30.840346,-85.68266,50780,2021-07-18,Forest
Edge piece,-63.12352,171.032454,84604,2026-03-17,Wetland
Who change,-24.907892,145.515352,74281,2023-05-10,Freshwater
Ready sense,4.865694,-176.101274,90646,2018-06-23,Wetland
Machine two,-36.032639,-170.361476,78845,2021-01-20,Forest
Hand onto,-47.262391,-23.152687,83021,2018-11-23,Freshwater
Often require,19.577664,-77.037037,59328,2020-07-14,Tundra
President stock,-80.64843,58.044877,23721,2019-11-12,Forest
Able stay,46.222298,-164.377076,85695,2025-11-24,Marine
Truth professor,80.880893,89.887419,37467,2016-12-25,Urban
Tend enter,-7.997945,-140.128193,90217,2019-10-04,Freshwater
Task themselves,-28.821035,32.034112,13633,2023-09-01,Urban
Why grow,80.219262,-133.950567,65485,2018-03-24,Desert
Prepare box,58.931472,5.103704,59222,2018-07-08,Marine
Interesting plan,0.667861,-4.461565,74044,2017-06-19,Forest
Series bring,43.157044,-69.046897,78220,2019-09-28,Desert
Degree plan,-50.125281,142.186091,18335,2024-06-17,Wetland
Different thank,65.565474,-154.767934,463,2018-05-30,Grassland
Hair next,10.891128,-142.092288,77710,2025-07-15,Marine
The respond,25.092792,121.12995,57379,2021-07-03,Freshwater
He together,-0.617674,23.564439,14872,2023-07-28,Freshwater
Wish accept,-59.907358,-92.456032,79037,2017-10-14,Urban
Family live,-23.849,-138.759708,19821,2025-02-16,Tundra
Section travel,-84.614716,18.911355,84592,2016-07-27,Urban
Large any,-54.923796,-177.327159,79981,2024-09-27,Urban
Sign pull,20.121176,143.384726,13185,2024-10-16,Freshwater
Away pressure,-82.985437,174.154838,21968,2021-11-07,Grassland
