species,latitude,longitude,population,date,habitat
By commercial,37.117561,-82.922859,27006,2022-08-31,Wetland
Free discover,-79.421169,15.911343,10554,2021-01-18,Grassland
Piece inside,-64.552087,-104.642724,54343,2022-02-05,Tundra
Community candidate,-24.961798,96.511309,40633,2022-11-05,Grassland
Case machine,-30.291265,-106.25238,57475,2021-01-24,Tundra
Meet discussion,-54.658523,71.358784,57040,2018-12-23,Marine
Grow ask,-78.749626,-26.223471,57181,2024-11-17,Forest
If team,66.534344,26.348051,95929,2022-07-31,Desert
Society training,-7.632328,-161.804686,58749,2026-06-25,Forest
Determine away,-52.265133,-48.461481,78688,2017-12-22,Marine
Others her,85.894709,-132.814929,87790,2019-04-30,Tundra
Own run,83.443128,101.135306,99078,2024-11-11,Marine
Particular point,-75.753505,-58.483429,94283,2019-06-25,Desert
Significant generation,-10.137951,-41.013214,27395,2024-01-12,Freshwater
Think body,24.615179,14.946725,87112,2023-06-14,Marine
News economic,-47.371955,163.370887,65046,2024-02-13,Desert
Nice success,-11.426674,-153.043351,46873,2021-04-03,Desert
Miss radio,63.400484,82.352232,37217,2020-05-16,Desert
Office million,-3.007281,39.821696,15998,2017-08-12,Wetland
Task medical,81.532385,100.606455,63316,2021-01-26,Grassland
Alone summer,-24.09302,-118.878798,32780,2019-09-15,Desert
Book rate,-88.437202,-30.810929,4646,2017-03-25,Tundra
Morning north,-40.115692,-71.372286,93523,2023-09-13,Freshwater
Partner wonder,-70.856525,-158.477405,17250,2018-05-20,Marine
Moment include,-7.554476,36.482872,82962,2016-10-12,Grassland
City service,-53.567938,59.324075,16878,2022-05-12,Desert
Recent majority,64.622662,-160.501045,11802,2023-11-02,Grassland
Where store,-9.752635,111.411922,85426,2023-09-29,Desert
Side take,-56.445237,-31.049853,67410,2021-11-11,Wetland
Reason yet,-45.144429,-110.940722,76168,2018-09-03,Desert
Head deal,49.287404,-151.653342,72772,2019-10-19,Tundra
Find beautiful,80.323661,132.534195,45597,2025-06-16,Forest
Live because,-12.906504,175.922626,48645,2024-01-16,Forest
Rock town,32.080137,-116.398513,75697,2021-05-13,Tundra
Or visit,33.085264,10.665111,71718,2025-05-13,Forest
Evening exactly,-32.519878,4.702855,83691,2023-01-22,Desert
Tonight include,49.270824,21.873575,41052,2022-07-29,Desert
Ground two,69.793734,47.158039,77747,2016-11-07,Desert
Culture need,73.062203,149.535083,57431,2023-03-05,Grassland
Red take,21.141654,50.083394,16202,2019-10-25,Forest
It manager,-53.514554,164.208312,24161,2020-09-28,Marine
Show general,32.09101,115.359363,6426,2019-11-17,Marine
Administration author,15.436496,-75.738843,15890,2017-03-17,Freshwater
Trade brother,-34.439367,119.207415,92402,2017-09-05,Freshwater
Modern interest,24.248552,-18.964819,40092,2026-01-04,Marine
Garden sound,60.514852,-169.182679,83894,2025-01-22,Urban
Similar edge,82.891676,-42.664806,94003,2020-10-29,Desert
Main fear,65.793132,-172.483808,73144,2020-09-25,Urban
Produce realize,-73.715877,-133.350753,32411,2017-04-08,Desert
Home production,-86.000159,-19.008618,43988,2021-05-28,Wetland
