species,latitude,longitude,population,date,habitat
Table last,55.054613,-75.868962,24375,2016-08-26,Grassland
Material along,63.94219,14.048373,36906,2025-05-20,Grassland
Group rather,-80.058854,-147.092517,98624,2024-10-18,Marine
Want remain,-82.860049,-17.549089,84895,2020-11-13,Wetland
Area see,51.924856,-3.527696,9701,2017-01-11,Marine
Situation item,-45.919982,145.157538,87347,2020-03-16,Wetland
Movement body,25.986145,-162.35686,38112,2023-09-24,Wetland
Camera best,73.59164,147.281862,14845,2019-08-17,Tundra
Power add,-49.905018,-111.030619,66590,2018-04-17,Wetland
Out across,-28.179145,-162.446332,38480,2021-02-13,Grassland
Would south,-55.120856,-16.458723,14356,2024-03-19,Marine
Billion suggest,42.266353,73.301423,59378,2018-04-13,Urban
Including writer,-59.158251,-110.917323,69187,2023-05-30,Tundra
Make central,-51.80458,46.152616,59763,2017-12-13,Urban
Sell argue,4.972461,69.35638,87162,2019-07-30,Wetland
Perform scene,-88.809087,-111.162342,4880,2021-11-06,Grassland
Through tough,53.005815,30.74344,59115,2024-06-19,Marine
Tax out,-78.72913,76.069149,41395,2016-09-13,Forest
Assume dream,47.937301,39.106747,46437,2020-10-12,Tundra
Including performance,16.052185,-132.235308,64690,2016-12-04,Forest
Within television,6.666253,134.006208,79574,2023-04-02,Urban
Development Congress,14.830098,133.200893,50659,2021-01-12,Urban
Significant short,41.030446,-49.886337,32196,2019-07-24,Desert
Open use,75.607361,55.466458,82626,2017-11-27,Marine
Amount well,68.590862,-64.898893,4734,2025-09-11,Tundra
Open opportunity,-55.98465,-174.249723,3721,2019-03-30,Forest
Recently economy,-77.110653,-103.547351,52117,2019-06-17,Urban
Develop century,-62.461962,152.114183,72142,2024-06-26,Marine
Real us,-48.881034,-170.713712,38969,2018-02-05,Marine
Everything could,-19.669233,-174.936771,63787,2016-10-11,Forest
Large available,-15.924829,-93.11311,77737,2018-11-08,Grassland
Say population,-35.413389,145.706791,27547,2022-06-12,Urban
Ability everyone,15.074619,-150.223315,8937,2025-10-04,Desert
Local food,-48.245263,166.948278,72900,2021-10-07,Freshwater
Different catch,28.434185,30.775188,96315,2021-09-02,Marine
Teacher final,70.913045,47.79972,58381,2024-04-23,Freshwater
Raise goal,77.273171,-165.164866,11753,2025-11-05,Urban
Help push,25.889859,12.851113,19512,2023-05-09,Urban
Compare positive,-12.867399,34.803976,24439,2021-05-13,Wetland
Drive suddenly,29.501504,129.887256,65737,2018-08-04,Freshwater
Wear outside,19.024983,-139.473811,21647,2016-08-24,Wetland
Animal forget,-36.554819,167.839561,47803,2023-12-03,Tundra
Economic very,-80.749436,-136.174183,47719,2017-07-25,Tundra
Down detail,-85.959237,-91.050692,38901,2021-12-23,Marine
Step medical,-50.103096,-73.011869,71241,2025-01-11,Desert
Establish possible,24.579281,51.465104,40483,2018-11-16,Wetland
Though present,57.608895,71.130323,16304,2021-07-21,Forest
History organization,-27.490772,-67.706218,62560,2018-05-08,Tundra
Rise pull,-35.741406,157.374604,81971,2020-11-06,Freshwater
Sit reveal,-61.861911,-177.93256,49847,2023-03-30,Desert
Manager over,-64.401601,17.507588,49643,2016-08-22,Grassland
President end,-67.996737,-124.106032,63574,2017-08-14,Grassland
Want I,9.481926,-108.144648,73935,2024-11-17,Marine
International deep,-27.685307,-105.551177,43749,2026-02-21,Urban
Hour most,-37.049399,-45.044877,36711,2019-07-15,Wetland
What place,85.004565,28.310446,78325,2023-07-09,Urban
Discuss anyone,12.967039,-15.618864,40573,2018-09-24,Grassland
Improve age,-66.610404,145.977318,55274,2017-04-15,Forest
Six white,4.443669,-157.825163,24246,2022-01-28,Urban
Mrs charge,-87.335545,37.058622,47018,2017-06-02,Desert
