species,latitude,longitude,population,date,habitat
Citizen test,10.843847,-75.770833,36548,2021-06-18,Wetland
Prepare customer,33.778659,-162.31391,24606,2025-04-14,Forest
Field all,75.265909,-124.568636,81009,2020-11-16,Desert
Spend often,-14.094588,168.22314,52788,2022-12-13,Tundra
We catch,-62.671095,96.349853,62799,2023-12-16,Marine
End government,-39.906558,7.111544,83608,2026-02-04,Freshwater
Floor campaign,-59.141994,0.328584,24781,2026-01-11,Grassland
Here what,1.399408,108.255095,58171,2021-09-09,Freshwater
How write,77.44548,-73.35423,37155,2016-09-09,Tundra
Lead goal,77.352442,109.688451,57591,2019-06-11,Freshwater
Some campaign,-27.222914,55.49474,21768,2022-08-27,Desert
New leader,36.387478,-61.970599,34856,2018-10-28,Freshwater
Create figure,19.920847,2.543726,3328,2020-10-11,Wetland
Visit system,-61.295365,-55.459276,19839,2019-10-03,Urban
Blood arrive,-60.475251,86.675663,24798,2017-07-29,Desert
Many explain,-68.08262,4.748571,66747,2026-04-09,Urban
Rest meet,64.063191,-59.463708,49110,2021-01-24,Freshwater
Wait training,-29.489901,84.278604,9675,2019-10-20,Wetland
Go at,67.945135,-40.80596,28735,2021-05-04,Urban
Sometimes side,-13.224629,-131.038927,49645,2025-11-02,Marine
Four past,-20.443333,144.578019,78651,2019-01-25,Urban
Trial right,-60.797113,-132.98607,97889,2017-10-06,Forest
Too no,65.341166,179.310154,52513,2019-10-05,Urban
Result home,57.583928,63.07522,49784,2018-02-20,Grassland
Under compare,-9.426551,-136.161461,38985,2022-10-13,Forest
Fast statement,56.197235,-163.478164,39042,2024-07-27,Freshwater
Rock within,32.649151,-97.595972,462,2019-08-23,Desert
Toward theory,-2.749712,-3.61064,7574,2026-03-18,Tundra
Yeah light,68.076817,-165.211639,93260,2023-08-06,Forest
Only interest,20.776597,-151.421412,13988,2019-05-09,Tundra
Process ready,-1.81497,-171.581768,81293,2019-12-30,Grassland
Respond far,20.100546,-22.938945,22530,2023-02-27,Freshwater
Do treatment,67.559726,-21.977723,93153,2018-05-08,Forest
Where past,59.208235,-83.079798,87881,2022-10-05,Wetland
Red from,41.740681,-93.716233,37230,2021-03-17,Tundra
Never stay,-41.260166,-20.812183,79948,2017-05-07,Marine
Voice science,-19.626607,146.332646,62167,2021-07-26,Wetland
Evening run,45.784637,-124.868566,48411,2026-03-16,Grassland
Quite various,42.583364,160.064689,56378,2023-12-20,Tundra
Page real,-28.953562,-138.246159,80140,2020-12-26,Forest
Community year,-1.936997,19.052921,72620,2018-05-13,Urban
Ball national,50.717063,18.117161,80957,2023-09-08,Grassland
Force rest,26.050772,93.622292,712,2019-07-19,Desert
Something once,-74.528981,-41.373332,58137,2025-12-26,Wetland
Plan society,31.882899,-48.903253,87787,2019-09-24,Urban
Early office,-35.205411,106.770768,75045,2023-03-22,Urban
Pass its,-62.725566,104.683997,24794,2022-06-21,Wetland
Her stand,78.307913,-69.015264,16402,2016-10-31,Desert
Even executive,39.709135,-31.220553,23498,2021-07-29,Forest
Painting around,75.783651,-20.582101,29297,2025-06-21,Grassland
Money image,14.284123,76.055489,80290,2020-04-12,Desert
Turn car,-79.977661,-130.809948,53517,2026-07-12,Tundra
Serve team,-37.543766,-12.113747,21920,2018-09-19,Marine
Television trouble,37.257605,15.750671,42896,2020-03-22,Grassland
Just majority,-12.753197,-119.315704,11218,2018-04-26,Tundra
Support employee,15.255667,-145.696652,72163,2023-10-17,Marine
Wide tend,-86.776304,46.358677,67190,2022-04-15,Grassland
