species,latitude,longitude,population,date,habitat
Clear play,72.221632,-112.37247,26320,2022-07-10,Desert
Compare reflect,63.818927,-118.546134,10749,2022-01-01,Desert
West campaign,-58.854793,-103.945352,68133,2016-10-26,Freshwater
Case court,-57.88054,-29.299269,9221,2023-04-08,Grassland
Impact protect,26.320305,-154.604474,97557,2018-08-31,Forest
Board question,83.813384,129.786548,32008,2025-07-19,Desert
Expert finally,-61.976049,93.749759,95615,2026-05-05,Wetland
Only pass,74.496217,107.588732,69670,2020-06-16,Forest
Southern just,52.813927,-88.114201,54165,2023-04-27,Grassland
Senior pattern,-31.540511,161.23199,64541,2024-07-08,Urban
Seek international,-80.700241,164.604552,71189,2024-10-25,Tundra
Until full,15.503263,146.94385,25528,2018-09-17,Tundra
Political contain,60.372458,126.096157,99058,2023-08-01,Freshwater
Room film,-3.268473,-176.405518,21698,2020-01-23,Forest
Street record,8.463024,-9.224574,2391,2021-11-08,Marine
Individual how,-0.440028,-161.503412,1788,2022-08-28,Marine
Fish no,-28.436766,78.225822,53295,2025-04-09,Urban
Level meet,22.75698,161.356353,82966,2017-08-06,Freshwater
Number reflect,27.12232,-3.090566,10860,2021-09-30,Tundra
Street instead,-45.066683,2.841251,70253,2016-12-28,Forest
Later magazine,57.512761,57.607244,85329,2020-10-22,Urban
Close resource,87.662569,-78.633239,32579,2020-08-21,Tundra
Determine task,25.450405,117.000401,72577,2020-12-02,Marine
Player music,60.249149,-71.301257,12391,2018-09-15,Forest
Phone table,-36.66989,-72.147407,19834,2021-02-10,Desert
Feel attention,-2.524345,-158.427365,41223,2017-11-05,Desert
Capital suggest,60.35021,139.430566,27498,2025-02-10,Urban
Employee various,-18.62535,177.822283,16907,2023-08-28,Urban
Short story,-43.691345,-35.377673,46390,2022-09-13,Tundra
I type,80.153525,-106.535175,39021,2017-12-27,Grassland
Common suddenly,-77.070038,113.921031,77908,2021-01-10,Tundra
Sense foreign,-1.704334,46.573306,46065,2018-03-10,Wetland
Think make,-55.786752,47.873855,51545,2019-10-18,Wetland
Ask detail,-29.154273,-29.308862,48884,2019-07-30,Tundra
Audience laugh,74.473966,-97.590467,60569,2022-03-03,Grassland
Type should,85.894109,-62.638256,24933,2025-03-12,Grassland
Tell adult,14.14395,-141.235829,50814,2020-11-18,Forest
Sea training,-82.0431,-61.934096,25562,2019-04-13,Marine
Near everything,58.606184,-134.326887,14373,2018-01-11,Desert
Relationship in,65.91886,-165.011846,11267,2019-01-05,Freshwater
Piece rule,-67.529143,140.230208,52943,2025-09-04,Desert
Republican amount,56.576458,80.489962,2353,2018-12-10,Grassland
Generation buy,-53.924193,10.511946,41591,2023-04-01,Freshwater
Move moment,-40.0485,172.958788,52553,2023-07-02,Wetland
Forward standard,-74.03778,133.771539,11921,2017-11-29,Wetland
Teacher imagine,-67.961823,-63.928638,96348,2022-08-23,Urban
