species,latitude,longitude,population,date,habitat
Action result,38.232235,161.112612,16944,2020-10-11,Grassland
Somebody amount,9.111782,145.103069,96839,2026-02-01,Wetland
Apply throw,-13.760806,-147.959355,44563,2020-06-29,Desert
Inside field,-14.747319,95.00833,97965,2024-10-20,Desert
Within so,56.477224,56.234198,48654,2021-05-21,Forest
True its,86.19249,-62.528391,33214,2023-02-01,Marine
Right medical,-76.051534,-14.126762,68058,2017-10-12,Tundra
Loss rule,-13.23163,-21.966061,15380,2019-03-28,Grassland
Paper rather,-39.454061,-116.855038,67706,2016-12-08,Tundra
Bit probably,-61.78801,-8.516674,8661,2023-10-07,Forest
However professional,53.228153,-173.87438,59017,2026-04-14,Tundra
Eight four,-33.377525,173.90854,78931,2023-10-29,Desert
Partner lead,30.830442,125.734516,81832,2021-10-19,Tundra
Culture management,-80.365205,96.932372,24275,2022-11-20,Freshwater
Especially by,-26.609134,108.168909,11182,2023-10-24,Tundra
Fight season,-63.068733,166.196413,46744,2021-05-18,Tundra
Him class,-71.880522,169.205064,98794,2016-08-28,Desert
Reach however,49.772973,12.17767,76276,2024-02-26,Tundra
Once road,-5.34362,-36.854664,30072,2023-08-15,Freshwater
Century law,10.790609,-96.488436,35669,2024-01-03,Tundra
Toward allow,72.529467,175.818515,39193,2020-02-13,Forest
Do institution,-7.46806,-45.670728,56736,2018-09-10,Marine
Federal school,2.464685,-82.136893,64544,2017-01-11,Wetland
Money travel,-66.233986,64.159475,26780,2018-10-12,Forest
Cut season,-7.825594,4.190751,17659,2021-07-18,Freshwater
Wait its,-35.513361,-32.655503,24117,2019-08-17,Wetland
Single religious,-39.696067,-140.168154,50801,2017-09-12,Marine
His everybody,14.014206,51.421318,71786,2026-03-15,Forest
Kitchen floor,-86.980462,161.86259,22032,2024-08-18,Marine
Even person,-61.712054,176.075972,83756,2023-06-17,Tundra
Bank concern,-73.400267,-65.295473,6669,2019-08-29,Marine
Admit most,59.570157,116.087696,96032,2024-10-29,Desert
Notice industry,34.698909,3.081835,20141,2017-10-15,Forest
It station,57.751648,55.230009,62195,2020-06-08,Desert
Dream task,-67.723986,11.351246,62005,2022-12-19,Tundra
Tax claim,-33.652623,-73.779726,29050,2026-04-18,Wetland
Image stand,77.245085,-53.073951,83595,2021-04-14,Tundra
Hear glass,-37.541443,96.417389,49065,2026-03-03,Tundra
Base think,78.905651,35.008787,20977,2024-06-14,Marine
After seven,46.014834,-67.365455,16591,2023-11-03,Grassland
Charge read,-6.264215,99.157768,74186,2018-11-18,Marine
