strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_877,Bacillus,goal,Negative,Aerobic,6.13
STR_811,Streptococcus,eight,Positive,Aerobic,7.82
STR_385,Clostridium,approach,Positive,Facultative Anaerobe,8.38
STR_588,Staphylococcus,idea,Negative,Microaerophilic,5.66
STR_725,Streptococcus,degree,Positive,Aerobic,7.88
STR_944,Staphylococcus,director,Positive,Microaerophilic,8.45
STR_978,Streptococcus,tough,Positive,Facultative Anaerobe,4.45
STR_685,Pseudomonas,popular,Positive,Facultative Anaerobe,7.53
STR_303,Lactobacillus,sit,Negative,Microaerophilic,1.55
STR_746,Staphylococcus,speak,Negative,Microaerophilic,1.48
STR_886,Streptococcus,medical,Negative,Aerobic,2.9
STR_360,Clostridium,song,Negative,Aerobic,2.94
STR_104,Pseudomonas,development,Positive,Facultative Anaerobe,1.72
STR_431,Pseudomonas,avoid,Negative,Microaerophilic,5.28
STR_844,Bacillus,specific,Positive,Facultative Anaerobe,9.33
STR_722,Streptococcus,century,Positive,Anaerobic,7.31
STR_481,Streptococcus,employee,Negative,Aerobic,9.33
STR_937,Pseudomonas,term,Positive,Facultative Anaerobe,8.6
STR_357,Lactobacillus,fly,Positive,Aerobic,8.84
STR_348,Staphylococcus,finish,Positive,Anaerobic,8.22
STR_301,Staphylococcus,threat,Positive,Aerobic,8.26
STR_332,Bacillus,possible,Positive,Facultative Anaerobe,6.51
STR_919,Streptococcus,power,Negative,Aerobic,0.62
STR_217,Bacillus,yet,Positive,Microaerophilic,3.12
STR_476,Pseudomonas,increase,Positive,Facultative Anaerobe,4.77
STR_368,Staphylococcus,far,Positive,Anaerobic,7.49
STR_202,Bacillus,other,Positive,Facultative Anaerobe,4.64
STR_228,Clostridium,authority,Negative,Microaerophilic,3.94
STR_189,Clostridium,mention,Negative,Microaerophilic,8.38
STR_551,Streptococcus,trial,Positive,Facultative Anaerobe,3.89
STR_137,Bacillus,later,Positive,Facultative Anaerobe,8.22
STR_888,Bacillus,politics,Positive,Microaerophilic,8.59
STR_286,Streptococcus,teach,Positive,Aerobic,5.68
STR_401,Streptococcus,after,Positive,Aerobic,2.75
STR_883,Pseudomonas,easy,Negative,Anaerobic,1.09
STR_383,Bacillus,top,Negative,Facultative Anaerobe,8.63
STR_909,Pseudomonas,state,Positive,Anaerobic,4.99
STR_533,Clostridium,real,Positive,Facultative Anaerobe,7.56
STR_779,Streptococcus,firm,Negative,Microaerophilic,8.5
STR_861,Streptococcus,after,Positive,Aerobic,0.75
STR_982,Lactobacillus,his,Positive,Aerobic,2.11
STR_357,Staphylococcus,perhaps,Positive,Anaerobic,1.38
STR_730,Pseudomonas,agree,Positive,Microaerophilic,9.28
STR_946,Clostridium,magazine,Negative,Microaerophilic,2.94
STR_446,Streptococcus,college,Negative,Microaerophilic,1.07
STR_337,Lactobacillus,baby,Negative,Facultative Anaerobe,2.0
STR_713,Bacillus,guy,Negative,Aerobic,8.56
STR_684,Streptococcus,computer,Negative,Microaerophilic,6.09
STR_984,Streptococcus,heavy,Negative,Aerobic,3.0
STR_922,Bacillus,role,Negative,Microaerophilic,4.0
STR_720,Pseudomonas,reflect,Positive,Facultative Anaerobe,1.41
STR_312,Streptococcus,very,Positive,Aerobic,5.39
STR_120,Staphylococcus,receive,Negative,Anaerobic,0.8
STR_731,Clostridium,feel,Positive,Anaerobic,8.85
STR_331,Streptococcus,simply,Positive,Anaerobic,3.35
STR_680,Staphylococcus,this,Negative,Microaerophilic,5.43
