strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_265,Bacillus,meet,Positive,Microaerophilic,2.29
STR_253,Pseudomonas,stay,Positive,Microaerophilic,4.85
STR_837,Staphylococcus,year,Positive,Anaerobic,2.75
STR_253,Clostridium,apply,Negative,Aerobic,3.01
STR_858,Streptococcus,no,Negative,Anaerobic,2.72
STR_101,Streptococcus,nothing,Negative,Anaerobic,9.17
STR_540,Bacillus,tell,Positive,Aerobic,5.69
STR_440,Clostridium,offer,Negative,Facultative Anaerobe,6.82
STR_782,Lactobacillus,nothing,Negative,Facultative Anaerobe,1.42
STR_445,Pseudomonas,goal,Positive,Microaerophilic,3.75
STR_116,Streptococcus,act,Negative,Facultative Anaerobe,3.33
STR_659,Staphylococcus,trouble,Positive,Aerobic,1.57
STR_966,Lactobacillus,if,Negative,Facultative Anaerobe,6.31
STR_889,Bacillus,only,Negative,Facultative Anaerobe,1.02
STR_362,Clostridium,response,Positive,Aerobic,8.54
STR_118,Pseudomonas,season,Positive,Microaerophilic,9.73
STR_455,Streptococcus,change,Negative,Anaerobic,5.37
STR_318,Lactobacillus,probably,Positive,Anaerobic,6.93
STR_657,Pseudomonas,through,Positive,Anaerobic,8.39
STR_383,Streptococcus,else,Positive,Aerobic,9.76
STR_570,Lactobacillus,perform,Negative,Facultative Anaerobe,3.34
STR_361,Clostridium,mean,Positive,Anaerobic,2.36
STR_500,Lactobacillus,case,Positive,Facultative Anaerobe,9.28
STR_755,Lactobacillus,finally,Positive,Anaerobic,7.36
STR_382,Lactobacillus,enough,Negative,Facultative Anaerobe,7.75
STR_788,Bacillus,loss,Positive,Microaerophilic,2.48
STR_886,Bacillus,vote,Negative,Facultative Anaerobe,6.6
STR_533,Staphylococcus,along,Positive,Microaerophilic,9.7
STR_619,Pseudomonas,partner,Negative,Microaerophilic,5.99
STR_982,Bacillus,close,Negative,Facultative Anaerobe,7.08
STR_908,Streptococcus,daughter,Positive,Aerobic,7.72
STR_541,Clostridium,develop,Negative,Anaerobic,4.76
STR_685,Staphylococcus,onto,Positive,Microaerophilic,0.64
STR_893,Streptococcus,must,Negative,Facultative Anaerobe,4.61
STR_816,Lactobacillus,try,Negative,Aerobic,0.83
STR_884,Lactobacillus,discuss,Negative,Facultative Anaerobe,0.8
STR_117,Bacillus,edge,Positive,Anaerobic,5.48
STR_238,Lactobacillus,for,Positive,Microaerophilic,8.49
STR_639,Staphylococcus,position,Positive,Microaerophilic,7.18
STR_224,Bacillus,human,Negative,Microaerophilic,1.77
STR_272,Clostridium,place,Positive,Facultative Anaerobe,5.72
STR_487,Bacillus,first,Positive,Aerobic,1.41
STR_475,Streptococcus,camera,Positive,Facultative Anaerobe,5.4
STR_373,Streptococcus,very,Negative,Microaerophilic,4.18
STR_103,Pseudomonas,environment,Positive,Facultative Anaerobe,7.03
STR_103,Pseudomonas,bag,Positive,Anaerobic,4.66
STR_270,Clostridium,seem,Positive,Microaerophilic,5.35
STR_942,Streptococcus,stay,Positive,Aerobic,8.43
