strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_611,Clostridium,audience,Negative,Anaerobic,6.63
STR_882,Streptococcus,get,Positive,Aerobic,8.7
STR_622,Streptococcus,fly,Negative,Anaerobic,5.99
STR_405,Streptococcus,kind,Positive,Facultative Anaerobe,6.04
STR_735,Pseudomonas,believe,Negative,Facultative Anaerobe,1.24
STR_615,Streptococcus,job,Negative,Anaerobic,4.04
STR_297,Lactobacillus,real,Positive,Facultative Anaerobe,3.13
STR_340,Staphylococcus,they,Positive,Microaerophilic,4.64
STR_101,Streptococcus,near,Negative,Microaerophilic,8.87
STR_828,Staphylococcus,result,Negative,Aerobic,9.13
STR_952,Pseudomonas,campaign,Positive,Aerobic,5.58
STR_842,Clostridium,military,Negative,Aerobic,7.23
STR_835,Streptococcus,PM,Positive,Facultative Anaerobe,4.29
STR_715,Bacillus,arm,Negative,Anaerobic,8.82
STR_549,Lactobacillus,minute,Positive,Microaerophilic,1.09
STR_346,Bacillus,always,Positive,Facultative Anaerobe,4.37
STR_331,Bacillus,debate,Negative,Microaerophilic,5.72
STR_482,Streptococcus,fast,Positive,Aerobic,0.5
STR_138,Clostridium,admit,Positive,Microaerophilic,3.08
STR_584,Clostridium,as,Negative,Facultative Anaerobe,1.69
STR_917,Pseudomonas,level,Negative,Microaerophilic,4.91
STR_621,Clostridium,catch,Negative,Microaerophilic,8.45
STR_456,Staphylococcus,this,Positive,Anaerobic,1.63
STR_608,Lactobacillus,politics,Negative,Anaerobic,1.54
STR_490,Bacillus,high,Positive,Aerobic,3.27
STR_382,Lactobacillus,impact,Positive,Aerobic,1.08
STR_741,Lactobacillus,really,Positive,Microaerophilic,7.42
STR_742,Clostridium,here,Negative,Facultative Anaerobe,1.42
STR_582,Bacillus,four,Positive,Aerobic,2.65
STR_327,Bacillus,hundred,Negative,Microaerophilic,2.33
STR_629,Lactobacillus,method,Positive,Microaerophilic,3.17
STR_931,Clostridium,decision,Positive,Anaerobic,1.53
STR_114,Clostridium,clearly,Negative,Facultative Anaerobe,3.3
STR_681,Streptococcus,science,Negative,Aerobic,8.14
STR_811,Pseudomonas,material,Positive,Aerobic,9.71
STR_442,Lactobacillus,issue,Positive,Facultative Anaerobe,7.89
STR_191,Pseudomonas,wall,Negative,Anaerobic,3.03
STR_827,Lactobacillus,he,Negative,Aerobic,7.96
STR_441,Pseudomonas,serious,Negative,Aerobic,8.81
STR_503,Lactobacillus,important,Positive,Anaerobic,8.43
STR_549,Pseudomonas,term,Negative,Microaerophilic,3.51
STR_155,Clostridium,cost,Positive,Microaerophilic,4.58
STR_161,Pseudomonas,again,Negative,Facultative Anaerobe,6.19
STR_903,Staphylococcus,perform,Positive,Anaerobic,3.93
STR_730,Streptococcus,company,Negative,Facultative Anaerobe,1.81
STR_926,Bacillus,voice,Negative,Microaerophilic,7.18
STR_886,Staphylococcus,share,Positive,Microaerophilic,5.26
STR_206,Streptococcus,west,Negative,Microaerophilic,7.18
STR_763,Streptococcus,wish,Positive,Anaerobic,5.99
STR_184,Clostridium,agreement,Positive,Facultative Anaerobe,0.52
