strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_543,Clostridium,development,Negative,Aerobic,7.46
STR_615,Bacillus,success,Positive,Anaerobic,9.76
STR_806,Bacillus,standard,Positive,Facultative Anaerobe,5.54
STR_291,Pseudomonas,professional,Positive,Microaerophilic,5.02
STR_839,Streptococcus,training,Negative,Facultative Anaerobe,8.67
STR_936,Bacillus,subject,Positive,Anaerobic,0.69
STR_911,Lactobacillus,whether,Positive,Facultative Anaerobe,2.04
STR_762,Pseudomonas,account,Negative,Anaerobic,3.86
STR_317,Clostridium,care,Positive,Aerobic,5.03
STR_212,Staphylococcus,remember,Negative,Aerobic,1.33
STR_271,Bacillus,billion,Positive,Aerobic,7.25
STR_906,Staphylococcus,consumer,Negative,Anaerobic,4.74
STR_421,Streptococcus,world,Positive,Anaerobic,6.35
STR_314,Clostridium,month,Positive,Microaerophilic,1.06
STR_748,Pseudomonas,PM,Positive,Anaerobic,7.36
STR_389,Staphylococcus,state,Negative,Anaerobic,1.34
STR_251,Clostridium,think,Negative,Anaerobic,6.82
STR_504,Staphylococcus,exist,Positive,Microaerophilic,1.1
STR_767,Lactobacillus,bag,Negative,Aerobic,4.03
STR_936,Streptococcus,might,Negative,Facultative Anaerobe,1.18
STR_278,Pseudomonas,parent,Positive,Aerobic,8.56
STR_293,Pseudomonas,appear,Positive,Microaerophilic,1.26
STR_749,Pseudomonas,store,Positive,Facultative Anaerobe,4.73
STR_486,Pseudomonas,change,Negative,Aerobic,1.58
STR_159,Bacillus,offer,Negative,Anaerobic,9.66
STR_722,Pseudomonas,hair,Negative,Microaerophilic,8.17
STR_451,Clostridium,certainly,Negative,Aerobic,9.05
STR_765,Streptococcus,heavy,Negative,Aerobic,4.35
STR_277,Clostridium,guy,Negative,Aerobic,9.35
STR_570,Pseudomonas,cause,Negative,Anaerobic,0.84
STR_906,Streptococcus,deep,Positive,Aerobic,9.94
STR_926,Lactobacillus,forget,Positive,Aerobic,7.31
STR_675,Clostridium,data,Positive,Facultative Anaerobe,4.63
STR_717,Staphylococcus,cell,Positive,Anaerobic,1.26
STR_559,Clostridium,lead,Negative,Anaerobic,5.96
STR_364,Lactobacillus,light,Positive,Facultative Anaerobe,3.58
STR_882,Clostridium,he,Positive,Facultative Anaerobe,3.09
STR_180,Bacillus,big,Positive,Facultative Anaerobe,0.76
STR_167,Pseudomonas,top,Positive,Microaerophilic,6.32
STR_432,Staphylococcus,let,Positive,Anaerobic,5.94
STR_702,Bacillus,onto,Negative,Microaerophilic,0.76
STR_507,Pseudomonas,Congress,Positive,Microaerophilic,4.91
STR_398,Streptococcus,laugh,Positive,Anaerobic,1.56
STR_114,Streptococcus,you,Positive,Aerobic,4.19
STR_351,Bacillus,billion,Negative,Microaerophilic,3.47
STR_377,Clostridium,art,Positive,Aerobic,5.51
