strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_270,Bacillus,fear,Negative,Anaerobic,5.1
STR_551,Pseudomonas,heart,Negative,Aerobic,6.75
STR_469,Pseudomonas,understand,Negative,Microaerophilic,9.34
STR_111,Lactobacillus,building,Positive,Aerobic,6.45
STR_549,Pseudomonas,trial,Positive,Aerobic,2.32
STR_837,Lactobacillus,wind,Negative,Aerobic,4.54
STR_269,Streptococcus,me,Negative,Anaerobic,7.43
STR_746,Lactobacillus,ask,Positive,Anaerobic,6.18
STR_230,Clostridium,near,Negative,Aerobic,1.14
STR_132,Bacillus,night,Positive,Aerobic,2.53
STR_384,Bacillus,song,Negative,Facultative Anaerobe,9.39
STR_468,Streptococcus,culture,Negative,Anaerobic,9.36
STR_997,Pseudomonas,manager,Negative,Facultative Anaerobe,5.09
STR_190,Streptococcus,rich,Negative,Anaerobic,5.17
STR_240,Bacillus,energy,Negative,Aerobic,8.85
STR_839,Clostridium,become,Positive,Anaerobic,6.46
STR_478,Lactobacillus,together,Negative,Anaerobic,6.47
STR_427,Bacillus,land,Positive,Microaerophilic,4.63
STR_790,Pseudomonas,long,Positive,Anaerobic,1.9
STR_371,Staphylococcus,cover,Negative,Microaerophilic,6.58
STR_420,Staphylococcus,political,Negative,Aerobic,7.76
STR_142,Bacillus,meeting,Positive,Facultative Anaerobe,5.96
STR_530,Streptococcus,memory,Negative,Microaerophilic,7.51
STR_595,Clostridium,fly,Positive,Facultative Anaerobe,0.62
STR_826,Lactobacillus,nothing,Positive,Facultative Anaerobe,4.62
STR_974,Lactobacillus,defense,Negative,Aerobic,9.09
STR_101,Clostridium,none,Positive,Microaerophilic,6.47
STR_480,Streptococcus,without,Positive,Facultative Anaerobe,3.65
STR_152,Clostridium,down,Negative,Anaerobic,6.71
STR_560,Lactobacillus,than,Positive,Anaerobic,4.62
STR_776,Streptococcus,rise,Positive,Facultative Anaerobe,1.85
STR_317,Staphylococcus,culture,Positive,Facultative Anaerobe,9.92
STR_312,Staphylococcus,method,Negative,Aerobic,7.52
STR_230,Clostridium,senior,Positive,Aerobic,3.19
STR_218,Clostridium,from,Negative,Aerobic,9.67
STR_466,Clostridium,huge,Negative,Microaerophilic,4.64
STR_714,Staphylococcus,force,Negative,Aerobic,8.61
STR_290,Staphylococcus,green,Positive,Aerobic,2.6
STR_568,Lactobacillus,religious,Negative,Facultative Anaerobe,2.54
STR_508,Lactobacillus,reveal,Negative,Facultative Anaerobe,1.82
STR_599,Staphylococcus,let,Negative,Facultative Anaerobe,8.4
STR_267,Clostridium,only,Positive,Microaerophilic,3.58
STR_186,Staphylococcus,drug,Positive,Aerobic,3.91
STR_363,Pseudomonas,through,Negative,Aerobic,7.29
STR_104,Streptococcus,old,Positive,Aerobic,5.15
STR_197,Lactobacillus,population,Positive,Anaerobic,7.41
STR_309,Pseudomonas,role,Positive,Microaerophilic,4.85
STR_221,Staphylococcus,beyond,Negative,Facultative Anaerobe,7.81
STR_146,Staphylococcus,court,Negative,Anaerobic,7.67
STR_730,Staphylococcus,my,Negative,Microaerophilic,1.13
STR_293,Streptococcus,movement,Negative,Microaerophilic,1.37
STR_481,Lactobacillus,those,Positive,Aerobic,3.75
STR_922,Clostridium,full,Positive,Facultative Anaerobe,2.67
STR_660,Pseudomonas,society,Negative,Anaerobic,3.78
STR_718,Lactobacillus,letter,Positive,Microaerophilic,9.93
STR_575,Clostridium,education,Negative,Anaerobic,0.53
STR_999,Clostridium,level,Negative,Microaerophilic,5.2
STR_665,Bacillus,address,Positive,Anaerobic,4.68
STR_188,Bacillus,billion,Positive,Facultative Anaerobe,6.21
STR_997,Clostridium,leave,Positive,Microaerophilic,8.53
STR_333,Bacillus,for,Positive,Aerobic,2.0
STR_682,Bacillus,enjoy,Positive,Microaerophilic,7.42
STR_894,Streptococcus,former,Positive,Aerobic,8.11
STR_688,Pseudomonas,positive,Positive,Facultative Anaerobe,3.77
STR_658,Clostridium,particularly,Positive,Microaerophilic,8.47
STR_784,Streptococcus,long,Positive,Microaerophilic,0.57
STR_448,Bacillus,few,Positive,Facultative Anaerobe,9.3
STR_887,Clostridium,cut,Negative,Facultative Anaerobe,2.24
STR_569,Streptococcus,animal,Positive,Anaerobic,0.57
STR_944,Lactobacillus,stage,Negative,Facultative Anaerobe,7.06
