strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_593,Lactobacillus,conference,Positive,Microaerophilic,4.28
STR_788,Pseudomonas,American,Negative,Microaerophilic,6.74
STR_482,Streptococcus,consumer,Negative,Aerobic,5.1
STR_628,Lactobacillus,really,Negative,Aerobic,5.38
STR_354,Staphylococcus,fact,Positive,Anaerobic,1.72
STR_255,Streptococcus,then,Negative,Facultative Anaerobe,9.93
STR_274,Streptococcus,upon,Positive,Facultative Anaerobe,1.5
STR_737,Streptococcus,campaign,Negative,Aerobic,8.08
STR_806,Lactobacillus,federal,Positive,Anaerobic,7.54
STR_583,Streptococcus,thing,Positive,Aerobic,8.27
STR_816,Clostridium,everyone,Negative,Anaerobic,5.69
STR_593,Lactobacillus,without,Negative,Anaerobic,6.12
STR_267,Pseudomonas,receive,Negative,Microaerophilic,0.66
STR_515,Clostridium,social,Negative,Facultative Anaerobe,5.19
STR_240,Staphylococcus,eat,Negative,Facultative Anaerobe,8.65
STR_235,Pseudomonas,when,Positive,Facultative Anaerobe,2.67
STR_608,Pseudomonas,case,Negative,Aerobic,2.22
STR_825,Clostridium,less,Positive,Aerobic,6.05
STR_677,Streptococcus,particularly,Positive,Microaerophilic,4.99
STR_594,Pseudomonas,into,Positive,Microaerophilic,5.23
STR_479,Streptococcus,democratic,Negative,Facultative Anaerobe,3.02
STR_649,Bacillus,political,Negative,Anaerobic,7.16
STR_417,Staphylococcus,continue,Negative,Microaerophilic,1.91
STR_597,Pseudomonas,chance,Negative,Aerobic,1.69
STR_131,Pseudomonas,enjoy,Negative,Anaerobic,3.5
STR_668,Pseudomonas,wonder,Negative,Facultative Anaerobe,9.88
STR_495,Pseudomonas,soldier,Positive,Facultative Anaerobe,1.07
STR_737,Staphylococcus,sound,Negative,Aerobic,0.98
STR_623,Streptococcus,threat,Positive,Anaerobic,1.11
STR_351,Staphylococcus,under,Positive,Microaerophilic,6.16
STR_931,Streptococcus,knowledge,Positive,Microaerophilic,6.21
STR_896,Pseudomonas,color,Negative,Facultative Anaerobe,1.82
STR_237,Clostridium,pressure,Negative,Anaerobic,1.85
STR_555,Staphylococcus,land,Negative,Anaerobic,7.76
STR_416,Clostridium,buy,Negative,Aerobic,3.86
STR_290,Lactobacillus,bag,Negative,Aerobic,2.58
STR_155,Staphylococcus,couple,Positive,Microaerophilic,2.97
STR_246,Clostridium,these,Positive,Anaerobic,5.05
STR_774,Streptococcus,visit,Positive,Microaerophilic,4.6
STR_674,Bacillus,bank,Negative,Microaerophilic,4.86
STR_810,Staphylococcus,choice,Positive,Anaerobic,7.53
STR_588,Streptococcus,brother,Positive,Facultative Anaerobe,2.76
STR_145,Pseudomonas,capital,Negative,Microaerophilic,9.44
STR_113,Staphylococcus,safe,Positive,Anaerobic,3.77
STR_859,Clostridium,floor,Positive,Aerobic,1.44
STR_905,Staphylococcus,work,Negative,Facultative Anaerobe,3.07
STR_465,Pseudomonas,window,Positive,Microaerophilic,4.73
STR_825,Bacillus,hour,Positive,Anaerobic,1.34
STR_837,Staphylococcus,source,Negative,Anaerobic,2.55
STR_524,Clostridium,suddenly,Negative,Microaerophilic,1.66
STR_821,Lactobacillus,above,Positive,Microaerophilic,8.02
STR_599,Pseudomonas,personal,Negative,Facultative Anaerobe,2.1
STR_515,Pseudomonas,partner,Negative,Microaerophilic,9.05
STR_291,Pseudomonas,industry,Positive,Anaerobic,8.1
STR_544,Clostridium,almost,Negative,Aerobic,1.37
STR_672,Clostridium,natural,Positive,Facultative Anaerobe,3.12
STR_285,Pseudomonas,finish,Negative,Anaerobic,7.52
STR_673,Pseudomonas,most,Positive,Aerobic,8.26
STR_411,Streptococcus,husband,Positive,Microaerophilic,4.21
STR_501,Bacillus,hot,Negative,Facultative Anaerobe,2.05
STR_560,Clostridium,economic,Positive,Microaerophilic,7.5
STR_920,Streptococcus,side,Positive,Anaerobic,7.57
STR_920,Pseudomonas,direction,Positive,Aerobic,5.31
STR_796,Lactobacillus,time,Negative,Facultative Anaerobe,5.0
STR_424,Bacillus,who,Negative,Anaerobic,1.94
STR_610,Staphylococcus,community,Positive,Aerobic,1.96
STR_338,Clostridium,bring,Positive,Facultative Anaerobe,4.08
STR_712,Lactobacillus,write,Negative,Aerobic,8.32
STR_806,Lactobacillus,source,Negative,Aerobic,2.88
STR_323,Pseudomonas,north,Negative,Anaerobic,5.12
STR_890,Staphylococcus,stage,Negative,Anaerobic,5.12
STR_862,Staphylococcus,season,Positive,Microaerophilic,2.83
STR_516,Staphylococcus,course,Positive,Anaerobic,9.72
STR_613,Bacillus,through,Positive,Microaerophilic,5.25
STR_981,Bacillus,physical,Positive,Facultative Anaerobe,1.17
STR_202,Lactobacillus,manager,Positive,Aerobic,8.5
STR_435,Lactobacillus,paper,Positive,Facultative Anaerobe,8.7
STR_623,Pseudomonas,position,Negative,Aerobic,4.6
STR_317,Pseudomonas,begin,Positive,Microaerophilic,3.05
STR_674,Pseudomonas,national,Positive,Anaerobic,4.58
STR_811,Bacillus,indicate,Negative,Aerobic,1.95
STR_778,Clostridium,let,Positive,Aerobic,1.52
STR_190,Pseudomonas,account,Negative,Anaerobic,9.5
STR_430,Streptococcus,teacher,Positive,Anaerobic,2.28
STR_947,Pseudomonas,picture,Negative,Microaerophilic,2.11
STR_233,Pseudomonas,pass,Negative,Aerobic,2.93
STR_392,Staphylococcus,pick,Negative,Microaerophilic,3.3
STR_744,Pseudomonas,show,Negative,Microaerophilic,4.55
