strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_402,Streptococcus,seek,Negative,Anaerobic,2.8
STR_866,Streptococcus,figure,Negative,Aerobic,3.25
STR_713,Staphylococcus,network,Negative,Microaerophilic,1.68
STR_186,Clostridium,analysis,Negative,Facultative Anaerobe,2.51
STR_840,Bacillus,spring,Negative,Microaerophilic,6.99
STR_826,Lactobacillus,everybody,Negative,Facultative Anaerobe,2.16
STR_851,Streptococcus,structure,Positive,Microaerophilic,3.78
STR_375,Staphylococcus,laugh,Negative,Anaerobic,1.93
STR_275,Clostridium,pressure,Positive,Microaerophilic,8.38
STR_502,Streptococcus,news,Positive,Facultative Anaerobe,8.62
STR_771,Lactobacillus,participant,Positive,Facultative Anaerobe,1.07
STR_697,Staphylococcus,lose,Positive,Anaerobic,9.78
STR_834,Lactobacillus,newspaper,Negative,Anaerobic,6.2
STR_701,Bacillus,good,Positive,Aerobic,2.5
STR_655,Lactobacillus,give,Positive,Aerobic,8.58
STR_530,Pseudomonas,stuff,Negative,Facultative Anaerobe,8.34
STR_136,Lactobacillus,rate,Negative,Facultative Anaerobe,9.84
STR_810,Streptococcus,this,Positive,Facultative Anaerobe,9.05
STR_680,Lactobacillus,hot,Negative,Facultative Anaerobe,2.0
STR_775,Staphylococcus,law,Negative,Facultative Anaerobe,7.34
STR_526,Lactobacillus,instead,Negative,Aerobic,6.78
STR_324,Clostridium,bad,Negative,Anaerobic,1.17
STR_530,Streptococcus,adult,Positive,Anaerobic,7.57
STR_676,Staphylococcus,likely,Negative,Aerobic,1.82
STR_315,Clostridium,light,Negative,Aerobic,8.26
STR_323,Lactobacillus,view,Negative,Microaerophilic,0.52
STR_754,Staphylococcus,leave,Negative,Microaerophilic,9.09
STR_964,Clostridium,shake,Negative,Anaerobic,6.65
STR_159,Bacillus,court,Positive,Aerobic,0.99
STR_254,Bacillus,itself,Negative,Facultative Anaerobe,6.48
STR_743,Bacillus,instead,Positive,Aerobic,5.02
STR_335,Streptococcus,lead,Positive,Microaerophilic,6.41
STR_279,Clostridium,same,Positive,Anaerobic,0.83
STR_226,Streptococcus,produce,Positive,Anaerobic,1.45
STR_690,Pseudomonas,method,Positive,Aerobic,1.49
STR_694,Lactobacillus,citizen,Negative,Microaerophilic,8.55
STR_325,Staphylococcus,however,Negative,Microaerophilic,8.68
STR_676,Streptococcus,represent,Positive,Aerobic,3.08
STR_325,Clostridium,candidate,Negative,Microaerophilic,1.0
STR_673,Lactobacillus,point,Negative,Facultative Anaerobe,9.19
STR_284,Lactobacillus,special,Positive,Facultative Anaerobe,4.92
STR_304,Lactobacillus,herself,Positive,Facultative Anaerobe,3.94
STR_966,Pseudomonas,those,Negative,Facultative Anaerobe,4.0
STR_196,Bacillus,civil,Negative,Aerobic,4.81
STR_463,Clostridium,treatment,Positive,Microaerophilic,9.15
STR_633,Pseudomonas,miss,Positive,Aerobic,8.56
STR_928,Streptococcus,fly,Negative,Facultative Anaerobe,5.88
STR_999,Clostridium,nor,Negative,Anaerobic,5.18
STR_858,Bacillus,for,Negative,Anaerobic,3.06
STR_867,Lactobacillus,event,Negative,Microaerophilic,2.08
STR_348,Pseudomonas,staff,Negative,Anaerobic,4.3
STR_249,Streptococcus,third,Negative,Facultative Anaerobe,1.88
STR_820,Clostridium,may,Positive,Facultative Anaerobe,7.96
STR_991,Streptococcus,institution,Negative,Anaerobic,7.7
STR_308,Bacillus,home,Negative,Microaerophilic,9.67
STR_599,Bacillus,floor,Positive,Facultative Anaerobe,2.89
STR_682,Streptococcus,try,Positive,Microaerophilic,3.48
STR_836,Pseudomonas,value,Positive,Aerobic,9.04
STR_140,Pseudomonas,run,Positive,Facultative Anaerobe,1.95
STR_845,Streptococcus,as,Positive,Microaerophilic,3.78
STR_812,Bacillus,husband,Negative,Anaerobic,1.3
STR_214,Streptococcus,performance,Positive,Facultative Anaerobe,8.14
STR_112,Staphylococcus,major,Positive,Facultative Anaerobe,2.48
STR_560,Clostridium,stop,Positive,Anaerobic,8.1
STR_561,Staphylococcus,early,Positive,Anaerobic,6.5
STR_677,Lactobacillus,build,Negative,Anaerobic,9.59
STR_157,Clostridium,hope,Positive,Facultative Anaerobe,4.77
STR_589,Pseudomonas,well,Negative,Microaerophilic,7.74
STR_932,Lactobacillus,put,Negative,Microaerophilic,4.91
STR_504,Lactobacillus,attorney,Positive,Aerobic,6.18
STR_540,Pseudomonas,face,Positive,Aerobic,4.02
STR_709,Bacillus,rest,Positive,Microaerophilic,9.53
STR_962,Clostridium,stock,Positive,Anaerobic,6.86
STR_442,Bacillus,court,Positive,Anaerobic,3.48
STR_992,Bacillus,white,Negative,Anaerobic,2.97
STR_377,Staphylococcus,suffer,Positive,Facultative Anaerobe,9.69
STR_504,Bacillus,actually,Negative,Microaerophilic,5.18
STR_480,Pseudomonas,among,Positive,Aerobic,5.73
STR_991,Lactobacillus,world,Negative,Anaerobic,4.3
STR_655,Bacillus,kid,Positive,Aerobic,8.32
STR_829,Lactobacillus,ok,Negative,Microaerophilic,2.51
STR_748,Pseudomonas,start,Negative,Microaerophilic,4.01
