strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_166,Pseudomonas,material,Negative,Aerobic,2.12
STR_933,Lactobacillus,dream,Positive,Microaerophilic,1.34
STR_863,Pseudomonas,perhaps,Positive,Facultative Anaerobe,6.49
STR_234,Lactobacillus,them,Negative,Microaerophilic,8.14
STR_127,Bacillus,type,Negative,Microaerophilic,1.29
STR_674,Pseudomonas,believe,Negative,Microaerophilic,2.41
STR_444,Bacillus,education,Negative,Microaerophilic,9.8
STR_859,Streptococcus,soon,Positive,Facultative Anaerobe,6.28
STR_527,Bacillus,whom,Negative,Anaerobic,6.29
STR_712,Pseudomonas,cold,Negative,Microaerophilic,6.19
STR_720,Bacillus,bring,Positive,Anaerobic,2.53
STR_873,Bacillus,notice,Negative,Anaerobic,5.13
STR_492,Clostridium,amount,Negative,Anaerobic,1.05
STR_628,Streptococcus,call,Negative,Facultative Anaerobe,6.6
STR_138,Streptococcus,form,Positive,Aerobic,3.82
STR_813,Streptococcus,three,Positive,Aerobic,1.26
STR_987,Streptococcus,building,Positive,Anaerobic,1.52
STR_790,Pseudomonas,compare,Positive,Facultative Anaerobe,3.09
STR_622,Pseudomonas,add,Negative,Aerobic,2.62
STR_187,Pseudomonas,phone,Positive,Aerobic,6.93
STR_826,Clostridium,have,Positive,Microaerophilic,8.24
STR_589,Clostridium,little,Negative,Aerobic,6.41
STR_368,Staphylococcus,PM,Positive,Facultative Anaerobe,5.27
STR_669,Pseudomonas,market,Negative,Facultative Anaerobe,4.45
STR_520,Bacillus,serve,Negative,Microaerophilic,3.7
STR_946,Streptococcus,wind,Positive,Anaerobic,9.34
STR_273,Streptococcus,continue,Negative,Aerobic,3.54
STR_485,Staphylococcus,now,Positive,Facultative Anaerobe,3.12
STR_557,Staphylococcus,ok,Negative,Microaerophilic,5.97
STR_354,Pseudomonas,cultural,Negative,Facultative Anaerobe,4.51
STR_691,Clostridium,food,Negative,Microaerophilic,9.13
STR_644,Staphylococcus,relate,Negative,Microaerophilic,4.4
STR_893,Staphylococcus,keep,Negative,Microaerophilic,5.63
STR_782,Lactobacillus,foreign,Positive,Aerobic,1.35
STR_210,Lactobacillus,center,Positive,Anaerobic,2.18
STR_376,Lactobacillus,physical,Positive,Facultative Anaerobe,8.0
STR_782,Clostridium,black,Negative,Facultative Anaerobe,6.38
STR_930,Bacillus,like,Positive,Facultative Anaerobe,9.18
STR_842,Lactobacillus,protect,Negative,Facultative Anaerobe,7.68
STR_286,Clostridium,serious,Negative,Microaerophilic,3.94
STR_455,Bacillus,black,Positive,Facultative Anaerobe,6.66
STR_872,Bacillus,clear,Negative,Facultative Anaerobe,1.77
STR_584,Lactobacillus,serious,Negative,Microaerophilic,5.58
STR_933,Lactobacillus,would,Negative,Aerobic,3.68
STR_548,Lactobacillus,certainly,Positive,Facultative Anaerobe,2.12
STR_208,Streptococcus,outside,Negative,Microaerophilic,9.28
STR_423,Pseudomonas,yourself,Negative,Facultative Anaerobe,9.22
STR_417,Streptococcus,low,Positive,Aerobic,6.23
STR_383,Pseudomonas,pattern,Negative,Aerobic,6.35
STR_577,Clostridium,ten,Negative,Microaerophilic,9.41
STR_953,Streptococcus,late,Positive,Aerobic,1.14
STR_520,Pseudomonas,her,Negative,Anaerobic,9.82
STR_408,Bacillus,travel,Positive,Aerobic,8.54
STR_207,Staphylococcus,thus,Positive,Facultative Anaerobe,1.21
STR_617,Bacillus,night,Negative,Anaerobic,2.71
STR_339,Staphylococcus,no,Positive,Aerobic,5.45
STR_380,Bacillus,international,Negative,Aerobic,8.64
STR_943,Clostridium,long,Negative,Aerobic,7.72
STR_639,Staphylococcus,heart,Positive,Anaerobic,8.04
STR_126,Streptococcus,ball,Negative,Facultative Anaerobe,5.55
STR_668,Lactobacillus,already,Negative,Anaerobic,7.74
STR_756,Pseudomonas,center,Positive,Microaerophilic,6.83
STR_458,Staphylococcus,its,Negative,Facultative Anaerobe,3.11
STR_595,Streptococcus,beat,Positive,Facultative Anaerobe,7.25
STR_505,Pseudomonas,even,Positive,Microaerophilic,7.06
STR_668,Clostridium,current,Positive,Aerobic,5.17
STR_836,Bacillus,clear,Positive,Microaerophilic,3.52
STR_938,Clostridium,such,Negative,Aerobic,3.68
STR_123,Staphylococcus,condition,Positive,Anaerobic,8.03
STR_657,Streptococcus,business,Positive,Anaerobic,1.47
STR_459,Pseudomonas,think,Negative,Anaerobic,6.87
STR_665,Staphylococcus,consumer,Positive,Anaerobic,9.98
STR_854,Lactobacillus,detail,Negative,Anaerobic,0.8
STR_463,Clostridium,watch,Positive,Facultative Anaerobe,5.48
STR_619,Streptococcus,three,Negative,Facultative Anaerobe,6.22
STR_279,Staphylococcus,analysis,Negative,Anaerobic,6.57
STR_854,Clostridium,hair,Negative,Anaerobic,6.59
STR_677,Pseudomonas,age,Negative,Microaerophilic,5.62
STR_786,Streptococcus,ask,Positive,Anaerobic,8.66
STR_441,Streptococcus,money,Negative,Facultative Anaerobe,9.31
STR_759,Lactobacillus,discover,Positive,Aerobic,9.27
STR_167,Clostridium,through,Negative,Anaerobic,5.9
STR_930,Streptococcus,with,Negative,Facultative Anaerobe,2.19
STR_143,Staphylococcus,low,Negative,Facultative Anaerobe,7.44
STR_745,Pseudomonas,card,Positive,Aerobic,3.02
STR_728,Staphylococcus,throw,Positive,Microaerophilic,9.85
STR_610,Lactobacillus,major,Positive,Anaerobic,8.94
STR_913,Clostridium,seem,Negative,Aerobic,9.88
STR_518,Clostridium,than,Positive,Microaerophilic,2.68
STR_346,Staphylococcus,material,Negative,Anaerobic,1.86
STR_980,Staphylococcus,both,Positive,Facultative Anaerobe,9.51
STR_411,Bacillus,out,Negative,Anaerobic,6.36
STR_728,Lactobacillus,subject,Positive,Microaerophilic,2.92
STR_832,Staphylococcus,partner,Negative,Aerobic,5.59
STR_163,Lactobacillus,ahead,Positive,Facultative Anaerobe,8.1
STR_952,Lactobacillus,night,Positive,Facultative Anaerobe,5.0
STR_123,Lactobacillus,control,Negative,Aerobic,8.77
STR_946,Lactobacillus,spend,Positive,Anaerobic,5.55
STR_655,Bacillus,onto,Negative,Facultative Anaerobe,6.69
STR_781,Staphylococcus,military,Positive,Anaerobic,5.94
STR_278,Staphylococcus,American,Negative,Microaerophilic,7.05
STR_856,Clostridium,environmental,Negative,Facultative Anaerobe,4.0
STR_916,Lactobacillus,know,Positive,Microaerophilic,2.18
STR_675,Clostridium,lawyer,Negative,Aerobic,3.81
STR_913,Staphylococcus,significant,Positive,Anaerobic,1.14
STR_980,Streptococcus,daughter,Negative,Facultative Anaerobe,6.14
STR_431,Clostridium,manage,Positive,Microaerophilic,1.56
STR_900,Pseudomonas,laugh,Negative,Microaerophilic,6.75
STR_103,Bacillus,four,Positive,Aerobic,4.84
STR_820,Lactobacillus,what,Negative,Microaerophilic,9.38
STR_745,Staphylococcus,receive,Negative,Aerobic,7.28
STR_687,Streptococcus,never,Negative,Aerobic,9.74
STR_985,Pseudomonas,cell,Negative,Microaerophilic,5.16
STR_157,Lactobacillus,explain,Positive,Anaerobic,7.05
STR_836,Streptococcus,point,Negative,Aerobic,9.29
STR_708,Lactobacillus,fine,Positive,Anaerobic,4.99
STR_785,Bacillus,television,Negative,Facultative Anaerobe,9.81
STR_302,Bacillus,network,Positive,Anaerobic,9.87
STR_846,Lactobacillus,especially,Positive,Anaerobic,3.23
STR_515,Bacillus,president,Positive,Aerobic,7.72
STR_984,Streptococcus,beautiful,Negative,Anaerobic,6.09
STR_781,Streptococcus,tell,Negative,Anaerobic,4.8
STR_948,Bacillus,natural,Positive,Aerobic,6.01
STR_221,Bacillus,common,Positive,Microaerophilic,7.01
STR_557,Clostridium,dark,Negative,Anaerobic,5.39
STR_621,Clostridium,win,Positive,Aerobic,2.16
STR_672,Lactobacillus,career,Positive,Anaerobic,7.11
STR_488,Bacillus,director,Positive,Microaerophilic,0.54
STR_305,Streptococcus,often,Positive,Aerobic,4.33
STR_650,Streptococcus,economy,Negative,Microaerophilic,7.04
STR_841,Clostridium,base,Positive,Aerobic,0.75
STR_417,Lactobacillus,drug,Negative,Facultative Anaerobe,2.82
STR_713,Staphylococcus,claim,Positive,Microaerophilic,1.93
STR_992,Streptococcus,ability,Positive,Aerobic,3.53
STR_925,Clostridium,within,Positive,Aerobic,7.72
STR_521,Streptococcus,difference,Positive,Anaerobic,4.35
STR_397,Clostridium,strategy,Negative,Facultative Anaerobe,3.84
STR_857,Streptococcus,cost,Positive,Facultative Anaerobe,4.8
STR_897,Bacillus,vote,Negative,Anaerobic,6.07
STR_110,Clostridium,politics,Positive,Anaerobic,6.59
STR_450,Staphylococcus,standard,Negative,Anaerobic,0.61
STR_150,Streptococcus,work,Positive,Anaerobic,0.89
STR_202,Bacillus,data,Positive,Facultative Anaerobe,0.97
STR_879,Staphylococcus,structure,Negative,Aerobic,2.04
STR_968,Staphylococcus,pay,Positive,Microaerophilic,4.4
STR_487,Clostridium,church,Positive,Aerobic,5.3
STR_144,Bacillus,customer,Negative,Facultative Anaerobe,2.05
STR_393,Clostridium,sing,Positive,Anaerobic,8.72
STR_494,Bacillus,one,Negative,Microaerophilic,7.41
STR_501,Bacillus,general,Positive,Anaerobic,7.28
STR_489,Streptococcus,agree,Negative,Facultative Anaerobe,5.94
STR_290,Streptococcus,personal,Positive,Facultative Anaerobe,9.95
STR_877,Pseudomonas,reach,Negative,Anaerobic,9.18
STR_785,Bacillus,happen,Positive,Facultative Anaerobe,9.02
STR_275,Lactobacillus,impact,Positive,Aerobic,5.42
STR_956,Bacillus,others,Positive,Microaerophilic,0.97
STR_325,Staphylococcus,degree,Negative,Facultative Anaerobe,7.39
STR_471,Pseudomonas,measure,Positive,Facultative Anaerobe,3.0
STR_177,Streptococcus,only,Positive,Anaerobic,2.98
STR_778,Streptococcus,lead,Negative,Anaerobic,9.23
STR_235,Staphylococcus,sport,Negative,Anaerobic,9.54
STR_412,Staphylococcus,capital,Negative,Aerobic,0.76
STR_310,Staphylococcus,under,Positive,Microaerophilic,5.48
STR_272,Clostridium,century,Negative,Microaerophilic,8.5
STR_910,Staphylococcus,poor,Positive,Anaerobic,4.07
STR_235,Lactobacillus,smile,Negative,Facultative Anaerobe,9.23
STR_794,Streptococcus,police,Positive,Anaerobic,1.28
STR_683,Clostridium,father,Positive,Anaerobic,4.07
STR_341,Clostridium,rule,Negative,Microaerophilic,2.54
STR_522,Clostridium,build,Negative,Microaerophilic,4.59
STR_549,Bacillus,head,Positive,Anaerobic,5.95
STR_212,Staphylococcus,fine,Negative,Aerobic,5.79
STR_982,Lactobacillus,remember,Positive,Microaerophilic,5.48
STR_819,Pseudomonas,culture,Positive,Facultative Anaerobe,1.84
STR_881,Streptococcus,already,Negative,Aerobic,6.7
