strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_132,Streptococcus,remain,Negative,Facultative Anaerobe,4.22
STR_735,Bacillus,certain,Positive,Microaerophilic,4.58
STR_249,Streptococcus,century,Positive,Facultative Anaerobe,9.48
STR_476,Lactobacillus,toward,Negative,Anaerobic,4.78
STR_203,Lactobacillus,lead,Positive,Anaerobic,5.38
STR_882,Pseudomonas,task,Negative,Microaerophilic,3.48
STR_664,Streptococcus,travel,Negative,Microaerophilic,8.14
STR_546,Streptococcus,material,Negative,Anaerobic,2.19
STR_200,Streptococcus,soon,Negative,Aerobic,4.67
STR_228,Staphylococcus,thank,Positive,Facultative Anaerobe,7.29
STR_377,Lactobacillus,what,Positive,Microaerophilic,7.56
STR_809,Lactobacillus,office,Positive,Anaerobic,0.93
STR_523,Streptococcus,work,Negative,Anaerobic,9.19
STR_791,Streptococcus,although,Positive,Microaerophilic,7.54
STR_145,Staphylococcus,land,Negative,Microaerophilic,4.7
STR_193,Bacillus,already,Negative,Microaerophilic,4.38
STR_863,Lactobacillus,although,Positive,Facultative Anaerobe,6.99
STR_950,Streptococcus,study,Negative,Anaerobic,1.22
STR_516,Staphylococcus,account,Positive,Microaerophilic,2.84
STR_360,Clostridium,may,Positive,Aerobic,2.35
STR_830,Pseudomonas,medical,Negative,Facultative Anaerobe,9.1
STR_101,Pseudomonas,center,Positive,Aerobic,9.29
STR_807,Staphylococcus,would,Positive,Aerobic,2.57
STR_436,Pseudomonas,control,Positive,Microaerophilic,0.85
STR_517,Clostridium,find,Positive,Facultative Anaerobe,1.53
STR_823,Staphylococcus,do,Negative,Aerobic,6.39
STR_665,Streptococcus,on,Positive,Microaerophilic,5.29
STR_704,Clostridium,choice,Positive,Anaerobic,6.83
STR_368,Staphylococcus,debate,Negative,Anaerobic,2.8
STR_708,Streptococcus,more,Negative,Microaerophilic,9.66
STR_524,Streptococcus,letter,Negative,Microaerophilic,4.92
STR_570,Staphylococcus,leave,Negative,Anaerobic,0.91
STR_700,Clostridium,recent,Negative,Anaerobic,0.72
STR_368,Bacillus,exist,Negative,Anaerobic,0.51
STR_812,Lactobacillus,drug,Negative,Microaerophilic,2.03
STR_891,Pseudomonas,season,Negative,Anaerobic,8.96
STR_711,Staphylococcus,use,Negative,Anaerobic,5.2
STR_840,Staphylococcus,main,Negative,Aerobic,0.97
STR_757,Bacillus,industry,Negative,Facultative Anaerobe,0.58
STR_510,Lactobacillus,hotel,Negative,Microaerophilic,0.82
STR_465,Lactobacillus,individual,Positive,Facultative Anaerobe,5.57
STR_563,Clostridium,name,Positive,Anaerobic,9.07
STR_899,Staphylococcus,design,Negative,Facultative Anaerobe,2.31
STR_556,Bacillus,morning,Negative,Facultative Anaerobe,9.95
STR_834,Lactobacillus,end,Positive,Facultative Anaerobe,8.61
STR_704,Clostridium,indicate,Positive,Anaerobic,8.07
STR_878,Bacillus,finish,Positive,Aerobic,1.17
STR_819,Staphylococcus,science,Positive,Aerobic,4.04
STR_914,Bacillus,buy,Positive,Facultative Anaerobe,5.82
STR_609,Pseudomonas,soldier,Positive,Microaerophilic,5.04
STR_938,Staphylococcus,maybe,Positive,Aerobic,2.84
STR_749,Bacillus,painting,Positive,Microaerophilic,9.51
STR_660,Bacillus,discover,Negative,Aerobic,8.36
STR_335,Clostridium,factor,Positive,Microaerophilic,1.81
STR_208,Bacillus,together,Negative,Microaerophilic,1.33
STR_405,Pseudomonas,tree,Negative,Aerobic,4.34
STR_131,Bacillus,senior,Negative,Microaerophilic,8.03
STR_461,Staphylococcus,old,Positive,Facultative Anaerobe,4.62
STR_207,Lactobacillus,site,Negative,Facultative Anaerobe,7.04
STR_720,Streptococcus,couple,Positive,Aerobic,9.08
STR_476,Pseudomonas,add,Negative,Facultative Anaerobe,6.43
STR_215,Streptococcus,move,Positive,Facultative Anaerobe,9.9
STR_871,Bacillus,success,Positive,Facultative Anaerobe,8.94
STR_507,Staphylococcus,trial,Negative,Anaerobic,0.8
STR_558,Staphylococcus,necessary,Negative,Aerobic,8.25
STR_479,Clostridium,senior,Positive,Facultative Anaerobe,8.46
STR_253,Pseudomonas,stop,Positive,Anaerobic,6.92
STR_674,Bacillus,view,Positive,Aerobic,9.74
STR_989,Bacillus,win,Negative,Microaerophilic,4.0
STR_166,Clostridium,loss,Positive,Microaerophilic,0.65
STR_972,Staphylococcus,consumer,Negative,Anaerobic,0.91
STR_318,Pseudomonas,why,Negative,Microaerophilic,8.54
STR_628,Streptococcus,upon,Negative,Facultative Anaerobe,6.86
STR_397,Clostridium,assume,Negative,Facultative Anaerobe,9.43
STR_355,Bacillus,list,Negative,Facultative Anaerobe,8.44
STR_661,Streptococcus,rest,Positive,Aerobic,1.1
STR_195,Clostridium,really,Positive,Anaerobic,2.78
STR_469,Pseudomonas,over,Positive,Anaerobic,1.39
STR_406,Clostridium,return,Positive,Aerobic,3.9
STR_534,Staphylococcus,work,Negative,Anaerobic,5.64
STR_865,Staphylococcus,national,Negative,Facultative Anaerobe,3.05
STR_731,Clostridium,there,Positive,Microaerophilic,9.32
STR_453,Streptococcus,indeed,Negative,Microaerophilic,1.15
STR_446,Lactobacillus,face,Positive,Anaerobic,7.73
STR_877,Streptococcus,improve,Positive,Anaerobic,2.71
STR_944,Pseudomonas,cup,Positive,Microaerophilic,7.87
STR_235,Lactobacillus,hospital,Positive,Anaerobic,4.5
STR_907,Staphylococcus,enough,Positive,Microaerophilic,6.75
STR_115,Streptococcus,determine,Negative,Microaerophilic,4.49
STR_959,Pseudomonas,who,Positive,Facultative Anaerobe,9.32
STR_372,Staphylococcus,financial,Positive,Microaerophilic,8.8
STR_720,Streptococcus,card,Negative,Microaerophilic,7.2
STR_892,Staphylococcus,community,Positive,Aerobic,5.86
STR_149,Staphylococcus,board,Positive,Aerobic,8.77
STR_742,Pseudomonas,figure,Negative,Facultative Anaerobe,7.99
STR_820,Bacillus,service,Positive,Microaerophilic,7.09
STR_200,Pseudomonas,suffer,Positive,Anaerobic,9.64
STR_827,Streptococcus,without,Positive,Anaerobic,8.91
STR_349,Clostridium,watch,Positive,Anaerobic,5.53
STR_715,Pseudomonas,rate,Negative,Facultative Anaerobe,1.67
STR_121,Pseudomonas,new,Negative,Microaerophilic,5.42
STR_507,Streptococcus,respond,Positive,Facultative Anaerobe,8.76
STR_916,Bacillus,assume,Positive,Microaerophilic,8.87
STR_720,Lactobacillus,industry,Negative,Aerobic,5.83
STR_432,Lactobacillus,financial,Positive,Microaerophilic,2.72
STR_619,Clostridium,recent,Negative,Microaerophilic,7.96
STR_243,Pseudomonas,learn,Negative,Facultative Anaerobe,7.56
STR_605,Streptococcus,meet,Positive,Aerobic,1.98
STR_261,Lactobacillus,record,Negative,Anaerobic,6.45
STR_840,Clostridium,scene,Positive,Aerobic,8.4
STR_929,Bacillus,detail,Negative,Aerobic,6.3
STR_566,Pseudomonas,PM,Positive,Anaerobic,0.96
STR_633,Bacillus,method,Positive,Aerobic,3.78
STR_933,Streptococcus,ten,Negative,Facultative Anaerobe,3.2
STR_465,Streptococcus,or,Positive,Facultative Anaerobe,4.17
STR_820,Staphylococcus,thus,Positive,Aerobic,1.55
STR_846,Staphylococcus,realize,Positive,Microaerophilic,9.93
STR_824,Pseudomonas,baby,Positive,Aerobic,1.14
STR_411,Bacillus,probably,Positive,Microaerophilic,9.44
STR_127,Pseudomonas,life,Negative,Anaerobic,7.87
STR_247,Staphylococcus,decision,Positive,Facultative Anaerobe,9.61
STR_300,Bacillus,lead,Positive,Microaerophilic,1.4
STR_605,Bacillus,green,Positive,Aerobic,7.83
STR_281,Lactobacillus,along,Positive,Microaerophilic,4.13
STR_209,Bacillus,term,Negative,Anaerobic,4.31
STR_106,Lactobacillus,increase,Negative,Microaerophilic,2.86
STR_889,Bacillus,position,Positive,Microaerophilic,7.99
STR_369,Clostridium,visit,Negative,Microaerophilic,2.16
STR_234,Bacillus,kind,Negative,Microaerophilic,8.54
STR_210,Lactobacillus,operation,Negative,Microaerophilic,6.6
STR_764,Bacillus,full,Positive,Aerobic,2.99
STR_257,Lactobacillus,range,Negative,Facultative Anaerobe,2.85
STR_508,Streptococcus,leg,Positive,Aerobic,7.2
STR_662,Clostridium,case,Negative,Facultative Anaerobe,5.17
STR_204,Lactobacillus,break,Negative,Aerobic,3.97
STR_835,Lactobacillus,black,Positive,Anaerobic,3.62
STR_377,Pseudomonas,family,Positive,Aerobic,6.32
STR_246,Lactobacillus,traditional,Positive,Facultative Anaerobe,7.47
