strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_220,Lactobacillus,agent,Negative,Aerobic,0.78
STR_645,Bacillus,talk,Negative,Anaerobic,3.31
STR_440,Pseudomonas,argue,Positive,Aerobic,2.33
STR_558,Clostridium,deep,Positive,Aerobic,4.65
STR_882,Bacillus,seek,Negative,Microaerophilic,6.37
STR_820,Staphylococcus,once,Negative,Facultative Anaerobe,4.08
STR_443,Clostridium,free,Positive,Aerobic,0.53
STR_107,Streptococcus,make,Positive,Anaerobic,0.88
STR_948,Pseudomonas,artist,Negative,Microaerophilic,1.62
STR_179,Lactobacillus,herself,Negative,Anaerobic,3.34
STR_135,Clostridium,reflect,Negative,Anaerobic,6.84
STR_972,Staphylococcus,manager,Negative,Aerobic,5.87
STR_448,Clostridium,then,Positive,Facultative Anaerobe,6.99
STR_230,Bacillus,develop,Positive,Aerobic,0.7
STR_577,Lactobacillus,president,Positive,Microaerophilic,1.26
STR_783,Bacillus,art,Positive,Microaerophilic,7.06
STR_530,Bacillus,industry,Negative,Microaerophilic,2.17
STR_957,Bacillus,material,Positive,Microaerophilic,7.98
STR_817,Staphylococcus,idea,Positive,Facultative Anaerobe,1.85
STR_246,Streptococcus,keep,Negative,Facultative Anaerobe,5.65
STR_462,Pseudomonas,people,Positive,Aerobic,3.75
STR_349,Staphylococcus,put,Positive,Microaerophilic,3.69
STR_855,Staphylococcus,per,Positive,Microaerophilic,9.62
STR_693,Staphylococcus,with,Positive,Anaerobic,6.38
STR_266,Staphylococcus,head,Positive,Anaerobic,3.15
STR_398,Staphylococcus,sea,Negative,Anaerobic,6.22
STR_928,Staphylococcus,pretty,Negative,Facultative Anaerobe,9.93
STR_954,Bacillus,suddenly,Negative,Aerobic,2.04
STR_379,Bacillus,simply,Negative,Microaerophilic,5.6
STR_183,Bacillus,house,Positive,Aerobic,4.19
STR_656,Staphylococcus,rock,Negative,Anaerobic,0.67
STR_682,Pseudomonas,interest,Negative,Anaerobic,7.44
STR_613,Pseudomonas,sing,Positive,Microaerophilic,9.38
STR_124,Clostridium,plant,Positive,Microaerophilic,4.44
STR_637,Bacillus,kitchen,Negative,Microaerophilic,9.79
STR_276,Staphylococcus,vote,Negative,Facultative Anaerobe,5.21
STR_382,Bacillus,research,Positive,Anaerobic,1.02
STR_559,Lactobacillus,near,Negative,Anaerobic,4.07
STR_804,Lactobacillus,class,Positive,Microaerophilic,4.86
STR_338,Lactobacillus,memory,Positive,Aerobic,1.9
STR_352,Staphylococcus,since,Positive,Anaerobic,8.87
STR_576,Clostridium,tough,Positive,Anaerobic,7.34
STR_374,Lactobacillus,house,Positive,Anaerobic,9.05
STR_253,Staphylococcus,upon,Negative,Facultative Anaerobe,3.02
STR_750,Streptococcus,realize,Negative,Facultative Anaerobe,7.0
STR_432,Lactobacillus,pick,Negative,Facultative Anaerobe,6.04
STR_255,Pseudomonas,term,Positive,Aerobic,6.05
STR_114,Staphylococcus,trip,Negative,Aerobic,3.11
STR_523,Pseudomonas,despite,Negative,Aerobic,6.29
STR_815,Staphylococcus,want,Negative,Anaerobic,6.28
STR_914,Clostridium,consider,Positive,Aerobic,8.72
STR_921,Clostridium,inside,Positive,Aerobic,1.42
STR_722,Streptococcus,number,Positive,Microaerophilic,0.66
STR_446,Clostridium,strategy,Negative,Anaerobic,3.46
STR_511,Streptococcus,we,Negative,Anaerobic,5.24
STR_778,Clostridium,thought,Positive,Anaerobic,6.82
STR_316,Lactobacillus,take,Positive,Anaerobic,1.2
STR_878,Staphylococcus,sometimes,Negative,Facultative Anaerobe,1.92
STR_997,Lactobacillus,possible,Positive,Microaerophilic,3.48
STR_627,Staphylococcus,mention,Positive,Aerobic,1.85
STR_117,Clostridium,Republican,Negative,Facultative Anaerobe,9.19
STR_542,Staphylococcus,add,Positive,Anaerobic,5.53
STR_432,Lactobacillus,too,Negative,Microaerophilic,7.28
STR_877,Streptococcus,degree,Positive,Anaerobic,8.68
STR_438,Lactobacillus,great,Negative,Microaerophilic,2.87
STR_110,Pseudomonas,choose,Positive,Anaerobic,8.3
STR_369,Clostridium,rest,Positive,Aerobic,7.8
STR_492,Clostridium,price,Positive,Microaerophilic,2.73
STR_329,Staphylococcus,this,Negative,Anaerobic,0.81
STR_634,Pseudomonas,policy,Positive,Microaerophilic,6.07
STR_646,Staphylococcus,audience,Negative,Aerobic,2.71
STR_731,Clostridium,whole,Negative,Microaerophilic,3.08
STR_529,Pseudomonas,world,Negative,Facultative Anaerobe,7.6
STR_377,Lactobacillus,summer,Positive,Anaerobic,4.67
STR_413,Streptococcus,these,Positive,Anaerobic,8.52
STR_257,Staphylococcus,the,Negative,Microaerophilic,5.18
STR_791,Staphylococcus,ready,Negative,Microaerophilic,6.25
STR_702,Clostridium,third,Positive,Anaerobic,3.0
STR_280,Clostridium,else,Positive,Microaerophilic,1.04
STR_351,Lactobacillus,your,Negative,Aerobic,6.24
STR_810,Staphylococcus,claim,Positive,Facultative Anaerobe,0.56
STR_971,Bacillus,enough,Negative,Microaerophilic,1.51
STR_752,Streptococcus,policy,Positive,Facultative Anaerobe,9.2
STR_218,Pseudomonas,movie,Positive,Facultative Anaerobe,8.03
STR_614,Lactobacillus,second,Positive,Aerobic,3.06
STR_947,Lactobacillus,face,Negative,Anaerobic,6.15
STR_546,Clostridium,soldier,Negative,Anaerobic,9.2
STR_876,Bacillus,bill,Negative,Facultative Anaerobe,8.63
STR_740,Streptococcus,skill,Positive,Microaerophilic,8.09
STR_831,Bacillus,my,Negative,Facultative Anaerobe,2.19
STR_215,Bacillus,score,Negative,Anaerobic,7.76
STR_913,Pseudomonas,machine,Positive,Microaerophilic,9.49
STR_897,Streptococcus,degree,Positive,Microaerophilic,8.8
STR_678,Staphylococcus,exactly,Negative,Anaerobic,6.2
STR_993,Streptococcus,business,Positive,Anaerobic,1.17
STR_521,Staphylococcus,quite,Negative,Microaerophilic,5.29
STR_559,Lactobacillus,wear,Negative,Anaerobic,9.67
STR_711,Clostridium,need,Positive,Aerobic,4.35
STR_341,Pseudomonas,career,Negative,Facultative Anaerobe,5.78
STR_268,Lactobacillus,stay,Positive,Anaerobic,8.51
