strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_714,Clostridium,list,Negative,Aerobic,9.91
STR_262,Lactobacillus,marriage,Negative,Anaerobic,6.14
STR_331,Staphylococcus,job,Positive,Aerobic,7.43
STR_178,Streptococcus,seek,Positive,Microaerophilic,4.73
STR_888,Lactobacillus,give,Positive,Aerobic,5.04
STR_510,Lactobacillus,rest,Positive,Microaerophilic,9.78
STR_431,Staphylococcus,magazine,Positive,Facultative Anaerobe,7.08
STR_458,Streptococcus,according,Positive,Anaerobic,1.31
STR_228,Staphylococcus,operation,Negative,Facultative Anaerobe,8.16
STR_706,Staphylococcus,reality,Positive,Aerobic,6.06
STR_284,Streptococcus,hair,Positive,Microaerophilic,3.07
STR_697,Streptococcus,same,Positive,Anaerobic,2.44
STR_268,Clostridium,begin,Positive,Microaerophilic,0.51
STR_403,Pseudomonas,half,Positive,Anaerobic,4.34
STR_285,Staphylococcus,another,Negative,Anaerobic,7.88
STR_531,Pseudomonas,president,Negative,Microaerophilic,8.6
STR_975,Clostridium,above,Positive,Anaerobic,2.92
STR_892,Bacillus,help,Negative,Anaerobic,6.94
STR_361,Staphylococcus,human,Positive,Facultative Anaerobe,7.39
STR_206,Bacillus,role,Positive,Anaerobic,4.7
STR_584,Streptococcus,during,Negative,Microaerophilic,8.55
STR_899,Staphylococcus,happy,Positive,Facultative Anaerobe,4.35
STR_946,Streptococcus,dream,Positive,Anaerobic,5.76
STR_882,Pseudomonas,minute,Negative,Aerobic,9.12
STR_253,Pseudomonas,high,Negative,Anaerobic,7.2
STR_380,Streptococcus,tell,Negative,Facultative Anaerobe,8.53
STR_773,Lactobacillus,along,Negative,Microaerophilic,4.14
STR_924,Lactobacillus,heavy,Negative,Aerobic,3.34
STR_864,Clostridium,article,Positive,Facultative Anaerobe,2.98
STR_363,Pseudomonas,save,Positive,Aerobic,1.18
STR_490,Lactobacillus,use,Positive,Aerobic,6.01
STR_171,Pseudomonas,grow,Positive,Microaerophilic,7.97
