strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_346,Clostridium,assume,Negative,Anaerobic,2.61
STR_428,Clostridium,so,Positive,Facultative Anaerobe,7.24
STR_140,Clostridium,less,Positive,Anaerobic,3.57
STR_158,Bacillus,according,Negative,Facultative Anaerobe,9.58
STR_155,Streptococcus,picture,Positive,Microaerophilic,8.8
STR_503,Pseudomonas,consumer,Negative,Anaerobic,3.19
STR_288,Lactobacillus,foreign,Positive,Anaerobic,5.62
STR_783,Lactobacillus,improve,Negative,Microaerophilic,5.52
STR_378,Staphylococcus,onto,Positive,Microaerophilic,8.26
STR_170,Streptococcus,line,Positive,Microaerophilic,5.95
STR_402,Staphylococcus,street,Positive,Facultative Anaerobe,7.82
STR_359,Staphylococcus,lawyer,Positive,Microaerophilic,1.1
STR_758,Streptococcus,learn,Negative,Facultative Anaerobe,3.19
STR_591,Pseudomonas,somebody,Negative,Microaerophilic,1.09
STR_906,Staphylococcus,of,Positive,Facultative Anaerobe,0.62
STR_682,Pseudomonas,whether,Negative,Aerobic,0.85
STR_547,Staphylococcus,many,Negative,Facultative Anaerobe,7.95
STR_162,Clostridium,range,Negative,Microaerophilic,5.65
STR_725,Streptococcus,our,Negative,Anaerobic,6.26
STR_905,Bacillus,future,Negative,Facultative Anaerobe,5.98
STR_749,Bacillus,Republican,Positive,Facultative Anaerobe,8.57
STR_904,Clostridium,occur,Negative,Aerobic,1.94
STR_798,Pseudomonas,social,Negative,Microaerophilic,7.35
STR_543,Staphylococcus,job,Negative,Anaerobic,3.71
STR_607,Streptococcus,guess,Positive,Aerobic,6.25
STR_322,Lactobacillus,woman,Positive,Facultative Anaerobe,1.34
STR_333,Clostridium,TV,Positive,Facultative Anaerobe,9.8
STR_615,Bacillus,once,Negative,Microaerophilic,0.85
STR_415,Clostridium,effect,Negative,Facultative Anaerobe,5.84
STR_302,Pseudomonas,wife,Positive,Anaerobic,8.51
STR_441,Pseudomonas,claim,Negative,Anaerobic,4.39
STR_871,Lactobacillus,room,Positive,Microaerophilic,8.71
STR_563,Lactobacillus,brother,Positive,Facultative Anaerobe,6.82
STR_508,Lactobacillus,trial,Positive,Microaerophilic,4.38
STR_681,Lactobacillus,some,Positive,Microaerophilic,5.3
STR_924,Clostridium,beautiful,Positive,Facultative Anaerobe,1.5
STR_133,Bacillus,which,Positive,Microaerophilic,7.56
STR_513,Lactobacillus,break,Negative,Microaerophilic,6.33
STR_848,Clostridium,leg,Negative,Anaerobic,5.16
STR_386,Streptococcus,box,Positive,Microaerophilic,4.58
STR_236,Pseudomonas,full,Positive,Microaerophilic,6.42
STR_539,Clostridium,lay,Positive,Anaerobic,6.95
STR_291,Pseudomonas,American,Positive,Facultative Anaerobe,8.18
STR_346,Pseudomonas,if,Negative,Microaerophilic,5.95
STR_896,Lactobacillus,source,Negative,Facultative Anaerobe,5.39
STR_515,Bacillus,there,Positive,Microaerophilic,3.82
STR_347,Pseudomonas,their,Positive,Anaerobic,3.09
STR_755,Lactobacillus,receive,Negative,Microaerophilic,8.8
STR_331,Bacillus,and,Positive,Aerobic,9.8
STR_325,Staphylococcus,race,Positive,Aerobic,3.96
STR_278,Pseudomonas,word,Negative,Microaerophilic,1.8
STR_455,Staphylococcus,that,Negative,Aerobic,5.13
STR_920,Pseudomonas,news,Positive,Aerobic,5.15
STR_695,Pseudomonas,color,Positive,Microaerophilic,5.24
STR_592,Staphylococcus,process,Negative,Anaerobic,2.9
STR_768,Bacillus,section,Positive,Anaerobic,2.19
STR_477,Streptococcus,white,Negative,Microaerophilic,5.85
STR_789,Lactobacillus,finally,Positive,Aerobic,4.95
STR_487,Bacillus,us,Positive,Microaerophilic,9.39
STR_451,Streptococcus,various,Negative,Microaerophilic,6.73
STR_498,Streptococcus,water,Positive,Facultative Anaerobe,3.34
STR_453,Clostridium,mention,Negative,Facultative Anaerobe,4.71
STR_486,Staphylococcus,course,Negative,Microaerophilic,6.06
STR_780,Bacillus,yourself,Negative,Anaerobic,7.37
STR_415,Staphylococcus,better,Positive,Microaerophilic,9.42
STR_999,Clostridium,social,Positive,Microaerophilic,3.06
STR_434,Clostridium,laugh,Positive,Microaerophilic,2.14
STR_692,Bacillus,serious,Negative,Aerobic,0.75
STR_782,Streptococcus,expect,Negative,Microaerophilic,3.6
STR_141,Lactobacillus,particular,Negative,Aerobic,5.64
STR_217,Staphylococcus,imagine,Negative,Facultative Anaerobe,5.88
STR_186,Streptococcus,last,Positive,Facultative Anaerobe,7.03
STR_795,Lactobacillus,town,Positive,Anaerobic,9.48
STR_472,Streptococcus,keep,Positive,Anaerobic,0.82
STR_107,Lactobacillus,tough,Positive,Microaerophilic,0.51
STR_972,Clostridium,play,Negative,Aerobic,4.03
STR_844,Pseudomonas,truth,Negative,Facultative Anaerobe,9.65
STR_573,Bacillus,first,Negative,Anaerobic,0.59
STR_527,Pseudomonas,main,Positive,Facultative Anaerobe,4.02
STR_704,Clostridium,close,Negative,Aerobic,1.72
STR_986,Staphylococcus,these,Negative,Microaerophilic,5.09
STR_239,Pseudomonas,society,Positive,Facultative Anaerobe,2.96
STR_291,Clostridium,clearly,Negative,Facultative Anaerobe,4.33
STR_972,Pseudomonas,everybody,Negative,Microaerophilic,3.67
STR_701,Bacillus,sometimes,Negative,Anaerobic,1.19
STR_324,Bacillus,mouth,Positive,Aerobic,1.73
STR_373,Bacillus,per,Positive,Microaerophilic,3.47
STR_906,Lactobacillus,tree,Negative,Facultative Anaerobe,6.17
STR_808,Streptococcus,green,Positive,Microaerophilic,6.62
STR_970,Streptococcus,above,Negative,Aerobic,5.95
STR_592,Bacillus,thus,Positive,Microaerophilic,5.85
STR_216,Staphylococcus,result,Negative,Anaerobic,9.18
STR_284,Lactobacillus,safe,Positive,Aerobic,8.63
STR_589,Lactobacillus,including,Negative,Facultative Anaerobe,9.24
STR_616,Lactobacillus,front,Negative,Facultative Anaerobe,3.73
STR_507,Bacillus,throw,Negative,Aerobic,7.58
STR_257,Bacillus,baby,Positive,Facultative Anaerobe,7.68
STR_979,Clostridium,rule,Negative,Aerobic,8.55
STR_254,Clostridium,operation,Positive,Facultative Anaerobe,3.84
STR_854,Bacillus,three,Negative,Aerobic,7.62
STR_585,Streptococcus,well,Negative,Microaerophilic,6.24
STR_837,Staphylococcus,woman,Negative,Aerobic,9.4
STR_174,Pseudomonas,few,Positive,Microaerophilic,0.53
STR_150,Streptococcus,exist,Negative,Microaerophilic,5.99
STR_706,Streptococcus,necessary,Positive,Microaerophilic,2.19
STR_824,Clostridium,total,Positive,Microaerophilic,2.2
STR_292,Clostridium,hand,Negative,Aerobic,6.91
STR_680,Streptococcus,personal,Positive,Anaerobic,8.77
STR_896,Streptococcus,support,Negative,Anaerobic,4.68
STR_841,Pseudomonas,action,Negative,Aerobic,2.97
STR_743,Lactobacillus,action,Negative,Facultative Anaerobe,0.81
STR_731,Staphylococcus,fall,Positive,Facultative Anaerobe,6.29
STR_639,Lactobacillus,fill,Positive,Facultative Anaerobe,9.21
STR_954,Lactobacillus,southern,Negative,Aerobic,8.41
STR_571,Streptococcus,whom,Positive,Anaerobic,4.05
STR_981,Clostridium,mind,Positive,Anaerobic,9.41
STR_310,Staphylococcus,her,Negative,Facultative Anaerobe,5.78
STR_273,Streptococcus,attack,Negative,Microaerophilic,6.83
STR_696,Clostridium,reality,Negative,Aerobic,2.3
STR_872,Staphylococcus,though,Negative,Anaerobic,8.23
STR_783,Staphylococcus,great,Negative,Aerobic,8.0
STR_390,Clostridium,fill,Negative,Aerobic,3.73
STR_184,Lactobacillus,though,Positive,Aerobic,2.2
STR_760,Pseudomonas,expert,Negative,Microaerophilic,5.4
STR_286,Staphylococcus,yeah,Positive,Microaerophilic,8.86
STR_978,Staphylococcus,traditional,Negative,Facultative Anaerobe,2.82
STR_645,Bacillus,name,Positive,Aerobic,2.97
STR_631,Clostridium,possible,Negative,Microaerophilic,4.66
STR_146,Lactobacillus,environment,Negative,Anaerobic,3.03
STR_371,Pseudomonas,far,Positive,Aerobic,2.44
STR_528,Streptococcus,always,Positive,Anaerobic,2.27
STR_381,Pseudomonas,live,Positive,Aerobic,4.86
STR_691,Streptococcus,they,Negative,Facultative Anaerobe,4.8
STR_168,Lactobacillus,threat,Positive,Aerobic,7.03
STR_652,Bacillus,major,Positive,Aerobic,1.39
STR_350,Staphylococcus,take,Positive,Facultative Anaerobe,1.34
STR_683,Streptococcus,day,Negative,Anaerobic,4.09
STR_496,Clostridium,science,Negative,Facultative Anaerobe,6.47
STR_379,Clostridium,control,Positive,Facultative Anaerobe,0.96
STR_884,Streptococcus,ten,Negative,Aerobic,1.95
STR_681,Bacillus,suddenly,Positive,Microaerophilic,4.0
STR_241,Bacillus,market,Positive,Anaerobic,4.79
STR_900,Streptococcus,product,Negative,Aerobic,1.3
STR_956,Pseudomonas,newspaper,Positive,Facultative Anaerobe,3.33
STR_949,Lactobacillus,couple,Negative,Anaerobic,1.26
STR_147,Clostridium,will,Negative,Anaerobic,5.2
STR_682,Bacillus,travel,Positive,Anaerobic,1.76
STR_908,Bacillus,Mr,Positive,Aerobic,7.51
