strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_499,Streptococcus,smile,Positive,Microaerophilic,4.27
STR_868,Lactobacillus,policy,Negative,Anaerobic,4.76
STR_156,Clostridium,piece,Negative,Anaerobic,1.05
STR_230,Pseudomonas,ahead,Negative,Microaerophilic,3.88
STR_541,Streptococcus,hard,Positive,Anaerobic,5.99
STR_331,Staphylococcus,church,Negative,Anaerobic,1.65
STR_613,Staphylococcus,Mrs,Positive,Anaerobic,4.47
STR_727,Streptococcus,really,Positive,Microaerophilic,8.74
STR_179,Lactobacillus,six,Positive,Facultative Anaerobe,9.87
STR_395,Bacillus,represent,Negative,Facultative Anaerobe,4.32
STR_272,Clostridium,rest,Negative,Aerobic,4.23
STR_739,Bacillus,family,Positive,Facultative Anaerobe,6.33
STR_107,Staphylococcus,shake,Negative,Aerobic,5.81
STR_200,Lactobacillus,thought,Positive,Microaerophilic,8.91
STR_488,Pseudomonas,yes,Positive,Anaerobic,1.35
STR_555,Pseudomonas,believe,Positive,Facultative Anaerobe,0.62
STR_838,Pseudomonas,dark,Negative,Facultative Anaerobe,7.83
STR_683,Staphylococcus,rate,Positive,Microaerophilic,8.5
STR_873,Staphylococcus,do,Negative,Microaerophilic,6.82
STR_120,Bacillus,central,Positive,Aerobic,3.43
STR_323,Lactobacillus,guy,Negative,Anaerobic,7.08
STR_709,Bacillus,us,Negative,Facultative Anaerobe,9.98
STR_614,Pseudomonas,face,Negative,Aerobic,8.43
STR_894,Pseudomonas,several,Negative,Microaerophilic,9.31
STR_828,Bacillus,piece,Negative,Anaerobic,9.88
STR_427,Pseudomonas,president,Positive,Anaerobic,7.02
STR_105,Lactobacillus,arm,Negative,Aerobic,6.14
STR_347,Staphylococcus,hard,Negative,Microaerophilic,1.9
STR_336,Bacillus,mouth,Positive,Microaerophilic,9.39
STR_710,Streptococcus,federal,Positive,Aerobic,0.79
STR_875,Staphylococcus,return,Positive,Facultative Anaerobe,2.64
STR_140,Bacillus,night,Negative,Anaerobic,2.76
STR_137,Streptococcus,institution,Positive,Aerobic,6.27
STR_140,Pseudomonas,air,Negative,Microaerophilic,6.58
STR_404,Bacillus,town,Negative,Aerobic,1.24
STR_205,Bacillus,alone,Positive,Facultative Anaerobe,6.86
STR_125,Streptococcus,well,Positive,Microaerophilic,5.47
STR_463,Streptococcus,water,Positive,Facultative Anaerobe,9.16
STR_771,Streptococcus,middle,Negative,Microaerophilic,7.66
STR_752,Pseudomonas,manage,Negative,Anaerobic,9.2
STR_980,Lactobacillus,enjoy,Positive,Microaerophilic,6.24
STR_395,Bacillus,budget,Negative,Microaerophilic,8.52
STR_562,Streptococcus,there,Positive,Microaerophilic,5.41
STR_929,Bacillus,few,Negative,Aerobic,3.74
STR_860,Lactobacillus,class,Negative,Microaerophilic,0.58
STR_515,Lactobacillus,executive,Positive,Anaerobic,1.32
STR_728,Streptococcus,energy,Positive,Anaerobic,6.96
