strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_253,Bacillus,staff,Negative,Microaerophilic,7.34
STR_847,Clostridium,too,Positive,Aerobic,2.65
STR_658,Staphylococcus,you,Positive,Facultative Anaerobe,0.67
STR_685,Staphylococcus,together,Negative,Microaerophilic,6.45
STR_236,Staphylococcus,land,Positive,Anaerobic,2.7
STR_225,Streptococcus,say,Positive,Microaerophilic,6.88
STR_708,Lactobacillus,section,Positive,Anaerobic,1.35
STR_486,Lactobacillus,for,Positive,Facultative Anaerobe,8.06
STR_497,Streptococcus,probably,Negative,Aerobic,8.25
STR_462,Streptococcus,loss,Negative,Anaerobic,2.04
STR_839,Pseudomonas,music,Positive,Facultative Anaerobe,1.92
STR_967,Clostridium,organization,Positive,Anaerobic,5.85
STR_337,Staphylococcus,interesting,Negative,Anaerobic,2.76
STR_155,Streptococcus,market,Negative,Aerobic,6.94
STR_780,Staphylococcus,bring,Positive,Facultative Anaerobe,6.69
STR_113,Lactobacillus,performance,Negative,Microaerophilic,5.32
STR_885,Clostridium,action,Positive,Facultative Anaerobe,2.94
STR_553,Pseudomonas,you,Positive,Facultative Anaerobe,4.11
STR_337,Clostridium,yourself,Positive,Facultative Anaerobe,7.2
STR_117,Bacillus,interview,Negative,Anaerobic,4.33
STR_667,Bacillus,might,Negative,Aerobic,3.23
STR_971,Clostridium,week,Positive,Facultative Anaerobe,3.29
STR_110,Bacillus,alone,Negative,Aerobic,5.49
STR_324,Pseudomonas,director,Negative,Facultative Anaerobe,7.81
STR_990,Clostridium,compare,Negative,Anaerobic,3.46
STR_703,Pseudomonas,treat,Negative,Aerobic,7.38
STR_315,Lactobacillus,strategy,Positive,Aerobic,4.26
STR_733,Pseudomonas,myself,Positive,Aerobic,0.69
STR_355,Lactobacillus,ok,Negative,Facultative Anaerobe,0.63
STR_448,Lactobacillus,book,Positive,Aerobic,7.13
STR_572,Streptococcus,power,Positive,Facultative Anaerobe,6.27
STR_782,Bacillus,response,Positive,Microaerophilic,1.0
STR_927,Staphylococcus,structure,Negative,Microaerophilic,7.46
STR_607,Staphylococcus,item,Negative,Aerobic,1.21
STR_514,Bacillus,wall,Positive,Aerobic,3.32
STR_646,Staphylococcus,hundred,Negative,Microaerophilic,2.82
STR_698,Bacillus,his,Positive,Facultative Anaerobe,2.8
STR_807,Lactobacillus,smile,Negative,Aerobic,2.1
STR_820,Clostridium,toward,Positive,Facultative Anaerobe,8.92
STR_724,Staphylococcus,strong,Positive,Facultative Anaerobe,4.57
STR_105,Clostridium,large,Negative,Microaerophilic,4.85
STR_762,Bacillus,suggest,Positive,Anaerobic,4.93
STR_717,Clostridium,but,Positive,Facultative Anaerobe,5.98
STR_676,Streptococcus,together,Negative,Facultative Anaerobe,6.65
STR_768,Lactobacillus,despite,Negative,Facultative Anaerobe,7.75
STR_407,Lactobacillus,key,Negative,Microaerophilic,6.64
STR_659,Clostridium,moment,Negative,Aerobic,8.11
STR_576,Clostridium,but,Negative,Aerobic,9.33
STR_475,Pseudomonas,parent,Positive,Aerobic,2.36
STR_412,Pseudomonas,sure,Positive,Microaerophilic,7.79
STR_661,Pseudomonas,our,Negative,Facultative Anaerobe,2.67
STR_803,Bacillus,upon,Positive,Aerobic,2.34
STR_431,Lactobacillus,cause,Negative,Aerobic,3.91
STR_941,Lactobacillus,class,Negative,Aerobic,0.99
STR_424,Lactobacillus,choose,Negative,Microaerophilic,3.93
STR_356,Staphylococcus,such,Negative,Facultative Anaerobe,8.0
STR_860,Lactobacillus,perhaps,Positive,Microaerophilic,1.17
STR_423,Clostridium,return,Negative,Anaerobic,6.23
STR_865,Bacillus,partner,Positive,Anaerobic,4.24
STR_796,Bacillus,common,Negative,Anaerobic,9.7
STR_305,Pseudomonas,police,Positive,Microaerophilic,8.39
STR_867,Clostridium,right,Positive,Anaerobic,1.36
STR_694,Pseudomonas,most,Positive,Microaerophilic,2.95
STR_781,Clostridium,party,Negative,Microaerophilic,2.28
STR_472,Clostridium,break,Negative,Anaerobic,3.96
STR_725,Bacillus,image,Negative,Microaerophilic,9.1
STR_161,Pseudomonas,my,Negative,Microaerophilic,8.28
STR_162,Staphylococcus,experience,Positive,Anaerobic,3.58
STR_217,Bacillus,happen,Negative,Facultative Anaerobe,8.2
STR_427,Bacillus,policy,Positive,Microaerophilic,9.4
STR_160,Bacillus,walk,Negative,Aerobic,7.66
STR_681,Streptococcus,rock,Negative,Facultative Anaerobe,6.93
STR_865,Clostridium,soon,Positive,Aerobic,8.92
STR_425,Staphylococcus,option,Negative,Anaerobic,7.93
STR_991,Staphylococcus,can,Negative,Microaerophilic,2.77
STR_748,Lactobacillus,set,Negative,Aerobic,8.62
STR_990,Clostridium,simple,Negative,Facultative Anaerobe,6.78
STR_995,Clostridium,should,Positive,Anaerobic,8.63
STR_893,Pseudomonas,voice,Negative,Facultative Anaerobe,3.09
STR_613,Bacillus,college,Negative,Facultative Anaerobe,1.95
STR_159,Clostridium,owner,Negative,Microaerophilic,6.74
