strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_689,Streptococcus,force,Positive,Anaerobic,4.54
STR_141,Clostridium,part,Positive,Aerobic,4.73
STR_214,Staphylococcus,policy,Positive,Aerobic,1.47
STR_982,Lactobacillus,item,Negative,Aerobic,8.7
STR_276,Staphylococcus,though,Positive,Microaerophilic,2.26
STR_182,Staphylococcus,season,Negative,Facultative Anaerobe,8.63
STR_233,Streptococcus,finish,Positive,Aerobic,9.33
STR_953,Streptococcus,sense,Negative,Anaerobic,8.15
STR_906,Pseudomonas,important,Positive,Facultative Anaerobe,7.12
STR_134,Pseudomonas,last,Negative,Anaerobic,4.78
STR_167,Pseudomonas,sense,Negative,Microaerophilic,9.91
STR_191,Clostridium,born,Positive,Microaerophilic,6.57
STR_734,Lactobacillus,according,Positive,Microaerophilic,9.34
STR_374,Pseudomonas,small,Positive,Anaerobic,7.03
STR_780,Streptococcus,most,Positive,Microaerophilic,5.32
STR_997,Clostridium,news,Positive,Anaerobic,7.25
STR_187,Staphylococcus,turn,Positive,Aerobic,4.01
STR_900,Staphylococcus,environment,Negative,Anaerobic,6.39
STR_111,Lactobacillus,thing,Negative,Facultative Anaerobe,8.95
STR_667,Bacillus,hotel,Positive,Microaerophilic,1.51
STR_237,Streptococcus,case,Negative,Microaerophilic,9.74
STR_193,Pseudomonas,stuff,Positive,Microaerophilic,3.07
STR_588,Clostridium,doctor,Positive,Anaerobic,8.79
STR_186,Streptococcus,speak,Negative,Aerobic,4.33
STR_929,Staphylococcus,toward,Negative,Microaerophilic,8.41
STR_774,Clostridium,affect,Negative,Aerobic,9.92
STR_702,Staphylococcus,painting,Negative,Aerobic,9.33
STR_236,Pseudomonas,rule,Positive,Facultative Anaerobe,5.28
STR_900,Clostridium,court,Positive,Anaerobic,7.27
STR_727,Staphylococcus,election,Negative,Facultative Anaerobe,3.87
STR_190,Bacillus,or,Negative,Facultative Anaerobe,8.92
STR_693,Streptococcus,receive,Positive,Anaerobic,4.5
STR_770,Lactobacillus,available,Positive,Aerobic,6.01
STR_768,Streptococcus,during,Negative,Microaerophilic,0.92
STR_546,Lactobacillus,together,Positive,Aerobic,7.53
STR_833,Lactobacillus,gun,Positive,Anaerobic,1.39
STR_580,Lactobacillus,large,Positive,Facultative Anaerobe,7.62
STR_485,Streptococcus,TV,Positive,Facultative Anaerobe,2.2
STR_396,Streptococcus,network,Positive,Anaerobic,8.3
STR_361,Clostridium,establish,Positive,Microaerophilic,4.23
STR_267,Lactobacillus,expert,Negative,Microaerophilic,7.91
STR_248,Lactobacillus,car,Positive,Microaerophilic,5.76
STR_696,Streptococcus,record,Positive,Microaerophilic,6.44
STR_662,Clostridium,approach,Negative,Anaerobic,9.2
STR_895,Clostridium,very,Positive,Facultative Anaerobe,2.41
STR_248,Lactobacillus,commercial,Positive,Facultative Anaerobe,5.43
STR_314,Staphylococcus,energy,Negative,Microaerophilic,3.89
STR_251,Streptococcus,product,Negative,Aerobic,8.04
STR_771,Lactobacillus,social,Positive,Facultative Anaerobe,5.11
STR_530,Streptococcus,score,Positive,Anaerobic,4.88
STR_545,Staphylococcus,wide,Positive,Microaerophilic,8.56
STR_380,Staphylococcus,material,Negative,Facultative Anaerobe,4.51
STR_463,Clostridium,adult,Negative,Aerobic,3.05
STR_602,Clostridium,record,Positive,Microaerophilic,8.67
STR_816,Bacillus,loss,Negative,Microaerophilic,8.32
STR_325,Clostridium,up,Positive,Microaerophilic,8.45
STR_629,Lactobacillus,life,Positive,Microaerophilic,3.12
STR_916,Streptococcus,out,Negative,Aerobic,3.47
STR_904,Lactobacillus,between,Positive,Anaerobic,5.75
STR_596,Staphylococcus,no,Positive,Aerobic,5.83
STR_368,Staphylococcus,whole,Negative,Anaerobic,3.03
STR_873,Clostridium,civil,Positive,Microaerophilic,6.38
STR_221,Staphylococcus,me,Negative,Anaerobic,9.06
STR_582,Pseudomonas,wide,Positive,Anaerobic,5.11
STR_119,Clostridium,adult,Negative,Facultative Anaerobe,4.79
STR_152,Clostridium,control,Positive,Microaerophilic,5.68
STR_740,Streptococcus,test,Positive,Facultative Anaerobe,3.54
STR_398,Staphylococcus,hear,Positive,Anaerobic,5.45
STR_869,Pseudomonas,stand,Positive,Facultative Anaerobe,2.83
STR_619,Streptococcus,little,Positive,Anaerobic,5.02
STR_578,Lactobacillus,collection,Positive,Microaerophilic,3.15
STR_770,Staphylococcus,technology,Negative,Microaerophilic,3.03
STR_222,Pseudomonas,with,Positive,Microaerophilic,9.8
STR_172,Pseudomonas,worry,Negative,Aerobic,6.02
STR_444,Bacillus,court,Positive,Facultative Anaerobe,1.41
STR_323,Pseudomonas,save,Negative,Anaerobic,4.69
STR_490,Bacillus,majority,Negative,Facultative Anaerobe,4.41
STR_940,Bacillus,remain,Negative,Aerobic,3.37
STR_844,Pseudomonas,just,Negative,Aerobic,6.12
STR_260,Pseudomonas,born,Negative,Microaerophilic,4.47
STR_529,Bacillus,stay,Negative,Anaerobic,0.77
STR_135,Pseudomonas,but,Positive,Microaerophilic,4.62
STR_629,Staphylococcus,positive,Positive,Aerobic,4.48
STR_604,Clostridium,support,Positive,Aerobic,3.38
STR_595,Streptococcus,produce,Positive,Anaerobic,8.4
STR_973,Streptococcus,too,Negative,Facultative Anaerobe,6.74
STR_139,Staphylococcus,month,Negative,Microaerophilic,2.04
STR_331,Lactobacillus,notice,Positive,Aerobic,0.6
STR_490,Staphylococcus,mission,Positive,Aerobic,1.52
STR_404,Streptococcus,seven,Negative,Microaerophilic,5.85
STR_365,Streptococcus,half,Positive,Facultative Anaerobe,6.43
STR_752,Bacillus,show,Positive,Aerobic,5.86
STR_705,Staphylococcus,admit,Negative,Facultative Anaerobe,2.28
STR_615,Bacillus,well,Negative,Facultative Anaerobe,8.63
STR_269,Pseudomonas,instead,Negative,Anaerobic,2.71
STR_410,Lactobacillus,live,Negative,Microaerophilic,0.93
STR_176,Streptococcus,discuss,Positive,Aerobic,8.52
STR_808,Pseudomonas,lose,Negative,Anaerobic,5.41
STR_295,Clostridium,he,Positive,Microaerophilic,4.34
STR_154,Clostridium,debate,Positive,Aerobic,7.5
STR_100,Pseudomonas,mother,Positive,Aerobic,4.64
STR_760,Staphylococcus,consumer,Positive,Microaerophilic,9.13
STR_411,Pseudomonas,consumer,Negative,Microaerophilic,5.48
STR_246,Bacillus,dog,Positive,Aerobic,6.42
STR_165,Lactobacillus,like,Negative,Aerobic,0.5
STR_612,Pseudomonas,view,Positive,Anaerobic,4.52
STR_101,Streptococcus,would,Positive,Aerobic,7.34
STR_746,Streptococcus,man,Negative,Anaerobic,3.85
STR_276,Streptococcus,whose,Negative,Facultative Anaerobe,0.69
STR_849,Streptococcus,rock,Negative,Anaerobic,4.05
STR_142,Staphylococcus,fly,Positive,Aerobic,4.58
STR_502,Staphylococcus,receive,Positive,Microaerophilic,6.3
STR_280,Pseudomonas,writer,Negative,Microaerophilic,5.55
STR_462,Clostridium,ever,Negative,Aerobic,3.74
STR_913,Clostridium,tree,Positive,Facultative Anaerobe,6.16
STR_216,Bacillus,white,Positive,Anaerobic,5.35
STR_167,Bacillus,beautiful,Positive,Facultative Anaerobe,4.19
STR_541,Lactobacillus,star,Negative,Microaerophilic,2.18
STR_826,Pseudomonas,poor,Negative,Aerobic,5.87
STR_242,Bacillus,approach,Positive,Anaerobic,3.73
STR_873,Bacillus,group,Positive,Microaerophilic,9.47
STR_324,Lactobacillus,my,Positive,Facultative Anaerobe,0.68
STR_216,Streptococcus,try,Negative,Microaerophilic,0.92
STR_676,Lactobacillus,scene,Negative,Aerobic,2.77
STR_746,Pseudomonas,short,Positive,Facultative Anaerobe,3.7
STR_816,Clostridium,three,Positive,Facultative Anaerobe,4.0
STR_674,Pseudomonas,also,Negative,Anaerobic,9.72
STR_417,Pseudomonas,many,Negative,Aerobic,8.38
STR_497,Lactobacillus,growth,Positive,Aerobic,4.39
STR_380,Pseudomonas,wonder,Positive,Microaerophilic,8.16
STR_882,Lactobacillus,west,Negative,Anaerobic,6.58
STR_694,Pseudomonas,degree,Negative,Facultative Anaerobe,5.88
STR_324,Streptococcus,trade,Positive,Aerobic,9.71
STR_720,Bacillus,low,Negative,Facultative Anaerobe,3.56
STR_494,Bacillus,image,Positive,Facultative Anaerobe,2.53
STR_895,Clostridium,so,Positive,Microaerophilic,5.09
STR_585,Bacillus,most,Positive,Aerobic,9.82
STR_623,Clostridium,wonder,Negative,Aerobic,1.46
STR_164,Pseudomonas,floor,Positive,Anaerobic,3.68
STR_502,Lactobacillus,term,Negative,Microaerophilic,9.86
STR_406,Lactobacillus,develop,Positive,Anaerobic,4.69
STR_607,Clostridium,law,Negative,Facultative Anaerobe,1.33
STR_414,Streptococcus,never,Positive,Aerobic,9.86
