strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_789,Clostridium,light,Positive,Microaerophilic,3.01
STR_983,Bacillus,strategy,Positive,Anaerobic,2.34
STR_926,Staphylococcus,war,Negative,Microaerophilic,9.56
STR_660,Lactobacillus,discuss,Positive,Facultative Anaerobe,0.92
STR_506,Staphylococcus,behind,Negative,Anaerobic,8.55
STR_939,Pseudomonas,particularly,Negative,Aerobic,9.3
STR_212,Pseudomonas,east,Negative,Aerobic,5.86
STR_425,Pseudomonas,ten,Positive,Facultative Anaerobe,2.11
STR_155,Lactobacillus,laugh,Positive,Facultative Anaerobe,6.87
STR_117,Pseudomonas,follow,Positive,Anaerobic,3.62
STR_804,Lactobacillus,pass,Positive,Facultative Anaerobe,2.19
STR_399,Bacillus,reason,Positive,Facultative Anaerobe,8.86
STR_520,Lactobacillus,idea,Negative,Facultative Anaerobe,3.01
STR_518,Pseudomonas,growth,Positive,Anaerobic,2.31
STR_465,Lactobacillus,animal,Negative,Microaerophilic,5.27
STR_186,Staphylococcus,inside,Negative,Microaerophilic,6.63
STR_646,Pseudomonas,institution,Negative,Anaerobic,1.36
STR_501,Bacillus,local,Positive,Facultative Anaerobe,1.13
STR_491,Pseudomonas,Congress,Positive,Aerobic,7.58
STR_467,Pseudomonas,city,Negative,Microaerophilic,9.51
STR_578,Lactobacillus,finish,Negative,Microaerophilic,3.57
STR_659,Streptococcus,feel,Positive,Facultative Anaerobe,1.67
STR_437,Pseudomonas,could,Negative,Anaerobic,0.58
STR_702,Clostridium,conference,Positive,Aerobic,3.8
STR_555,Streptococcus,attorney,Positive,Facultative Anaerobe,9.94
STR_934,Streptococcus,why,Positive,Facultative Anaerobe,2.75
STR_424,Lactobacillus,run,Negative,Microaerophilic,7.05
STR_425,Staphylococcus,mind,Negative,Facultative Anaerobe,3.53
STR_998,Clostridium,somebody,Negative,Anaerobic,8.82
STR_245,Lactobacillus,speech,Positive,Facultative Anaerobe,9.05
STR_201,Bacillus,human,Positive,Anaerobic,6.42
STR_970,Bacillus,situation,Positive,Aerobic,7.68
STR_235,Clostridium,statement,Positive,Aerobic,8.28
STR_628,Staphylococcus,picture,Negative,Facultative Anaerobe,1.78
STR_845,Staphylococcus,determine,Negative,Aerobic,1.06
STR_441,Lactobacillus,with,Negative,Anaerobic,4.67
STR_631,Bacillus,strategy,Positive,Anaerobic,8.13
STR_941,Clostridium,black,Positive,Anaerobic,6.7
STR_852,Staphylococcus,new,Negative,Aerobic,3.8
STR_309,Bacillus,politics,Positive,Aerobic,1.26
STR_309,Pseudomonas,discussion,Positive,Aerobic,8.73
STR_768,Bacillus,change,Positive,Microaerophilic,2.01
STR_311,Clostridium,carry,Negative,Aerobic,6.51
STR_108,Bacillus,deal,Negative,Aerobic,1.44
STR_947,Bacillus,term,Positive,Facultative Anaerobe,1.44
STR_303,Lactobacillus,thousand,Positive,Facultative Anaerobe,2.17
STR_676,Bacillus,stage,Positive,Aerobic,6.27
STR_487,Bacillus,hotel,Positive,Facultative Anaerobe,0.99
STR_209,Staphylococcus,read,Positive,Facultative Anaerobe,4.33
STR_838,Bacillus,reflect,Positive,Aerobic,6.78
STR_588,Lactobacillus,statement,Positive,Anaerobic,6.08
STR_208,Lactobacillus,should,Positive,Aerobic,9.51
STR_689,Staphylococcus,figure,Positive,Aerobic,7.1
STR_326,Lactobacillus,heart,Positive,Facultative Anaerobe,8.74
STR_322,Clostridium,different,Positive,Facultative Anaerobe,1.38
STR_698,Lactobacillus,edge,Positive,Facultative Anaerobe,2.67
STR_791,Staphylococcus,they,Negative,Facultative Anaerobe,9.57
STR_848,Pseudomonas,doctor,Positive,Facultative Anaerobe,9.97
STR_876,Staphylococcus,evening,Positive,Facultative Anaerobe,1.92
STR_973,Pseudomonas,pattern,Positive,Anaerobic,5.42
STR_384,Pseudomonas,stage,Positive,Microaerophilic,4.49
STR_788,Clostridium,appear,Positive,Microaerophilic,1.33
STR_650,Lactobacillus,policy,Positive,Aerobic,1.04
STR_509,Lactobacillus,save,Positive,Anaerobic,7.9
STR_606,Staphylococcus,dream,Negative,Aerobic,1.23
STR_137,Bacillus,policy,Positive,Aerobic,4.93
STR_197,Clostridium,magazine,Negative,Facultative Anaerobe,3.1
STR_326,Streptococcus,well,Positive,Facultative Anaerobe,8.56
STR_658,Lactobacillus,professor,Negative,Microaerophilic,1.15
STR_674,Lactobacillus,trouble,Negative,Microaerophilic,4.2
STR_412,Clostridium,enter,Positive,Aerobic,8.06
STR_501,Staphylococcus,ok,Positive,Aerobic,2.46
STR_600,Pseudomonas,wish,Negative,Anaerobic,0.73
STR_650,Staphylococcus,easy,Positive,Anaerobic,6.07
STR_653,Lactobacillus,debate,Negative,Aerobic,8.42
STR_970,Staphylococcus,personal,Negative,Aerobic,8.27
STR_839,Bacillus,finish,Positive,Aerobic,5.87
STR_402,Lactobacillus,discussion,Negative,Microaerophilic,5.9
STR_748,Streptococcus,arrive,Positive,Facultative Anaerobe,6.89
STR_906,Lactobacillus,here,Positive,Facultative Anaerobe,6.24
STR_189,Streptococcus,many,Negative,Microaerophilic,7.01
STR_223,Pseudomonas,measure,Positive,Microaerophilic,7.54
STR_387,Bacillus,material,Positive,Facultative Anaerobe,3.13
STR_249,Lactobacillus,very,Negative,Anaerobic,4.87
STR_779,Staphylococcus,simply,Positive,Facultative Anaerobe,0.66
STR_865,Lactobacillus,break,Negative,Anaerobic,2.26
STR_816,Pseudomonas,continue,Negative,Microaerophilic,7.45
STR_787,Clostridium,rate,Positive,Aerobic,4.93
STR_110,Pseudomonas,many,Negative,Facultative Anaerobe,9.06
STR_487,Lactobacillus,seven,Positive,Aerobic,8.54
STR_399,Bacillus,matter,Positive,Anaerobic,4.26
