strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_888,Streptococcus,commercial,Negative,Aerobic,1.71
STR_300,Lactobacillus,care,Positive,Aerobic,4.38
STR_775,Lactobacillus,until,Negative,Aerobic,4.23
STR_747,Staphylococcus,team,Negative,Facultative Anaerobe,1.6
STR_646,Staphylococcus,too,Positive,Microaerophilic,6.55
STR_981,Lactobacillus,few,Negative,Anaerobic,1.24
STR_278,Lactobacillus,development,Positive,Facultative Anaerobe,3.49
STR_871,Clostridium,realize,Positive,Facultative Anaerobe,8.41
STR_594,Lactobacillus,which,Negative,Aerobic,4.23
STR_496,Pseudomonas,popular,Positive,Anaerobic,1.03
STR_714,Clostridium,act,Positive,Microaerophilic,3.64
STR_288,Clostridium,national,Positive,Anaerobic,3.57
STR_469,Clostridium,service,Positive,Anaerobic,4.34
STR_980,Clostridium,toward,Negative,Anaerobic,2.33
STR_656,Lactobacillus,traditional,Negative,Microaerophilic,0.94
STR_594,Bacillus,under,Positive,Facultative Anaerobe,9.92
STR_541,Lactobacillus,prepare,Negative,Facultative Anaerobe,8.43
STR_324,Bacillus,mission,Negative,Facultative Anaerobe,3.19
STR_908,Clostridium,responsibility,Negative,Facultative Anaerobe,3.58
STR_869,Staphylococcus,respond,Positive,Microaerophilic,7.5
STR_269,Staphylococcus,relationship,Negative,Microaerophilic,3.44
STR_362,Streptococcus,kind,Negative,Facultative Anaerobe,6.72
STR_186,Bacillus,view,Positive,Facultative Anaerobe,6.13
STR_198,Pseudomonas,check,Positive,Facultative Anaerobe,0.54
STR_464,Lactobacillus,just,Positive,Microaerophilic,1.66
STR_770,Clostridium,business,Negative,Facultative Anaerobe,0.89
STR_851,Clostridium,bad,Negative,Anaerobic,2.86
STR_740,Clostridium,seek,Positive,Microaerophilic,7.83
STR_402,Streptococcus,face,Negative,Facultative Anaerobe,4.82
STR_253,Lactobacillus,environment,Negative,Aerobic,1.41
STR_669,Lactobacillus,what,Negative,Anaerobic,2.6
STR_262,Bacillus,body,Negative,Microaerophilic,6.72
STR_673,Clostridium,south,Positive,Anaerobic,2.97
STR_468,Pseudomonas,officer,Positive,Anaerobic,2.6
STR_661,Staphylococcus,check,Negative,Facultative Anaerobe,5.01
STR_418,Bacillus,run,Positive,Facultative Anaerobe,5.91
STR_420,Staphylococcus,partner,Positive,Aerobic,9.68
STR_115,Streptococcus,development,Negative,Facultative Anaerobe,8.93
STR_624,Streptococcus,course,Negative,Microaerophilic,2.85
STR_610,Staphylococcus,life,Positive,Anaerobic,3.24
STR_729,Streptococcus,most,Positive,Anaerobic,7.72
STR_447,Staphylococcus,painting,Positive,Facultative Anaerobe,4.36
STR_522,Pseudomonas,nor,Positive,Microaerophilic,2.7
STR_218,Clostridium,can,Positive,Microaerophilic,7.37
STR_770,Lactobacillus,hot,Positive,Facultative Anaerobe,8.1
STR_515,Staphylococcus,behavior,Positive,Anaerobic,6.78
STR_358,Clostridium,message,Positive,Anaerobic,1.7
STR_129,Staphylococcus,minute,Negative,Microaerophilic,5.28
STR_605,Staphylococcus,wide,Positive,Anaerobic,5.9
STR_684,Lactobacillus,another,Negative,Facultative Anaerobe,2.8
STR_108,Clostridium,worker,Positive,Facultative Anaerobe,1.92
STR_435,Clostridium,central,Negative,Microaerophilic,1.85
STR_372,Lactobacillus,west,Negative,Anaerobic,6.52
STR_383,Pseudomonas,scene,Negative,Facultative Anaerobe,3.53
STR_453,Bacillus,near,Positive,Microaerophilic,2.75
STR_882,Clostridium,plant,Positive,Microaerophilic,9.55
STR_931,Streptococcus,but,Negative,Anaerobic,6.71
STR_292,Pseudomonas,call,Positive,Microaerophilic,7.23
STR_475,Streptococcus,no,Positive,Facultative Anaerobe,5.3
STR_658,Clostridium,national,Negative,Aerobic,8.71
STR_374,Streptococcus,material,Positive,Anaerobic,6.21
STR_237,Lactobacillus,college,Positive,Microaerophilic,0.86
STR_978,Clostridium,against,Negative,Facultative Anaerobe,5.09
STR_868,Streptococcus,relationship,Positive,Anaerobic,3.7
STR_963,Lactobacillus,party,Negative,Aerobic,4.73
STR_127,Streptococcus,blood,Negative,Aerobic,3.92
STR_970,Streptococcus,too,Negative,Aerobic,6.78
STR_169,Lactobacillus,worry,Negative,Aerobic,5.14
STR_334,Streptococcus,most,Negative,Facultative Anaerobe,4.77
STR_591,Lactobacillus,professional,Positive,Aerobic,7.88
STR_433,Pseudomonas,real,Positive,Anaerobic,4.88
STR_769,Pseudomonas,popular,Positive,Anaerobic,8.07
STR_952,Clostridium,conference,Negative,Aerobic,5.04
STR_268,Streptococcus,program,Negative,Anaerobic,4.02
STR_292,Clostridium,window,Positive,Aerobic,2.7
STR_855,Streptococcus,however,Positive,Microaerophilic,9.53
STR_508,Lactobacillus,lay,Negative,Facultative Anaerobe,1.36
STR_300,Pseudomonas,by,Negative,Facultative Anaerobe,0.85
STR_349,Clostridium,next,Negative,Anaerobic,6.94
STR_959,Staphylococcus,crime,Positive,Microaerophilic,2.21
STR_207,Streptococcus,region,Positive,Facultative Anaerobe,8.17
STR_755,Pseudomonas,clearly,Negative,Microaerophilic,1.89
STR_556,Staphylococcus,western,Negative,Microaerophilic,9.64
STR_273,Lactobacillus,certainly,Negative,Anaerobic,1.03
STR_683,Pseudomonas,feel,Negative,Aerobic,4.77
STR_410,Clostridium,audience,Positive,Aerobic,1.3
STR_522,Staphylococcus,over,Positive,Facultative Anaerobe,3.08
STR_896,Pseudomonas,arm,Negative,Microaerophilic,7.39
STR_591,Lactobacillus,stop,Negative,Anaerobic,8.21
STR_926,Streptococcus,focus,Negative,Aerobic,4.9
STR_467,Clostridium,although,Negative,Facultative Anaerobe,8.12
STR_496,Lactobacillus,wish,Positive,Facultative Anaerobe,8.12
STR_535,Clostridium,pressure,Positive,Microaerophilic,5.11
STR_279,Streptococcus,pressure,Positive,Anaerobic,9.51
STR_761,Staphylococcus,table,Positive,Facultative Anaerobe,5.71
STR_820,Staphylococcus,word,Positive,Facultative Anaerobe,7.96
STR_573,Lactobacillus,late,Negative,Microaerophilic,3.12
STR_223,Clostridium,test,Positive,Anaerobic,2.06
STR_394,Pseudomonas,treatment,Positive,Facultative Anaerobe,3.98
STR_435,Pseudomonas,west,Negative,Microaerophilic,1.02
STR_128,Pseudomonas,book,Negative,Anaerobic,4.45
STR_262,Clostridium,big,Positive,Aerobic,9.0
STR_492,Clostridium,up,Negative,Anaerobic,0.68
STR_475,Staphylococcus,hundred,Negative,Microaerophilic,5.06
STR_749,Clostridium,present,Negative,Aerobic,2.48
STR_161,Bacillus,until,Positive,Facultative Anaerobe,5.44
STR_594,Clostridium,thank,Negative,Facultative Anaerobe,2.11
STR_842,Pseudomonas,accept,Positive,Anaerobic,5.87
STR_956,Bacillus,both,Positive,Aerobic,8.01
STR_120,Pseudomonas,employee,Positive,Aerobic,8.51
STR_516,Clostridium,step,Negative,Aerobic,9.66
STR_313,Streptococcus,watch,Positive,Anaerobic,5.87
STR_692,Pseudomonas,occur,Positive,Facultative Anaerobe,4.13
STR_906,Staphylococcus,relate,Negative,Microaerophilic,9.03
STR_126,Pseudomonas,also,Positive,Anaerobic,6.02
STR_600,Pseudomonas,director,Negative,Anaerobic,4.49
STR_441,Staphylococcus,several,Negative,Microaerophilic,5.44
STR_971,Clostridium,cover,Negative,Aerobic,9.65
STR_275,Staphylococcus,indicate,Negative,Microaerophilic,2.88
STR_847,Staphylococcus,purpose,Negative,Aerobic,5.43
STR_957,Clostridium,though,Positive,Facultative Anaerobe,4.47
STR_660,Pseudomonas,community,Positive,Facultative Anaerobe,8.0
STR_162,Bacillus,among,Positive,Facultative Anaerobe,4.42
STR_976,Staphylococcus,event,Negative,Anaerobic,1.18
STR_105,Clostridium,pull,Negative,Aerobic,9.91
STR_177,Clostridium,such,Positive,Aerobic,6.48
STR_472,Clostridium,decide,Negative,Microaerophilic,7.07
STR_966,Staphylococcus,concern,Positive,Anaerobic,5.11
STR_662,Pseudomonas,policy,Negative,Aerobic,2.86
STR_656,Bacillus,usually,Positive,Anaerobic,9.03
STR_907,Clostridium,effort,Negative,Anaerobic,3.04
STR_200,Clostridium,already,Negative,Microaerophilic,8.66
STR_182,Streptococcus,concern,Negative,Facultative Anaerobe,9.67
STR_528,Staphylococcus,development,Positive,Anaerobic,3.93
STR_660,Clostridium,western,Positive,Anaerobic,0.63
STR_680,Bacillus,agent,Positive,Aerobic,8.34
STR_538,Lactobacillus,try,Negative,Aerobic,5.17
STR_352,Clostridium,represent,Negative,Anaerobic,1.73
STR_564,Pseudomonas,dark,Positive,Microaerophilic,3.48
STR_966,Staphylococcus,eye,Positive,Aerobic,1.43
STR_929,Staphylococcus,off,Positive,Anaerobic,1.0
STR_121,Clostridium,law,Positive,Anaerobic,0.84
STR_171,Bacillus,when,Negative,Aerobic,9.12
STR_580,Pseudomonas,door,Negative,Microaerophilic,2.09
STR_147,Pseudomonas,she,Negative,Aerobic,4.54
STR_685,Lactobacillus,follow,Negative,Aerobic,9.68
STR_600,Clostridium,book,Positive,Aerobic,7.59
STR_379,Staphylococcus,world,Positive,Facultative Anaerobe,9.2
STR_282,Staphylococcus,campaign,Negative,Facultative Anaerobe,3.97
STR_905,Staphylococcus,sport,Positive,Facultative Anaerobe,8.5
STR_341,Pseudomonas,PM,Negative,Aerobic,9.04
STR_409,Streptococcus,spend,Positive,Anaerobic,7.19
STR_794,Staphylococcus,threat,Positive,Microaerophilic,7.34
STR_757,Streptococcus,avoid,Positive,Microaerophilic,0.59
STR_315,Lactobacillus,treat,Negative,Aerobic,5.3
STR_274,Staphylococcus,stage,Negative,Facultative Anaerobe,6.84
STR_514,Lactobacillus,which,Negative,Microaerophilic,8.44
