strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_322,Clostridium,charge,Negative,Aerobic,8.07
STR_280,Clostridium,huge,Negative,Microaerophilic,2.57
STR_350,Clostridium,interest,Negative,Anaerobic,5.38
STR_752,Lactobacillus,top,Positive,Aerobic,9.03
STR_544,Clostridium,simple,Negative,Facultative Anaerobe,4.77
STR_858,Clostridium,itself,Negative,Microaerophilic,2.74
STR_401,Pseudomonas,grow,Negative,Facultative Anaerobe,3.78
STR_598,Lactobacillus,community,Positive,Aerobic,5.58
STR_440,Pseudomonas,ready,Negative,Aerobic,8.48
STR_343,Lactobacillus,however,Positive,Facultative Anaerobe,7.79
STR_779,Bacillus,others,Positive,Microaerophilic,4.81
STR_477,Streptococcus,enjoy,Positive,Anaerobic,3.26
STR_780,Pseudomonas,degree,Negative,Aerobic,5.72
STR_575,Staphylococcus,hundred,Negative,Aerobic,2.14
STR_121,Clostridium,low,Positive,Aerobic,0.5
STR_374,Pseudomonas,window,Negative,Anaerobic,9.94
STR_400,Streptococcus,instead,Positive,Aerobic,0.65
STR_630,Streptococcus,common,Negative,Microaerophilic,5.54
STR_373,Lactobacillus,early,Positive,Anaerobic,7.3
STR_675,Staphylococcus,him,Positive,Aerobic,2.07
STR_840,Pseudomonas,top,Positive,Aerobic,5.99
STR_391,Clostridium,should,Positive,Aerobic,2.77
STR_286,Bacillus,out,Negative,Anaerobic,5.25
STR_736,Streptococcus,back,Positive,Anaerobic,1.24
STR_534,Streptococcus,about,Positive,Anaerobic,6.05
STR_377,Staphylococcus,half,Negative,Anaerobic,7.54
STR_849,Pseudomonas,fact,Negative,Anaerobic,7.65
STR_720,Pseudomonas,three,Negative,Anaerobic,6.78
STR_352,Pseudomonas,choice,Negative,Anaerobic,7.65
STR_456,Bacillus,cell,Negative,Anaerobic,6.28
STR_262,Streptococcus,member,Negative,Anaerobic,1.68
STR_824,Staphylococcus,boy,Positive,Microaerophilic,1.1
STR_595,Bacillus,play,Negative,Microaerophilic,8.71
STR_712,Clostridium,ball,Negative,Facultative Anaerobe,2.31
STR_960,Bacillus,six,Negative,Aerobic,9.22
STR_441,Bacillus,much,Positive,Microaerophilic,3.07
STR_111,Lactobacillus,third,Positive,Aerobic,4.28
STR_599,Streptococcus,trip,Negative,Facultative Anaerobe,6.09
