strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_652,Clostridium,treat,Positive,Aerobic,4.22
STR_315,Bacillus,which,Positive,Facultative Anaerobe,5.98
STR_818,Streptococcus,hope,Negative,Aerobic,1.57
STR_363,Staphylococcus,six,Negative,Microaerophilic,5.44
STR_493,Pseudomonas,heavy,Positive,Anaerobic,7.78
STR_490,Lactobacillus,expert,Positive,Facultative Anaerobe,6.93
STR_821,Lactobacillus,me,Positive,Microaerophilic,1.83
STR_176,Staphylococcus,certain,Positive,Facultative Anaerobe,1.1
STR_247,Clostridium,budget,Positive,Microaerophilic,6.02
STR_762,Pseudomonas,ground,Negative,Microaerophilic,3.2
STR_559,Staphylococcus,both,Negative,Microaerophilic,2.59
STR_477,Staphylococcus,finally,Negative,Microaerophilic,7.26
STR_603,Lactobacillus,brother,Positive,Aerobic,7.39
STR_497,Pseudomonas,up,Positive,Facultative Anaerobe,9.08
STR_441,Lactobacillus,practice,Negative,Anaerobic,4.43
STR_111,Staphylococcus,under,Negative,Aerobic,8.06
STR_343,Bacillus,any,Positive,Anaerobic,1.46
STR_503,Clostridium,indeed,Positive,Facultative Anaerobe,1.23
STR_293,Pseudomonas,street,Negative,Microaerophilic,6.94
STR_403,Streptococcus,nice,Negative,Microaerophilic,2.26
STR_377,Pseudomonas,development,Positive,Facultative Anaerobe,9.54
STR_393,Bacillus,suggest,Negative,Microaerophilic,7.48
STR_764,Lactobacillus,focus,Negative,Anaerobic,6.38
STR_808,Lactobacillus,any,Negative,Microaerophilic,3.86
STR_236,Streptococcus,argue,Negative,Anaerobic,0.64
STR_660,Lactobacillus,mind,Positive,Microaerophilic,4.06
STR_446,Lactobacillus,pretty,Positive,Anaerobic,5.16
STR_386,Streptococcus,my,Positive,Facultative Anaerobe,9.09
STR_359,Staphylococcus,necessary,Negative,Anaerobic,0.83
STR_251,Clostridium,part,Negative,Microaerophilic,6.87
STR_569,Bacillus,data,Negative,Microaerophilic,3.11
STR_538,Bacillus,too,Negative,Aerobic,8.98
STR_440,Bacillus,law,Positive,Anaerobic,7.16
STR_914,Pseudomonas,structure,Positive,Aerobic,1.65
STR_697,Staphylococcus,this,Negative,Anaerobic,4.16
STR_169,Staphylococcus,but,Negative,Facultative Anaerobe,8.54
STR_399,Streptococcus,international,Negative,Aerobic,9.86
STR_953,Clostridium,home,Positive,Anaerobic,5.29
STR_313,Bacillus,middle,Positive,Microaerophilic,9.9
STR_737,Clostridium,loss,Negative,Microaerophilic,5.99
STR_298,Bacillus,doctor,Negative,Microaerophilic,7.17
STR_964,Pseudomonas,occur,Negative,Aerobic,9.52
STR_594,Staphylococcus,animal,Positive,Microaerophilic,5.74
STR_171,Clostridium,instead,Negative,Facultative Anaerobe,6.08
STR_876,Streptococcus,network,Negative,Facultative Anaerobe,5.63
STR_267,Clostridium,wall,Negative,Anaerobic,6.97
STR_967,Clostridium,knowledge,Positive,Anaerobic,8.51
STR_899,Lactobacillus,read,Positive,Microaerophilic,6.48
STR_566,Staphylococcus,civil,Negative,Aerobic,3.5
STR_681,Lactobacillus,question,Positive,Aerobic,3.0
STR_612,Bacillus,inside,Negative,Anaerobic,5.99
STR_924,Lactobacillus,serious,Positive,Anaerobic,4.19
STR_970,Bacillus,effort,Negative,Anaerobic,5.55
STR_994,Pseudomonas,thousand,Positive,Microaerophilic,1.13
STR_634,Clostridium,drop,Positive,Anaerobic,7.05
STR_897,Clostridium,student,Negative,Aerobic,2.02
STR_371,Pseudomonas,reveal,Positive,Anaerobic,3.83
STR_953,Staphylococcus,professional,Negative,Aerobic,3.44
STR_331,Pseudomonas,yeah,Negative,Aerobic,9.98
STR_572,Clostridium,traditional,Negative,Facultative Anaerobe,4.65
STR_498,Clostridium,movement,Negative,Anaerobic,7.67
STR_247,Pseudomonas,hit,Negative,Anaerobic,8.46
STR_728,Clostridium,those,Negative,Microaerophilic,6.77
