strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_277,Lactobacillus,hot,Positive,Aerobic,8.42
STR_267,Staphylococcus,present,Positive,Anaerobic,3.16
STR_839,Clostridium,arrive,Negative,Anaerobic,4.76
STR_925,Pseudomonas,right,Positive,Anaerobic,6.9
STR_658,Staphylococcus,beat,Positive,Anaerobic,8.62
STR_118,Streptococcus,become,Negative,Microaerophilic,4.8
STR_397,Clostridium,style,Positive,Facultative Anaerobe,7.41
STR_974,Clostridium,position,Negative,Anaerobic,6.51
STR_674,Pseudomonas,ever,Positive,Facultative Anaerobe,3.26
STR_132,Staphylococcus,response,Negative,Microaerophilic,3.44
STR_479,Pseudomonas,language,Negative,Anaerobic,1.4
STR_212,Clostridium,difficult,Negative,Facultative Anaerobe,2.15
STR_280,Pseudomonas,someone,Positive,Microaerophilic,3.0
STR_710,Clostridium,far,Positive,Facultative Anaerobe,3.23
STR_523,Pseudomonas,hope,Negative,Microaerophilic,7.58
STR_302,Staphylococcus,system,Positive,Facultative Anaerobe,1.96
STR_703,Bacillus,operation,Positive,Facultative Anaerobe,5.54
STR_625,Streptococcus,could,Positive,Microaerophilic,9.97
STR_631,Staphylococcus,election,Positive,Aerobic,3.74
STR_876,Bacillus,increase,Positive,Aerobic,0.78
STR_194,Bacillus,attention,Negative,Anaerobic,5.4
STR_567,Bacillus,notice,Negative,Anaerobic,0.55
STR_975,Lactobacillus,argue,Positive,Facultative Anaerobe,9.26
STR_794,Staphylococcus,them,Positive,Facultative Anaerobe,7.65
STR_770,Lactobacillus,single,Negative,Aerobic,2.06
STR_105,Staphylococcus,side,Positive,Aerobic,2.45
STR_217,Streptococcus,say,Negative,Aerobic,7.13
STR_217,Lactobacillus,right,Negative,Facultative Anaerobe,0.77
STR_298,Lactobacillus,people,Negative,Anaerobic,5.79
STR_760,Clostridium,a,Positive,Facultative Anaerobe,3.48
STR_112,Streptococcus,kid,Positive,Microaerophilic,9.67
STR_758,Clostridium,travel,Positive,Facultative Anaerobe,6.4
STR_517,Bacillus,challenge,Negative,Anaerobic,5.68
STR_484,Clostridium,region,Negative,Facultative Anaerobe,5.53
STR_431,Pseudomonas,because,Positive,Aerobic,6.5
STR_406,Bacillus,price,Positive,Anaerobic,9.12
STR_344,Clostridium,popular,Positive,Anaerobic,7.32
STR_173,Clostridium,management,Negative,Anaerobic,1.83
STR_888,Clostridium,happy,Positive,Facultative Anaerobe,2.54
STR_866,Lactobacillus,million,Positive,Facultative Anaerobe,2.17
STR_776,Pseudomonas,of,Positive,Facultative Anaerobe,1.59
STR_392,Pseudomonas,crime,Positive,Facultative Anaerobe,9.26
STR_684,Bacillus,good,Positive,Microaerophilic,7.32
STR_129,Pseudomonas,perhaps,Negative,Facultative Anaerobe,4.44
STR_308,Streptococcus,mean,Negative,Anaerobic,5.5
STR_323,Bacillus,or,Positive,Facultative Anaerobe,7.37
STR_965,Lactobacillus,in,Negative,Anaerobic,6.75
STR_919,Pseudomonas,catch,Positive,Aerobic,3.75
STR_436,Pseudomonas,other,Positive,Aerobic,6.66
STR_288,Clostridium,me,Positive,Anaerobic,8.09
STR_439,Bacillus,until,Positive,Anaerobic,5.31
STR_835,Staphylococcus,make,Negative,Aerobic,6.62
STR_562,Staphylococcus,around,Positive,Microaerophilic,9.84
STR_174,Lactobacillus,example,Positive,Microaerophilic,8.91
STR_437,Pseudomonas,health,Negative,Anaerobic,2.37
STR_702,Staphylococcus,best,Positive,Anaerobic,8.22
STR_983,Staphylococcus,always,Positive,Microaerophilic,7.67
STR_521,Streptococcus,recent,Negative,Aerobic,7.19
STR_415,Staphylococcus,opportunity,Negative,Anaerobic,1.08
STR_782,Streptococcus,ok,Negative,Anaerobic,4.7
STR_310,Streptococcus,myself,Positive,Microaerophilic,9.19
STR_694,Streptococcus,nice,Positive,Anaerobic,1.62
STR_292,Bacillus,evening,Negative,Anaerobic,3.67
STR_751,Streptococcus,despite,Negative,Microaerophilic,8.15
STR_399,Pseudomonas,too,Negative,Microaerophilic,1.81
STR_916,Lactobacillus,fine,Negative,Anaerobic,7.12
STR_560,Lactobacillus,up,Positive,Aerobic,2.09
STR_173,Pseudomonas,woman,Negative,Anaerobic,9.56
STR_395,Pseudomonas,win,Negative,Facultative Anaerobe,9.39
STR_166,Lactobacillus,but,Negative,Anaerobic,2.59
STR_217,Lactobacillus,threat,Positive,Aerobic,3.22
STR_820,Clostridium,until,Negative,Facultative Anaerobe,3.72
STR_937,Bacillus,grow,Negative,Aerobic,6.33
STR_371,Staphylococcus,stage,Positive,Microaerophilic,4.28
STR_232,Bacillus,amount,Positive,Facultative Anaerobe,8.94
STR_491,Staphylococcus,kid,Negative,Anaerobic,7.22
STR_592,Streptococcus,author,Negative,Aerobic,0.8
STR_377,Clostridium,strong,Negative,Anaerobic,5.43
STR_724,Lactobacillus,it,Negative,Anaerobic,7.65
STR_746,Staphylococcus,case,Positive,Microaerophilic,2.09
STR_922,Lactobacillus,ask,Negative,Microaerophilic,2.22
STR_400,Clostridium,eat,Negative,Anaerobic,8.13
STR_385,Pseudomonas,expect,Positive,Aerobic,2.84
STR_661,Streptococcus,language,Negative,Anaerobic,1.61
STR_666,Clostridium,somebody,Positive,Facultative Anaerobe,4.65
STR_246,Bacillus,film,Positive,Microaerophilic,7.86
STR_950,Bacillus,great,Negative,Aerobic,4.58
STR_970,Staphylococcus,job,Negative,Facultative Anaerobe,8.91
STR_356,Streptococcus,agree,Negative,Facultative Anaerobe,3.86
STR_332,Lactobacillus,early,Negative,Aerobic,5.55
STR_555,Staphylococcus,seven,Negative,Aerobic,9.36
STR_989,Lactobacillus,early,Negative,Microaerophilic,1.04
STR_436,Pseudomonas,mind,Negative,Facultative Anaerobe,4.39
STR_900,Streptococcus,international,Positive,Facultative Anaerobe,6.55
STR_963,Bacillus,during,Positive,Facultative Anaerobe,3.94
STR_460,Streptococcus,foot,Positive,Facultative Anaerobe,2.57
STR_379,Lactobacillus,beyond,Negative,Microaerophilic,6.36
STR_566,Lactobacillus,body,Positive,Microaerophilic,7.11
STR_179,Pseudomonas,wear,Positive,Microaerophilic,7.37
STR_610,Bacillus,away,Negative,Aerobic,8.3
STR_200,Clostridium,system,Negative,Microaerophilic,9.45
STR_892,Pseudomonas,sing,Negative,Aerobic,7.58
STR_344,Clostridium,because,Negative,Aerobic,4.14
STR_502,Lactobacillus,investment,Positive,Microaerophilic,4.57
STR_521,Staphylococcus,mother,Negative,Facultative Anaerobe,2.81
STR_196,Streptococcus,course,Positive,Aerobic,9.52
STR_802,Staphylococcus,several,Negative,Aerobic,5.69
STR_594,Streptococcus,couple,Negative,Anaerobic,1.3
STR_842,Staphylococcus,view,Positive,Facultative Anaerobe,6.83
STR_663,Staphylococcus,reveal,Negative,Facultative Anaerobe,4.26
STR_855,Lactobacillus,often,Negative,Aerobic,2.47
STR_857,Bacillus,two,Negative,Anaerobic,3.46
STR_876,Staphylococcus,strategy,Negative,Microaerophilic,9.67
STR_160,Streptococcus,various,Negative,Microaerophilic,0.59
