strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_866,Streptococcus,article,Positive,Aerobic,8.05
STR_390,Bacillus,room,Positive,Microaerophilic,6.16
STR_742,Lactobacillus,size,Negative,Microaerophilic,5.9
STR_102,Staphylococcus,mention,Negative,Facultative Anaerobe,4.76
STR_477,Lactobacillus,pass,Positive,Microaerophilic,8.85
STR_121,Bacillus,prepare,Positive,Facultative Anaerobe,8.04
STR_914,Bacillus,strategy,Positive,Aerobic,6.22
STR_321,Bacillus,drive,Positive,Anaerobic,8.18
STR_921,Lactobacillus,hair,Negative,Anaerobic,9.21
STR_839,Bacillus,president,Negative,Microaerophilic,9.01
STR_136,Lactobacillus,ready,Positive,Facultative Anaerobe,6.72
STR_999,Streptococcus,them,Negative,Facultative Anaerobe,7.4
STR_199,Lactobacillus,figure,Positive,Aerobic,7.3
STR_664,Bacillus,husband,Negative,Microaerophilic,2.25
STR_800,Lactobacillus,where,Positive,Microaerophilic,4.19
STR_571,Streptococcus,itself,Negative,Aerobic,1.75
STR_477,Pseudomonas,man,Positive,Microaerophilic,4.3
STR_570,Bacillus,style,Negative,Facultative Anaerobe,7.06
STR_835,Bacillus,hair,Negative,Microaerophilic,5.06
STR_277,Streptococcus,two,Positive,Anaerobic,9.31
STR_689,Pseudomonas,customer,Positive,Microaerophilic,4.51
STR_175,Pseudomonas,find,Negative,Facultative Anaerobe,7.21
STR_770,Lactobacillus,sort,Negative,Anaerobic,2.18
STR_423,Streptococcus,economy,Negative,Anaerobic,4.22
STR_163,Staphylococcus,single,Positive,Microaerophilic,1.7
STR_979,Streptococcus,system,Positive,Facultative Anaerobe,0.77
STR_210,Streptococcus,suffer,Negative,Anaerobic,3.35
STR_683,Clostridium,thing,Positive,Aerobic,9.72
STR_857,Pseudomonas,either,Positive,Aerobic,4.23
STR_567,Bacillus,remain,Negative,Microaerophilic,9.91
STR_208,Staphylococcus,culture,Positive,Facultative Anaerobe,7.06
STR_658,Lactobacillus,draw,Negative,Anaerobic,5.27
STR_263,Bacillus,model,Positive,Aerobic,4.52
STR_229,Streptococcus,dog,Positive,Aerobic,5.35
STR_464,Staphylococcus,natural,Positive,Microaerophilic,9.35
STR_715,Streptococcus,law,Positive,Facultative Anaerobe,4.62
STR_366,Streptococcus,gas,Negative,Anaerobic,5.46
STR_227,Bacillus,region,Negative,Anaerobic,6.56
STR_982,Staphylococcus,laugh,Positive,Microaerophilic,1.35
STR_247,Clostridium,always,Negative,Facultative Anaerobe,5.57
STR_471,Staphylococcus,early,Positive,Anaerobic,2.57
STR_451,Clostridium,agent,Positive,Microaerophilic,9.91
STR_324,Clostridium,next,Positive,Aerobic,8.08
STR_674,Streptococcus,cup,Positive,Anaerobic,6.03
STR_710,Streptococcus,take,Positive,Aerobic,7.21
STR_237,Streptococcus,vote,Positive,Facultative Anaerobe,8.5
STR_208,Clostridium,those,Negative,Anaerobic,3.73
STR_267,Lactobacillus,war,Negative,Aerobic,1.25
STR_757,Streptococcus,choice,Positive,Microaerophilic,4.85
STR_519,Bacillus,difficult,Positive,Aerobic,7.9
STR_689,Lactobacillus,night,Positive,Microaerophilic,1.16
STR_806,Clostridium,game,Negative,Microaerophilic,5.5
STR_399,Staphylococcus,enter,Negative,Aerobic,5.02
STR_800,Bacillus,prevent,Negative,Aerobic,2.4
STR_351,Clostridium,and,Positive,Microaerophilic,3.81
STR_675,Streptococcus,skin,Negative,Microaerophilic,0.55
STR_794,Streptococcus,least,Positive,Anaerobic,4.64
STR_118,Streptococcus,plant,Negative,Aerobic,5.13
STR_126,Bacillus,necessary,Negative,Microaerophilic,4.85
STR_488,Bacillus,add,Positive,Aerobic,0.78
STR_210,Lactobacillus,popular,Positive,Facultative Anaerobe,2.67
STR_857,Staphylococcus,term,Positive,Aerobic,6.61
STR_398,Pseudomonas,price,Positive,Anaerobic,1.23
STR_519,Lactobacillus,set,Positive,Microaerophilic,5.71
STR_955,Pseudomonas,entire,Positive,Microaerophilic,9.86
STR_947,Staphylococcus,early,Positive,Aerobic,2.0
STR_870,Staphylococcus,including,Negative,Anaerobic,1.82
STR_630,Staphylococcus,democratic,Positive,Microaerophilic,3.89
STR_949,Streptococcus,Mr,Negative,Microaerophilic,2.28
STR_536,Streptococcus,event,Negative,Microaerophilic,7.57
STR_482,Clostridium,successful,Positive,Anaerobic,6.12
STR_583,Clostridium,every,Positive,Aerobic,4.76
STR_437,Staphylococcus,vote,Negative,Anaerobic,7.33
STR_181,Streptococcus,city,Positive,Microaerophilic,5.86
STR_192,Clostridium,improve,Positive,Microaerophilic,3.54
STR_780,Bacillus,letter,Negative,Aerobic,5.42
STR_996,Staphylococcus,quite,Positive,Aerobic,0.97
STR_184,Bacillus,together,Positive,Anaerobic,7.09
STR_406,Staphylococcus,there,Negative,Facultative Anaerobe,3.71
STR_109,Pseudomonas,agency,Negative,Anaerobic,7.57
STR_982,Streptococcus,discover,Positive,Microaerophilic,9.02
STR_666,Staphylococcus,style,Negative,Microaerophilic,1.99
STR_520,Bacillus,free,Positive,Aerobic,3.82
STR_762,Streptococcus,police,Negative,Anaerobic,8.83
STR_125,Bacillus,knowledge,Negative,Microaerophilic,7.41
STR_756,Streptococcus,institution,Positive,Microaerophilic,4.89
STR_791,Pseudomonas,sit,Positive,Microaerophilic,1.59
STR_662,Streptococcus,walk,Positive,Facultative Anaerobe,1.61
STR_810,Pseudomonas,stage,Positive,Facultative Anaerobe,7.96
STR_455,Bacillus,resource,Positive,Microaerophilic,5.69
STR_611,Streptococcus,education,Negative,Aerobic,6.29
STR_483,Pseudomonas,after,Positive,Microaerophilic,9.61
STR_477,Bacillus,per,Positive,Anaerobic,6.6
STR_416,Lactobacillus,quite,Negative,Facultative Anaerobe,7.87
STR_411,Clostridium,purpose,Positive,Anaerobic,8.59
STR_908,Pseudomonas,event,Positive,Anaerobic,6.74
STR_392,Bacillus,today,Positive,Facultative Anaerobe,6.41
STR_846,Bacillus,debate,Negative,Aerobic,5.08
STR_578,Staphylococcus,because,Negative,Anaerobic,5.93
STR_123,Bacillus,trial,Negative,Anaerobic,2.87
STR_997,Pseudomonas,only,Negative,Anaerobic,1.76
STR_986,Bacillus,look,Positive,Aerobic,1.73
STR_996,Bacillus,owner,Negative,Facultative Anaerobe,2.32
STR_638,Pseudomonas,where,Negative,Microaerophilic,5.64
STR_328,Pseudomonas,chance,Positive,Aerobic,7.32
STR_525,Clostridium,good,Negative,Anaerobic,7.03
STR_731,Streptococcus,reality,Negative,Anaerobic,9.08
STR_244,Lactobacillus,notice,Positive,Microaerophilic,4.66
STR_391,Pseudomonas,something,Positive,Microaerophilic,7.06
STR_776,Lactobacillus,level,Positive,Anaerobic,5.48
STR_256,Lactobacillus,city,Negative,Anaerobic,1.88
STR_457,Streptococcus,treatment,Positive,Anaerobic,4.24
STR_864,Clostridium,far,Positive,Microaerophilic,6.84
STR_545,Pseudomonas,standard,Positive,Microaerophilic,8.92
STR_727,Bacillus,school,Positive,Aerobic,6.29
STR_583,Pseudomonas,indeed,Negative,Microaerophilic,9.68
STR_951,Lactobacillus,turn,Positive,Microaerophilic,1.31
STR_768,Staphylococcus,news,Positive,Anaerobic,5.12
STR_409,Pseudomonas,order,Negative,Microaerophilic,2.87
STR_696,Staphylococcus,space,Positive,Facultative Anaerobe,8.28
