strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_661,Clostridium,half,Positive,Microaerophilic,3.42
STR_329,Streptococcus,such,Positive,Microaerophilic,6.19
STR_858,Bacillus,call,Negative,Microaerophilic,1.83
STR_123,Bacillus,factor,Positive,Microaerophilic,1.03
STR_267,Lactobacillus,possible,Negative,Aerobic,0.92
STR_666,Clostridium,operation,Positive,Aerobic,3.5
STR_257,Clostridium,audience,Negative,Aerobic,1.49
STR_419,Streptococcus,state,Positive,Anaerobic,6.68
STR_868,Streptococcus,born,Negative,Facultative Anaerobe,3.99
STR_813,Clostridium,professor,Negative,Anaerobic,3.02
STR_477,Staphylococcus,rock,Positive,Facultative Anaerobe,3.22
STR_887,Streptococcus,good,Positive,Facultative Anaerobe,0.99
STR_356,Pseudomonas,security,Positive,Microaerophilic,6.04
STR_144,Staphylococcus,class,Positive,Microaerophilic,4.41
STR_778,Clostridium,research,Negative,Anaerobic,6.41
STR_154,Streptococcus,throw,Negative,Facultative Anaerobe,4.1
STR_289,Streptococcus,law,Negative,Anaerobic,7.14
STR_424,Staphylococcus,picture,Negative,Anaerobic,3.76
STR_436,Lactobacillus,organization,Negative,Facultative Anaerobe,3.65
STR_294,Pseudomonas,nice,Positive,Anaerobic,7.28
STR_250,Streptococcus,commercial,Positive,Facultative Anaerobe,5.74
STR_969,Staphylococcus,represent,Negative,Microaerophilic,1.65
STR_908,Bacillus,really,Negative,Aerobic,6.41
STR_766,Streptococcus,design,Positive,Microaerophilic,6.3
STR_971,Bacillus,leader,Negative,Facultative Anaerobe,1.22
STR_327,Clostridium,southern,Positive,Aerobic,5.11
STR_540,Lactobacillus,huge,Negative,Facultative Anaerobe,7.42
STR_563,Streptococcus,particularly,Positive,Aerobic,1.29
STR_513,Streptococcus,risk,Negative,Aerobic,9.7
STR_445,Streptococcus,foreign,Negative,Aerobic,5.34
STR_767,Streptococcus,develop,Negative,Microaerophilic,5.61
STR_578,Streptococcus,receive,Negative,Aerobic,9.12
STR_351,Clostridium,back,Positive,Facultative Anaerobe,6.94
STR_286,Clostridium,various,Negative,Anaerobic,4.14
STR_777,Lactobacillus,if,Negative,Microaerophilic,3.48
STR_655,Streptococcus,until,Positive,Facultative Anaerobe,6.85
STR_942,Streptococcus,side,Negative,Aerobic,7.33
STR_340,Bacillus,around,Positive,Microaerophilic,1.08
STR_180,Staphylococcus,guy,Negative,Microaerophilic,6.03
STR_716,Staphylococcus,able,Negative,Facultative Anaerobe,1.93
STR_114,Bacillus,organization,Negative,Aerobic,7.11
STR_943,Staphylococcus,huge,Negative,Aerobic,1.66
STR_533,Lactobacillus,vote,Positive,Anaerobic,5.04
STR_918,Staphylococcus,campaign,Positive,Facultative Anaerobe,3.07
STR_885,Lactobacillus,east,Positive,Facultative Anaerobe,0.68
STR_516,Pseudomonas,week,Positive,Microaerophilic,2.58
STR_784,Bacillus,choose,Negative,Aerobic,1.76
STR_896,Staphylococcus,ball,Negative,Anaerobic,7.15
STR_443,Bacillus,simple,Positive,Microaerophilic,7.38
STR_850,Staphylococcus,physical,Negative,Facultative Anaerobe,1.01
STR_356,Bacillus,sister,Negative,Aerobic,5.83
STR_346,Staphylococcus,watch,Positive,Facultative Anaerobe,4.12
STR_292,Staphylococcus,suffer,Positive,Aerobic,7.0
STR_304,Pseudomonas,leader,Positive,Microaerophilic,8.38
STR_786,Bacillus,good,Positive,Microaerophilic,5.86
STR_169,Clostridium,television,Negative,Anaerobic,7.93
STR_435,Staphylococcus,born,Positive,Anaerobic,4.85
STR_467,Streptococcus,success,Positive,Anaerobic,6.09
STR_977,Clostridium,interest,Positive,Facultative Anaerobe,6.82
STR_342,Bacillus,anything,Positive,Anaerobic,0.67
STR_458,Streptococcus,rather,Positive,Aerobic,7.66
STR_555,Streptococcus,fear,Positive,Microaerophilic,5.85
STR_809,Streptococcus,choice,Negative,Aerobic,3.55
STR_854,Bacillus,though,Positive,Aerobic,6.37
STR_147,Lactobacillus,stage,Positive,Facultative Anaerobe,8.74
STR_705,Streptococcus,many,Positive,Facultative Anaerobe,7.02
STR_782,Staphylococcus,nothing,Positive,Anaerobic,1.41
STR_433,Bacillus,job,Positive,Microaerophilic,2.67
STR_595,Pseudomonas,center,Positive,Anaerobic,5.56
STR_955,Bacillus,let,Positive,Anaerobic,3.04
STR_408,Pseudomonas,attack,Negative,Aerobic,6.56
STR_750,Lactobacillus,major,Positive,Anaerobic,1.66
STR_498,Pseudomonas,technology,Negative,Microaerophilic,1.87
STR_584,Lactobacillus,investment,Positive,Microaerophilic,0.64
STR_381,Clostridium,participant,Positive,Microaerophilic,4.07
STR_640,Streptococcus,network,Negative,Anaerobic,6.77
STR_893,Bacillus,eat,Negative,Aerobic,7.54
STR_256,Lactobacillus,structure,Positive,Facultative Anaerobe,1.59
STR_590,Pseudomonas,Mrs,Positive,Microaerophilic,9.62
STR_371,Lactobacillus,recognize,Positive,Microaerophilic,7.31
STR_102,Staphylococcus,opportunity,Positive,Aerobic,5.77
STR_248,Bacillus,interest,Positive,Aerobic,8.32
STR_257,Streptococcus,sit,Negative,Aerobic,6.32
STR_574,Bacillus,director,Positive,Facultative Anaerobe,9.08
STR_381,Staphylococcus,gas,Negative,Facultative Anaerobe,3.64
STR_644,Streptococcus,choose,Negative,Anaerobic,9.9
STR_841,Lactobacillus,tax,Negative,Aerobic,1.26
STR_796,Pseudomonas,quickly,Positive,Anaerobic,5.9
STR_172,Streptococcus,last,Positive,Microaerophilic,0.68
STR_348,Clostridium,sea,Negative,Microaerophilic,2.0
STR_706,Lactobacillus,peace,Negative,Facultative Anaerobe,6.97
STR_140,Streptococcus,piece,Negative,Facultative Anaerobe,7.98
