strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_897,Staphylococcus,available,Positive,Anaerobic,1.95
STR_996,Staphylococcus,their,Positive,Aerobic,9.88
STR_360,Lactobacillus,middle,Negative,Anaerobic,3.68
STR_397,Lactobacillus,rock,Negative,Anaerobic,0.95
STR_733,Lactobacillus,again,Negative,Anaerobic,9.11
STR_633,Clostridium,among,Negative,Anaerobic,5.42
STR_312,Pseudomonas,size,Positive,Facultative Anaerobe,9.37
STR_358,Pseudomonas,treat,Positive,Aerobic,1.07
STR_377,Bacillus,rather,Positive,Anaerobic,9.71
STR_427,Bacillus,know,Negative,Microaerophilic,3.94
STR_594,Bacillus,child,Negative,Microaerophilic,9.92
STR_293,Pseudomonas,peace,Negative,Microaerophilic,1.02
STR_503,Clostridium,decide,Negative,Anaerobic,4.49
STR_178,Clostridium,gas,Positive,Microaerophilic,5.47
STR_987,Lactobacillus,quality,Positive,Aerobic,9.31
STR_405,Staphylococcus,wide,Positive,Anaerobic,6.19
STR_918,Pseudomonas,former,Positive,Aerobic,8.04
STR_484,Staphylococcus,far,Positive,Aerobic,8.33
STR_491,Lactobacillus,human,Negative,Aerobic,7.96
STR_762,Streptococcus,indeed,Positive,Aerobic,8.0
STR_211,Streptococcus,north,Positive,Anaerobic,4.65
STR_464,Lactobacillus,institution,Positive,Aerobic,2.97
STR_536,Clostridium,owner,Positive,Aerobic,3.85
STR_434,Staphylococcus,police,Negative,Anaerobic,1.41
STR_528,Pseudomonas,so,Positive,Microaerophilic,1.85
STR_966,Bacillus,before,Positive,Anaerobic,9.47
STR_942,Streptococcus,poor,Positive,Facultative Anaerobe,5.97
STR_520,Bacillus,central,Positive,Anaerobic,2.62
STR_105,Staphylococcus,find,Positive,Aerobic,2.2
STR_750,Clostridium,animal,Positive,Microaerophilic,1.16
STR_286,Clostridium,professor,Positive,Anaerobic,1.81
STR_821,Pseudomonas,probably,Negative,Anaerobic,8.5
STR_370,Bacillus,successful,Negative,Microaerophilic,8.45
STR_628,Bacillus,fire,Negative,Anaerobic,4.57
STR_603,Clostridium,across,Positive,Facultative Anaerobe,8.18
STR_333,Streptococcus,employee,Positive,Aerobic,2.05
STR_353,Lactobacillus,adult,Negative,Microaerophilic,8.97
STR_576,Clostridium,pull,Positive,Aerobic,2.68
STR_704,Clostridium,over,Negative,Aerobic,6.79
STR_324,Staphylococcus,here,Positive,Anaerobic,8.31
STR_587,Lactobacillus,ten,Positive,Microaerophilic,7.7
STR_123,Pseudomonas,theory,Negative,Aerobic,5.26
STR_736,Clostridium,stock,Positive,Anaerobic,4.69
STR_620,Pseudomonas,finish,Positive,Microaerophilic,2.18
STR_907,Staphylococcus,necessary,Negative,Microaerophilic,6.65
STR_649,Pseudomonas,this,Negative,Facultative Anaerobe,0.69
STR_452,Pseudomonas,institution,Negative,Facultative Anaerobe,2.45
STR_848,Staphylococcus,allow,Negative,Anaerobic,7.46
STR_840,Pseudomonas,nothing,Positive,Microaerophilic,8.45
STR_740,Lactobacillus,bill,Negative,Aerobic,3.28
STR_439,Clostridium,pick,Positive,Facultative Anaerobe,1.6
STR_517,Streptococcus,station,Positive,Anaerobic,5.9
STR_280,Staphylococcus,eye,Negative,Aerobic,2.24
STR_640,Bacillus,collection,Negative,Facultative Anaerobe,5.56
