strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_984,Clostridium,worry,Negative,Facultative Anaerobe,2.32
STR_304,Pseudomonas,experience,Negative,Anaerobic,4.89
STR_628,Clostridium,film,Positive,Microaerophilic,8.59
STR_286,Pseudomonas,this,Positive,Aerobic,8.88
STR_753,Clostridium,leave,Negative,Facultative Anaerobe,7.3
STR_892,Staphylococcus,case,Positive,Microaerophilic,8.6
STR_289,Staphylococcus,same,Negative,Anaerobic,1.92
STR_603,Pseudomonas,sound,Positive,Anaerobic,7.0
STR_146,Pseudomonas,compare,Positive,Facultative Anaerobe,5.12
STR_516,Pseudomonas,fine,Negative,Microaerophilic,7.22
STR_540,Bacillus,pass,Positive,Aerobic,3.46
STR_407,Bacillus,radio,Negative,Facultative Anaerobe,1.72
STR_364,Staphylococcus,benefit,Positive,Anaerobic,6.24
STR_260,Pseudomonas,air,Positive,Anaerobic,5.64
STR_178,Staphylococcus,many,Positive,Facultative Anaerobe,4.47
STR_388,Streptococcus,kind,Negative,Aerobic,3.0
STR_212,Pseudomonas,manage,Positive,Anaerobic,7.88
STR_958,Bacillus,other,Positive,Facultative Anaerobe,7.02
STR_567,Pseudomonas,ever,Positive,Aerobic,9.99
STR_621,Bacillus,deep,Positive,Microaerophilic,1.09
STR_272,Staphylococcus,either,Negative,Anaerobic,9.46
STR_770,Lactobacillus,have,Negative,Anaerobic,0.85
STR_936,Pseudomonas,growth,Negative,Facultative Anaerobe,9.85
STR_822,Streptococcus,risk,Positive,Aerobic,9.77
STR_841,Bacillus,training,Negative,Facultative Anaerobe,2.91
STR_415,Clostridium,claim,Positive,Facultative Anaerobe,1.4
STR_650,Pseudomonas,practice,Negative,Aerobic,5.14
STR_672,Lactobacillus,order,Positive,Anaerobic,4.19
STR_766,Clostridium,suddenly,Negative,Facultative Anaerobe,2.7
STR_165,Streptococcus,lead,Positive,Microaerophilic,6.06
STR_566,Pseudomonas,own,Negative,Aerobic,2.32
STR_616,Staphylococcus,determine,Negative,Microaerophilic,9.39
STR_457,Staphylococcus,serve,Negative,Microaerophilic,6.74
STR_537,Bacillus,camera,Positive,Facultative Anaerobe,3.96
STR_769,Staphylococcus,information,Positive,Microaerophilic,6.67
STR_958,Bacillus,admit,Negative,Anaerobic,8.39
STR_474,Streptococcus,reach,Positive,Anaerobic,4.67
STR_642,Bacillus,he,Positive,Microaerophilic,1.13
STR_631,Pseudomonas,and,Positive,Facultative Anaerobe,8.13
STR_506,Staphylococcus,bank,Negative,Facultative Anaerobe,8.06
STR_380,Lactobacillus,above,Negative,Aerobic,6.76
STR_782,Clostridium,fear,Negative,Anaerobic,9.34
STR_345,Lactobacillus,culture,Negative,Facultative Anaerobe,4.6
STR_219,Staphylococcus,worry,Positive,Facultative Anaerobe,3.7
STR_922,Clostridium,baby,Negative,Microaerophilic,4.68
STR_683,Pseudomonas,trial,Positive,Microaerophilic,2.97
STR_668,Staphylococcus,fly,Positive,Aerobic,9.71
STR_819,Lactobacillus,coach,Positive,Microaerophilic,0.76
STR_443,Bacillus,simple,Positive,Anaerobic,6.89
STR_460,Lactobacillus,entire,Positive,Microaerophilic,2.03
STR_510,Clostridium,begin,Positive,Microaerophilic,7.72
STR_802,Staphylococcus,raise,Positive,Facultative Anaerobe,4.63
STR_885,Staphylococcus,whole,Positive,Facultative Anaerobe,3.79
STR_677,Pseudomonas,hand,Negative,Facultative Anaerobe,2.7
STR_880,Lactobacillus,serve,Negative,Anaerobic,5.97
STR_758,Streptococcus,natural,Positive,Aerobic,1.27
STR_436,Streptococcus,never,Positive,Facultative Anaerobe,1.34
STR_320,Staphylococcus,still,Negative,Facultative Anaerobe,2.37
STR_500,Streptococcus,firm,Positive,Facultative Anaerobe,2.63
STR_590,Pseudomonas,American,Negative,Facultative Anaerobe,5.12
STR_868,Lactobacillus,grow,Positive,Facultative Anaerobe,1.2
STR_670,Clostridium,base,Negative,Microaerophilic,4.42
STR_310,Staphylococcus,kid,Negative,Microaerophilic,3.2
STR_529,Clostridium,simple,Positive,Microaerophilic,8.81
STR_205,Lactobacillus,risk,Positive,Microaerophilic,4.52
STR_680,Streptococcus,huge,Negative,Aerobic,0.83
STR_159,Lactobacillus,ask,Positive,Microaerophilic,8.82
STR_655,Lactobacillus,wait,Negative,Anaerobic,0.73
STR_336,Streptococcus,brother,Negative,Anaerobic,0.65
STR_637,Lactobacillus,study,Positive,Anaerobic,2.94
STR_415,Bacillus,air,Positive,Facultative Anaerobe,4.08
STR_799,Staphylococcus,agency,Negative,Anaerobic,3.2
STR_538,Bacillus,agreement,Positive,Facultative Anaerobe,1.66
STR_501,Bacillus,police,Positive,Facultative Anaerobe,7.15
STR_834,Clostridium,represent,Negative,Microaerophilic,0.57
STR_991,Bacillus,allow,Negative,Anaerobic,1.16
STR_166,Staphylococcus,movement,Negative,Aerobic,4.69
STR_545,Streptococcus,successful,Negative,Microaerophilic,7.34
STR_999,Bacillus,or,Negative,Aerobic,7.17
STR_740,Streptococcus,senior,Positive,Microaerophilic,8.8
STR_343,Clostridium,feel,Positive,Facultative Anaerobe,8.57
STR_322,Pseudomonas,develop,Negative,Microaerophilic,4.11
STR_685,Staphylococcus,employee,Negative,Aerobic,6.17
STR_752,Staphylococcus,wall,Positive,Anaerobic,5.83
STR_277,Clostridium,seven,Positive,Microaerophilic,2.08
STR_880,Lactobacillus,analysis,Positive,Aerobic,0.95
STR_371,Bacillus,different,Positive,Anaerobic,7.88
STR_256,Pseudomonas,particularly,Negative,Aerobic,2.85
STR_851,Bacillus,respond,Positive,Facultative Anaerobe,5.37
STR_711,Pseudomonas,majority,Negative,Aerobic,5.73
STR_552,Lactobacillus,improve,Negative,Aerobic,8.66
STR_198,Pseudomonas,its,Negative,Microaerophilic,8.41
STR_222,Bacillus,during,Positive,Facultative Anaerobe,6.83
STR_942,Clostridium,turn,Negative,Microaerophilic,7.46
STR_736,Bacillus,learn,Positive,Anaerobic,1.73
STR_256,Streptococcus,work,Negative,Anaerobic,8.46
STR_161,Lactobacillus,international,Positive,Microaerophilic,4.83
STR_746,Clostridium,interesting,Negative,Anaerobic,6.87
STR_991,Lactobacillus,school,Positive,Anaerobic,7.51
STR_176,Staphylococcus,anyone,Negative,Anaerobic,0.76
STR_217,Clostridium,assume,Positive,Microaerophilic,2.36
STR_903,Bacillus,party,Negative,Facultative Anaerobe,3.17
STR_332,Pseudomonas,occur,Negative,Anaerobic,3.51
STR_703,Clostridium,same,Positive,Aerobic,4.55
STR_353,Bacillus,local,Positive,Microaerophilic,2.36
STR_997,Bacillus,subject,Positive,Aerobic,5.51
STR_433,Staphylococcus,structure,Positive,Microaerophilic,9.75
STR_925,Clostridium,small,Negative,Microaerophilic,3.65
STR_735,Clostridium,able,Negative,Microaerophilic,7.2
STR_867,Streptococcus,might,Positive,Facultative Anaerobe,8.92
STR_869,Staphylococcus,especially,Positive,Facultative Anaerobe,5.04
STR_426,Pseudomonas,PM,Positive,Microaerophilic,8.91
STR_158,Staphylococcus,various,Negative,Aerobic,8.31
STR_842,Lactobacillus,training,Positive,Microaerophilic,8.99
STR_875,Staphylococcus,senior,Positive,Anaerobic,8.8
STR_490,Lactobacillus,mind,Negative,Aerobic,9.19
STR_942,Pseudomonas,beyond,Positive,Microaerophilic,2.45
STR_303,Streptococcus,might,Positive,Anaerobic,8.7
STR_750,Clostridium,less,Negative,Aerobic,3.11
