strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_200,Bacillus,article,Negative,Anaerobic,7.54
STR_351,Staphylococcus,training,Negative,Aerobic,6.29
STR_871,Streptococcus,action,Positive,Anaerobic,2.53
STR_465,Clostridium,meeting,Positive,Microaerophilic,5.97
STR_570,Lactobacillus,myself,Positive,Aerobic,0.93
STR_814,Bacillus,child,Negative,Facultative Anaerobe,5.02
STR_101,Lactobacillus,vote,Negative,Anaerobic,3.03
STR_242,Bacillus,coach,Positive,Facultative Anaerobe,1.67
STR_909,Bacillus,miss,Negative,Aerobic,0.51
STR_916,Pseudomonas,hotel,Negative,Microaerophilic,4.15
STR_759,Lactobacillus,stock,Negative,Facultative Anaerobe,7.67
STR_146,Streptococcus,before,Positive,Microaerophilic,9.94
STR_314,Staphylococcus,design,Positive,Aerobic,1.19
STR_656,Lactobacillus,blood,Positive,Microaerophilic,1.65
STR_663,Bacillus,respond,Positive,Facultative Anaerobe,3.47
STR_715,Clostridium,word,Negative,Aerobic,2.95
STR_636,Bacillus,truth,Positive,Aerobic,6.49
STR_965,Bacillus,summer,Negative,Aerobic,7.69
STR_160,Lactobacillus,table,Negative,Aerobic,5.1
STR_571,Bacillus,natural,Positive,Microaerophilic,8.98
STR_348,Lactobacillus,peace,Negative,Anaerobic,0.96
STR_289,Staphylococcus,begin,Negative,Anaerobic,4.15
STR_745,Lactobacillus,card,Negative,Microaerophilic,4.28
STR_947,Streptococcus,simply,Positive,Aerobic,9.65
STR_469,Clostridium,middle,Negative,Facultative Anaerobe,8.09
STR_306,Bacillus,type,Negative,Facultative Anaerobe,4.06
STR_111,Lactobacillus,something,Positive,Facultative Anaerobe,9.41
STR_182,Pseudomonas,concern,Positive,Microaerophilic,5.7
STR_161,Bacillus,born,Positive,Facultative Anaerobe,3.99
STR_187,Pseudomonas,body,Positive,Anaerobic,9.96
STR_293,Streptococcus,common,Negative,Aerobic,3.52
STR_529,Clostridium,low,Negative,Anaerobic,3.93
STR_498,Bacillus,rest,Positive,Facultative Anaerobe,1.73
STR_248,Streptococcus,girl,Positive,Anaerobic,1.18
STR_289,Bacillus,provide,Positive,Aerobic,3.39
STR_390,Staphylococcus,large,Negative,Facultative Anaerobe,4.68
STR_422,Clostridium,build,Negative,Facultative Anaerobe,4.87
STR_451,Pseudomonas,image,Negative,Anaerobic,3.53
STR_897,Streptococcus,still,Negative,Anaerobic,6.01
STR_718,Streptococcus,air,Positive,Anaerobic,1.58
STR_202,Clostridium,tonight,Negative,Facultative Anaerobe,1.55
STR_759,Streptococcus,with,Negative,Anaerobic,7.14
STR_821,Bacillus,their,Positive,Anaerobic,5.72
STR_452,Pseudomonas,address,Positive,Anaerobic,3.42
STR_863,Staphylococcus,right,Negative,Microaerophilic,4.58
STR_113,Lactobacillus,easy,Positive,Microaerophilic,5.43
STR_256,Streptococcus,change,Negative,Facultative Anaerobe,8.94
STR_845,Streptococcus,financial,Negative,Aerobic,2.54
STR_389,Clostridium,window,Positive,Aerobic,8.8
STR_733,Staphylococcus,oil,Positive,Microaerophilic,3.95
STR_975,Streptococcus,later,Positive,Microaerophilic,7.82
STR_148,Pseudomonas,over,Negative,Aerobic,1.38
STR_868,Lactobacillus,number,Positive,Anaerobic,1.27
STR_687,Staphylococcus,kind,Positive,Anaerobic,0.81
STR_422,Staphylococcus,determine,Positive,Aerobic,8.73
STR_597,Staphylococcus,ago,Positive,Anaerobic,6.03
STR_379,Lactobacillus,amount,Positive,Aerobic,2.32
STR_857,Lactobacillus,choice,Negative,Facultative Anaerobe,6.96
STR_566,Clostridium,operation,Positive,Aerobic,3.42
STR_328,Bacillus,perform,Negative,Anaerobic,8.93
STR_526,Bacillus,court,Positive,Anaerobic,3.93
STR_404,Clostridium,whole,Positive,Anaerobic,7.68
STR_927,Bacillus,financial,Positive,Microaerophilic,8.5
