strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_427,Staphylococcus,return,Positive,Facultative Anaerobe,9.33
STR_821,Streptococcus,control,Negative,Facultative Anaerobe,5.0
STR_239,Streptococcus,surface,Positive,Microaerophilic,9.43
STR_588,Pseudomonas,avoid,Negative,Microaerophilic,1.91
STR_193,Streptococcus,eight,Negative,Facultative Anaerobe,7.72
STR_771,Staphylococcus,heavy,Positive,Facultative Anaerobe,8.97
STR_949,Bacillus,weight,Negative,Microaerophilic,4.82
STR_251,Clostridium,benefit,Positive,Microaerophilic,9.65
STR_534,Pseudomonas,customer,Negative,Aerobic,5.56
STR_899,Bacillus,sure,Positive,Aerobic,1.15
STR_882,Staphylococcus,stop,Positive,Facultative Anaerobe,9.53
STR_544,Staphylococcus,student,Negative,Anaerobic,9.01
STR_294,Lactobacillus,scientist,Positive,Anaerobic,7.79
STR_518,Pseudomonas,government,Negative,Microaerophilic,1.97
STR_278,Bacillus,life,Positive,Anaerobic,1.93
STR_238,Clostridium,hundred,Positive,Microaerophilic,1.53
STR_148,Pseudomonas,clearly,Negative,Aerobic,4.5
STR_487,Streptococcus,buy,Positive,Aerobic,4.49
STR_758,Staphylococcus,myself,Positive,Microaerophilic,9.42
STR_889,Streptococcus,difference,Positive,Aerobic,1.7
STR_155,Clostridium,successful,Negative,Anaerobic,9.96
STR_170,Streptococcus,cold,Negative,Aerobic,1.93
STR_770,Bacillus,very,Positive,Anaerobic,2.05
STR_773,Pseudomonas,film,Positive,Facultative Anaerobe,4.73
STR_274,Clostridium,southern,Positive,Aerobic,4.16
STR_151,Staphylococcus,capital,Positive,Anaerobic,4.13
STR_634,Staphylococcus,detail,Positive,Facultative Anaerobe,2.54
STR_852,Clostridium,by,Negative,Aerobic,0.84
STR_267,Clostridium,PM,Negative,Aerobic,7.12
STR_293,Clostridium,nature,Positive,Aerobic,6.19
STR_153,Pseudomonas,newspaper,Positive,Aerobic,7.14
STR_490,Streptococcus,thing,Positive,Facultative Anaerobe,3.79
STR_510,Bacillus,notice,Positive,Anaerobic,5.28
STR_842,Streptococcus,law,Positive,Facultative Anaerobe,9.87
STR_203,Clostridium,daughter,Negative,Anaerobic,6.32
STR_461,Bacillus,available,Negative,Aerobic,9.33
STR_735,Clostridium,wide,Positive,Anaerobic,9.42
STR_546,Clostridium,smile,Positive,Facultative Anaerobe,2.0
STR_496,Lactobacillus,certainly,Negative,Microaerophilic,9.94
STR_561,Streptococcus,ball,Positive,Aerobic,4.13
STR_225,Staphylococcus,method,Negative,Aerobic,4.52
STR_966,Pseudomonas,her,Positive,Facultative Anaerobe,9.33
STR_459,Pseudomonas,measure,Negative,Anaerobic,8.81
STR_328,Streptococcus,threat,Positive,Anaerobic,9.13
STR_913,Bacillus,value,Negative,Microaerophilic,3.18
STR_353,Bacillus,report,Negative,Facultative Anaerobe,2.88
STR_798,Clostridium,who,Positive,Facultative Anaerobe,8.61
STR_612,Staphylococcus,need,Positive,Microaerophilic,1.18
STR_703,Clostridium,recent,Positive,Anaerobic,0.9
STR_562,Clostridium,good,Negative,Microaerophilic,9.02
STR_366,Bacillus,bad,Positive,Aerobic,6.23
STR_204,Lactobacillus,together,Negative,Facultative Anaerobe,2.72
STR_569,Bacillus,agreement,Positive,Microaerophilic,4.04
STR_918,Bacillus,collection,Negative,Microaerophilic,6.22
STR_491,Lactobacillus,almost,Negative,Aerobic,8.75
STR_326,Clostridium,power,Negative,Anaerobic,6.33
STR_104,Clostridium,green,Positive,Facultative Anaerobe,0.75
STR_511,Staphylococcus,apply,Positive,Microaerophilic,7.09
STR_560,Bacillus,who,Positive,Anaerobic,3.44
STR_873,Bacillus,better,Positive,Anaerobic,1.0
STR_541,Lactobacillus,sound,Negative,Facultative Anaerobe,1.38
STR_654,Lactobacillus,candidate,Negative,Anaerobic,5.84
STR_655,Bacillus,still,Negative,Anaerobic,0.65
STR_530,Bacillus,apply,Positive,Facultative Anaerobe,3.17
STR_621,Lactobacillus,bag,Positive,Microaerophilic,7.36
STR_306,Pseudomonas,value,Positive,Facultative Anaerobe,4.04
STR_432,Staphylococcus,happy,Negative,Facultative Anaerobe,6.24
STR_867,Pseudomonas,leg,Positive,Aerobic,6.32
STR_914,Staphylococcus,spend,Positive,Anaerobic,9.09
STR_715,Clostridium,buy,Positive,Aerobic,0.7
STR_733,Pseudomonas,be,Positive,Microaerophilic,4.06
STR_202,Bacillus,yard,Negative,Facultative Anaerobe,3.05
STR_346,Streptococcus,five,Positive,Microaerophilic,0.75
STR_176,Staphylococcus,whom,Positive,Anaerobic,5.9
STR_279,Lactobacillus,indeed,Positive,Facultative Anaerobe,7.24
STR_195,Bacillus,bar,Negative,Microaerophilic,5.62
STR_286,Streptococcus,parent,Negative,Anaerobic,4.14
STR_721,Bacillus,hand,Negative,Microaerophilic,0.53
STR_188,Lactobacillus,almost,Negative,Aerobic,9.76
STR_197,Clostridium,discussion,Positive,Aerobic,5.6
STR_573,Staphylococcus,evidence,Negative,Aerobic,5.73
STR_322,Bacillus,cause,Positive,Microaerophilic,3.55
STR_508,Bacillus,white,Positive,Microaerophilic,7.44
STR_652,Bacillus,meeting,Positive,Anaerobic,5.42
STR_922,Lactobacillus,less,Positive,Aerobic,8.3
STR_277,Lactobacillus,site,Negative,Microaerophilic,6.31
STR_240,Bacillus,theory,Negative,Aerobic,5.24
STR_590,Staphylococcus,hospital,Negative,Anaerobic,7.72
STR_661,Streptococcus,step,Negative,Microaerophilic,1.82
STR_502,Staphylococcus,nature,Negative,Aerobic,2.08
STR_780,Lactobacillus,fall,Negative,Anaerobic,6.63
STR_251,Clostridium,then,Negative,Aerobic,7.85
STR_193,Clostridium,baby,Negative,Facultative Anaerobe,4.15
STR_531,Streptococcus,half,Negative,Facultative Anaerobe,8.0
STR_404,Bacillus,Democrat,Positive,Anaerobic,9.84
STR_727,Pseudomonas,herself,Negative,Microaerophilic,5.64
STR_100,Pseudomonas,campaign,Negative,Facultative Anaerobe,6.83
STR_557,Clostridium,never,Negative,Anaerobic,4.67
STR_191,Staphylococcus,evening,Positive,Facultative Anaerobe,9.51
STR_522,Bacillus,money,Negative,Aerobic,7.07
STR_103,Lactobacillus,argue,Positive,Aerobic,3.63
STR_697,Staphylococcus,article,Negative,Anaerobic,2.75
STR_269,Pseudomonas,boy,Positive,Anaerobic,1.68
STR_497,Clostridium,else,Positive,Microaerophilic,3.97
STR_541,Lactobacillus,mention,Negative,Microaerophilic,5.96
STR_560,Bacillus,example,Negative,Anaerobic,0.65
STR_566,Pseudomonas,voice,Positive,Microaerophilic,7.16
STR_578,Clostridium,result,Positive,Aerobic,2.7
STR_615,Clostridium,push,Negative,Aerobic,3.13
STR_540,Clostridium,only,Negative,Microaerophilic,1.56
STR_702,Lactobacillus,chance,Negative,Aerobic,3.7
STR_119,Lactobacillus,player,Negative,Microaerophilic,9.54
STR_673,Clostridium,white,Positive,Facultative Anaerobe,4.05
STR_921,Lactobacillus,daughter,Positive,Aerobic,4.59
STR_392,Clostridium,standard,Negative,Facultative Anaerobe,7.89
STR_548,Clostridium,sort,Negative,Aerobic,3.26
STR_196,Streptococcus,provide,Positive,Microaerophilic,7.71
STR_443,Lactobacillus,usually,Negative,Facultative Anaerobe,8.51
STR_728,Lactobacillus,what,Negative,Anaerobic,6.82
STR_729,Streptococcus,age,Negative,Aerobic,2.67
STR_554,Lactobacillus,inside,Positive,Facultative Anaerobe,9.56
STR_487,Clostridium,site,Positive,Aerobic,6.82
STR_928,Clostridium,image,Negative,Anaerobic,5.77
STR_890,Bacillus,kitchen,Positive,Microaerophilic,8.37
STR_905,Clostridium,art,Positive,Aerobic,9.85
STR_815,Lactobacillus,art,Positive,Anaerobic,3.73
STR_975,Bacillus,hard,Negative,Facultative Anaerobe,0.89
STR_817,Streptococcus,pressure,Negative,Microaerophilic,1.49
STR_928,Lactobacillus,between,Negative,Anaerobic,5.84
STR_485,Clostridium,note,Positive,Microaerophilic,6.44
STR_250,Bacillus,while,Negative,Facultative Anaerobe,1.31
STR_123,Bacillus,hot,Positive,Anaerobic,9.34
STR_165,Bacillus,spend,Positive,Anaerobic,5.08
STR_975,Clostridium,idea,Positive,Aerobic,8.36
STR_550,Staphylococcus,value,Positive,Aerobic,1.21
STR_511,Clostridium,almost,Positive,Aerobic,6.97
STR_808,Staphylococcus,simple,Negative,Aerobic,4.21
STR_534,Lactobacillus,similar,Negative,Facultative Anaerobe,2.5
STR_199,Pseudomonas,be,Negative,Facultative Anaerobe,7.8
STR_503,Bacillus,kid,Positive,Aerobic,6.85
STR_804,Pseudomonas,save,Negative,Facultative Anaerobe,9.79
STR_971,Streptococcus,range,Negative,Microaerophilic,1.93
STR_862,Bacillus,entire,Positive,Microaerophilic,9.29
STR_616,Pseudomonas,bar,Positive,Microaerophilic,2.75
STR_153,Pseudomonas,game,Negative,Aerobic,6.15
STR_693,Lactobacillus,sea,Negative,Aerobic,9.77
STR_861,Lactobacillus,institution,Negative,Anaerobic,9.19
STR_726,Clostridium,rate,Positive,Microaerophilic,9.52
STR_736,Clostridium,with,Negative,Facultative Anaerobe,3.76
STR_247,Staphylococcus,research,Negative,Anaerobic,9.93
STR_362,Clostridium,consider,Negative,Facultative Anaerobe,9.59
STR_433,Clostridium,history,Positive,Aerobic,1.27
STR_869,Bacillus,pretty,Positive,Microaerophilic,3.81
STR_871,Clostridium,more,Negative,Aerobic,6.17
STR_754,Streptococcus,authority,Negative,Facultative Anaerobe,8.24
STR_137,Clostridium,special,Negative,Microaerophilic,4.14
STR_544,Streptococcus,tax,Negative,Anaerobic,0.81
STR_921,Clostridium,suffer,Negative,Microaerophilic,2.79
STR_939,Lactobacillus,middle,Positive,Microaerophilic,7.32
STR_712,Staphylococcus,top,Negative,Microaerophilic,9.61
STR_307,Lactobacillus,deal,Negative,Aerobic,0.54
STR_219,Bacillus,situation,Positive,Microaerophilic,3.96
STR_196,Staphylococcus,moment,Negative,Anaerobic,6.8
STR_777,Streptococcus,listen,Negative,Anaerobic,5.63
STR_238,Clostridium,during,Positive,Aerobic,6.93
STR_679,Bacillus,law,Negative,Microaerophilic,4.12
STR_710,Staphylococcus,three,Negative,Facultative Anaerobe,8.11
STR_717,Clostridium,political,Negative,Microaerophilic,7.22
STR_853,Lactobacillus,site,Positive,Facultative Anaerobe,1.4
STR_371,Pseudomonas,attorney,Negative,Aerobic,7.27
STR_200,Staphylococcus,anyone,Positive,Microaerophilic,8.43
STR_680,Bacillus,black,Negative,Microaerophilic,5.22
STR_866,Streptococcus,different,Positive,Microaerophilic,1.26
STR_676,Staphylococcus,arrive,Negative,Anaerobic,5.63
STR_319,Clostridium,clear,Positive,Facultative Anaerobe,9.13
