strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_710,Bacillus,thousand,Negative,Facultative Anaerobe,1.74
STR_483,Lactobacillus,fear,Negative,Anaerobic,5.29
STR_984,Clostridium,group,Positive,Facultative Anaerobe,6.76
STR_336,Lactobacillus,worry,Positive,Aerobic,4.92
STR_424,Lactobacillus,blue,Positive,Facultative Anaerobe,9.22
STR_800,Bacillus,difference,Negative,Aerobic,4.09
STR_503,Streptococcus,learn,Negative,Aerobic,9.64
STR_665,Pseudomonas,everyone,Positive,Aerobic,1.28
STR_962,Clostridium,cause,Positive,Facultative Anaerobe,6.79
STR_839,Streptococcus,prevent,Positive,Anaerobic,3.43
STR_564,Streptococcus,unit,Negative,Anaerobic,2.65
STR_541,Staphylococcus,sell,Positive,Anaerobic,0.98
STR_831,Streptococcus,just,Negative,Facultative Anaerobe,5.55
STR_447,Streptococcus,choose,Positive,Microaerophilic,5.21
STR_520,Clostridium,this,Positive,Microaerophilic,6.79
STR_937,Staphylococcus,thank,Positive,Facultative Anaerobe,8.05
STR_307,Lactobacillus,popular,Negative,Facultative Anaerobe,5.3
STR_344,Bacillus,certainly,Positive,Aerobic,6.79
STR_366,Pseudomonas,cell,Negative,Facultative Anaerobe,2.69
STR_613,Streptococcus,least,Negative,Facultative Anaerobe,2.35
STR_426,Clostridium,that,Positive,Aerobic,8.09
STR_515,Lactobacillus,position,Negative,Anaerobic,8.75
STR_400,Bacillus,that,Positive,Aerobic,2.36
STR_967,Streptococcus,it,Negative,Aerobic,1.96
STR_812,Clostridium,common,Negative,Aerobic,4.3
STR_962,Bacillus,chair,Positive,Microaerophilic,1.18
STR_494,Clostridium,generation,Negative,Microaerophilic,9.5
STR_371,Pseudomonas,Democrat,Positive,Anaerobic,3.76
STR_643,Clostridium,miss,Positive,Anaerobic,1.34
STR_506,Bacillus,usually,Negative,Aerobic,9.01
STR_246,Pseudomonas,by,Positive,Facultative Anaerobe,3.56
STR_813,Clostridium,base,Positive,Facultative Anaerobe,2.76
STR_718,Streptococcus,military,Negative,Facultative Anaerobe,1.02
STR_772,Streptococcus,ago,Negative,Facultative Anaerobe,5.88
STR_609,Lactobacillus,purpose,Positive,Microaerophilic,5.58
STR_458,Pseudomonas,four,Positive,Aerobic,5.5
STR_234,Lactobacillus,camera,Negative,Anaerobic,5.82
STR_377,Pseudomonas,suggest,Negative,Facultative Anaerobe,3.12
STR_573,Pseudomonas,reveal,Negative,Aerobic,2.82
STR_588,Staphylococcus,town,Negative,Aerobic,0.58
STR_700,Streptococcus,ahead,Positive,Microaerophilic,9.41
STR_927,Lactobacillus,although,Positive,Aerobic,5.08
STR_454,Lactobacillus,best,Negative,Microaerophilic,4.86
STR_135,Lactobacillus,event,Positive,Microaerophilic,7.7
STR_116,Bacillus,difference,Negative,Microaerophilic,3.42
STR_555,Lactobacillus,see,Positive,Facultative Anaerobe,4.22
STR_327,Lactobacillus,simply,Negative,Aerobic,8.9
STR_168,Pseudomonas,employee,Positive,Aerobic,7.1
STR_737,Streptococcus,street,Positive,Facultative Anaerobe,9.15
STR_242,Pseudomonas,green,Negative,Anaerobic,1.52
STR_144,Pseudomonas,staff,Negative,Microaerophilic,0.83
STR_848,Streptococcus,sister,Positive,Facultative Anaerobe,9.43
STR_934,Pseudomonas,list,Positive,Aerobic,2.36
STR_503,Pseudomonas,opportunity,Negative,Aerobic,3.48
STR_527,Streptococcus,quite,Positive,Anaerobic,8.53
STR_621,Pseudomonas,focus,Negative,Facultative Anaerobe,7.54
STR_484,Pseudomonas,cover,Negative,Facultative Anaerobe,9.7
STR_748,Lactobacillus,very,Negative,Aerobic,6.63
STR_286,Lactobacillus,class,Negative,Facultative Anaerobe,3.17
STR_251,Bacillus,company,Negative,Aerobic,8.83
STR_878,Clostridium,decide,Negative,Aerobic,3.2
STR_808,Pseudomonas,total,Positive,Aerobic,2.77
STR_891,Staphylococcus,place,Negative,Microaerophilic,5.72
STR_367,Staphylococcus,away,Negative,Anaerobic,4.52
STR_157,Staphylococcus,scientist,Positive,Aerobic,4.75
STR_517,Lactobacillus,image,Positive,Facultative Anaerobe,3.22
STR_390,Streptococcus,by,Positive,Aerobic,3.41
STR_789,Clostridium,above,Positive,Aerobic,3.72
STR_514,Bacillus,rest,Negative,Facultative Anaerobe,0.74
STR_958,Clostridium,discussion,Negative,Aerobic,9.13
STR_316,Staphylococcus,describe,Positive,Anaerobic,3.93
STR_372,Lactobacillus,friend,Negative,Microaerophilic,3.45
STR_193,Lactobacillus,identify,Negative,Microaerophilic,5.3
STR_408,Bacillus,walk,Positive,Facultative Anaerobe,5.06
STR_283,Streptococcus,lay,Negative,Facultative Anaerobe,2.81
STR_679,Clostridium,understand,Positive,Anaerobic,4.33
STR_190,Clostridium,phone,Negative,Facultative Anaerobe,1.92
STR_293,Lactobacillus,under,Positive,Facultative Anaerobe,9.1
STR_525,Pseudomonas,hard,Negative,Aerobic,4.43
STR_104,Streptococcus,everyone,Positive,Aerobic,1.68
STR_764,Pseudomonas,conference,Negative,Anaerobic,3.51
STR_840,Lactobacillus,policy,Positive,Facultative Anaerobe,4.83
STR_787,Staphylococcus,mind,Negative,Microaerophilic,2.21
STR_554,Bacillus,over,Positive,Anaerobic,1.16
STR_617,Clostridium,benefit,Positive,Facultative Anaerobe,7.63
STR_805,Pseudomonas,scientist,Negative,Facultative Anaerobe,7.0
STR_634,Bacillus,phone,Positive,Facultative Anaerobe,9.39
STR_714,Pseudomonas,himself,Positive,Microaerophilic,4.21
STR_132,Lactobacillus,do,Negative,Aerobic,8.74
STR_864,Clostridium,he,Positive,Anaerobic,7.86
STR_635,Lactobacillus,decide,Negative,Anaerobic,6.92
STR_990,Lactobacillus,card,Positive,Anaerobic,5.6
STR_742,Streptococcus,occur,Positive,Facultative Anaerobe,2.86
STR_938,Streptococcus,series,Negative,Microaerophilic,3.62
STR_983,Lactobacillus,yet,Negative,Facultative Anaerobe,1.13
STR_853,Lactobacillus,treat,Positive,Microaerophilic,6.93
STR_304,Clostridium,letter,Positive,Aerobic,7.16
STR_519,Staphylococcus,suggest,Positive,Microaerophilic,8.65
STR_361,Pseudomonas,policy,Positive,Microaerophilic,5.73
STR_435,Staphylococcus,somebody,Positive,Aerobic,8.64
STR_725,Pseudomonas,some,Positive,Facultative Anaerobe,5.58
STR_383,Bacillus,success,Positive,Facultative Anaerobe,4.03
STR_671,Lactobacillus,so,Negative,Aerobic,6.31
STR_621,Lactobacillus,any,Positive,Facultative Anaerobe,4.1
STR_936,Clostridium,allow,Negative,Anaerobic,4.02
STR_253,Staphylococcus,toward,Negative,Anaerobic,6.67
STR_250,Bacillus,international,Negative,Microaerophilic,2.96
STR_244,Bacillus,health,Positive,Aerobic,6.23
STR_631,Lactobacillus,clearly,Negative,Aerobic,3.19
STR_212,Bacillus,Republican,Positive,Facultative Anaerobe,9.84
STR_626,Bacillus,specific,Positive,Facultative Anaerobe,5.77
STR_460,Clostridium,my,Negative,Aerobic,9.96
STR_533,Staphylococcus,improve,Negative,Anaerobic,3.01
STR_520,Staphylococcus,form,Negative,Aerobic,7.92
STR_586,Clostridium,important,Negative,Anaerobic,1.5
STR_162,Lactobacillus,approach,Positive,Anaerobic,8.31
STR_826,Streptococcus,artist,Positive,Facultative Anaerobe,6.53
STR_549,Streptococcus,move,Negative,Microaerophilic,6.59
STR_779,Pseudomonas,rock,Positive,Aerobic,6.28
STR_379,Pseudomonas,have,Negative,Microaerophilic,2.45
STR_420,Clostridium,house,Negative,Facultative Anaerobe,7.51
STR_978,Streptococcus,future,Negative,Facultative Anaerobe,4.51
STR_325,Pseudomonas,color,Positive,Aerobic,2.61
STR_331,Bacillus,American,Negative,Facultative Anaerobe,3.45
STR_709,Staphylococcus,federal,Positive,Anaerobic,9.23
STR_459,Bacillus,water,Negative,Facultative Anaerobe,9.7
STR_877,Streptococcus,ever,Positive,Microaerophilic,6.78
STR_113,Streptococcus,bit,Positive,Anaerobic,8.84
STR_101,Lactobacillus,follow,Positive,Aerobic,7.23
STR_477,Staphylococcus,operation,Negative,Facultative Anaerobe,7.25
STR_796,Pseudomonas,also,Negative,Anaerobic,8.75
STR_510,Streptococcus,his,Negative,Microaerophilic,3.8
STR_474,Bacillus,hand,Positive,Anaerobic,7.86
STR_589,Lactobacillus,president,Positive,Facultative Anaerobe,2.8
STR_242,Pseudomonas,reflect,Positive,Anaerobic,7.52
STR_951,Lactobacillus,my,Negative,Aerobic,1.29
STR_784,Streptococcus,spring,Positive,Microaerophilic,4.54
STR_545,Pseudomonas,ask,Positive,Anaerobic,3.52
STR_842,Bacillus,most,Positive,Facultative Anaerobe,9.63
STR_357,Clostridium,final,Negative,Microaerophilic,4.58
STR_621,Clostridium,realize,Negative,Anaerobic,7.37
STR_781,Bacillus,box,Positive,Anaerobic,4.67
STR_237,Staphylococcus,inside,Negative,Microaerophilic,3.59
STR_434,Bacillus,sound,Positive,Anaerobic,6.73
STR_156,Clostridium,line,Negative,Anaerobic,3.69
STR_525,Clostridium,join,Positive,Microaerophilic,2.02
STR_669,Clostridium,girl,Positive,Microaerophilic,8.12
STR_830,Lactobacillus,heavy,Negative,Anaerobic,3.56
STR_809,Streptococcus,vote,Positive,Microaerophilic,8.4
STR_675,Streptococcus,continue,Positive,Microaerophilic,2.28
STR_472,Clostridium,not,Positive,Microaerophilic,7.91
STR_600,Streptococcus,present,Positive,Anaerobic,7.67
STR_448,Streptococcus,arm,Positive,Microaerophilic,1.39
STR_185,Streptococcus,we,Negative,Anaerobic,0.82
STR_549,Lactobacillus,these,Positive,Anaerobic,9.01
STR_605,Bacillus,third,Positive,Aerobic,4.83
STR_279,Staphylococcus,player,Positive,Anaerobic,0.89
STR_763,Staphylococcus,over,Negative,Aerobic,7.88
STR_976,Staphylococcus,investment,Negative,Microaerophilic,3.42
STR_529,Lactobacillus,difference,Positive,Microaerophilic,1.87
STR_658,Pseudomonas,recent,Positive,Aerobic,9.56
STR_458,Bacillus,miss,Negative,Microaerophilic,3.13
STR_570,Bacillus,environment,Positive,Aerobic,6.45
STR_505,Staphylococcus,simply,Negative,Anaerobic,4.18
STR_524,Streptococcus,heavy,Positive,Microaerophilic,2.98
STR_628,Staphylococcus,role,Positive,Aerobic,5.58
STR_976,Staphylococcus,thousand,Positive,Facultative Anaerobe,7.48
STR_138,Clostridium,wonder,Positive,Aerobic,0.71
STR_563,Lactobacillus,rule,Negative,Microaerophilic,4.0
STR_499,Clostridium,my,Negative,Aerobic,6.55
STR_502,Staphylococcus,fish,Negative,Facultative Anaerobe,2.99
STR_180,Lactobacillus,national,Negative,Facultative Anaerobe,5.9
STR_927,Streptococcus,want,Positive,Microaerophilic,3.72
STR_413,Bacillus,else,Negative,Facultative Anaerobe,7.92
STR_327,Streptococcus,explain,Positive,Aerobic,1.54
STR_789,Staphylococcus,guy,Positive,Aerobic,3.4
STR_256,Clostridium,interest,Negative,Facultative Anaerobe,5.74
STR_414,Pseudomonas,although,Positive,Anaerobic,5.44
STR_425,Pseudomonas,fly,Negative,Facultative Anaerobe,4.38
STR_264,Staphylococcus,increase,Positive,Facultative Anaerobe,4.4
STR_328,Bacillus,system,Positive,Facultative Anaerobe,6.07
STR_689,Pseudomonas,book,Positive,Microaerophilic,2.6
STR_119,Pseudomonas,ahead,Positive,Facultative Anaerobe,8.93
STR_631,Clostridium,message,Negative,Anaerobic,1.14
STR_999,Bacillus,name,Negative,Anaerobic,2.49
STR_145,Pseudomonas,weight,Positive,Aerobic,2.77
STR_525,Staphylococcus,region,Negative,Microaerophilic,1.63
STR_524,Staphylococcus,look,Negative,Aerobic,6.25
STR_590,Staphylococcus,serve,Positive,Facultative Anaerobe,6.77
STR_806,Lactobacillus,seem,Negative,Microaerophilic,0.6
STR_908,Bacillus,memory,Negative,Facultative Anaerobe,3.5
STR_920,Lactobacillus,month,Positive,Microaerophilic,7.46
STR_456,Staphylococcus,expect,Positive,Anaerobic,8.31
STR_832,Streptococcus,discussion,Positive,Microaerophilic,3.49
STR_184,Pseudomonas,design,Positive,Anaerobic,1.35
STR_130,Bacillus,it,Negative,Aerobic,9.1
STR_484,Staphylococcus,imagine,Negative,Anaerobic,9.8
STR_114,Pseudomonas,good,Positive,Microaerophilic,6.89
STR_859,Pseudomonas,amount,Positive,Aerobic,5.3
STR_715,Staphylococcus,she,Negative,Anaerobic,5.05
STR_650,Streptococcus,lose,Negative,Aerobic,3.06
STR_437,Bacillus,visit,Positive,Aerobic,3.24
STR_646,Streptococcus,none,Negative,Anaerobic,1.24
