strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_912,Pseudomonas,mean,Positive,Anaerobic,6.72
STR_758,Pseudomonas,race,Negative,Anaerobic,3.66
STR_650,Staphylococcus,note,Positive,Microaerophilic,6.93
STR_535,Clostridium,fast,Positive,Microaerophilic,4.72
STR_926,Clostridium,second,Negative,Anaerobic,4.47
STR_355,Streptococcus,week,Positive,Anaerobic,9.06
STR_714,Lactobacillus,week,Positive,Aerobic,4.1
STR_818,Staphylococcus,ground,Positive,Microaerophilic,4.84
STR_448,Pseudomonas,nice,Positive,Anaerobic,9.13
STR_949,Pseudomonas,if,Negative,Microaerophilic,9.76
STR_574,Staphylococcus,day,Positive,Microaerophilic,5.85
STR_560,Bacillus,worker,Positive,Aerobic,4.02
STR_191,Bacillus,just,Negative,Microaerophilic,1.1
STR_674,Clostridium,song,Negative,Anaerobic,8.67
STR_321,Lactobacillus,tree,Positive,Aerobic,2.42
STR_440,Bacillus,kind,Negative,Facultative Anaerobe,6.03
STR_843,Bacillus,door,Negative,Anaerobic,3.17
STR_466,Lactobacillus,hard,Positive,Microaerophilic,8.86
STR_929,Pseudomonas,executive,Negative,Microaerophilic,7.2
STR_161,Staphylococcus,attorney,Negative,Microaerophilic,5.51
STR_902,Bacillus,ago,Positive,Facultative Anaerobe,5.17
STR_470,Streptococcus,other,Negative,Facultative Anaerobe,7.16
STR_861,Lactobacillus,trade,Positive,Microaerophilic,6.34
STR_118,Staphylococcus,challenge,Positive,Facultative Anaerobe,3.87
STR_754,Pseudomonas,sit,Positive,Aerobic,2.45
STR_215,Staphylococcus,decision,Positive,Anaerobic,4.39
STR_667,Bacillus,about,Negative,Facultative Anaerobe,6.62
STR_953,Streptococcus,worker,Positive,Microaerophilic,1.05
STR_653,Staphylococcus,professor,Positive,Facultative Anaerobe,0.71
STR_351,Lactobacillus,ready,Negative,Aerobic,0.57
STR_662,Lactobacillus,worker,Positive,Aerobic,1.9
STR_686,Pseudomonas,according,Negative,Microaerophilic,2.6
STR_533,Clostridium,according,Negative,Microaerophilic,5.03
STR_607,Staphylococcus,interest,Positive,Aerobic,1.76
STR_924,Clostridium,myself,Negative,Anaerobic,8.35
STR_369,Streptococcus,reduce,Negative,Aerobic,6.63
STR_840,Lactobacillus,speak,Negative,Facultative Anaerobe,2.14
STR_467,Clostridium,remember,Negative,Aerobic,4.45
STR_585,Staphylococcus,reflect,Positive,Anaerobic,3.09
STR_264,Pseudomonas,talk,Negative,Anaerobic,9.89
STR_718,Lactobacillus,want,Positive,Anaerobic,3.73
STR_239,Streptococcus,help,Positive,Anaerobic,3.03
STR_168,Bacillus,value,Negative,Facultative Anaerobe,4.87
STR_981,Clostridium,remember,Negative,Aerobic,9.79
STR_438,Bacillus,everything,Negative,Microaerophilic,4.49
STR_368,Pseudomonas,small,Positive,Microaerophilic,7.4
STR_120,Streptococcus,customer,Positive,Facultative Anaerobe,1.44
STR_285,Bacillus,card,Positive,Aerobic,8.45
STR_469,Staphylococcus,end,Positive,Aerobic,4.78
STR_316,Clostridium,make,Positive,Anaerobic,4.77
STR_202,Streptococcus,student,Positive,Facultative Anaerobe,7.34
STR_594,Streptococcus,indicate,Negative,Facultative Anaerobe,9.15
STR_712,Clostridium,wish,Negative,Facultative Anaerobe,8.05
STR_364,Clostridium,heavy,Positive,Aerobic,1.4
STR_282,Clostridium,wear,Negative,Facultative Anaerobe,7.19
STR_878,Clostridium,occur,Positive,Aerobic,5.93
STR_992,Staphylococcus,party,Positive,Facultative Anaerobe,3.26
STR_648,Pseudomonas,term,Negative,Aerobic,6.08
STR_289,Staphylococcus,including,Negative,Microaerophilic,8.92
STR_439,Staphylococcus,throughout,Negative,Microaerophilic,2.18
STR_474,Clostridium,either,Negative,Facultative Anaerobe,3.32
STR_183,Clostridium,professor,Negative,Microaerophilic,7.9
STR_143,Lactobacillus,city,Negative,Microaerophilic,9.33
STR_402,Clostridium,soldier,Positive,Microaerophilic,7.73
STR_279,Streptococcus,factor,Negative,Microaerophilic,8.41
STR_509,Streptococcus,age,Negative,Aerobic,9.64
STR_934,Clostridium,sell,Negative,Microaerophilic,8.78
STR_388,Staphylococcus,mother,Negative,Anaerobic,0.61
STR_537,Clostridium,professional,Positive,Aerobic,8.19
STR_436,Lactobacillus,church,Negative,Facultative Anaerobe,9.22
STR_884,Streptococcus,include,Negative,Facultative Anaerobe,8.04
