strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_499,Lactobacillus,on,Negative,Facultative Anaerobe,6.11
STR_147,Pseudomonas,all,Negative,Facultative Anaerobe,1.12
STR_327,Bacillus,beyond,Positive,Aerobic,9.27
STR_757,Lactobacillus,Democrat,Negative,Anaerobic,6.87
STR_479,Bacillus,state,Negative,Microaerophilic,6.74
STR_657,Bacillus,goal,Negative,Anaerobic,2.97
STR_565,Streptococcus,particularly,Negative,Anaerobic,5.66
STR_815,Lactobacillus,understand,Negative,Microaerophilic,9.01
STR_673,Staphylococcus,finish,Negative,Microaerophilic,4.38
STR_422,Staphylococcus,college,Negative,Facultative Anaerobe,2.83
STR_897,Staphylococcus,cut,Negative,Anaerobic,7.99
STR_670,Pseudomonas,federal,Negative,Aerobic,5.41
STR_453,Streptococcus,simple,Negative,Microaerophilic,9.52
STR_239,Bacillus,position,Positive,Facultative Anaerobe,1.82
STR_344,Streptococcus,stuff,Negative,Aerobic,4.39
STR_225,Clostridium,fast,Negative,Microaerophilic,3.73
STR_994,Lactobacillus,politics,Negative,Microaerophilic,8.81
STR_575,Lactobacillus,business,Positive,Microaerophilic,8.04
STR_509,Streptococcus,keep,Negative,Anaerobic,6.17
STR_463,Pseudomonas,husband,Negative,Microaerophilic,4.29
STR_207,Lactobacillus,newspaper,Negative,Microaerophilic,9.15
STR_453,Clostridium,network,Positive,Facultative Anaerobe,7.73
STR_222,Streptococcus,many,Positive,Aerobic,1.16
STR_931,Staphylococcus,why,Positive,Facultative Anaerobe,1.26
STR_781,Pseudomonas,operation,Positive,Aerobic,4.72
STR_594,Streptococcus,wonder,Positive,Microaerophilic,0.65
STR_930,Pseudomonas,like,Negative,Anaerobic,1.24
STR_928,Clostridium,get,Positive,Anaerobic,7.63
STR_815,Staphylococcus,popular,Negative,Facultative Anaerobe,7.32
STR_699,Pseudomonas,them,Positive,Microaerophilic,4.48
STR_914,Bacillus,play,Negative,Facultative Anaerobe,4.16
STR_357,Clostridium,detail,Positive,Facultative Anaerobe,9.94
STR_639,Clostridium,week,Negative,Microaerophilic,6.11
STR_991,Staphylococcus,play,Positive,Facultative Anaerobe,2.88
STR_859,Streptococcus,what,Negative,Aerobic,1.76
STR_467,Lactobacillus,program,Positive,Microaerophilic,2.35
STR_902,Staphylococcus,street,Positive,Facultative Anaerobe,9.84
STR_108,Bacillus,traditional,Positive,Microaerophilic,3.08
STR_253,Pseudomonas,produce,Negative,Aerobic,8.44
STR_316,Bacillus,class,Positive,Aerobic,5.21
STR_131,Streptococcus,everything,Negative,Anaerobic,0.84
STR_974,Pseudomonas,party,Positive,Microaerophilic,8.99
STR_539,Staphylococcus,entire,Positive,Aerobic,6.79
STR_466,Lactobacillus,me,Positive,Aerobic,0.73
STR_977,Bacillus,again,Negative,Facultative Anaerobe,3.45
STR_990,Lactobacillus,usually,Negative,Facultative Anaerobe,8.8
STR_762,Pseudomonas,among,Negative,Facultative Anaerobe,1.0
STR_866,Bacillus,kind,Positive,Anaerobic,1.11
STR_405,Bacillus,old,Positive,Facultative Anaerobe,6.2
STR_591,Clostridium,training,Negative,Microaerophilic,9.46
STR_421,Staphylococcus,nation,Negative,Anaerobic,5.93
STR_387,Clostridium,marriage,Positive,Facultative Anaerobe,5.51
STR_839,Bacillus,science,Positive,Facultative Anaerobe,5.26
STR_590,Clostridium,project,Positive,Aerobic,2.09
STR_504,Pseudomonas,per,Positive,Microaerophilic,2.63
STR_815,Bacillus,general,Negative,Facultative Anaerobe,7.06
STR_979,Staphylococcus,high,Positive,Anaerobic,4.18
STR_874,Staphylococcus,husband,Negative,Microaerophilic,3.06
STR_382,Pseudomonas,memory,Negative,Microaerophilic,9.9
STR_875,Streptococcus,staff,Negative,Facultative Anaerobe,5.24
STR_883,Pseudomonas,country,Positive,Microaerophilic,4.74
STR_388,Clostridium,summer,Positive,Microaerophilic,1.73
STR_735,Streptococcus,city,Negative,Aerobic,6.77
STR_130,Clostridium,second,Positive,Microaerophilic,7.11
STR_713,Lactobacillus,difference,Positive,Aerobic,8.68
STR_823,Pseudomonas,check,Positive,Aerobic,0.7
